dataset,project,package,complextype,severity,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
data-class,fitjava-1.1,fat,DocumentParseFixture,1.0,1.5,1.5,3.0,5.0,2.0,3.0,1.0,1.0,54.0,701.0,2453.0,54.0,32.0,0.0,0.0,2.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,6.0,72.0,254.0,6.0,2.0,2.0,56.0,1.0,9.0,9.0,0.5,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,public
data-class,fitjava-1.1,fat,Frameworks,1.0,2.0,2.0,0.0,5.0,0.0,3.0,0.0,0.5,18.0,701.0,2453.0,18.0,30.0,2.0,0.0,4.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,2.0,72.0,254.0,2.0,4.0,2.0,48.0,1.0,4.0,4.0,0.3333333333333333,0.0,other,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,public
data-class,fitjava-1.1,fat,TableParseFixture,1.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,1.0,34.0,701.0,2453.0,34.0,32.0,0.0,0.0,3.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,7.0,72.0,254.0,7.0,3.0,2.0,57.0,1.0,7.0,7.0,0.5714285714285714,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,7.0,0.0,public
data-class,fitjava-1.1,fat,Divide,1.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,4.0,701.0,2453.0,4.0,32.0,0.0,0.0,2.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,1.0,72.0,254.0,1.0,2.0,2.0,49.0,1.0,1.0,1.0,0.3333333333333333,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,public
data-class,fitjava-1.1,fat,FixtureNameFixture,1.0,2.0,2.0,0.0,5.0,3.0,3.0,2.0,1.0,35.0,701.0,2453.0,35.0,32.0,0.0,0.0,1.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,4.0,72.0,254.0,4.0,1.0,2.0,53.0,1.0,8.0,8.0,0.5,0.0,other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,public
data-class,fitjava-1.1,fat,Table,1.0,1.5,1.5,4.0,5.0,3.0,2.0,2.0,1.0,16.0,701.0,2453.0,16.0,25.0,1.0,0.0,1.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,2.0,72.0,254.0,2.0,1.0,2.0,41.0,0.0,3.0,3.0,0.5,0.0,other,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,public
data-class,fitjava-1.1,fat,StandardAnnotationFixture,1.0,2.75,2.75,1.0,6.0,10.0,3.0,3.0,1.0,43.0,701.0,2453.0,43.0,31.0,1.0,0.0,3.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,4.0,72.0,254.0,4.0,3.0,2.0,53.0,1.0,11.0,11.0,0.5,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,public
data-class,fitjava-1.1,fat,Money,1.0,1.75,1.75,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,26.0,701.0,2453.0,26.0,0.0,2.0,0.0,1.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,4.0,72.0,254.0,4.0,0.0,2.0,4.0,1.0,7.0,7.0,1.0,0.0,other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,public
data-class,fitjava-1.1,fat,FixtureLoadFixture,1.0,1.3333333333333333,1.3333333333333333,0.0,5.0,2.0,3.0,1.0,1.0,24.0,701.0,2453.0,24.0,32.0,0.0,0.0,1.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,3.0,72.0,254.0,3.0,1.0,2.0,52.0,1.0,4.0,4.0,0.6666666666666666,0.0,other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,public
data-class,fitjava-1.1,fat,Color,1.0,2.3333333333333335,2.3333333333333335,5.0,7.0,5.0,3.0,3.0,0.6,44.0,701.0,2453.0,44.0,30.0,3.0,0.0,1.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,6.0,72.0,254.0,6.0,0.0,2.0,52.0,0.2,14.0,14.0,1.0,0.0,other,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,public
