severity,NOP_method,ATFD_method,ATLD_method,MAXNESTING_method,LOC_method,MaMCL_method,LAA_method,FANOUT_method,CLNAMM_method,CDISP_method,isStatic_method,DIT_type,FANOUT_type,LCOM5_type,NIM_type,NOAM_type,NOA_type,NOII_type,NOI_package,NOMNAMM_package,NOM_project,NOPK_project,RFC_type,TCC_type,WOC_type,modifier_type,num_not_final_not_static_attributes,number_constructor_DefaultConstructor_methods,number_not_abstract_not_final_methods,number_not_final_static_methods,number_private_visibility_attributes,number_protected_visibility_methods,visibility_type
0,0,0,1,1,3,0,1,1,1,1,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,0,0,1,1,3,0,1,1,1,1,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,1,0,0,1,5,0,0,1,0,1,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,1,2,0,2,11,0,0,0,1,0,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,1,2,0,2,11,0,0,0,1,0,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
0,1,2,0,2,11,0,0,0,0,0,0,3,1,1,32,0,2,0,0,72,254,2,56,1,0.5,other,2,0,6,0,0,0,public
1,0,5,2,3,29,0,0.285714286,1,0,0.333333333,0,3,1,0,32,0,3,0,0,72,254,2,52,1,0.25,other,3,0,1,0,0,0,public
0,2,0,0,1,3,0,0,1,0,1,0,4,1,0,15,0,0,0,1,100,245,4,9,1,1,other,0,0,4,0,0,0,public
0,4,0,0,1,3,0,0,1,0,1,0,4,1,0,15,0,0,0,1,100,245,4,9,1,1,other,0,0,4,0,0,0,public
0,2,0,0,1,3,0,0,1,0,1,0,4,1,0,15,0,0,0,1,100,245,4,9,1,1,other,0,0,4,0,0,0,public
0,3,0,0,1,3,0,0,1,0,1,0,4,1,0,15,0,0,0,1,100,245,4,9,1,1,other,0,0,4,0,0,0,public
2,0,10,5,3,33,0,0.294117647,5,3,0.833333333,0,1,25,0.723214286,0,0,4,1,1,100,245,4,87,1,1,other,4,0,29,6,1,0,public
2,5,9,2,4,48,0,0.166666667,1,6,0.333333333,0,1,25,0.723214286,0,0,4,1,1,100,245,4,87,1,1,other,4,0,29,6,1,0,public
3,1,56,24,6,523,0,0.3,7,6,0.368421053,0,1,25,0.723214286,0,0,4,1,1,100,245,4,87,1,1,other,4,0,29,6,1,0,public
3,2,83,2,6,257,0,0.023529412,3,4,0.6,0,1,4,0.666666667,0,0,2,0,0,54,245,4,44,1,1,other,2,0,31,1,0,0,public
0,1,0,0,1,5,0,0,0,0,0,0,2,0,0,11,0,0,0,0,5,541,11,21,0,1,other,0,1,3,0,0,0,public
0,1,0,0,1,4,0,0,0,0,0,0,2,0,0,11,0,0,0,0,5,541,11,21,0,1,other,0,1,3,0,0,0,public
0,0,0,0,1,3,0,0,0,0,0,0,2,2,0,7,0,0,0,0,5,541,11,15,0,1,other,0,0,3,0,0,0,public
0,0,0,1,1,4,0,1,0,0,0,0,1,3,0.971794872,0,39,20,0,0,27,541,11,58,0.087179487,0.025,other,19,1,41,0,20,0,public
2,7,9,1,5,176,0,0.1,3,2,0.428571429,1,1,5,1,0,0,1,0,1,60,541,11,31,0.784313725,1,other,0,0,18,18,1,0,public
0,0,0,0,2,18,0,0,1,0,1,0,5,2,0,72,0,0,0,0,28,502,4,6,1,1,other,0,0,3,1,0,0,public
0,4,1,0,2,27,0,0,1,1,0.5,0,5,2,0,72,0,0,0,0,28,502,4,6,1,1,other,0,0,3,1,0,0,public
0,0,1,0,3,12,0,0,1,0,0.5,1,5,2,0,72,0,0,0,0,28,502,4,6,1,1,other,0,0,3,1,0,0,public
0,0,0,4,1,7,0,1,1,0,1,0,1,1,0.937304075,0,6,11,1,0,28,502,4,31,0.261083744,0.8,other,6,0,30,0,0,0,public
0,2,0,0,1,4,0,0,0,1,0,0,1,1,0.937304075,0,6,11,1,0,28,502,4,31,0.261083744,0.8,other,6,0,30,0,0,0,public
0,2,0,4,3,30,0,1,0,0,0,0,1,1,0.937304075,0,6,11,1,0,28,502,4,31,0.261083744,0.8,other,6,0,30,0,0,0,public
2,3,15,15,7,206,0,0.428571429,5,12,0.454545455,0,1,11,0.949275362,0,9,48,2,5,277,502,4,77,0.493589744,0.709677419,other,24,1,41,0,13,9,public
0,3,0,4,7,111,0,1,2,4,0.333333333,1,1,2,0.9,0,0,5,0,5,277,502,4,17,0.3,0,other,0,0,7,7,5,0,package
