dataset,project,package,complextype,method,severity,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
feature-envy,fitjava-1.1,fat,DocumentParseFixture,Output(),1,0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,other,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0,public
feature-envy,fitjava-1.1,fat,DocumentParseFixture,Structure(),1,0,0,0,0,0,1,3,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,other,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0,public
feature-envy,fitjava-1.1,fat,DocumentParseFixture,GenerateOutput(Parse),1,1,0,0,0,0,1,5,1,0,2,0,2,0,1,1,0,0,1,0,1,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,other,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0,public
feature-envy,fitjava-1.1,fat,DocumentParseFixture,dumpTables(Parse),1,1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,1,0,0,0,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,other,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0,public
feature-envy,fitjava-1.1,fat,DocumentParseFixture,dumpRows(Parse),1,1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,1,0,0,0,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,other,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0,public
feature-envy,fitjava-1.1,fat,DocumentParseFixture,dumpCells(Parse),1,1,0,2,1,0,2,11,2,0,3,0,5,0,0,0,0,0,0,0,0,0,1.5,1.5,3,5,2,3,1,1,54,701,2453,54,32,0,0,2,20,60,0,0,0,0,0,72,243,6,72,254,6,2,2,56,1,9,9,0.5,0,other,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,0,2,6,0,public
feature-envy,fitjava-1.1,fat,ReferenceFixture,Result(),2,0,0,5,2,0,3,29,5,0,8,0,12,0.285714286,1,3,2,0,3,0,0.333333333,0,5,5,5,6,3,3,1,0,35,701,2453,35,32,0,0,3,20,60,0,0,0,0,0,72,243,1,72,254,1,3,2,52,1,5,5,0.25,0,other,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,public
feature-envy,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(intString),1,2,0,0,0,0,1,3,1,0,2,0,2,0,1,1,0,0,1,0,1,0,1,1,0,1,4,4,1,0,18,2639,6694,18,15,0,0,0,8,48,0,0,0,1,1,100,233,4,109,245,4,0,4,9,1,4,4,1,0,other,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,public
feature-envy,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(intintintString),1,4,1,0,0,1,1,3,1,0,4,0,4,0,1,1,0,0,1,0,1,0,1,1,0,1,4,4,1,0,18,2639,6694,18,15,0,0,0,8,48,0,0,0,1,1,100,233,4,109,245,4,0,4,9,1,4,4,1,0,other,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,public
feature-envy,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(StringException),1,2,0,0,0,0,1,3,1,0,2,0,2,0,1,1,0,0,1,0,1,0,1,1,0,1,4,4,1,0,18,2639,6694,18,15,0,0,0,8,48,0,0,0,1,1,100,233,4,109,245,4,0,4,9,1,4,4,1,0,other,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,public
