severity,ATFD_type,DIT_type,FANOUT_type,LCOM5_type,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOI_package,NOMNAMM_package,NOM_project,NOPK_project,RFC_type,TCC_type,WOC_type,isStatic_type,num_final_attributes,num_not_final_not_static_attributes,number_constructor_DefaultConstructor_methods,number_not_final_not_static_methods,number_private_visibility_methods,number_private_visibility_attributes,number_protected_visibility_attributes,modifier_type,visibility_type
0,0,3,0,0.5,18,30,2,0,4,0,72,254,2,48,1,0.333333333,0,0,3,0,2,0,0,0,other,public
0,2,3,1,1,34,32,0,0,3,0,72,254,2,57,1,0.571428571,0,0,3,0,7,3,0,0,other,public
0,0,3,0,0,4,32,0,0,2,0,72,254,2,49,1,0.333333333,0,0,2,0,1,0,0,0,other,public
0,0,3,2,1,35,32,0,0,1,0,72,254,2,53,1,0.5,0,0,1,0,4,3,0,0,other,public
0,4,2,2,1,16,25,1,0,1,0,72,254,2,41,0,0.5,0,0,0,1,2,0,0,0,other,public
0,1,3,3,1,43,31,1,0,3,0,72,254,2,53,1,0.5,0,0,3,0,4,1,0,0,other,public
0,0,1,0,0.333333333,26,0,2,0,1,0,72,254,2,4,1,1,0,0,1,0,4,0,0,0,other,public
0,0,3,1,1,24,32,0,0,1,0,72,254,2,52,1,0.666666667,0,0,1,0,3,1,0,0,other,public
0,0,1,0,0,2,0,0,0,0,0,72,254,2,0,1,0,0,0,0,0,0,0,0,0,other,public
0,5,3,3,0.6,44,30,3,0,1,0,72,254,2,52,0.2,1,0,0,1,1,7,0,0,0,other,public
0,5,3,1,0,35,32,0,0,3,0,72,254,2,52,1,0.25,0,0,3,0,1,0,0,0,other,public
0,0,3,1,1,15,32,0,0,1,0,72,254,2,51,1,0.5,0,0,1,0,2,1,0,0,other,public
0,2,3,5,0.9,70,30,3,0,7,0,72,254,2,52,0.2,1,0,0,4,0,6,0,3,0,other,public
0,5,3,1,1,83,32,0,0,19,0,72,254,2,57,1,0.05,0,0,19,0,5,4,0,0,other,public
0,0,3,2,1,20,32,0,0,1,0,72,254,2,52,1,0.5,0,0,1,0,3,2,0,0,other,public
0,4,2,3,0.75,49,25,1,0,1,0,171,254,2,44,0.1,0.5,0,0,0,0,5,0,0,0,other,public
0,0,2,2,0,51,26,0,0,0,0,171,254,2,45,0,1,0,0,0,0,4,0,0,0,other,public
0,5,1,2,0.708333333,72,0,0,0,4,0,171,254,2,14,0.714285714,0.5,0,0,4,1,7,0,0,0,other,public
1,5,2,3,0.888888889,98,22,4,0,2,0,171,254,2,48,0.133333333,1,0,0,2,0,10,0,0,2,other,public
0,0,2,0,0.7,70,6,1,0,2,0,171,254,2,11,0.622222222,1,0,0,2,0,8,0,0,2,other,public
0,1,2,3,0.5,65,25,1,0,3,0,171,254,2,46,0.952380952,0.833333333,0,0,1,0,7,0,0,2,other,public
0,0,1,18,0.8,244,0,0,1,5,0,171,254,2,29,0.345454545,0.6,0,0,5,1,8,0,0,0,other,public
2,7,1,5,0.961538462,283,0,0,1,7,0,171,254,2,40,0.390769231,0.75862069,0,0,3,1,25,1,0,1,other,public
0,0,1,0,0.5,19,0,1,0,2,0,171,254,2,2,1,1,0,0,2,1,3,0,0,0,other,public
0,0,3,0,0,5,10,1,1,0,0,171,254,2,28,1,0,1,0,0,1,2,0,0,0,other,package
0,0,2,0,0,5,10,1,0,0,0,171,254,2,28,1,1,1,0,0,1,2,0,0,0,other,package
0,0,3,0,0,5,10,1,1,0,0,171,254,2,28,1,0,1,0,0,1,2,0,0,0,other,package
0,0,4,1,0,18,15,0,0,0,1,100,245,4,9,1,1,0,0,0,0,4,0,0,0,other,public
0,0,3,0,0.6,50,14,1,0,3,1,100,245,4,6,1,1,0,0,3,0,6,0,0,0,other,public
3,106,1,25,0.723214286,1371,0,0,0,4,1,100,245,4,87,1,1,0,0,4,0,23,25,1,0,other,public
0,96,1,1,0.481481481,243,0,0,0,3,1,100,245,4,12,1,1,0,0,3,0,10,8,0,0,other,public
0,0,2,1,1,14,0,0,0,1,1,100,245,4,3,1,0.666666667,1,0,1,0,2,0,0,0,other,private
0,0,2,1,1,76,0,0,0,8,0,46,245,4,3,1,0.2,0,0,8,0,2,0,0,0,other,public
0,0,2,0,0,15,11,0,0,0,0,5,541,11,21,0,1,0,0,0,1,3,0,0,0,other,public
0,0,2,2,0,29,7,0,0,0,0,5,541,11,15,0,1,0,0,0,0,3,0,0,0,other,public
3,15,1,3,0.971794872,330,0,0,39,20,0,27,541,11,58,0.087179487,0.025,0,0,19,1,41,0,20,0,other,public
3,5,2,4,0.898148148,199,10,1,18,9,0,27,541,11,40,0.243333333,0.28,0,0,9,1,26,0,9,0,other,public
0,1,5,2,0,88,72,0,0,0,0,28,502,4,6,1,1,0,0,0,0,2,1,0,0,other,public
0,0,1,1,0.937304075,518,0,0,6,11,0,28,502,4,31,0.261083744,0.8,0,5,6,0,30,0,0,11,other,public
3,19,1,11,0.949275362,1342,0,0,9,48,5,277,502,4,77,0.493589744,0.709677419,0,24,24,1,41,7,13,34,other,public
3,0,1,10,0.980867347,3600,0,0,9,96,5,277,502,4,80,0.272895467,0.395348837,0,55,41,1,41,3,15,62,other,public
3,61,1,9,0.882352941,1097,0,0,0,2,5,277,502,4,61,0.269230769,1,0,2,0,1,19,5,2,0,other,public
2,0,1,0,0.8,112,0,1,7,6,5,277,502,4,11,0.361111111,0.3,1,0,6,0,11,0,0,6,other,protected
0,0,1,10,0,196,0,0,0,0,4,106,585,3,15,0,1,0,0,0,0,0,2,0,0,other,public
0,0,1,1,0.5,26,0,0,0,3,4,106,585,3,4,1,1,1,0,3,0,2,0,0,0,other,package
1,0,1,0,0.8,107,0,1,4,4,4,106,585,3,11,0.418181818,0.636363636,0,0,4,1,12,0,0,0,other,package
0,0,2,4,0.6,166,14,1,0,5,0,34,629,13,34,0.5,1,0,1,4,0,4,0,5,0,other,public
0,2,1,1,0,34,0,0,0,0,0,34,629,13,2,1,0,0,0,0,1,2,0,0,0,other,package
2,3,2,5,0.95371669,2005,0,0,9,23,0,101,629,13,77,0.383503401,0,0,9,14,0,58,10,4,17,abstract,public
2,0,1,0,0.866666667,175,0,1,7,7,0,32,629,13,16,0.2,0.5625,0,0,7,0,16,0,7,0,other,public
0,0,1,0,0,38,0,0,0,6,4,31,629,13,1,1,0,0,6,0,0,1,1,0,0,final,public
0,0,1,1,0.3,146,0,0,0,1,0,16,641,14,12,0.622222222,1,0,0,1,0,2,0,1,0,other,public
0,0,1,0,0,42,0,0,0,0,0,16,641,14,1,1,1,0,0,0,1,2,1,0,0,other,private
0,0,2,2,1,51,0,0,0,4,0,16,641,14,8,0,0,0,0,4,0,3,0,0,4,abstract,public
1,0,1,1,0.857142857,164,0,1,9,7,1,47,641,14,13,0.303030303,0.25,0,0,5,1,13,0,7,0,other,public
0,0,1,0,0.732142857,97,0,1,8,4,0,7,641,14,15,0.461538462,0.428571429,0,0,4,0,15,0,4,0,other,public
2,11,1,12,0.866666667,321,0,0,1,5,4,112,641,14,38,0.2,0.75,0,0,5,0,4,1,5,0,other,public
0,1,1,4,0.825,200,0,0,0,5,0,26,689,3,13,1,1,0,2,3,0,7,3,5,0,other,public
0,1,1,0,0,10,0,0,0,0,0,26,689,3,1,1,0,0,0,0,1,2,0,0,0,other,package
2,0,1,0,0.666666667,25,0,0,3,2,0,26,689,3,4,0.333333333,0.25,0,0,2,1,5,0,2,0,other,public
3,0,1,0,0.857142857,47,0,0,8,4,0,26,689,3,8,0.142857143,0,0,0,4,1,9,0,4,0,other,public
2,0,1,0,0.857142857,47,0,0,6,4,0,26,689,3,8,0.142857143,0.25,0,0,4,1,9,0,4,0,other,public
3,0,1,0,0.933333333,91,0,0,16,8,0,26,689,3,16,0.066666667,0,0,0,8,1,17,0,8,0,other,public
0,0,6,2,0,29,45,0,0,0,0,159,780,3,18,0,1,0,0,0,0,5,0,0,0,final,public
0,2,6,2,0.166666667,48,44,1,1,1,0,159,780,3,19,1,0.75,0,0,1,0,7,0,1,0,final,public
0,3,6,2,0,39,44,1,0,0,0,159,780,3,18,0,1,0,0,0,0,6,0,0,0,final,public
2,0,2,0,0.996923077,1917,51,0,0,5,4,408,780,3,66,0.007518797,0.919354839,0,5,0,0,5,5,0,0,other,public
2,13,1,6,1,301,0,0,0,6,1,41,713,4,23,0,1,0,0,6,0,7,3,0,0,other,public
0,0,3,0,0,8,15,0,0,0,1,41,713,4,2,1,1,0,0,0,0,2,0,0,0,other,public
0,0,2,0,0,12,2,0,0,0,1,41,713,4,2,0,1,1,0,0,1,3,0,0,0,other,public
2,25,1,15,0.964285714,603,0,0,0,4,1,41,713,4,69,0.333333333,1,0,0,2,0,22,18,0,0,other,public
0,5,2,2,0.636363636,96,23,4,5,1,1,73,713,4,39,1,0.545454545,0,0,1,0,12,1,0,1,other,public
2,29,6,28,0.941840278,1043,531,0,2,36,0,385,713,4,104,0.3,1,0,0,36,0,33,27,0,0,other,public
0,0,1,0,0.933333333,228,0,0,0,3,0,11,808,7,11,1,1,0,2,1,0,10,8,3,0,other,public
2,0,1,1,0.888888889,86,0,0,8,4,1,399,808,7,11,0.142857143,0,0,0,4,0,10,0,4,0,other,public
2,39,2,11,0.894957983,1172,20,0,0,14,1,399,808,7,71,0.461538462,1,0,3,0,0,0,5,9,0,other,public
2,0,2,1,0.84375,86,8,1,7,4,1,399,808,7,18,0.166666667,0.222222222,0,0,4,0,9,0,4,0,other,public
3,30,3,10,0.87987013,1288,9,2,0,14,1,399,808,7,57,0.280701754,0.818181818,0,0,1,0,6,2,12,0,other,public
2,0,1,0,1,95,0,0,4,14,1,399,808,7,4,0.333333333,0,0,5,9,1,5,0,2,0,other,public
2,6,1,2,0.928326746,2999,0,0,0,55,1,399,808,7,76,0.495021337,0.888888889,0,0,27,0,27,31,36,0,other,public
1,3,7,7,0.89375,571,0,0,0,10,1,165,703,7,39,0.363636364,0,0,0,10,0,17,4,10,0,abstract,public
0,2,6,2,1,66,574,0,0,2,1,165,703,7,6,1,1,1,0,2,0,2,0,2,0,other,package
0,0,6,5,1,239,0,0,0,1,1,165,703,7,14,0,0,0,0,1,0,5,1,0,1,abstract,public
0,1,7,4,0.955555556,149,541,0,4,5,1,165,703,7,27,0.19047619,0.5,0,0,5,0,10,2,5,0,other,public
2,14,1,17,0.959935897,1243,0,0,1,16,1,154,703,7,94,0.23968254,0.921052632,0,6,0,0,2,4,14,0,other,public
2,0,1,0,0.9,83,0,0,8,4,2,154,703,7,11,0.142857143,0.272727273,0,0,4,0,11,0,4,0,other,public
0,0,2,1,0,8,6,0,0,0,0,20,1031,28,10,1,1,0,0,0,1,2,0,0,0,other,public
0,0,3,2,0.75,95,18,2,2,4,3,56,1064,18,27,0.6,0.6,0,0,4,0,5,0,4,0,other,public
1,6,3,9,0.952380952,573,14,6,15,15,3,56,1064,18,67,0.108374384,0.4,0,1,14,0,29,0,10,5,other,public
2,7,1,3,0.885714286,100,0,0,6,5,3,56,1064,18,19,0.380952381,0.25,0,0,5,0,8,0,2,3,other,package
0,0,1,0,0,252,0,0,0,48,4,78,1064,18,1,1,0,0,48,0,0,1,1,0,0,final,public
0,0,1,0,0,83,0,0,0,14,0,58,1064,18,1,1,0,0,14,0,0,1,1,0,0,final,public
1,8,3,15,0.96,323,50,2,0,5,0,16,1092,16,137,0.222222222,0.875,0,1,4,0,11,0,0,4,other,public
0,0,1,0,0,9,0,0,0,0,0,16,1092,16,1,1,0,0,0,0,1,2,0,0,0,other,package
2,1,1,2,0.890909091,97,0,0,10,5,0,99,1092,16,14,0.163636364,0.166666667,0,0,5,0,11,0,0,0,other,public
