severity,NOP_method,ATFD_method,MAXNESTING_method,LOC_method,LAA_method,FANOUT_method,CLNAMM_method,CDISP_method,isStatic_method,AMW_type,CBO_type,DIT_type,FANOUT_type,LCOM5_type,MaMCL_method,NIM_type,NOAM_type,NOII_type,NOI_package,NOMNAMM_package,NOM_project,NOPK_project,RFC_type,TCC_type,WMC_type,WOC_type,modifier_type,num_final_attributes,num_not_final_not_static_attributes,number_constructor_DefaultConstructor_methods,number_not_final_static_methods,number_package_visibility_attributes,number_private_visibility_attributes,number_protected_visibility_methods,number_static_methods,visibility_type
0,0,0,1,3,1,1,1,1,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,0,0,1,3,1,1,1,1,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,1,0,1,5,0,1,0,1,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,1,2,2,11,0,0,1,0,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,1,2,2,11,0,0,1,0,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,1,2,2,11,0,0,0,0,0,1.5,5,3,1,1,0,32,0,0,0,72,254,2,56,1,9,0.5,other,0,2,0,0,0,0,0,0,public
0,0,5,3,29,0.285714286,1,0,0.333333333,0,5,6,3,1,0,0,32,0,0,0,72,254,2,52,1,5,0.25,other,0,3,0,0,0,0,0,0,public
0,2,0,1,3,0,1,0,1,0,1,1,4,1,0,0,15,0,0,1,100,245,4,9,1,4,1,other,0,0,0,0,0,0,0,0,public
0,4,0,1,3,0,1,0,1,0,1,1,4,1,0,0,15,0,0,1,100,245,4,9,1,4,1,other,0,0,0,0,0,0,0,0,public
0,2,0,1,3,0,1,0,1,0,1,1,4,1,0,0,15,0,0,1,100,245,4,9,1,4,1,other,0,0,0,0,0,0,0,0,public
0,3,0,1,3,0,1,0,1,0,1,1,4,1,0,0,15,0,0,1,100,245,4,9,1,4,1,other,0,0,0,0,0,0,0,0,public
0,0,10,3,33,0.294117647,5,3,0.833333333,0,11.31034483,27,1,25,0.723214286,0,0,0,1,1,100,245,4,87,1,328,1,other,0,4,0,6,3,1,0,6,public
0,5,9,4,48,0.166666667,1,6,0.333333333,0,11.31034483,27,1,25,0.723214286,0,0,0,1,1,100,245,4,87,1,328,1,other,0,4,0,6,3,1,0,6,public
3,1,56,6,523,0.3,7,6,0.368421053,0,11.31034483,27,1,25,0.723214286,0,0,0,1,1,100,245,4,87,1,328,1,other,0,4,0,6,3,1,0,6,public
3,2,83,6,257,0.023529412,3,4,0.6,0,6.870967742,36,1,4,0.666666667,0,0,0,0,0,54,245,4,44,1,213,1,other,0,2,0,1,2,0,0,1,public
0,1,0,1,5,0,0,0,0,0,1,4,2,0,0,0,11,0,0,0,5,541,11,21,0,2,1,other,0,0,1,0,0,0,0,0,public
0,1,0,1,4,0,0,0,0,0,1,4,2,0,0,0,11,0,0,0,5,541,11,21,0,2,1,other,0,0,1,0,0,0,0,0,public
0,1,0,1,5,0,0,1,0,0,1.333333333,5,2,2,0,0,7,0,0,0,5,541,11,15,0,4,1,other,0,0,0,0,0,0,0,0,public
0,2,0,2,12,0,2,0,1,0,1.333333333,5,2,2,0,0,7,0,0,0,5,541,11,15,0,4,1,other,0,0,0,0,0,0,0,0,public
0,0,0,1,3,0,0,0,0,0,1.333333333,5,2,2,0,0,7,0,0,0,5,541,11,15,0,4,1,other,0,0,0,0,0,0,0,0,public
0,0,0,1,4,1,0,0,0,0,1,9,1,3,0.971794872,0,0,39,0,0,27,541,11,58,0.087179487,40,0.025,other,0,19,1,0,0,20,0,0,public
2,7,9,5,176,0.1,3,2,0.428571429,1,2.5,6,1,5,1,0,0,0,0,1,60,541,11,31,0.784313725,45,1,other,0,0,0,18,0,1,0,18,public
0,0,0,2,18,0,1,0,1,0,3.333333333,2,5,2,0,0,72,0,0,0,28,502,4,6,1,10,1,other,0,0,0,1,0,0,0,1,public
0,4,1,2,27,0,1,1,0.5,0,3.333333333,2,5,2,0,0,72,0,0,0,28,502,4,6,1,10,1,other,0,0,0,1,0,0,0,1,public
0,0,1,3,12,0,1,0,0.5,1,3.333333333,2,5,2,0,0,72,0,0,0,28,502,4,6,1,10,1,other,0,0,0,1,0,0,0,1,public
0,0,0,1,7,1,1,0,1,0,1.833333333,1,1,1,0.937304075,0,0,6,1,0,28,502,4,31,0.261083744,55,0.8,other,5,6,0,0,0,0,0,0,public
0,2,0,1,4,0,0,1,0,0,1.833333333,1,1,1,0.937304075,0,0,6,1,0,28,502,4,31,0.261083744,55,0.8,other,5,6,0,0,0,0,0,0,public
0,2,0,3,30,1,0,0,0,0,1.833333333,1,1,1,0.937304075,0,0,6,1,0,28,502,4,31,0.261083744,55,0.8,other,5,6,0,0,0,0,0,0,public
3,3,15,7,206,0.428571429,5,12,0.454545455,0,4.829787234,10,1,11,0.949275362,0,0,9,2,5,277,502,4,77,0.493589744,227,0.709677419,other,24,24,1,0,0,13,9,2,public
2,3,0,7,111,1,2,4,0.333333333,1,7.714285714,1,1,2,0.9,0,0,0,0,5,277,502,4,17,0.3,54,0,other,3,0,0,7,0,5,0,7,package
0,1,19,1,7,0.095238095,1,1,1,0,2.166666667,9,2,8,0.989966555,0,8,15,1,5,277,502,4,41,0.177865613,52,0.285714286,other,16,7,0,0,0,1,3,0,public
0,1,0,3,18,0,1,1,1,1,2,0,1,10,0,0,0,0,0,4,106,585,3,15,0,8,1,other,0,0,0,4,0,0,0,4,public
0,0,0,1,8,0,0,1,0,1,2,0,1,10,0,0,0,0,0,4,106,585,3,15,0,8,1,other,0,0,0,4,0,0,0,4,public
0,0,0,2,14,0,0,0,0,1,2,0,1,10,0,0,0,0,0,4,106,585,3,15,0,8,1,other,0,0,0,4,0,0,0,4,public
0,1,0,2,31,0,9,0,0.9,1,2,0,1,10,0,0,0,0,0,4,106,585,3,15,0,8,1,other,0,0,0,4,0,0,0,4,public
0,3,0,1,7,1,0,0,0,0,1,2,1,1,0.5,0,0,0,0,4,106,585,3,4,1,2,1,other,0,3,0,0,3,0,0,0,package
0,1,5,3,22,0,1,0,0.5,0,2.636363636,3,1,3,1,0,0,1,1,5,451,585,3,18,0,29,0.888888889,final,0,3,0,0,0,3,0,0,protected
0,2,0,5,79,1,4,1,1,0,2.5,10,2,4,0.6,0,14,0,0,0,34,629,13,34,0.5,10,1,other,1,4,0,0,0,5,2,0,public
0,0,0,3,15,1,0,0,0,0,2.5,10,2,4,0.6,0,14,0,0,0,34,629,13,34,0.5,10,1,other,1,4,0,0,0,5,2,0,public
0,1,0,2,12,1,0,0,0,0,2.5,10,2,4,0.6,0,14,0,0,0,34,629,13,34,0.5,10,1,other,1,4,0,0,0,5,2,0,public
0,0,0,1,3,0,0,0,0,0,2.5,10,2,4,0.6,0,14,0,0,0,34,629,13,34,0.5,10,1,other,1,4,0,0,0,5,2,0,public
0,1,2,3,32,0,1,0,1,0,6,3,1,1,0,0,0,0,1,0,34,629,13,2,1,6,0,other,0,0,1,0,0,0,0,0,package
2,3,0,6,134,0.636363636,1,13,1,0,3.873015873,3,2,5,0.95371669,0,0,9,3,0,101,629,13,77,0.383503401,244,0,abstract,9,14,0,1,0,4,19,1,public
2,3,3,6,122,0.5,2,10,0.5,0,3.873015873,3,2,5,0.95371669,0,0,9,3,0,101,629,13,77,0.383503401,244,0,abstract,9,14,0,1,0,4,19,1,public
0,0,0,1,4,1,1,0,1,0,1.545454545,0,1,1,0.3,0,0,0,0,0,16,641,14,12,0.622222222,17,1,other,0,1,0,0,0,1,0,0,public
0,0,0,1,3,1,0,0,0,0,1.545454545,0,1,1,0.3,0,0,0,0,0,16,641,14,12,0.622222222,17,1,other,0,1,0,0,0,1,0,0,public
