dataset,project,package,complextype,method,severity,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,isStatic_method,AMWNAMM_type,AMW_type,ATFD_type,CBO_type,CFNAMM_type,DIT_type,FANOUT_type,LCOM5_type,LOCNAMM_type,LOC_package,LOC_project,LOC_type,NIM_type,NMO_type,NOAM_type,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_package,NOI_project,NOMNAMM_package,NOMNAMM_project,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,RFC_type,TCC_type,WMCNAMM_type,WMC_type,WOC_type,isStatic_type,modifier_type,num_final_attributes,num_final_not_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_static_attributes,num_static_not_final_attributes,number_abstract_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,number_final_methods,number_final_not_static_methods,number_final_static_methods,number_not_abstract_not_final_methods,number_not_final_not_static_methods,number_not_final_static_methods,number_package_visibility_attributes,number_package_visibility_methods,number_private_visibility_attributes,number_private_visibility_methods,number_protected_visibility_attributes,number_protected_visibility_methods,number_public_visibility_methods,number_standard_design_methods,number_static_methods,visibility_type
long-method,fitjava-1.1,fat,DocumentParseFixture,Output(),1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.5,1.5,3.0,5.0,2.0,3.0,1.0,1.0,54.0,701.0,2453.0,54.0,32.0,0.0,0.0,2.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,6.0,72.0,254.0,6.0,2.0,2.0,56.0,1.0,9.0,9.0,0.5,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,public
long-method,fitjava-1.1,fat,DocumentParseFixture,Structure(),1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.5,1.5,3.0,5.0,2.0,3.0,1.0,1.0,54.0,701.0,2453.0,54.0,32.0,0.0,0.0,2.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,6.0,72.0,254.0,6.0,2.0,2.0,56.0,1.0,9.0,9.0,0.5,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,public
long-method,fitjava-1.1,fat,DocumentParseFixture,GenerateOutput(Parse),1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.5,1.5,3.0,5.0,2.0,3.0,1.0,1.0,54.0,701.0,2453.0,54.0,32.0,0.0,0.0,2.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,6.0,72.0,254.0,6.0,2.0,2.0,56.0,1.0,9.0,9.0,0.5,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,public
long-method,fitjava-1.1,fat,DocumentParseFixture,dumpTables(Parse),1.0,1.0,0.0,2.0,1.0,0.0,2.0,11.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,3.0,5.0,2.0,3.0,1.0,1.0,54.0,701.0,2453.0,54.0,32.0,0.0,0.0,2.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,6.0,72.0,254.0,6.0,2.0,2.0,56.0,1.0,9.0,9.0,0.5,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,public
long-method,fitjava-1.1,fat,DocumentParseFixture,dumpRows(Parse),1.0,1.0,0.0,2.0,1.0,0.0,2.0,11.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,3.0,5.0,2.0,3.0,1.0,1.0,54.0,701.0,2453.0,54.0,32.0,0.0,0.0,2.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,6.0,72.0,254.0,6.0,2.0,2.0,56.0,1.0,9.0,9.0,0.5,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,public
long-method,fitjava-1.1,fat,DocumentParseFixture,dumpCells(Parse),1.0,1.0,0.0,2.0,1.0,0.0,2.0,11.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,3.0,5.0,2.0,3.0,1.0,1.0,54.0,701.0,2453.0,54.0,32.0,0.0,0.0,2.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,6.0,72.0,254.0,6.0,2.0,2.0,56.0,1.0,9.0,9.0,0.5,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,0.0,public
long-method,fitjava-1.1,fat,ReferenceFixture,Result(),1.0,0.0,0.0,5.0,2.0,0.0,3.0,29.0,5.0,0.0,8.0,0.0,12.0,0.2857142857142857,1.0,3.0,2.0,0.0,3.0,0.0,0.3333333333333333,0.0,5.0,5.0,5.0,6.0,3.0,3.0,1.0,0.0,35.0,701.0,2453.0,35.0,32.0,0.0,0.0,3.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,72.0,243.0,1.0,72.0,254.0,1.0,3.0,2.0,52.0,1.0,5.0,5.0,0.25,0.0,other,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,public
long-method,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(intString),1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,18.0,2639.0,6694.0,18.0,15.0,0.0,0.0,0.0,8.0,48.0,0.0,0.0,0.0,1.0,1.0,100.0,233.0,4.0,109.0,245.0,4.0,0.0,4.0,9.0,1.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,public
long-method,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(intintintString),1.0,4.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,18.0,2639.0,6694.0,18.0,15.0,0.0,0.0,0.0,8.0,48.0,0.0,0.0,0.0,1.0,1.0,100.0,233.0,4.0,109.0,245.0,4.0,0.0,4.0,9.0,1.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,public
long-method,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(StringException),1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,18.0,2639.0,6694.0,18.0,15.0,0.0,0.0,0.0,8.0,48.0,0.0,0.0,0.0,1.0,1.0,100.0,233.0,4.0,109.0,245.0,4.0,0.0,4.0,9.0,1.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,public
long-method,jasml-0.10,com.jasml.compiler,GrammerException,GrammerException(intintString),1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,18.0,2639.0,6694.0,18.0,15.0,0.0,0.0,0.0,8.0,48.0,0.0,0.0,0.0,1.0,1.0,100.0,233.0,4.0,109.0,245.0,4.0,0.0,4.0,9.0,1.0,4.0,4.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,public
long-method,jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethod(),1.0,0.0,0.0,10.0,3.0,0.0,3.0,33.0,6.0,0.0,6.0,0.0,23.0,0.29411764705882354,5.0,6.0,5.0,3.0,6.0,0.0,0.8333333333333334,0.0,11.310344827586206,11.310344827586206,106.0,27.0,51.0,1.0,25.0,0.7232142857142857,1371.0,2639.0,6694.0,1371.0,0.0,0.0,0.0,4.0,8.0,48.0,2.0,0.0,1.0,1.0,1.0,100.0,233.0,29.0,109.0,245.0,29.0,0.0,4.0,87.0,1.0,328.0,328.0,1.0,0.0,other,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,23.0,6.0,3.0,0.0,1.0,25.0,0.0,0.0,4.0,27.0,6.0,public
long-method,jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethodAttributes(MethodArrayListSourceCodeParser.LabeledInstructionsAttribute_CodeArrayList),1.0,5.0,0.0,9.0,2.0,0.0,4.0,48.0,10.0,0.0,6.0,0.0,17.0,0.16666666666666666,1.0,3.0,2.0,6.0,3.0,0.0,0.3333333333333333,0.0,11.310344827586206,11.310344827586206,106.0,27.0,51.0,1.0,25.0,0.7232142857142857,1371.0,2639.0,6694.0,1371.0,0.0,0.0,0.0,4.0,8.0,48.0,2.0,0.0,1.0,1.0,1.0,100.0,233.0,29.0,109.0,245.0,29.0,0.0,4.0,87.0,1.0,328.0,328.0,1.0,0.0,other,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,23.0,6.0,3.0,0.0,1.0,25.0,0.0,0.0,4.0,27.0,6.0,public
long-method,jasml-0.10,com.jasml.compiler,SourceCodeParser,parseMethodInstructions(Method),4.0,1.0,0.0,56.0,2.0,0.0,6.0,523.0,139.0,0.0,25.0,0.0,105.0,0.3,7.0,19.0,24.0,6.0,19.0,0.0,0.3684210526315789,0.0,11.310344827586206,11.310344827586206,106.0,27.0,51.0,1.0,25.0,0.7232142857142857,1371.0,2639.0,6694.0,1371.0,0.0,0.0,0.0,4.0,8.0,48.0,2.0,0.0,1.0,1.0,1.0,100.0,233.0,29.0,109.0,245.0,29.0,0.0,4.0,87.0,1.0,328.0,328.0,1.0,0.0,other,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,23.0,6.0,3.0,0.0,1.0,25.0,0.0,0.0,4.0,27.0,6.0,public
long-method,jasml-0.10,com.jasml.decompiler,SourceCodeBuilder,toString(Attribute_CodeHashSet),4.0,2.0,0.0,83.0,8.0,0.0,6.0,257.0,75.0,0.0,16.0,0.0,101.0,0.023529411764705882,3.0,5.0,2.0,4.0,5.0,0.0,0.6,0.0,6.870967741935484,6.870967741935484,173.0,36.0,13.0,1.0,4.0,0.6666666666666666,828.0,1422.0,6694.0,828.0,0.0,0.0,0.0,2.0,3.0,48.0,0.0,0.0,0.0,0.0,1.0,54.0,233.0,31.0,54.0,245.0,31.0,0.0,4.0,44.0,1.0,213.0,213.0,1.0,0.0,other,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,30.0,1.0,2.0,0.0,0.0,27.0,0.0,0.0,4.0,29.0,1.0,public
long-method,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isWeekend(Calendar),1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,15.0,44.0,7842.0,15.0,11.0,0.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,2.0,5.0,326.0,2.0,5.0,541.0,2.0,0.0,11.0,21.0,0.0,2.0,2.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,public
long-method,jFin_DateMath-R1.0.1,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isHoliday(Calendar),1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,15.0,44.0,7842.0,15.0,11.0,0.0,0.0,0.0,2.0,58.0,0.0,0.0,0.0,0.0,2.0,5.0,326.0,2.0,5.0,541.0,2.0,0.0,11.0,21.0,0.0,2.0,2.0,1.0,0.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,public
