NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,EALTR
0.80952381,0.428571429,0.523809524,0.5,0.30952381,0.30952381,0.333333333,0.238095238,0.333333333,0.404761905,0.880952381,0.380952381,0.333333333,0.404761905,0.452380952,0.261904762,0.30952381,0.285714286,0.238095238,0.261904762,0.5,1.047619048,0.452380952,0.523809524,0.547619048,0.428571429,0.452380952,0.619047619,0.238095238,0.785714286,0.619047619,1.404761905,2.80952381,1.333333333,1.452380952,1.238095238,1.095238095,1.452380952,19.04761905
0.69047619,0.452380952,0.571428571,0.428571429,0.5,0.428571429,0.214285714,0.404761905,0.380952381,0.380952381,0.69047619,0.476190476,0.523809524,0.428571429,0.523809524,0.30952381,0.285714286,0.333333333,0.285714286,0.5,0.619047619,1.69047619,0.547619048,0.333333333,0.595238095,0.452380952,0.547619048,0.571428571,0.261904762,1.428571429,0.571428571,1.380952381,2.595238095,1.023809524,1.476190476,1.142857143,1,1.476190476,22.28571429
0.69047619,0.404761905,0.380952381,0.404761905,0.404761905,0.30952381,0.261904762,0.285714286,0.261904762,0.404761905,0.714285714,0.30952381,0.380952381,0.5,0.428571429,0.261904762,0.261904762,0.261904762,0.285714286,0.333333333,0.523809524,1.023809524,0.5,0.476190476,0.5,0.404761905,0.428571429,0.476190476,0.30952381,0.761904762,0.547619048,1.380952381,2.80952381,0.904761905,1.19047619,1.5,8.142857143,1.476190476,32.30952381
0.619047619,0.285714286,0.428571429,0.595238095,0.476190476,0.285714286,0.261904762,0.238095238,0.261904762,0.476190476,0.785714286,0.452380952,0.5,0.5,0.523809524,0.285714286,0.19047619,0.214285714,0.380952381,0.30952381,0.666666667,1.357142857,0.452380952,0.5,0.69047619,0.5,0.547619048,0.69047619,0.380952381,1.214285714,0.714285714,1.333333333,2.857142857,1.452380952,1.238095238,1.238095238,1.095238095,1.523809524,28.02380952
0.619047619,0.30952381,0.523809524,0.428571429,0.428571429,0.30952381,0.214285714,0.19047619,0.238095238,0.30952381,0.80952381,0.261904762,0.452380952,0.5,0.476190476,0.214285714,0.261904762,0.238095238,0.30952381,0.261904762,0.404761905,1.357142857,0.428571429,0.333333333,0.357142857,0.285714286,0.357142857,0.523809524,0.261904762,1.19047619,0.476190476,1.333333333,2.476190476,1.023809524,1.523809524,1.523809524,9.095238095,1.523809524,27.78571429
0.642857143,0.333333333,0.285714286,0.428571429,0.428571429,0.261904762,0.238095238,0.238095238,0.19047619,0.30952381,0.69047619,0.357142857,0.285714286,0.404761905,0.428571429,0.214285714,0.214285714,0.19047619,0.166666667,0.357142857,0.357142857,1.476190476,0.261904762,0.285714286,0.452380952,0.30952381,0.380952381,0.404761905,0.166666667,1.404761905,0.452380952,1.333333333,2.333333333,0.952380952,1.238095238,1.238095238,6.904761905,1.523809524,22.64285714
0.714285714,0.333333333,0.5,0.523809524,0.523809524,0.357142857,0.261904762,0.30952381,0.333333333,0.357142857,0.857142857,0.476190476,0.404761905,0.523809524,0.5,0.380952381,0.333333333,0.333333333,0.19047619,0.452380952,0.547619048,1.214285714,0.5,0.30952381,0.547619048,0.5,0.5,0.69047619,0.404761905,1.214285714,0.595238095,1.333333333,2.619047619,1.071428571,1.523809524,1.428571429,1.047619048,1.523809524,44.26190476
0.595238095,0.261904762,0.357142857,0.357142857,0.404761905,0.30952381,0.261904762,0.333333333,0.285714286,0.30952381,0.80952381,0.261904762,0.30952381,0.357142857,0.380952381,0.261904762,0.357142857,0.261904762,0.214285714,0.285714286,0.547619048,1.333333333,0.357142857,0.404761905,0.523809524,0.357142857,0.404761905,0.404761905,0.30952381,1.095238095,0.547619048,1.357142857,2.69047619,0.928571429,1.5,1.214285714,1.452380952,1.5,12.28571429
0.69047619,0.238095238,0.285714286,0.380952381,0.261904762,0.214285714,0.238095238,0.19047619,0.19047619,0.261904762,0.785714286,0.238095238,0.285714286,0.380952381,0.214285714,0.119047619,0.238095238,0.19047619,0.166666667,0.238095238,0.380952381,1.428571429,0.285714286,0.380952381,0.380952381,0.19047619,0.214285714,0.404761905,0.166666667,1.5,0.476190476,1.357142857,2.738095238,1.476190476,1.214285714,1.142857143,1.023809524,1.5,11.02380952
0.595238095,0.357142857,0.428571429,0.571428571,0.452380952,0.357142857,0.357142857,0.333333333,0.333333333,0.595238095,0.666666667,0.476190476,0.428571429,0.523809524,0.357142857,0.333333333,0.261904762,0.30952381,0.30952381,0.428571429,0.595238095,1.166666667,0.547619048,0.380952381,0.595238095,0.523809524,0.5,0.5,0.380952381,0.976190476,0.571428571,1.357142857,2.738095238,0.928571429,1.5,1.214285714,1.119047619,1.5,34.92857143
