NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,EALTR
0.523809524,0.30952381,0.452380952,0.595238095,0.357142857,0.142857143,0.166666667,0.071428571,0.166666667,0.30952381,0.5,0.119047619,0.30952381,0.595238095,0.333333333,0.142857143,0.142857143,0.071428571,0.023809524,0.119047619,0.261904762,0.642857143,0.047619048,0.30952381,0.261904762,0.380952381,0.357142857,0.595238095,0.142857143,0.5,0.5,2.214285714,4.023809524,0.571428571,0.642857143,0.928571429,17.64285714,0.642857143,12.07142857
0.547619048,0.166666667,0.166666667,0.261904762,0.238095238,0.166666667,0.142857143,0.19047619,0.119047619,0.142857143,0.547619048,0.19047619,0.19047619,0.238095238,0.238095238,0.119047619,0.166666667,0.119047619,0.142857143,0.166666667,0.30952381,0.642857143,0.142857143,0.166666667,0.30952381,0.261904762,0.238095238,0.238095238,0.119047619,0.380952381,0.523809524,2.214285714,3.928571429,0.523809524,0.642857143,1,23.69047619,0.642857143,11.45238095
0.69047619,0.166666667,0.261904762,0.357142857,0.238095238,0.095238095,0.023809524,0.142857143,0.023809524,0.095238095,0.5,0.071428571,0.261904762,0.404761905,0.261904762,0.047619048,0.119047619,0.071428571,0.023809524,0.119047619,0.30952381,0.571428571,0.142857143,0.071428571,0.285714286,0.214285714,0.285714286,0.357142857,0.071428571,0.380952381,0.380952381,2.214285714,3.547619048,0.642857143,0.642857143,0.761904762,4.80952381,0.642857143,10.80952381
0.380952381,0.095238095,0.142857143,0.380952381,0.285714286,0.095238095,0.071428571,0.095238095,0.071428571,0.142857143,0.380952381,0.095238095,0.19047619,0.380952381,0.238095238,0.095238095,0.071428571,0.071428571,0.071428571,0.095238095,0.214285714,0.261904762,0.071428571,0.071428571,0.214285714,0.214285714,0.238095238,0.404761905,0.071428571,0.214285714,0.380952381,2.19047619,3,0.666666667,0.666666667,1,23.80952381,0.666666667,12.71428571
0.428571429,0.071428571,0.285714286,0.19047619,0.238095238,0.047619048,0.071428571,0.071428571,0.071428571,0.095238095,0.428571429,0.071428571,0.214285714,0.19047619,0.19047619,0.119047619,0.071428571,0.047619048,0.071428571,0.047619048,0.214285714,0.380952381,0.095238095,0.095238095,0.214285714,0.119047619,0.214285714,0.285714286,0.071428571,0.285714286,0.404761905,2.19047619,2.904761905,1,1,0.666666667,0.666666667,0.666666667,24.52380952
0.428571429,0.119047619,0.380952381,0.285714286,0.357142857,0.119047619,0.071428571,0.095238095,0.071428571,0.119047619,0.547619048,0.142857143,0.333333333,0.30952381,0.333333333,0.095238095,0.119047619,0.071428571,0.095238095,0.119047619,0.380952381,0.261904762,0.071428571,0.142857143,0.261904762,0.238095238,0.238095238,0.285714286,0.119047619,0.30952381,0.428571429,2.19047619,2.857142857,0.666666667,1,0.785714286,3.761904762,0.666666667,11.73809524
0.452380952,0.142857143,0.238095238,0.333333333,0.261904762,0.19047619,0.095238095,0.119047619,0.166666667,0.142857143,0.380952381,0.095238095,0.19047619,0.333333333,0.261904762,0.166666667,0.119047619,0.119047619,0.142857143,0.119047619,0.19047619,0.452380952,0.142857143,0.142857143,0.166666667,0.19047619,0.261904762,0.404761905,0.166666667,0.380952381,0.357142857,2.19047619,3.666666667,0.523809524,0.666666667,0.785714286,10.5952381,0.666666667,17.33333333
0.785714286,0.071428571,0.19047619,0.380952381,0.19047619,0.119047619,0.071428571,0.095238095,0.119047619,0.095238095,0.523809524,0.047619048,0.119047619,0.380952381,0.166666667,0.119047619,0.071428571,0.095238095,0.095238095,0.095238095,0.142857143,0.380952381,0.071428571,0.119047619,0.142857143,0.095238095,0.142857143,0.333333333,0.095238095,0.261904762,0.333333333,2.19047619,2.857142857,0.642857143,0.666666667,0.976190476,25.38095238,0.666666667,12.66666667
0.5,0.142857143,0.261904762,0.333333333,0.285714286,0.238095238,0.095238095,0.095238095,0.142857143,0.19047619,0.523809524,0.142857143,0.285714286,0.333333333,0.357142857,0.119047619,0.071428571,0.095238095,0.095238095,0.142857143,0.261904762,0.404761905,0.095238095,0.142857143,0.261904762,0.30952381,0.333333333,0.404761905,0.119047619,0.357142857,0.404761905,2.166666667,3.071428571,0.5,1.023809524,0.952380952,28.73809524,0.69047619,14.57142857
0.333333333,0.214285714,0.452380952,0.547619048,0.261904762,0.119047619,0.166666667,0.119047619,0.166666667,0.19047619,0.380952381,0.119047619,0.30952381,0.476190476,0.238095238,0.166666667,0.142857143,0.142857143,0.119047619,0.142857143,0.214285714,0.476190476,0.095238095,0.214285714,0.238095238,0.285714286,0.357142857,0.476190476,0.119047619,0.5,0.571428571,2.166666667,3.261904762,0.619047619,1.023809524,0.714285714,27.26190476,0.69047619,14.19047619
0.404761905,0.19047619,0.30952381,0.357142857,0.214285714,0.142857143,0.166666667,0.119047619,0.19047619,0.285714286,0.476190476,0.142857143,0.285714286,0.380952381,0.214285714,0.142857143,0.142857143,0.166666667,0.142857143,0.119047619,0.261904762,0.452380952,0.19047619,0.261904762,0.261904762,0.30952381,0.333333333,0.357142857,0.19047619,0.380952381,0.357142857,2.214285714,2.714285714,0.642857143,0.904761905,0.619047619,3.261904762,0.642857143,19.23809524
0.428571429,0.119047619,0.166666667,0.380952381,0.142857143,0.095238095,0.119047619,0.071428571,0.047619048,0.071428571,0.476190476,0.119047619,0.119047619,0.30952381,0.142857143,0.071428571,0.119047619,0.047619048,0.047619048,0.047619048,0.285714286,0.428571429,0.095238095,0.095238095,0.30952381,0.142857143,0.214285714,0.357142857,0.047619048,0.238095238,0.476190476,2.214285714,2.761904762,0.976190476,0.642857143,0.976190476,23.88095238,0.642857143,14.78571429
0.976190476,0.047619048,0.357142857,0.404761905,0.30952381,0.166666667,0.119047619,0.166666667,0.071428571,0.095238095,0.666666667,0.142857143,0.285714286,0.404761905,0.357142857,0.095238095,0.071428571,0.19047619,0.023809524,0.142857143,0.166666667,0.357142857,0.119047619,0.119047619,0.166666667,0.214285714,0.214285714,0.357142857,0.095238095,0.357142857,0.428571429,2.214285714,3.19047619,0.476190476,0.642857143,0.666666667,25.78571429,0.642857143,16.19047619
0.380952381,0.166666667,0.142857143,0.285714286,0.19047619,0.095238095,0.071428571,0.071428571,0.095238095,0.119047619,0.404761905,0.119047619,0.095238095,0.285714286,0.19047619,0.095238095,0.095238095,0.071428571,0.095238095,0.095238095,0.261904762,0.428571429,0.166666667,0.166666667,0.285714286,0.261904762,0.238095238,0.357142857,0.119047619,0.380952381,0.452380952,2.19047619,3.095238095,0.476190476,1,0.738095238,30.0952381,0.666666667,16.64285714
0.476190476,0.119047619,0.333333333,0.285714286,0.404761905,0.071428571,0.095238095,0.071428571,0.095238095,0.119047619,0.5,0.119047619,0.285714286,0.238095238,0.404761905,0.047619048,0.071428571,0.047619048,0.095238095,0.119047619,0.214285714,0.261904762,0.095238095,0.119047619,0.238095238,0.214285714,0.285714286,0.404761905,0.119047619,0.261904762,0.404761905,2.19047619,3.071428571,0.595238095,0.666666667,0.666666667,24.57142857,0.666666667,13.80952381
0.5,0.047619048,0.285714286,0.404761905,0.214285714,0.095238095,0.047619048,0.071428571,0.023809524,0.047619048,0.547619048,0.047619048,0.214285714,0.404761905,0.19047619,0.071428571,0.071428571,0.071428571,0.023809524,0.047619048,0.261904762,0.404761905,0.071428571,0.047619048,0.261904762,0.261904762,0.238095238,0.333333333,0.023809524,0.404761905,0.380952381,2.19047619,2.785714286,1,1,0.666666667,23.52380952,0.666666667,14.14285714
0.285714286,0.119047619,0.238095238,0.30952381,0.238095238,0.095238095,0.119047619,0.142857143,0.119047619,0.142857143,0.30952381,0.095238095,0.261904762,0.261904762,0.238095238,0.119047619,0.095238095,0.095238095,0.119047619,0.119047619,0.166666667,0.261904762,0.095238095,0.095238095,0.166666667,0.166666667,0.261904762,0.357142857,0.142857143,0.333333333,0.404761905,2.19047619,3.261904762,0.571428571,1,0.904761905,22.28571429,0.666666667,11.66666667
0.380952381,0.095238095,0.285714286,0.404761905,0.261904762,0.071428571,0.047619048,0.047619048,0.071428571,0.095238095,0.404761905,0.047619048,0.238095238,0.428571429,0.285714286,0.047619048,0.095238095,0.071428571,0.071428571,0.047619048,0.214285714,0.261904762,0.071428571,0.119047619,0.214285714,0.214285714,0.261904762,0.404761905,0.095238095,0.285714286,0.476190476,2.19047619,2.714285714,0.976190476,1,0.976190476,18.85714286,0.666666667,15.33333333
0.666666667,0.19047619,0.357142857,0.333333333,0.285714286,0.142857143,0.119047619,0.095238095,0.119047619,0.19047619,0.452380952,0.166666667,0.285714286,0.333333333,0.285714286,0.119047619,0.071428571,0.119047619,0.071428571,0.238095238,0.238095238,0.476190476,0.071428571,0.119047619,0.238095238,0.238095238,0.285714286,0.380952381,0.119047619,0.357142857,0.428571429,2.166666667,4.476190476,0.833333333,0.69047619,0.69047619,0.69047619,0.69047619,12.71428571
0.5,0.238095238,0.404761905,0.523809524,0.357142857,0.261904762,0.19047619,0.238095238,0.214285714,0.238095238,0.452380952,0.285714286,0.428571429,0.476190476,0.357142857,0.238095238,0.166666667,0.19047619,0.214285714,0.30952381,0.285714286,0.666666667,0.166666667,0.380952381,0.30952381,0.333333333,0.357142857,0.571428571,0.214285714,0.523809524,0.5,2.166666667,4.904761905,0.5,0.69047619,0.619047619,4.095238095,0.69047619,16.80952381
0.69047619,0.166666667,0.357142857,0.523809524,0.30952381,0.214285714,0.142857143,0.142857143,0.166666667,0.119047619,0.428571429,0.119047619,0.30952381,0.476190476,0.238095238,0.095238095,0.119047619,0.166666667,0.119047619,0.095238095,0.166666667,0.380952381,0.142857143,0.166666667,0.19047619,0.214285714,0.238095238,0.380952381,0.19047619,0.30952381,0.452380952,2.214285714,2.976190476,0.595238095,0.976190476,0.642857143,29.71428571,0.642857143,13.83333333
0.80952381,0.166666667,0.261904762,0.333333333,0.214285714,0.166666667,0.095238095,0.095238095,0.166666667,0.166666667,0.80952381,0.142857143,0.261904762,0.285714286,0.214285714,0.095238095,0.095238095,0.071428571,0.095238095,0.142857143,0.30952381,0.404761905,0.119047619,0.214285714,0.30952381,0.333333333,0.380952381,0.357142857,0.142857143,0.404761905,0.380952381,2.214285714,3.452380952,0.476190476,0.642857143,0.666666667,24.45238095,0.642857143,12.83333333
0.404761905,0.166666667,0.357142857,0.30952381,0.261904762,0.166666667,0.095238095,0.095238095,0.119047619,0.166666667,0.333333333,0.119047619,0.238095238,0.30952381,0.261904762,0.166666667,0.095238095,0.071428571,0.071428571,0.142857143,0.214285714,0.452380952,0.119047619,0.071428571,0.238095238,0.238095238,0.19047619,0.261904762,0.095238095,0.333333333,0.380952381,2.214285714,3.19047619,0.476190476,0.642857143,0.857142857,5.5,0.642857143,15.76190476
0.952380952,0.166666667,0.285714286,0.428571429,0.214285714,0.071428571,0.047619048,0.095238095,0.047619048,0.19047619,0.69047619,0.166666667,0.30952381,0.404761905,0.19047619,0.071428571,0.047619048,0.023809524,0.023809524,0.142857143,0.285714286,0.30952381,0.023809524,0.142857143,0.285714286,0.238095238,0.261904762,0.452380952,0.047619048,0.30952381,0.5,2.19047619,3.380952381,0.5,0.666666667,0.904761905,30.52380952,0.666666667,25.07142857
0.5,0.095238095,0.285714286,0.333333333,0.285714286,0.095238095,0.071428571,0.071428571,0.047619048,0.095238095,0.5,0.071428571,0.19047619,0.333333333,0.261904762,0.071428571,0.071428571,0.047619048,0.071428571,0.071428571,0.214285714,0.5,0.071428571,0.071428571,0.238095238,0.238095238,0.30952381,0.357142857,0.071428571,0.452380952,0.380952381,2.19047619,3.80952381,0.452380952,1,0.738095238,23.47619048,0.666666667,16.73809524
0.547619048,0.261904762,0.380952381,0.523809524,0.357142857,0.261904762,0.214285714,0.238095238,0.214285714,0.261904762,0.595238095,0.214285714,0.404761905,0.523809524,0.380952381,0.261904762,0.238095238,0.214285714,0.214285714,0.19047619,0.285714286,0.5,0.214285714,0.333333333,0.285714286,0.333333333,0.404761905,0.476190476,0.238095238,0.428571429,0.523809524,2.19047619,4.666666667,0.666666667,1,1,3.880952381,0.666666667,13.85714286
0.404761905,0.214285714,0.238095238,0.30952381,0.285714286,0.095238095,0.047619048,0.071428571,0.142857143,0.166666667,0.404761905,0.047619048,0.19047619,0.238095238,0.285714286,0.071428571,0.047619048,0.047619048,0.047619048,0.047619048,0.166666667,0.261904762,0.071428571,0.166666667,0.166666667,0.166666667,0.095238095,0.357142857,0.095238095,0.214285714,0.452380952,2.19047619,2.523809524,0.666666667,0.666666667,1.023809524,20.38095238,0.666666667,11.9047619
0.285714286,0.19047619,0.238095238,0.333333333,0.071428571,0.047619048,0.095238095,0.095238095,0.119047619,0.166666667,0.333333333,0.119047619,0.166666667,0.261904762,0.071428571,0.119047619,0.119047619,0.119047619,0.119047619,0.166666667,0.19047619,0.452380952,0.119047619,0.119047619,0.214285714,0.238095238,0.214285714,0.333333333,0.142857143,0.404761905,0.357142857,2.19047619,3.119047619,0.666666667,0.666666667,1,21.71428571,0.666666667,13.14285714
0.380952381,0.095238095,0.261904762,0.452380952,0.30952381,0.238095238,0.071428571,0.095238095,0.095238095,0.095238095,0.333333333,0.071428571,0.261904762,0.452380952,0.357142857,0.166666667,0.071428571,0.095238095,0.095238095,0.071428571,0.214285714,0.428571429,0.142857143,0.047619048,0.214285714,0.285714286,0.30952381,0.452380952,0.095238095,0.285714286,0.428571429,2.166666667,3,0.523809524,0.69047619,1.023809524,0.69047619,0.69047619,14.92857143
0.5,0.261904762,0.30952381,0.238095238,0.333333333,0.142857143,0.071428571,0.095238095,0.119047619,0.214285714,0.595238095,0.119047619,0.285714286,0.285714286,0.30952381,0.119047619,0.071428571,0.095238095,0.095238095,0.119047619,0.261904762,0.5,0.166666667,0.19047619,0.30952381,0.214285714,0.238095238,0.380952381,0.119047619,0.30952381,0.404761905,2.166666667,3.119047619,1.023809524,0.69047619,1,22.69047619,0.69047619,43.07142857
0.285714286,0.047619048,0.214285714,0.333333333,0.214285714,0.071428571,0.071428571,0.047619048,0.047619048,0.047619048,0.380952381,0.095238095,0.19047619,0.30952381,0.238095238,0.047619048,0.047619048,0.023809524,0.047619048,0.119047619,0.19047619,0.238095238,0.047619048,0.119047619,0.19047619,0.214285714,0.261904762,0.404761905,0.095238095,0.261904762,0.333333333,2.214285714,2.785714286,0.976190476,0.976190476,0.642857143,22.88095238,0.642857143,20.21428571
0.476190476,0.119047619,0.214285714,0.404761905,0.261904762,0.119047619,0.047619048,0.071428571,0.047619048,0.119047619,0.476190476,0.119047619,0.214285714,0.333333333,0.261904762,0.071428571,0.047619048,0.047619048,0.047619048,0.119047619,0.238095238,0.428571429,0.071428571,0.142857143,0.238095238,0.19047619,0.261904762,0.357142857,0.071428571,0.333333333,0.428571429,2.214285714,3.428571429,0.976190476,0.642857143,0.857142857,22.78571429,0.642857143,12.28571429
0.571428571,0.214285714,0.30952381,0.357142857,0.166666667,0.214285714,0.119047619,0.214285714,0.142857143,0.166666667,0.547619048,0.142857143,0.214285714,0.404761905,0.166666667,0.214285714,0.119047619,0.142857143,0.142857143,0.119047619,0.261904762,0.595238095,0.166666667,0.214285714,0.261904762,0.285714286,0.261904762,0.380952381,0.119047619,0.5,0.428571429,2.214285714,3.333333333,0.404761905,0.976190476,0.976190476,35.21428571,0.642857143,15.47619048
0.785714286,0.095238095,0.428571429,0.380952381,0.476190476,0.095238095,0.071428571,0,0.071428571,0.166666667,0.476190476,0.142857143,0.404761905,0.380952381,0.5,0.071428571,0.095238095,0.047619048,0.071428571,0.071428571,0.214285714,0.523809524,0.047619048,0.071428571,0.238095238,0.285714286,0.333333333,0.357142857,0.071428571,0.404761905,0.5,2.19047619,3.047619048,0.619047619,1,1,26.21428571,0.666666667,12.02380952
0.595238095,0.285714286,0.285714286,0.333333333,0.214285714,0.142857143,0.261904762,0.238095238,0.261904762,0.285714286,0.476190476,0.261904762,0.261904762,0.30952381,0.19047619,0.214285714,0.166666667,0.238095238,0.214285714,0.333333333,0.214285714,0.452380952,0.238095238,0.238095238,0.214285714,0.214285714,0.238095238,0.30952381,0.238095238,0.404761905,0.404761905,2.19047619,3.428571429,0.547619048,1,1.023809524,24.57142857,0.666666667,18.83333333
