NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,EALTR
0.857142857,0.261904762,0.547619048,0.452380952,0.571428571,0.285714286,0.261904762,0.30952381,0.238095238,0.357142857,0.857142857,0.380952381,0.523809524,0.428571429,0.523809524,0.30952381,0.19047619,0.285714286,0.333333333,0.404761905,0.619047619,0.857142857,0.404761905,0.452380952,0.642857143,0.523809524,0.547619048,0.547619048,0.238095238,0.547619048,0.738095238,1.404761905,2.69047619,1.023809524,1.214285714,1.238095238,1.428571429,1.452380952,10.45238095
0.5,0.238095238,0.285714286,0.428571429,0.30952381,0.261904762,0.357142857,0.238095238,0.238095238,0.19047619,0.523809524,0.285714286,0.285714286,0.428571429,0.238095238,0.238095238,0.238095238,0.238095238,0.19047619,0.238095238,0.428571429,1.142857143,0.333333333,0.238095238,0.380952381,0.261904762,0.357142857,0.452380952,0.214285714,1.023809524,0.404761905,1.404761905,2.69047619,0.904761905,1.452380952,1.261904762,1.214285714,1.452380952,24.21428571
0.5,0.238095238,0.428571429,0.476190476,0.380952381,0.214285714,0.214285714,0.166666667,0.238095238,0.238095238,0.523809524,0.333333333,0.285714286,0.5,0.30952381,0.214285714,0.19047619,0.19047619,0.119047619,0.238095238,0.380952381,0.976190476,0.333333333,0.30952381,0.404761905,0.285714286,0.333333333,0.404761905,0.19047619,0.785714286,0.404761905,1.404761905,2.857142857,0.952380952,1.452380952,1.357142857,3.119047619,1.452380952,18.92857143
0.785714286,0.452380952,0.404761905,0.404761905,0.357142857,0.214285714,0.333333333,0.285714286,0.285714286,0.5,0.761904762,0.476190476,0.333333333,0.404761905,0.404761905,0.285714286,0.30952381,0.261904762,0.428571429,0.5,0.642857143,1,0.571428571,0.428571429,0.571428571,0.476190476,0.476190476,0.5,0.380952381,0.952380952,0.619047619,1.404761905,2.5,1.19047619,1.261904762,1.523809524,1.095238095,1.5,25.04761905
0.761904762,0.476190476,0.547619048,0.642857143,0.547619048,0.404761905,0.380952381,0.428571429,0.30952381,0.547619048,0.761904762,0.595238095,0.523809524,0.595238095,0.642857143,0.380952381,0.404761905,0.428571429,0.380952381,0.523809524,0.595238095,0.904761905,0.476190476,0.380952381,0.69047619,0.619047619,0.642857143,0.761904762,0.357142857,0.880952381,0.738095238,1.357142857,2.666666667,1.119047619,1.238095238,1.69047619,1.238095238,1.523809524,43.04761905
0.69047619,0.333333333,0.452380952,0.333333333,0.404761905,0.333333333,0.261904762,0.238095238,0.285714286,0.404761905,0.69047619,0.404761905,0.30952381,0.380952381,0.261904762,0.261904762,0.285714286,0.285714286,0.285714286,0.357142857,0.357142857,0.928571429,0.452380952,0.380952381,0.476190476,0.261904762,0.261904762,0.404761905,0.333333333,0.738095238,0.476190476,1.333333333,2.952380952,1.428571429,1.238095238,1.238095238,1.523809524,1.523809524,23.97619048
0.571428571,0.428571429,0.428571429,0.5,0.428571429,0.261904762,0.285714286,0.30952381,0.261904762,0.357142857,0.714285714,0.333333333,0.333333333,0.619047619,0.357142857,0.261904762,0.261904762,0.285714286,0.285714286,0.357142857,0.476190476,1.142857143,0.357142857,0.333333333,0.452380952,0.404761905,0.357142857,0.571428571,0.285714286,0.785714286,0.547619048,1.333333333,3.023809524,1.119047619,1.238095238,1.214285714,3.19047619,1.523809524,33.57142857
0.642857143,0.261904762,0.357142857,0.476190476,0.333333333,0.214285714,0.238095238,0.166666667,0.214285714,0.30952381,0.714285714,0.5,0.30952381,0.5,0.285714286,0.19047619,0.19047619,0.19047619,0.19047619,0.404761905,0.5,0.928571429,0.214285714,0.452380952,0.428571429,0.380952381,0.404761905,0.476190476,0.166666667,0.785714286,0.452380952,1.333333333,2.928571429,0.976190476,1.238095238,1.428571429,1.071428571,1.523809524,21.04761905
0.595238095,0.476190476,0.333333333,0.476190476,0.428571429,0.285714286,0.30952381,0.285714286,0.285714286,0.523809524,0.523809524,0.547619048,0.404761905,0.5,0.5,0.214285714,0.285714286,0.238095238,0.357142857,0.595238095,0.547619048,1,0.476190476,0.357142857,0.547619048,0.357142857,0.5,0.523809524,0.380952381,0.69047619,0.547619048,1.333333333,2.428571429,1,1.238095238,1.404761905,3.214285714,1.523809524,15.47619048
0.80952381,0.166666667,0.523809524,0.595238095,0.5,0.380952381,0.30952381,0.30952381,0.261904762,0.285714286,0.928571429,0.404761905,0.428571429,0.523809524,0.428571429,0.333333333,0.285714286,0.333333333,0.357142857,0.357142857,0.476190476,0.952380952,0.357142857,0.380952381,0.547619048,0.523809524,0.476190476,0.571428571,0.238095238,0.928571429,0.595238095,1.333333333,2.69047619,1.071428571,1.238095238,1.523809524,1.166666667,1.523809524,26.61904762
0.738095238,0.380952381,0.452380952,0.5,0.452380952,0.285714286,0.238095238,0.261904762,0.19047619,0.476190476,0.642857143,0.285714286,0.428571429,0.5,0.404761905,0.285714286,0.285714286,0.19047619,0.285714286,0.238095238,0.476190476,1.047619048,0.380952381,0.285714286,0.476190476,0.333333333,0.428571429,0.5,0.261904762,0.761904762,0.571428571,1.333333333,2.761904762,1.428571429,1.214285714,1.380952381,1.166666667,1.452380952,45.61904762
0.642857143,0.30952381,0.5,0.5,0.452380952,0.357142857,0.30952381,0.285714286,0.333333333,0.261904762,0.738095238,0.380952381,0.285714286,0.5,0.380952381,0.261904762,0.261904762,0.261904762,0.333333333,0.333333333,0.452380952,0.857142857,0.285714286,0.380952381,0.476190476,0.30952381,0.452380952,0.476190476,0.261904762,0.666666667,0.452380952,1.404761905,2.80952381,1.238095238,1.214285714,1.214285714,1.095238095,1.452380952,37.5952381
0.619047619,0.476190476,0.476190476,0.523809524,0.404761905,0.30952381,0.285714286,0.30952381,0.19047619,0.285714286,0.642857143,0.285714286,0.333333333,0.428571429,0.30952381,0.261904762,0.30952381,0.19047619,0.261904762,0.285714286,0.5,0.904761905,0.452380952,0.428571429,0.547619048,0.285714286,0.380952381,0.523809524,0.30952381,0.785714286,0.619047619,1.404761905,2.642857143,0.952380952,1.452380952,1.142857143,0.976190476,1.452380952,23.64285714
0.642857143,0.333333333,0.238095238,0.238095238,0.30952381,0.19047619,0.238095238,0.166666667,0.119047619,0.333333333,0.595238095,0.380952381,0.238095238,0.261904762,0.285714286,0.19047619,0.19047619,0.166666667,0.214285714,0.333333333,0.333333333,0.904761905,0.238095238,0.19047619,0.357142857,0.30952381,0.285714286,0.380952381,0.19047619,0.571428571,0.452380952,1.404761905,3.047619048,1.166666667,1.261904762,1.261904762,1.047619048,1.5,36.88095238
0.452380952,0.5,0.357142857,0.476190476,0.261904762,0.285714286,0.285714286,0.333333333,0.214285714,0.5,0.666666667,0.404761905,0.285714286,0.476190476,0.30952381,0.285714286,0.238095238,0.333333333,0.357142857,0.5,0.404761905,1.261904762,0.404761905,0.428571429,0.357142857,0.380952381,0.428571429,0.476190476,0.333333333,0.928571429,0.380952381,1.357142857,2.380952381,1.047619048,1.238095238,1.5,1.142857143,1.523809524,34.30952381
0.761904762,0.476190476,0.571428571,0.476190476,0.595238095,0.238095238,0.333333333,0.214285714,0.261904762,0.357142857,0.666666667,0.357142857,0.547619048,0.5,0.547619048,0.238095238,0.261904762,0.285714286,0.285714286,0.428571429,0.595238095,1,0.571428571,0.30952381,0.666666667,0.523809524,0.547619048,0.523809524,0.404761905,0.738095238,0.714285714,1.333333333,2.285714286,1.238095238,1.238095238,1.285714286,3.166666667,1.523809524,22.57142857
0.738095238,0.5,0.452380952,0.761904762,0.428571429,0.261904762,0.30952381,0.285714286,0.333333333,0.5,0.642857143,0.476190476,0.476190476,0.738095238,0.357142857,0.333333333,0.357142857,0.238095238,0.404761905,0.452380952,0.547619048,0.952380952,0.380952381,0.380952381,0.547619048,0.428571429,0.476190476,0.595238095,0.333333333,1,0.619047619,1.333333333,2.761904762,1.047619048,1.523809524,1.523809524,4,1.523809524,11.21428571
0.761904762,0.452380952,0.380952381,0.333333333,0.476190476,0.404761905,0.261904762,0.30952381,0.333333333,0.428571429,0.642857143,0.357142857,0.404761905,0.380952381,0.404761905,0.404761905,0.333333333,0.380952381,0.30952381,0.357142857,0.595238095,1.071428571,0.428571429,0.380952381,0.547619048,0.428571429,0.476190476,0.476190476,0.285714286,0.904761905,0.595238095,1.333333333,3.261904762,1.095238095,1.523809524,1.380952381,1.5,1.523809524,12.4047619
0.785714286,0.380952381,0.571428571,0.428571429,0.476190476,0.333333333,0.30952381,0.285714286,0.30952381,0.333333333,0.857142857,0.357142857,0.452380952,0.571428571,0.547619048,0.285714286,0.333333333,0.357142857,0.333333333,0.428571429,0.5,1.119047619,0.5,0.5,0.523809524,0.476190476,0.523809524,0.619047619,0.333333333,0.833333333,0.619047619,1.333333333,2.285714286,1.023809524,1.238095238,1.523809524,1.238095238,1.523809524,16.57142857
0.476190476,0.30952381,0.357142857,0.476190476,0.428571429,0.214285714,0.19047619,0.261904762,0.238095238,0.333333333,0.571428571,0.428571429,0.30952381,0.428571429,0.380952381,0.166666667,0.19047619,0.214285714,0.19047619,0.5,0.571428571,1.142857143,0.30952381,0.357142857,0.595238095,0.404761905,0.452380952,0.571428571,0.285714286,1.071428571,0.523809524,1.333333333,3.095238095,0.976190476,1.238095238,1.166666667,2.952380952,1.523809524,33.4047619
0.571428571,0.333333333,0.285714286,0.285714286,0.333333333,0.333333333,0.30952381,0.261904762,0.333333333,0.404761905,0.666666667,0.404761905,0.238095238,0.285714286,0.30952381,0.238095238,0.238095238,0.285714286,0.261904762,0.357142857,0.5,0.952380952,0.404761905,0.357142857,0.476190476,0.404761905,0.333333333,0.428571429,0.214285714,0.738095238,0.452380952,1.333333333,2.785714286,1.119047619,1.452380952,1.142857143,3.952380952,1.452380952,30.21428571
0.523809524,0.333333333,0.333333333,0.523809524,0.30952381,0.238095238,0.261904762,0.261904762,0.166666667,0.357142857,0.452380952,0.357142857,0.285714286,0.523809524,0.30952381,0.214285714,0.261904762,0.238095238,0.238095238,0.357142857,0.476190476,1.071428571,0.380952381,0.238095238,0.428571429,0.333333333,0.404761905,0.571428571,0.238095238,0.857142857,0.5,1.404761905,2.547619048,1.119047619,1.214285714,1.261904762,3.30952381,1.452380952,17.38095238
0.714285714,0.333333333,0.547619048,0.428571429,0.523809524,0.285714286,0.285714286,0.261904762,0.19047619,0.30952381,0.857142857,0.30952381,0.476190476,0.523809524,0.523809524,0.19047619,0.19047619,0.214285714,0.285714286,0.30952381,0.595238095,1.238095238,0.380952381,0.452380952,0.595238095,0.428571429,0.476190476,0.523809524,0.261904762,1.023809524,0.666666667,1.404761905,3.119047619,1.357142857,1.452380952,1.119047619,0.952380952,1.452380952,25.85714286
1,0.476190476,0.523809524,0.5,0.666666667,0.380952381,0.380952381,0.333333333,0.452380952,0.452380952,0.571428571,0.547619048,0.547619048,0.666666667,0.595238095,0.428571429,0.428571429,0.404761905,0.476190476,0.476190476,0.642857143,1.142857143,0.547619048,0.547619048,0.642857143,0.523809524,0.476190476,0.595238095,0.452380952,1,0.761904762,1.404761905,2.619047619,1.071428571,1.261904762,1.261904762,3.023809524,1.5,45.02380952
0.619047619,0.476190476,0.404761905,0.452380952,0.428571429,0.357142857,0.285714286,0.357142857,0.357142857,0.404761905,0.666666667,0.547619048,0.30952381,0.404761905,0.428571429,0.333333333,0.285714286,0.285714286,0.285714286,0.547619048,0.404761905,0.976190476,0.261904762,0.357142857,0.380952381,0.285714286,0.30952381,0.452380952,0.285714286,0.80952381,0.404761905,1.357142857,3.642857143,1.19047619,1.523809524,1.452380952,1.095238095,1.523809524,12.78571429
0.642857143,0.357142857,0.5,0.571428571,0.571428571,0.380952381,0.404761905,0.404761905,0.357142857,0.428571429,0.80952381,0.595238095,0.642857143,0.571428571,0.476190476,0.357142857,0.380952381,0.357142857,0.333333333,0.666666667,0.571428571,0.833333333,0.452380952,0.476190476,0.571428571,0.476190476,0.523809524,0.571428571,0.380952381,0.833333333,0.619047619,1.333333333,2.595238095,1.261904762,1.523809524,1.476190476,1.5,1.523809524,18
0.571428571,0.333333333,0.380952381,0.476190476,0.333333333,0.285714286,0.238095238,0.261904762,0.214285714,0.333333333,0.80952381,0.30952381,0.238095238,0.476190476,0.404761905,0.19047619,0.261904762,0.238095238,0.214285714,0.285714286,0.380952381,0.857142857,0.404761905,0.428571429,0.452380952,0.380952381,0.357142857,0.571428571,0.357142857,0.666666667,0.547619048,1.333333333,2.69047619,1.333333333,1.238095238,1.404761905,0.928571429,1.523809524,13.11904762
0.619047619,0.285714286,0.404761905,0.5,0.428571429,0.238095238,0.214285714,0.166666667,0.238095238,0.357142857,0.571428571,0.452380952,0.404761905,0.5,0.5,0.214285714,0.166666667,0.166666667,0.238095238,0.285714286,0.642857143,1.023809524,0.5,0.619047619,0.571428571,0.428571429,0.476190476,0.619047619,0.285714286,0.69047619,0.642857143,1.333333333,2.714285714,1.071428571,1.238095238,1.523809524,0.904761905,1.523809524,41.14285714
0.547619048,0.30952381,0.261904762,0.571428571,0.238095238,0.166666667,0.214285714,0.166666667,0.142857143,0.261904762,0.666666667,0.380952381,0.214285714,0.5,0.166666667,0.166666667,0.166666667,0.142857143,0.142857143,0.428571429,0.523809524,0.952380952,0.428571429,0.357142857,0.428571429,0.380952381,0.452380952,0.523809524,0.214285714,0.642857143,0.428571429,1.333333333,2.5,0.928571429,1.238095238,1.547619048,2.523809524,1.523809524,10.5
0.738095238,0.452380952,0.452380952,0.5,0.428571429,0.380952381,0.238095238,0.285714286,0.285714286,0.476190476,0.928571429,0.357142857,0.404761905,0.547619048,0.357142857,0.357142857,0.261904762,0.333333333,0.30952381,0.452380952,0.428571429,1.071428571,0.380952381,0.452380952,0.523809524,0.428571429,0.452380952,0.595238095,0.333333333,0.928571429,0.523809524,1.333333333,2.357142857,1.30952381,1.238095238,1.214285714,1.238095238,1.523809524,24.5
0.547619048,0.404761905,0.357142857,0.404761905,0.476190476,0.261904762,0.238095238,0.214285714,0.214285714,0.404761905,0.523809524,0.357142857,0.333333333,0.452380952,0.357142857,0.19047619,0.285714286,0.166666667,0.238095238,0.285714286,0.5,1.19047619,0.404761905,0.428571429,0.547619048,0.333333333,0.452380952,0.523809524,0.214285714,0.857142857,0.642857143,1.333333333,2.69047619,1.047619048,1.214285714,1.476190476,4.071428571,1.452380952,16.66666667
0.595238095,0.285714286,0.571428571,0.666666667,0.5,0.357142857,0.238095238,0.30952381,0.30952381,0.285714286,0.738095238,0.595238095,0.404761905,0.619047619,0.571428571,0.30952381,0.238095238,0.30952381,0.285714286,0.5,0.523809524,0.928571429,0.404761905,0.452380952,0.5,0.452380952,0.452380952,0.642857143,0.357142857,0.714285714,0.547619048,1.404761905,2.547619048,1.047619048,1.30952381,1.214285714,0.976190476,1.452380952,29.11904762
0.666666667,0.357142857,0.428571429,0.404761905,0.476190476,0.30952381,0.285714286,0.238095238,0.30952381,0.357142857,0.857142857,0.476190476,0.428571429,0.428571429,0.404761905,0.214285714,0.238095238,0.30952381,0.30952381,0.357142857,0.619047619,0.761904762,0.5,0.214285714,0.642857143,0.452380952,0.523809524,0.404761905,0.30952381,0.69047619,0.642857143,1.404761905,2.928571429,1.095238095,1.214285714,1.166666667,3.238095238,1.452380952,34.45238095
0.738095238,0.404761905,0.523809524,0.357142857,0.428571429,0.333333333,0.30952381,0.30952381,0.285714286,0.357142857,0.761904762,0.380952381,0.476190476,0.428571429,0.523809524,0.333333333,0.380952381,0.380952381,0.404761905,0.5,0.523809524,1.214285714,0.428571429,0.428571429,0.5,0.357142857,0.523809524,0.523809524,0.357142857,1,0.642857143,1.404761905,2.428571429,1.071428571,1.5,1.452380952,1,1.5,20.11904762
0.904761905,0.452380952,0.428571429,0.452380952,0.428571429,0.380952381,0.380952381,0.333333333,0.380952381,0.476190476,0.642857143,0.428571429,0.357142857,0.452380952,0.357142857,0.380952381,0.333333333,0.357142857,0.428571429,0.523809524,0.571428571,1.142857143,0.595238095,0.547619048,0.595238095,0.523809524,0.5,0.642857143,0.404761905,0.880952381,0.619047619,1.357142857,3.333333333,1.238095238,1.523809524,1.595238095,1.119047619,1.523809524,26.23809524
