NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,EALTR
1.047619048,0.166666667,0.214285714,0.357142857,0.166666667,0.071428571,0.142857143,0.071428571,0.119047619,0.238095238,0.738095238,0.119047619,0.166666667,0.357142857,0.214285714,0.119047619,0.166666667,0.071428571,0.095238095,0.095238095,0.214285714,0.380952381,0.142857143,0.214285714,0.214285714,0.214285714,0.238095238,0.357142857,0.119047619,0.333333333,0.19047619,2.119047619,4.19047619,0.69047619,0.738095238,1.023809524,11.28571429,0.738095238,14.78571429
0.880952381,0.095238095,0.142857143,0.30952381,0.19047619,0.095238095,0.095238095,0.142857143,0.095238095,0.142857143,0.666666667,0.071428571,0.142857143,0.261904762,0.19047619,0.095238095,0.095238095,0.095238095,0.095238095,0.071428571,0.238095238,0.357142857,0.119047619,0.047619048,0.238095238,0.261904762,0.19047619,0.30952381,0.119047619,0.261904762,0.285714286,2.119047619,4.357142857,0.5,0.738095238,0.952380952,16.71428571,0.738095238,57.95238095
0.642857143,0.142857143,0.142857143,0.357142857,0.142857143,0.071428571,0.142857143,0.095238095,0.119047619,0.119047619,0.333333333,0.095238095,0.214285714,0.357142857,0.119047619,0.095238095,0.166666667,0.071428571,0.095238095,0.119047619,0.238095238,0.30952381,0.119047619,0.095238095,0.238095238,0.214285714,0.19047619,0.428571429,0.119047619,0.285714286,0.261904762,2.119047619,4.333333333,1.023809524,0.738095238,0.880952381,3.30952381,0.738095238,29.57142857
0.571428571,0.19047619,0.166666667,0.261904762,0.142857143,0.119047619,0.119047619,0.119047619,0.166666667,0.214285714,0.714285714,0.119047619,0.142857143,0.214285714,0.166666667,0.119047619,0.119047619,0.119047619,0.071428571,0.142857143,0.285714286,0.404761905,0.142857143,0.166666667,0.285714286,0.261904762,0.261904762,0.30952381,0.142857143,0.30952381,0.357142857,2.119047619,4.619047619,0.571428571,0.738095238,0.738095238,1.928571429,0.738095238,8.666666667
0.619047619,0.023809524,0.166666667,0.238095238,0.095238095,0.023809524,0.023809524,0.023809524,0.023809524,0.047619048,0.523809524,0.023809524,0.095238095,0.238095238,0.071428571,0.023809524,0.023809524,0.023809524,0.023809524,0,0.119047619,0.19047619,0.047619048,0.023809524,0.119047619,0.119047619,0.119047619,0.261904762,0.071428571,0.095238095,0.166666667,2.142857143,3.595238095,0.642857143,0.714285714,1,11.23809524,0.714285714,32.57142857
0.857142857,0.261904762,0.19047619,0.452380952,0.119047619,0.142857143,0.119047619,0.142857143,0.19047619,0.238095238,0.666666667,0.142857143,0.142857143,0.452380952,0.166666667,0.142857143,0.119047619,0.095238095,0.142857143,0.166666667,0.214285714,0.238095238,0.166666667,0.238095238,0.214285714,0.214285714,0.238095238,0.357142857,0.119047619,0.30952381,0.30952381,2.142857143,4.30952381,0.714285714,1.047619048,0.666666667,16.52380952,0.714285714,32.28571429
0.69047619,0.071428571,0.19047619,0.333333333,0.119047619,0.047619048,0.023809524,0.047619048,0.047619048,0.071428571,0.69047619,0.095238095,0.095238095,0.285714286,0.119047619,0.023809524,0.047619048,0.023809524,0.047619048,0.071428571,0.142857143,0.285714286,0.047619048,0.119047619,0.214285714,0.166666667,0.19047619,0.333333333,0.023809524,0.30952381,0.261904762,2.142857143,4.047619048,0.595238095,0.714285714,0.80952381,12.5952381,0.714285714,28.69047619
0.69047619,0.166666667,0.19047619,0.476190476,0.166666667,0.119047619,0.047619048,0.095238095,0.119047619,0.19047619,0.523809524,0.095238095,0.119047619,0.428571429,0.166666667,0.095238095,0.071428571,0.071428571,0.047619048,0.047619048,0.261904762,0.380952381,0.095238095,0.119047619,0.285714286,0.285714286,0.238095238,0.404761905,0.166666667,0.333333333,0.285714286,2.142857143,4.785714286,0.476190476,0.714285714,0.928571429,2.214285714,0.714285714,20.9047619
0.976190476,0.142857143,0.166666667,0.285714286,0.166666667,0.071428571,0,0.071428571,0.023809524,0.119047619,0.714285714,0.119047619,0.142857143,0.285714286,0.119047619,0.071428571,0.071428571,0.071428571,0.047619048,0.119047619,0.142857143,0.357142857,0.047619048,0.095238095,0.119047619,0.142857143,0.214285714,0.238095238,0.071428571,0.214285714,0.238095238,2.142857143,4.404761905,0.452380952,0.714285714,0.785714286,15.83333333,0.714285714,45.42857143
0.595238095,0.19047619,0.166666667,0.30952381,0.166666667,0.19047619,0.214285714,0.19047619,0.238095238,0.285714286,0.666666667,0.261904762,0.166666667,0.357142857,0.119047619,0.166666667,0.19047619,0.19047619,0.238095238,0.238095238,0.261904762,0.404761905,0.214285714,0.214285714,0.285714286,0.30952381,0.30952381,0.30952381,0.166666667,0.333333333,0.285714286,2.166666667,5.761904762,0.476190476,0.69047619,0.880952381,14.42857143,0.69047619,21.61904762
