NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,LTR
0.5,0.8125,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.75,0.6875,0.8125,0.875,0.875,0.75,0.8125,0.875,0.875,0.8125,0.8125,0.375,0.8125,0.5625,0.8125,0.375,0.5625,0.5625,0.375,0.75,0.75,0.3125,0.0625,0.125,0.75,0.0,0.0625,1.0,1.0,0.0625
0.8125,1.0,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.625,0.4375,0.875,0.9375,0.625,0.8125,0.6875,0.625,0.9375,0.625,0.5625,0.0625,0.125,0.8125,1.0,0.0,0.125,1.0,0.0
0.75,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,0.875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.75,0.6875,0.875,1.0,0.75,0.75,0.75,0.75,0.9375,0.8125,0.6875,0.0625,0.125,0.875,1.0,0.9375,0.1875,1.0,0.0
0.4375,0.75,0.8125,0.875,0.875,1.0,1.0,1.0,1.0,0.6875,0.875,0.8125,0.875,0.8125,0.75,0.9375,0.9375,1.0,0.75,0.8125,0.4375,0.6875,0.5,0.8125,0.4375,0.5,0.5625,0.5625,0.75,0.5625,0.5,0.0625,0.0625,0.8125,0.0,0.9375,0.125,1.0,0.0
0.4666666666666667,0.8,0.8,0.8666666666666667,0.8,0.8666666666666667,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8666666666666667,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.4,0.7333333333333333,0.8666666666666667,0.5333333333333333,0.6,0.5333333333333333,0.4666666666666667,0.7333333333333333,0.5333333333333333,0.4,0.0625,0.125,0.8666666666666667,0.0,0.5333333333333333,0.2,1.0,0.0
0.4666666666666667,0.8666666666666667,0.9333333333333332,1.0,0.9333333333333332,0.9333333333333332,1.0,1.0,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,0.9333333333333332,0.6,0.6,0.8,0.9333333333333332,0.5333333333333333,0.8,0.8,0.6666666666666666,0.8666666666666667,0.4666666666666667,0.5333333333333333,0.0666666666666666,0.1333333333333333,1.0,0.0,0.0666666666666666,1.0,1.0,0.0
0.5333333333333333,0.7333333333333333,0.8666666666666667,0.9333333333333332,0.8,0.9333333333333332,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.8666666666666667,0.7333333333333333,0.8,0.9333333333333332,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.8,0.4,0.6,0.6,0.8666666666666667,0.4,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.8,0.6666666666666666,0.3333333333333333,0.0666666666666666,0.0666666666666666,0.4,0.0,0.0666666666666666,0.0,1.0,0.0
0.8666666666666667,0.9333333333333332,0.8666666666666667,0.8666666666666667,0.9333333333333332,1.0,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333332,1.0,1.0,1.0,0.9333333333333333,0.8666666666666667,0.6,0.5333333333333333,0.9333333333333333,0.8666666666666667,0.6,0.6666666666666666,0.6666666666666666,0.6,1.0,0.6,0.6666666666666666,0.0666666666666666,0.1333333333333333,0.8666666666666667,0.0,0.8,0.2,1.0,0.0
0.6,0.8,0.9333333333333332,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.7333333333333333,1.0,0.8,0.9333333333333332,0.9333333333333332,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,0.8,0.8,0.5333333333333333,0.8,0.4666666666666667,0.8,0.5333333333333333,0.6666666666666666,0.6,0.6666666666666666,0.6666666666666666,1.0,0.5333333333333333,0.0666666666666666,0.1333333333333333,0.7333333333333333,0.0,0.5333333333333333,0.0,1.0,0.0666666666666666
0.7333333333333333,0.9333333333333332,0.8666666666666667,0.8,0.8666666666666667,0.8,0.8666666666666667,0.8666666666666667,0.9333333333333332,0.9333333333333332,0.8,0.8,0.8666666666666667,0.8,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.8,0.6,0.9333333333333332,0.7333333333333333,0.8,0.6,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.8,0.8,0.6,0.0666666666666666,0.0666666666666666,0.7333333333333333,0.0,1.0,0.2,1.0,0.0666666666666666
0.375,0.75,0.8125,0.875,0.8125,0.9375,0.8125,0.9375,0.9375,0.75,0.875,0.875,0.8125,0.875,0.8125,0.875,0.8125,0.875,0.8125,0.9375,0.5,0.6875,0.6875,0.875,0.5,0.6875,0.6875,0.6875,0.75,0.75,0.375,0.0666666666666666,0.0666666666666666,1.0,0.0,0.9375,0.0625,1.0,0.0
0.6875,0.9375,0.8125,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.8125,0.8125,0.9375,0.9375,0.9375,0.9375,0.9375,0.625,0.75,0.8125,0.875,0.625,0.75,0.75,0.75,0.9375,0.8125,0.625,0.0625,0.0625,1.0,0.0,0.0,0.125,1.0,0.0
