NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,LTR
0.222222222,0.555555556,0.777777778,0.555555556,0.666666667,1,0.888888889,1,0.777777778,0.555555556,0.222222222,0.777777778,0.777777778,0.555555556,0.777777778,0.888888889,0.777777778,1,0.888888889,0.777777778,0.555555556,0.333333333,0.777777778,0.555555556,0.555555556,0.555555556,0.444444444,0.444444444,0.777777778,0.444444444,0.666666667,0.0001,0.0002,0.0003,0.0004,0.00005,0.0006,0.0007,0
0.111111111,1,0.888888889,0.555555556,0.777777778,1,1,0.888888889,1,0.888888889,0.111111111,1,0.888888889,0.666666667,0.777777778,1,1,1,1,1,0.666666667,0.333333333,1,0.888888889,0.666666667,0.666666667,0.777777778,0.555555556,1,0.555555556,0.666666667,0,0,0,0,0,0,0,0
0,0.666666667,1,0.666666667,1,0.888888889,0.666666667,0.777777778,0.666666667,0.777777778,0,0.666666667,0.666666667,0.666666667,1,0.777777778,0.666666667,0.888888889,0.666666667,0.555555556,0.777777778,0.333333333,0.777777778,0.777777778,0.777777778,0.777777778,1,0.444444444,0.777777778,0.555555556,0.777777778,0,0,0,0,0,0,0,0
0.111111111,0.888888889,0.888888889,0.666666667,0.888888889,1,0.888888889,0.888888889,0.888888889,0.777777778,0.111111111,0.888888889,0.888888889,0.777777778,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.777777778,0.666666667,0.555555556,1,0.666666667,0.666666667,0.777777778,0.777777778,0.555555556,0.888888889,0.666666667,0.555555556,0,0,0,0,0,0,0,0
0.1,1,0.9,0.8,0.9,1,1,1,1,0.9,0.1,1,0.9,0.8,0.9,1,1,1,1,1,0.6,0.4,0.8,1,0.6,0.6,0.6,0.5,0.8,0.7,0.7,0,0,0,0,0,0,0,0
0.2,0.5,0.9,0.4,0.9,1,1,1,0.8,0.6,0.1,0.9,0.9,0.4,0.9,1,1,1,1,0.8,0.7,0.5,1,0.6,0.7,0.8,0.7,0.3,1,0.4,0.4,0,0,0,0,0,0,0,0
0.2,0.8,0.9,0.6,0.9,1,0.9,1,0.9,0.8,0.1,0.8,1,0.7,0.9,1,0.9,1,0.9,0.8,0.8,0.5,0.9,0.7,0.8,0.7,0.8,0.7,1,0.5,0.6,0,0,0,0,0,0,0,0
0.4,0.8,0.9,0.4,0.8,1,1,1,0.9,0.7,0.2,0.9,0.9,0.5,0.8,1,0.8,0.9,0.9,0.9,0.4,0.5,0.9,0.8,0.4,0.6,0.6,0.3,0.6,0.4,0.6,0,0,0,0,0,0,0,0
0.1,0.6,0.9,0.6,0.9,1,1,1,0.9,0.7,0,0.8,0.9,0.6,0.9,1,0.9,1,1,0.8,0.7,0.3,1,0.7,0.8,0.8,0.6,0.6,0.9,0.5,0.6,0,0,0,0,0,0,0,0
0.333333333,0.666666667,1,0.888888889,1,0.777777778,0.777777778,0.777777778,0.555555556,0.444444444,0.222222222,0.555555556,1,0.888888889,1,0.777777778,0.777777778,0.777777778,0.666666667,0.555555556,0.777777778,0.222222222,0.666666667,0.666666667,0.777777778,0.777777778,0.666666667,0.777777778,0.777777778,0.222222222,0.666666667,0,0,0,0,0,0,0,0
0.222222222,0.777777778,0.777777778,0.333333333,0.666666667,1,1,1,0.888888889,0.777777778,0.222222222,0.888888889,0.777777778,0.666666667,0.777777778,1,0.888888889,1,0.888888889,0.888888889,0.444444444,0.333333333,0.888888889,1,0.333333333,0.444444444,0.444444444,0.333333333,0.888888889,0.444444444,0.222222222,0,0,0,0,0,0,0,0
0,1,1,0.444444444,1,0.888888889,0.888888889,0.888888889,0.888888889,1,0,0.777777778,1,0.777777778,1,1,0.888888889,1,0.777777778,0.777777778,0.666666667,0.444444444,0.777777778,1,0.666666667,0.777777778,0.555555556,0.444444444,0.888888889,0.333333333,0.444444444,0,0,0,0,0,0,0,0
0.111111111,0.777777778,0.888888889,0.555555556,0.888888889,1,0.777777778,1,0.777777778,0.777777778,0.111111111,0.777777778,0.777777778,0.666666667,0.888888889,0.888888889,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.444444444,0.888888889,0.666666667,0.777777778,0.666666667,0.555555556,0.666666667,0.777777778,0.333333333,0.777777778,0,0,0,0,0,0,0,0
0.222222222,0.888888889,0.777777778,0.222222222,0.777777778,0.888888889,1,1,0.888888889,0.888888889,0,0.888888889,0.888888889,0.333333333,0.777777778,1,0.888888889,1,1,0.888888889,0.666666667,0.222222222,0.777777778,0.777777778,0.666666667,0.444444444,0.444444444,0,0.777777778,0.222222222,0.444444444,0,0,0,0,0,0,0,0
0.1,0.7,1,0.9,1,1,0.8,0.9,0.8,0.7,0.1,0.8,0.9,0.9,1,0.9,0.9,0.7,0.9,0.9,0.7,0.5,0.8,0.7,0.7,0.8,0.9,0.8,0.8,0.7,0.8,0,0,0,0,0,0,0,0
0,0.9,0.9,0.7,0.9,0.9,0.9,0.8,0.9,0.6,0,0.9,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.7,0.4,0.9,0.8,0.7,0.7,0.8,0.6,0.8,0.4,0.8,0,0,0,0,0,0,0,0
0.2,0.8,0.9,0.8,0.9,1,0.9,0.9,0.9,0.8,0.1,0.7,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.7,0.8,0.7,0.9,0.8,0.8,0.6,0.8,0.5,0.9,0.6,0.8,0,0,0,0,0,0,0,0
0.2,0.5,1,0.8,0.9,1,0.9,0.9,0.6,0.6,0.2,0.7,0.9,0.8,0.9,1,0.9,1,0.8,0.8,0.6,0.5,0.9,0.6,0.6,0.8,0.9,0.8,0.9,0.4,0.6,0,0,0,0,0,0,0,0
0.3,0.8,1,0.7,1,1,1,1,1,0.9,0.2,0.8,0.9,0.7,1,1,1,1,1,0.8,0.9,0.4,1,0.9,1,0.9,0.7,0.6,1,0.7,0.7,0,0,0,0,0,0,0,0
0.111111111,0.777777778,0.777777778,0.666666667,0.555555556,1,1,0.888888889,1,0.777777778,0.111111111,0.888888889,0.777777778,0.666666667,0.666666667,1,0.888888889,1,0.888888889,0.888888889,0.333333333,0.555555556,1,0.666666667,0.333333333,0.333333333,0.555555556,0.444444444,0.666666667,0.666666667,0.222222222,0,0,0,0,0,0,0,0
0.111111111,0.777777778,0.888888889,0.666666667,0.777777778,0.888888889,0.777777778,1,0.777777778,0.777777778,0.111111111,0.666666667,0.777777778,0.666666667,0.777777778,1,0.666666667,1,0.888888889,0.888888889,0.888888889,0.222222222,0.777777778,0.666666667,0.888888889,0.777777778,0.777777778,0.555555556,0.666666667,0.555555556,0.555555556,0,0,0,0,0,0,0,0
0.222222222,1,0.888888889,0.444444444,0.777777778,1,1,1,1,1,0.111111111,0.777777778,0.888888889,0.444444444,0.777777778,1,1,1,1,0.888888889,0.444444444,0.333333333,1,0.888888889,0.444444444,0.555555556,0.555555556,0.333333333,0.888888889,0.444444444,0.333333333,0,0,0,0,0,0,0,0.111111111
0,0.777777778,0.888888889,0.555555556,1,0.888888889,0.888888889,0.888888889,0.888888889,0.666666667,0,0.888888889,0.888888889,0.555555556,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,0.555555556,0.888888889,0.777777778,0.888888889,0.888888889,0.666666667,0.333333333,0.888888889,0.444444444,0.555555556,0,0,0,0,0,0,0,0.111111111
0.222222222,0.888888889,1,0.666666667,1,1,1,1,1,0.777777778,0.222222222,0.777777778,1,0.666666667,1,1,1,0.888888889,1,1,0.666666667,0.666666667,1,0.777777778,0.666666667,0.666666667,0.666666667,0.555555556,1,0.666666667,0.444444444,0,0,0,0,0,0,0,0
0.1,1,0.8,0.9,0.8,0.9,0.8,0.9,1,1,0.1,0.7,0.8,1,0.8,0.9,0.9,0.9,0.9,0.7,0.5,0.4,0.9,0.6,0.7,0.7,0.6,0.8,0.8,0.6,0.6,0,0,0,0,0,0,0,0
0.2,0.5,0.9,0.7,0.8,0.8,0.6,0.7,0.6,0.5,0.2,0.6,0.8,0.7,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.5,0.8,0,0,0,0,0,0.5,0,0
0.3,0.7,1,0.5,1,1,0.9,1,1,0.6,0.2,0.8,0.9,0.6,1,1,0.9,1,0.8,0.8,0.4,0.3,1,0.7,0.4,0.6,0.6,0.5,0.8,0.4,0.6,0,0,0,0,0,0,0,0.1
0.1,0.8,0.9,0.8,0.9,1,1,1,0.9,0.8,0,0.9,0.9,0.9,0.9,1,1,1,0.9,1,0.7,0.7,0.9,0.8,0.8,0.8,0.8,0.7,1,0.9,0.6,0,0,0,0,0,0,0,0
0.2,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.6,0.8,0.2,0.9,0.6,0.8,0.9,1,0.9,1,0.9,0.9,0.8,0.4,0.9,0.6,0.7,0.7,0.5,0.8,0.8,0.4,0.7,0,0,0,0,0,0,0,0.1
0.111111111,0.888888889,0.888888889,0.555555556,0.777777778,1,0.888888889,1,1,0.888888889,0.111111111,0.888888889,0.777777778,0.555555556,0.777777778,1,1,0.888888889,1,1,0.666666667,0.222222222,0.777777778,1,0.666666667,0.555555556,0.555555556,0.333333333,0.777777778,0.222222222,0.555555556,0,0,0,0,0,0,0,0
