NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,EALTR
0.568759125,0.756841901,0.706895083,0.694649194,0.840152945,0.840152945,0.833341161,0.898306383,0.785053116,0.770847974,0.536175067,0.826040491,0.826223991,0.762340793,0.726802412,0.867248806,0.840941085,0.857857411,0.887758391,0.872705703,0.847786601,0.277011855,0.814319011,0.699211071,0.789266587,0.835572157,0.766542297,0.722223354,0.895239408,0.509176555,0.682086305,0.312680777,0.801760767,0.287150373,-0.071919245,-0.20332092,0.196014354,0,0.302434096
0.646754976,0.72965815,0.613591066,0.733261359,0.708389855,0.750004535,0.906129502,0.777757936,0.775387345,0.78899939,0.662740343,0.697740151,0.696622841,0.727253105,0.672146636,0.826199938,0.867224287,0.802008145,0.87968136,0.718968187,0.64731261,-0.218312687,0.708319854,0.85141087,0.716926673,0.803435126,0.719820876,0.69671173,0.861576442,0.005040122,0.670027931,0.247280334,0.741270169,0.540342702,-0.071919245,0.260671059,0.317841465,0,0.674323482
0.68381926,0.82142495,0.81577309,0.809714337,0.804708736,0.876559954,0.896955945,0.878808095,0.896955945,0.81777775,0.643533216,0.870737465,0.81577309,0.755918877,0.794351142,0.896955945,0.903086589,0.896955945,0.89119711,0.851811928,0.743251979,0.321480174,0.808605112,0.745970487,0.780821493,0.826397443,0.817067584,0.789359512,0.875427324,0.505977774,0.761778664,0.323059792,0.786400099,0.737289093,-0.071919245,-0.182060565,0.168887446,0,0.312250473
0.725383596,0.836282623,0.720778654,0.593000798,0.677159307,0.833874285,0.835323355,0.882224277,0.843613316,0.719246493,0.642125148,0.693755848,0.647186623,0.671984825,0.672232875,0.846156118,0.912857321,0.882855293,0.830344111,0.820536661,0.624588271,0.069928345,0.739863713,0.710930651,0.604772133,0.765800655,0.702720924,0.587095983,0.867650241,0.16821104,0.580756047,0.324097182,0.767529644,0.252280692,-0.071919245,0.023810767,0.168782106,0,0.746578955
0.748318651,0.829509444,0.73282041,0.793908214,0.793908214,0.862636694,0.903983276,0.916305096,0.896457375,0.823061628,0.661478999,0.889942723,0.757262199,0.750933164,0.747075633,0.913851821,0.904501387,0.890769993,0.859429523,0.8987412,0.823002572,0.059605178,0.803044668,0.848445308,0.865144945,0.896519697,0.864951732,0.759928584,0.908525595,0.180302419,0.823652379,0.324097182,0.809029102,0.643546707,-0.071919245,0.023810767,-0.08688098,0,0.45079197
0.796264042,0.846625759,0.882048675,0.826524248,0.824695308,0.891031793,0.915137171,0.916071266,0.931371379,0.86857388,0.712421271,0.83693377,0.901191502,0.842402229,0.830000484,0.931676181,0.920245296,0.949978464,0.950523897,0.83041201,0.903358431,-0.021665824,0.921759879,0.909765032,0.882997426,0.916605278,0.888009322,0.866915874,0.938992529,0.036165952,0.868614309,0.324097182,0.84747935,0.871105596,-0.071919245,0.106540341,0.00702659,0,0.557762443
0.662274486,0.844732494,0.71709461,0.707684208,0.706273747,0.817321588,0.876774838,0.846928929,0.83372131,0.835347733,0.511745836,0.734033398,0.806523681,0.707684208,0.742029655,0.806567922,0.835446592,0.825350149,0.906201577,0.736147235,0.764518258,0.216443732,0.795431334,0.845765331,0.764518258,0.769280673,0.800553752,0.689753821,0.857195969,0.207881474,0.740139753,0.324097182,0.79097554,0.631323791,-0.071919245,0.089295765,0.167610913,0,0.464305707
0.719810368,0.883400167,0.804196156,0.819100102,0.794681301,0.833822361,0.83885315,0.840787194,0.849750696,0.848963185,0.654115706,0.908718484,0.835850959,0.819100102,0.808041732,0.879258936,0.840343008,0.879258936,0.898753997,0.855579055,0.786552448,0.043345154,0.840926436,0.70723456,0.803399946,0.854474591,0.832769799,0.849966065,0.857664043,0.206646732,0.764532537,0.323923589,0.76263888,0.787160303,-0.071919245,0.196026031,0.04056608,0,0.33138446
0.685546961,0.883805403,0.872160144,0.825956252,0.882121185,0.901951927,0.880989587,0.920365272,0.912898777,0.873243232,0.665954074,0.893680604,0.870405224,0.825956252,0.903521788,0.941576833,0.884595371,0.913565622,0.922027656,0.899332354,0.888951618,0.03493976,0.867934762,0.820116964,0.886294575,0.935079847,0.926730395,0.857192082,0.937287966,-0.036377887,0.87061837,0.323923589,0.787880757,0.202830398,-0.071919245,0.324187156,0.333122902,0,0.491890393
0.722636876,0.838016813,0.764415512,0.665006984,0.740695979,0.793303016,0.828681881,0.842639499,0.842639499,0.63882852,0.674112181,0.807571616,0.776165452,0.709257542,0.771589441,0.817096575,0.890067281,0.845212646,0.869022426,0.814586575,0.697494244,0.246818693,0.684708663,0.828514056,0.679141333,0.728196434,0.73870061,0.746307487,0.832105779,0.428761448,0.736888341,0.323923589,0.783873996,0.739260458,-0.071919245,0.023810767,-0.039351129,0,0.502912335
0.744291549,0.819710626,0.83589601,0.84635667,0.869087294,0.901797976,0.898539035,0.923303931,0.901167166,0.850176595,0.738067045,0.88595782,0.87304332,0.864500816,0.85572907,0.933044921,0.904768553,0.897290134,0.902912985,0.908863035,0.769099499,-0.019698478,0.858589478,0.798274894,0.821098355,0.85060072,0.856052184,0.817645614,0.929711348,-0.022247045,0.790835592,0.312680777,0.825597135,0.797831336,-0.071919245,0.023810767,0.104311732,0,0.733081013
0.726148207,0.851456032,0.810044623,0.884797048,0.725928697,0.858558239,0.858778258,0.856489523,0.836155593,0.860851039,0.717624211,0.815554001,0.833982832,0.884797048,0.780566114,0.86361713,0.877086711,0.839555691,0.878993911,0.815665531,0.784932272,0.088058573,0.738557151,0.86913445,0.77906421,0.756016958,0.816584713,0.822155049,0.829134372,-0.002212246,0.80201257,0.323059792,0.774404257,0.556472641,-0.071919245,0.023810767,0.182060565,0,0.678320355
0.593935713,0.792222195,0.678083227,0.674529468,0.676166341,0.877890476,0.870694807,0.874611666,0.864249496,0.826287203,0.528811295,0.782360783,0.749094183,0.632156377,0.703451514,0.862570592,0.869970208,0.875311198,0.845163172,0.850839323,0.691036944,0.268282403,0.801173849,0.704722247,0.673705023,0.743995507,0.672023001,0.625785611,0.882974447,0.527380545,0.662934262,0.323059792,0.818828737,0.561148881,-0.071919245,-0.305650883,0.152369984,0,0.673735859
0.856989367,0.838470473,0.784833776,0.671869014,0.793827427,0.926502322,0.933005741,0.928968398,0.880609441,0.837077204,0.722965821,0.86709121,0.78040894,0.693298869,0.792810879,0.926868603,0.94897629,0.913134633,0.890313033,0.85937574,0.811457756,0.274307807,0.8781628,0.835075494,0.804720881,0.905624502,0.847257296,0.719883288,0.915625075,0.369533081,0.797955221,0.324097182,0.793975747,0.32436089,-0.071919245,0.37259446,0.243797869,0,0.418360365
0.692051349,0.89682443,0.874846214,0.848253494,0.812024349,0.907680837,0.917991196,0.940080566,0.925698664,0.887710491,0.673634812,0.880534057,0.843221073,0.843858981,0.794543414,0.91211549,0.944287862,0.897682719,0.901142824,0.882338164,0.786548345,0.48218744,0.787925492,0.92026072,0.786548345,0.878455218,0.882336652,0.7880017,0.922562926,0.416561863,0.720368526,0.324097182,0.787269441,0.73925298,-0.071919245,-0.182645187,0.273310091,0,0.787076095
0.842925531,0.853722818,0.830932796,0.787830971,0.846650808,0.911127708,0.918910827,0.927652065,0.88815439,0.846523172,0.751163213,0.812647428,0.83807999,0.819510275,0.740767761,0.908931631,0.920664701,0.949710404,0.91812013,0.821501034,0.79266616,0.694423589,0.857749728,0.893200905,0.755560543,0.907463004,0.860728755,0.815844356,0.881044021,0.758598981,0.786693025,0.324097182,0.741791518,0.532511266,-0.071919245,-0.022828908,0.069943944,0,0.547638622
0.779168708,0.871803543,0.703526671,0.67780864,0.753994946,0.823219255,0.842758867,0.853149003,0.8987412,0.840701584,0.574769254,0.810833317,0.785460064,0.67780864,0.75848894,0.871522393,0.900799508,0.838780695,0.846350209,0.740097458,0.739460126,0.000858098,0.815557307,0.815977477,0.718269791,0.733704476,0.710982126,0.687317172,0.887915947,0.008676983,0.690756313,0.324097182,0.772366616,0.594672114,-0.071919245,-0.252280692,-0.101868484,0,0.37710671
0.660592134,0.778301842,0.709640922,0.705952772,0.710838638,0.853176039,0.847800085,0.887780394,0.885338116,0.719006549,0.632281504,0.788775897,0.7779101,0.723584051,0.71179843,0.848963185,0.855082019,0.883415465,0.85621342,0.831929114,0.724113093,0.111875763,0.827380442,0.803713171,0.698182557,0.822942148,0.700815002,0.736647183,0.86022969,0.330268019,0.712075367,0.323923589,0.78095352,0.615378224,-0.071919245,-0.072156361,0.024892194,0,0.298589786
0.397749718,0.720890565,0.666873971,0.78830158,0.731721727,0.701683218,0.730836018,0.820226567,0.758768549,0.744573292,0.439366962,0.738067121,0.683148045,0.795772147,0.660370889,0.747351426,0.785524078,0.813633831,0.80604887,0.758157551,0.752994032,0.307623752,0.759018189,0.65033005,0.766111406,0.836328153,0.792626694,0.838382938,0.801622395,0.378418455,0.702572463,0.323923589,0.662143127,0.515658695,-0.071919245,0.023810767,0.281941732,0,0.550294393
0.718257286,0.814706416,0.738031429,0.586084538,0.841842437,0.907360635,0.888493761,0.922492319,0.926789514,0.805453112,0.646198945,0.764997215,0.719867683,0.604200447,0.833660484,0.898753997,0.898753997,0.907360635,0.921831927,0.764673613,0.84919622,0.230130182,0.890265901,0.872690763,0.805759743,0.873094929,0.832407017,0.645833655,0.892013088,0.402132682,0.795359536,0.323923589,0.881250202,0.459516848,-0.071919245,0.26551674,0.120459015,0,0.637238022
0.762957029,0.89408015,0.853373193,0.827810968,0.880619398,0.907768086,0.929112166,0.903794825,0.919453355,0.866462348,0.769337359,0.911997815,0.892620745,0.766007386,0.853771642,0.928644545,0.921906967,0.918694115,0.912253737,0.909816108,0.789425629,0.129450149,0.899672158,0.863408634,0.844144345,0.902347267,0.84515763,0.796708906,0.926599931,0.124945971,0.836413292,0.312680777,0.848254199,0.774475097,-0.071919245,0.305840616,0.312874044,0,0.332327439
0.610824714,0.784348986,0.749914864,0.702513997,0.833834371,0.860882178,0.935173613,0.902175551,0.901424317,0.799804782,0.545866363,0.765841005,0.839174325,0.682213594,0.845031158,0.912516389,0.924504525,0.893295981,0.864449732,0.815190193,0.741273695,0.310017702,0.805504505,0.811020593,0.741273695,0.782138794,0.756776862,0.722637551,0.944891303,0.113506755,0.745821816,0.323059792,0.817551,0.573626172,-0.071919245,0.508927429,0.047200887,0,0.347800461
0.755883744,0.795452093,0.710098764,0.779419134,0.686199988,0.785532259,0.832834958,0.838909043,0.845593348,0.828544946,0.584288188,0.884988014,0.748135537,0.793269545,0.701045,0.784420772,0.86344697,0.834591908,0.883821732,0.885576867,0.800768546,0.031964781,0.84360222,0.83187004,0.781245967,0.86544441,0.82830231,0.731842682,0.871650776,0.398659906,0.754323611,0.323059792,0.778690425,0.28963451,-0.071919245,0.039916377,0.258299175,0,0.697412177
0.607687728,0.797670855,0.609618293,0.694346626,0.724511381,0.744967409,0.796059473,0.847400334,0.810061441,0.800057153,0.433231372,0.800179449,0.677019672,0.694346626,0.653309198,0.825967541,0.835464511,0.831099115,0.90303014,0.719195564,0.714310681,0.131993844,0.767056378,0.77826902,0.714310681,0.764022426,0.703165363,0.720082449,0.874614879,0.150715665,0.62120111,0.324097182,0.828821847,0.606114722,-0.071919245,0.277036743,-0.014945029,0,0.574193662
0.684674719,0.894916391,0.692834513,0.681598177,0.624311425,0.890049412,0.863126912,0.887938569,0.907801491,0.848424803,0.598806892,0.805609068,0.758527936,0.670957014,0.728047302,0.895735692,0.876124655,0.879006888,0.812371672,0.856312503,0.822388993,-0.058067021,0.806377433,0.773384638,0.785508733,0.864794284,0.782491412,0.7934229,0.860494303,0.315904659,0.72841462,0.324097182,0.80056534,0.71689073,-0.071919245,-0.029056457,0.053049589,0,0.300167414
0.643772299,0.875898761,0.747100236,0.709276883,0.757844837,0.827507923,0.885665689,0.853256385,0.914053426,0.894865365,0.605318074,0.719798593,0.745087581,0.772038803,0.757844837,0.874721493,0.857771684,0.874721493,0.857771684,0.817948354,0.62407303,0.070944841,0.733544877,0.851817535,0.727019265,0.74890626,0.713383035,0.699398708,0.866772738,0.075923593,0.78234944,0.324097182,0.767981736,0.630632726,-0.071919245,0.530323199,0.236575106,0,0.269826812
