NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,EALTR
0.560571008,0.745561752,0.537883119,0.330233582,0.673935908,0.88604151,0.831304334,0.91870334,0.813875466,0.745561752,0.607183879,0.88925379,0.681395982,0.330233582,0.677601818,0.859480254,0.902447611,0.91870334,0.9736426,0.885877396,0.876077201,0.476455227,0.950358716,0.742748121,0.876077201,0.740487066,0.741136942,0.442732787,0.926450123,0.628019035,0.617927698,0.192143265,0.789614503,0.451500106,0.079100459,0.155036899,-0.029023593,0,0.335044072
0.680431969,0.831478667,0.853529504,0.767746519,0.777227032,0.892373124,0.861014885,0.866428827,0.870223946,0.861014885,0.773471459,0.810343741,0.852026892,0.795815586,0.75020494,0.870223946,0.841297748,0.870223946,0.850445804,0.841297748,0.791763766,0.57389801,0.850445804,0.841297748,0.791763766,0.799627858,0.824275702,0.845397287,0.870223946,0.749334525,0.618943474,0.192143265,0.695887645,0.566122006,0.079100459,-0.224299397,-0.118719806,0,0.759272502
0.600652814,0.888096677,0.767027402,0.655207195,0.820683613,0.960580333,0.972473144,0.915506835,0.996139295,0.960747281,0.642741268,0.938324858,0.778661048,0.592462436,0.767746519,0.992146376,0.918377432,0.989102488,0.996139295,0.858110208,0.76229687,0.619557162,0.891844387,0.967313881,0.77431372,0.834726102,0.763393652,0.742037445,0.947053065,0.730261648,0.736054155,0.192143265,0.70298281,0.522290952,0.079100459,-0.211989229,0.007081548,0,0.667481178
0.851291364,0.985110247,0.910579447,0.660528891,0.747407508,0.982235744,0.987709343,0.983213999,0.987709343,0.935087822,0.848021693,0.985110247,0.901032861,0.660528891,0.800681928,0.983098592,0.987709343,0.987709343,0.987709343,0.985110247,0.946269056,0.914968008,0.987709343,0.987709343,0.945317289,0.896713678,0.894259809,0.724243793,0.987709343,0.941492209,0.71715095,0.192616275,0.731307973,0.491476648,0.079100459,-0.034077774,-0.159729945,0,0.689262954
0.795348706,0.923729147,0.760528603,0.819744299,0.81039679,0.970216666,0.966201635,0.966201635,0.966201635,0.919755785,0.727136846,0.966201635,0.781554889,0.819744299,0.860325189,0.916333397,0.966201635,0.991549296,0.966201635,0.9707892,0.913308849,0.742830277,0.919755785,0.919755785,0.913308849,0.932056249,0.913308849,0.753142886,0.966201635,0.90344543,0.77746177,0.192616275,0.784187052,0.522290952,0.079100459,0.219795039,0.026164276,0,0.750147614
0.740103766,0.935724641,0.639535416,0.747407508,0.647135921,0.957432122,0.988411839,0.963326948,0.944900571,0.935716491,0.553111711,0.930771426,0.63976384,0.714585642,0.710423634,0.961468516,0.935724641,0.988411839,0.941307672,0.935724641,0.752120115,0.838242257,0.944900571,0.930771426,0.851312817,0.842988754,0.858697912,0.827698819,0.935716491,0.846441508,0.729760832,0.192616275,0.752958357,0.522290952,0.079100459,0.301113816,0.143301121,0,0.739046972
0.772273746,0.885448791,0.81039679,0.710423634,0.79117188,0.860325189,0.940038612,0.958264205,0.861107326,0.885448791,0.849388095,0.961468516,0.839361826,0.710423634,0.79117188,0.907374893,0.933950322,0.914818493,0.885448791,0.914818493,0.948148928,0.632429179,0.929810619,0.885448791,0.950128064,0.920945849,0.885420115,0.702872587,0.879972288,0.728150701,0.784067526,0.192616275,0.73400882,0.648580972,0.079100459,-0.177621214,0.154887582,0,0.663573526
0.524076589,0.943888106,0.843700768,0.587498323,0.843700768,0.890913489,0.92370654,0.916989759,0.892239224,0.917605634,0.694636907,0.969334252,0.935622734,0.587498323,0.847212467,0.890913489,0.92370654,0.897812437,0.897812437,0.915856681,0.926339383,0.772587556,0.92370654,0.892239224,0.926339383,0.959677007,0.952847989,0.826509651,0.917605634,0.855796166,0.796933206,0.192616275,0.807417474,0.310140093,0.079100459,-0.09490243,-0.137266094,0,0.811424974
0.787224444,0.91126822,0.826411536,0.74832309,0.79945957,0.856106303,0.963326238,0.932033394,0.869534418,0.859430912,0.760828391,0.91126822,0.839937494,0.74832309,0.746432508,0.917528959,0.966439326,0.942840233,0.917869539,0.91126822,0.884097499,0.640959488,0.942840233,0.910380915,0.884097499,0.827136448,0.824896212,0.743591838,0.936618565,0.817843444,0.738602159,0.192143265,0.769563252,0.733656755,0.079100459,-0.413014755,0.015362206,0,0.71670054
0.830829738,0.802449448,0.558578941,0.454562384,0.783118886,0.959045486,0.901993256,0.957867612,0.901993256,0.851118282,0.842892774,0.93671271,0.766162991,0.528249718,0.803575759,0.90024654,0.905104218,0.952308011,0.978516127,0.930623686,0.849307357,0.647724706,0.98393602,0.802449448,0.84621484,0.755416035,0.742675909,0.661676306,0.971551936,0.622586971,0.58356113,0.192143265,0.749805626,0.480749016,0.079100459,0.117068679,-0.143842251,0,0.609608113
0.632656643,0.873054299,0.693664651,0.62340013,0.830554817,0.883770166,0.877496627,0.907789897,0.873054299,0.72558515,0.495133331,0.927886466,0.704145235,0.560169882,0.830554817,0.904700777,0.904700777,0.877496627,0.904700777,0.931384824,0.847154372,0.642066275,0.828851466,0.754600869,0.847154372,0.808744741,0.792324096,0.77859936,0.884981637,0.74359914,0.759269696,0.192143265,0.74312946,0.522290952,0.025863442,0.20145673,-0.124626307,0,0.525998112
0.766384932,0.931384824,0.882349703,0.582047407,0.909641295,0.960580333,0.935265541,0.965532446,0.96862767,0.967313881,0.667603654,0.88925379,0.956819562,0.664396706,0.866680719,0.964524071,0.960149379,0.993109087,0.96862767,0.970375386,0.809886247,0.677535236,0.961124229,0.937529581,0.808744741,0.897879977,0.885191024,0.736077035,0.969079608,0.879811446,0.635393574,0.192143265,0.792121167,0.522290952,0.079100459,-0.034077774,0.003598545,0,0.682605706
