NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,EALTR
0.521267133,0.881772061,0.644402233,0.744298157,0.637328154,0.883856279,0.891495774,0.872734136,0.868612188,0.844358066,0.501655414,0.814125978,0.734371531,0.750024216,0.639499502,0.863247096,0.909060173,0.876352438,0.828673183,0.80661649,0.724140672,0.462147747,0.857921177,0.752120975,0.713765675,0.756041675,0.74507034,0.776138142,0.896206291,0.708496343,0.62142025,0.312680777,0.701122554,0.614899184,0.053270171,-0.044131887,0.047441548,0.280879081,0.239197108
0.820941161,0.915116325,0.875354182,0.794041109,0.872323616,0.899419478,0.822039574,0.916824592,0.907986642,0.933903873,0.795868027,0.878877979,0.86866545,0.794041109,0.896853841,0.916824592,0.907992072,0.922642144,0.934940271,0.900421341,0.84346206,0.133450014,0.856370615,0.8966129,0.868747024,0.911424677,0.873439761,0.827198787,0.918674005,0.285919603,0.866304188,0.312680777,0.701122554,0.755437892,0.053270171,-0.291111255,-0.040190384,0.280879081,0.55312861
0.822662974,0.901971212,0.762969781,0.758723286,0.791323476,0.930198089,0.919079623,0.940869877,0.910889578,0.901449858,0.816694262,0.858062508,0.887082838,0.739212875,0.827501607,0.933228161,0.953415092,0.932628864,0.956731063,0.912890665,0.878355489,0.401259904,0.914575559,0.884465461,0.846067967,0.909632843,0.861230735,0.838565538,0.940916917,0.551979463,0.844783369,0.312680777,0.859875401,0.703079995,0.053270171,0.230314068,0.141731734,0.280879081,0.563238319
0.618444651,0.800101438,0.800296751,0.761794027,0.816154132,0.915423396,0.872667441,0.901176195,0.901176195,0.764760485,0.606185586,0.76342692,0.859089046,0.804008807,0.807082595,0.901548646,0.889818289,0.883663721,0.792246934,0.71496143,0.721969708,0.351831996,0.802846351,0.79158283,0.738425256,0.839505508,0.815370278,0.793269085,0.883381352,0.404813436,0.708229823,0.312680777,0.848836819,0.554062927,0.053270171,-0.176807056,0.241179891,0.280879081,0.492331777
0.610396188,0.743618663,0.62806393,0.581441667,0.629652344,0.773558197,0.801339004,0.766160864,0.860864805,0.693161735,0.616934872,0.604776463,0.641627546,0.61377649,0.534347117,0.785235918,0.811172922,0.723222415,0.770508825,0.652361588,0.608199689,0.452478048,0.749530957,0.787093287,0.528023187,0.641220373,0.587338132,0.541525419,0.841027461,0.436836395,0.541482742,0.313737634,0.729812429,0.492963769,0.053270171,-0.52301622,0.165043166,0.280879081,0.513565862
0.670061904,0.847720093,0.790043696,0.849638411,0.797980262,0.837113178,0.886364743,0.898007633,0.857469509,0.767184841,0.669265132,0.814051533,0.857886015,0.824773526,0.858895409,0.869011566,0.872650759,0.861130781,0.866534483,0.828804259,0.869524145,0.373412349,0.770787868,0.793259026,0.80592327,0.912000205,0.891916777,0.845162425,0.852592877,0.598837466,0.80374989,0.324097182,0.69504241,0.274037,0.053270171,0.17433874,0.104311732,0.280879081,0.531957886
0.760055347,0.797928003,0.763254334,0.703263159,0.772388473,0.867260685,0.860895512,0.837689408,0.889788778,0.808897625,0.66480091,0.845789829,0.820213552,0.640171981,0.825305202,0.867260685,0.879629119,0.854732381,0.900584228,0.827255523,0.803105707,0.263624027,0.860619887,0.811581273,0.846109647,0.830044766,0.844261863,0.713150521,0.857030557,0.510146055,0.773736138,0.324097182,0.767477163,0.473205151,0.053270171,0.182645187,0.252280692,0.280879081,0.562253501
0.72472384,0.886092055,0.830471652,0.763048249,0.853943235,0.895660995,0.894404259,0.924460196,0.894463484,0.869762456,0.648313928,0.774368044,0.86290785,0.744334136,0.871416363,0.908917355,0.913951395,0.908065094,0.917852968,0.828210129,0.805783906,0.45193095,0.92150928,0.764122092,0.865089474,0.84647051,0.865007141,0.79502377,0.938820848,0.557114437,0.819984076,0.324097182,0.816637827,0.794209815,0.053270171,-0.029056457,0.257429278,0.280879081,0.457021165
0.73143062,0.717734636,0.84924499,0.784230366,0.809630574,0.825009415,0.868498523,0.872511003,0.866345037,0.744444855,0.790666032,0.690698771,0.798294244,0.769642547,0.742067677,0.898462897,0.878074554,0.881202433,0.834985386,0.666043615,0.774493912,0.443067127,0.819614212,0.80996069,0.800561803,0.864677378,0.826677952,0.79150705,0.822122736,0.671776206,0.768478273,0.324097182,0.823671444,0.666604125,0.053270171,-0.026936368,-0.042313629,0.280879081,0.462061478
0.59010574,0.939256712,0.648920689,0.610078272,0.68576208,0.806865344,0.832715831,0.856738062,0.846857998,0.796369754,0.495494853,0.804285871,0.746158153,0.656769155,0.783691444,0.824398011,0.842011572,0.812865018,0.849606102,0.842862425,0.763067702,0.441410119,0.815330234,0.783268671,0.734192883,0.731708137,0.749967214,0.691029998,0.887252021,0.448813642,0.694607697,0.324097182,0.835329615,0.574672143,0.053270171,-0.027996412,-0.047855678,0.280879081,0.74400462
0.663916847,0.813045157,0.753428064,0.737773536,0.753428064,0.875978618,0.907448329,0.882169134,0.907352765,0.781543574,0.686574208,0.886414781,0.760178151,0.737773536,0.769789524,0.876272662,0.868433261,0.915969005,0.868253573,0.901850516,0.754047529,0.322857908,0.837025447,0.873867653,0.781810605,0.861697842,0.770468714,0.762137679,0.90668136,0.548716912,0.707345348,0.324097182,0.742145871,0.20332092,0.053270171,0.153146866,0.063277228,0.280879081,0.572165659
0.723864981,0.868173258,0.726785311,0.725014444,0.722303301,0.810304417,0.829017613,0.873330925,0.808352234,0.902298345,0.65219127,0.837832495,0.86254067,0.725636488,0.823058453,0.842062307,0.891208151,0.877517179,0.850208336,0.865565377,0.764839765,0.518605241,0.887062665,0.809613932,0.753202979,0.84238023,0.789609631,0.759674885,0.900301165,0.669671292,0.789134302,0.312680777,0.854090744,0.621972908,0.053270171,-0.027996412,0.108279659,0.280879081,0.641930603
0.722073152,0.757519764,0.765317775,0.722943031,0.81189567,0.850727894,0.8830913,0.875245779,0.921776974,0.884508097,0.704093913,0.862443093,0.82710457,0.761191684,0.833939401,0.883673706,0.875442968,0.917284192,0.878134154,0.876467549,0.814251237,0.386402337,0.803021157,0.758904136,0.808358098,0.859402025,0.822794036,0.816775609,0.882396002,0.537279464,0.752987825,0.312680777,0.768372687,0.712972448,0.053270171,0.321608624,0.343319991,0.280879081,0.527838447
0.755682746,0.826208141,0.879845237,0.880113084,0.840687823,0.913002258,0.892650776,0.922009004,0.950378512,0.826208141,0.720849013,0.826925345,0.88383549,0.875322448,0.855563121,0.913002258,0.920273827,0.922009004,0.904722151,0.852166636,0.889068348,0.417591075,0.915131854,0.916915052,0.886703576,0.872010141,0.888911245,0.849929096,0.923273343,0.581202831,0.836290918,0.312680777,0.813139523,0.640461109,0.053270171,-0.027996412,0.135881527,0.280879081,0.631360239
0.829864613,0.738744056,0.82550188,0.729640869,0.886364743,0.870578131,0.871889885,0.859496531,0.910949556,0.733964398,0.679575853,0.864799294,0.905585113,0.729640869,0.84962122,0.903344096,0.90047351,0.861345597,0.846471041,0.761445168,0.847731798,0.166236808,0.808165247,0.753947006,0.887132907,0.874432134,0.860376659,0.808590281,0.877299692,0.430088145,0.88123604,0.313737634,0.892551694,0.56729074,0.053270171,-0.266836756,0.141127352,0.280879081,0.628060489
0.650996636,0.838657411,0.64416018,0.711794641,0.639639868,0.907398342,0.867198675,0.921842014,0.908374642,0.878609132,0.708407178,0.836218721,0.675083433,0.696766056,0.681379563,0.907398342,0.914309893,0.901024349,0.901024349,0.760422435,0.747773256,0.246074403,0.762925371,0.829766979,0.69499335,0.795683614,0.745817988,0.764681241,0.822423218,0.545840298,0.678360804,0.324097182,0.818059257,0.660693912,0.053270171,0.353520223,0.013836408,0.280879081,0.285919153
0.607248963,0.765475332,0.782718399,0.541827347,0.803570489,0.884832438,0.86533282,0.862363917,0.851007282,0.741490697,0.658732919,0.776638514,0.774035555,0.566867198,0.817917812,0.85078253,0.844896987,0.899316845,0.817385346,0.771582395,0.755265609,0.413710892,0.830710476,0.8050815,0.751802258,0.848278722,0.777341023,0.688977435,0.86199209,0.399824798,0.700902674,0.324097182,0.797649352,0.624362859,0.053270171,-0.027996412,0.049142889,0.280879081,0.647805939
0.670172036,0.769354517,0.790890725,0.848109293,0.713619379,0.789695586,0.878632631,0.848917494,0.840842426,0.789833118,0.665220717,0.836082801,0.853593701,0.816844834,0.800348671,0.789695586,0.864880161,0.79024051,0.836600527,0.817692038,0.736978847,0.311707707,0.805129849,0.861149724,0.770793422,0.837200618,0.820811699,0.798190344,0.901245495,0.440561015,0.761544211,0.324097182,0.841914994,0.611225928,0.053270171,-0.157152556,0.033823183,0.280879081,0.566444634
