NB,CART,SVM,KNN,LogR,RF,XGB,DF,Bagging,AdaBoost,O-NB,O-CART,O-SVM,O-KNN,O-LogR,O-RF,O-XGB,O-DF,O-Bagging,O-AdaBoost,LR,PR,RFR,DTR,BRR,NNR,SVR,KNR,GBR,GPR,SDGR,RankingSVM,RankBoost,RankNet,LambdaRank,ListNet,AdaRank,CoordinateAscent,EALTR
0.456290178,0.937684408,0.892943,0.730137027,0.90023275,0.987481142,0.939461452,0.987481142,0.976041824,0.858963111,0.620576386,0.943120239,0.900001948,0.730137027,0.892943,0.976747651,0.933136969,0.987481142,0.981331065,0.949210946,0.934693937,0.777658419,0.978807383,0.926794104,0.934693937,0.934693937,0.969803708,0.829974761,0.979094794,0.876916193,0.930011191,0.192199393,0.839450587,0.348934923,-0.100609433,-0.067414296,0.141129233,-0.108561775,0.691491029
0.447911144,0.949301958,0.939461452,0.796251798,0.896126685,0.983743817,0.983743817,0.939461452,0.983743817,0.947289758,0.709347683,0.987481142,0.939461452,0.836336084,0.896126685,0.983743817,0.983743817,0.983743817,0.983743817,0.987481142,0.904199667,0.861599659,0.962138025,0.990125044,0.904199667,0.884880577,0.93086748,0.828672955,0.962138025,0.899803117,0.851374759,0.192199393,0.822783693,0.791116167,-0.100609433,0.100609433,0.762637345,-0.108561775,0.691702309
0.734159845,0.954005113,0.935986286,0.692331196,0.929395006,0.988992331,0.951761058,0.982226548,0.980339518,0.957297957,0.930493127,0.98700191,0.921811898,0.692331196,0.942258694,0.984281874,0.938887824,0.988992331,0.986341894,0.985273386,0.888092367,0.900535297,0.961201429,0.978170047,0.888092367,0.90190297,0.904589235,0.701135283,0.961201429,0.866435918,0.855378179,0.192199393,0.830958399,0.155082188,-0.100609433,0.279701803,0.152775632,-0.108561775,0.582686905
0.688161955,0.894736689,0.936363056,0.850415083,0.939461452,0.980825876,0.976747651,0.967839792,0.901046579,0.891370635,0.692132709,0.976747651,0.939461452,0.892943,0.936363056,0.976747651,0.976747651,0.976747651,0.986704466,0.974636495,0.870924239,0.726131109,0.935986286,0.973241144,0.870924239,0.878268385,0.890133505,0.878264925,0.938050202,0.884586264,0.838686298,0.192199393,0.809612075,0.645648292,-0.100609433,-0.028558317,0.151682165,-0.108561775,0.767483485
0.640880482,0.975877159,0.867873175,0.813860495,0.925798362,0.975877159,0.975877159,0.975877159,0.975877159,0.973181609,0.815761481,0.975877159,0.90120072,0.813860495,0.930490321,0.975877159,0.975877159,0.975877159,0.975877159,1,0.960028255,0.899570006,0.994224989,0.975877159,0.960028255,0.960028255,0.960028255,0.893115852,0.969061846,0.963734913,0.910389636,0.192638887,0.83726475,0.477398706,-0.100609433,-0.287260672,0.334675821,-0.108561775,0.785919021
0.535737587,0.867305836,0.882755556,0.602135517,0.939913192,0.904740661,0.927628297,0.904740661,0.887530344,0.887996334,0.716432455,0.91928456,0.896818126,0.602135517,0.889436741,0.904740661,0.927628297,0.946155775,0.904740661,0.916806621,0.858034046,0.868767043,0.888765442,0.880526701,0.858034046,0.866534261,0.871580464,0.84261348,0.927628297,0.815076986,0.862808875,0.192638887,0.806499893,0.727399938,-0.100609433,0.376174242,0.148650588,-0.108561775,0.573428285
0.644413804,0.988992331,0.861787232,0.718895234,0.921812024,0.991394253,0.995434515,0.991394253,0.992249034,0.988992331,0.709853945,0.982977225,0.946155775,0.76631707,0.96172514,0.996766314,0.992249034,0.996766314,0.992249034,0.988992331,0.921426226,0.758982985,0.992249034,0.980565315,0.895891329,0.899656016,0.894940417,0.766461439,0.996766314,0.747529489,0.87914565,0.192638887,0.836601765,0.631803093,-0.100609433,-0.096339937,-0.015506766,-0.108561775,0.73727977
0.584045825,0.894180534,0.882755556,0.533790747,0.893833208,0.939002336,0.991394253,0.946155775,0.942797696,0.892307748,0.720382967,0.974057995,0.939745407,0.583681073,0.893833208,0.946155775,0.988992331,0.986048397,0.992249034,0.990079831,0.880542994,0.72951397,0.951521656,0.939633332,0.875214702,0.843660696,0.897263691,0.770731885,0.951986793,0.850094954,0.856902391,0.192638887,0.808314334,0.788749641,-0.100609433,-0.036127476,-0.182526098,-0.108561775,0.785577444
0.485650975,0.938536465,0.889436741,0.786548038,0.889436741,0.98682466,1,0.98682466,0.996783167,0.962541064,0.729063251,0.941537749,0.914555824,0.786548038,0.939913192,0.98682466,0.987640051,0.98682466,0.991394253,0.941537749,0.938452002,0.791634662,0.975225004,0.988437065,0.945084422,0.939130807,0.923997573,0.875192725,0.987640051,0.944517657,0.886006594,0.192638887,0.844065241,0.833657678,-0.100609433,0.191516658,0.060096384,-0.108561775,0.681072672
0.671727526,0.890531027,0.930221395,0.689251896,0.930221395,0.925589707,0.882247526,0.925589707,0.889181474,0.814821012,0.661721969,0.879586763,0.930221395,0.634274218,0.980539445,0.930396729,0.90540551,0.925589707,0.880543522,0.889181474,0.847878842,0.712512523,0.889426327,0.889426327,0.844008095,0.841617446,0.85054003,0.823379557,0.899265892,0.83661951,0.85828498,0.192143265,0.819800637,0.762846554,-0.100609433,-0.336322255,-0.06482118,-0.108561775,0.653045888
