Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,AdaBoost,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.1481481481481481,0.6666666666666666,0.5,0.4444444444444444,0.3333333333333333,0.9285714285714286,0.0,0.0,0.5,0.3333333333333333,0.2222222222222222,0.0,0.0,0.6666666666666666,0.0,0.0714285714285714,0.0,0.0,0.7619047619047619,0.5625,0.625,0.7641093474426809,0.7455617520181617,0.7037445554571463,0.3095238095238095,0.4523809523809524,0.0070166587829589
FeatureEnvy,AdaBoost,0.4814814814814814,0.7222222222222222,0.1851851851851851,0.5,0.1111111111111111,0.5,0.5,1.0,1.0,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.9285714285714286,0.8125,0.75,0.8320105820105822,0.8610148845011605,0.8505810536754643,0.1428571428571428,0.3333333333333333,0.0069830417633056
FeatureEnvy,AdaBoost,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.2222222222222222,1.0,0.5,0.8888888888888888,0.6666666666666666,0.9642857142857144,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.75,0.75,0.8461199294532629,0.9607472814808063,0.9291927596601622,0.0952380952380952,0.0952380952380952,0.0069706439971923
FeatureEnvy,AdaBoost,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.5,0.6,1.0,1.0,0.0,0.0,0.5,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.625,0.801020408163265,0.935087821690478,0.9028164795880876,0.1428571428571428,0.1904761904761904,0.0069944858551025
FeatureEnvy,AdaBoost,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.9375,0.875,0.8163265306122446,0.9197557851002364,0.9040923109994384,0.0952380952380952,0.1428571428571428,0.0079801082611083
FeatureEnvy,AdaBoost,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.9,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.1,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.75,0.625,0.8290816326530613,0.9357164910983448,0.8922849078323443,0.119047619047619,0.119047619047619,0.0079901218414306
FeatureEnvy,AdaBoost,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.9,0.0,0.9642857142857144,0.0,0.0,0.5,0.1,0.0,0.0,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.8125,0.75,0.8163265306122446,0.8854487913519015,0.8524653938468247,0.1428571428571428,0.1904761904761904,0.0069847106933593
FeatureEnvy,AdaBoost,0.5714285714285714,0.8888888888888888,0.2857142857142857,0.8,0.2142857142857142,1.0,1.0,0.9,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0357142857142857,0.0,0.9285714285714286,0.8125,0.875,0.846938775510204,0.9176056338028168,0.9013761467889908,0.0952380952380952,0.1428571428571428,0.0080153942108154
FeatureEnvy,AdaBoost,0.6551724137931034,1.0,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.0,0.9642857142857144,0.0,0.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.8571428571428571,0.6875,0.75,0.8353858784893268,0.859430912495708,0.8336036158057202,0.1904761904761904,0.2857142857142857,0.0069828033447265
FeatureEnvy,AdaBoost,0.5862068965517241,0.8947368421052632,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.8888888888888888,0.0,0.9642857142857144,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8571428571428571,0.75,0.625,0.7853037766830869,0.8511182819263086,0.8081554861091347,0.1904761904761904,0.3333333333333333,0.0089404582977294
FeatureEnvy,AdaBoost,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.1481481481481481,0.6666666666666666,0.0,0.7777777777777778,0.3333333333333333,0.9285714285714286,0.5,0.0,0.5,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8095238095238095,0.6875,0.75,0.7279541446208115,0.7255851501576785,0.6900309214310142,0.2857142857142857,0.5238095238095238,0.0069830417633056
FeatureEnvy,AdaBoost,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,1.0,0.6666666666666666,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0357142857142857,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8549382716049384,0.9673138805796638,0.943064442527415,0.0714285714285714,0.0714285714285714,0.0079789161682128
FeatureEnvy,AdaBoost,0.6666666666666666,1.0,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,0.8888888888888888,0.3333333333333333,1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9285714285714286,0.9375,1.0,0.8214285714285716,0.915804582199021,0.9009380691513698,0.0952380952380952,0.1428571428571428,0.0069825649261474
FeatureEnvy,AdaBoost,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.7,0.5,1.0,0.0,0.0,0.5,0.0,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.75,0.835884353741497,0.959495493534324,0.9174508207065968,0.119047619047619,0.119047619047619,0.0089740753173828
FeatureEnvy,AdaBoost,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.8,0.5,1.0,0.0,0.0,0.5,0.1,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.875,0.7993197278911561,0.9170729720395204,0.8935724560197753,0.119047619047619,0.1666666666666666,0.0069804191589355
FeatureEnvy,AdaBoost,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,1.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9523809523809524,0.875,1.0,0.8520408163265306,0.9693342521758338,0.9551588087847056,0.0476190476190476,0.0476190476190476,0.0089783668518066
FeatureEnvy,AdaBoost,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.75,0.75,0.8120748299319729,0.919445850602982,0.8894103656383406,0.1428571428571428,0.1904761904761904,0.0069813728332519
FeatureEnvy,AdaBoost,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.875,0.875,0.8401360544217685,0.9162091517411928,0.8828723891992799,0.0952380952380952,0.0952380952380952,0.00697922706604
FeatureEnvy,AdaBoost,0.5517241379310345,0.8421052631578947,0.2758620689655172,0.7272727272727273,0.1034482758620689,0.5,0.6666666666666666,0.6666666666666666,1.0,0.9642857142857144,0.0,0.0,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.8809523809523809,0.6875,0.875,0.8279967159277503,0.8607646420025444,0.8393379905314212,0.1904761904761904,0.3809523809523809,0.0069813728332519
FeatureEnvy,AdaBoost,0.4827586206896552,0.7368421052631579,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,1.0,1.0,0.8214285714285714,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.1071428571428571,0.0,0.8333333333333334,0.625,0.625,0.8017241379310345,0.8167672214005264,0.7902700656125202,0.238095238095238,0.3809523809523809,0.0079779624938964
FeatureEnvy,AdaBoost,0.6666666666666666,1.0,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.6666666666666666,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.0,0.8809523809523809,0.75,0.75,0.84347442680776,0.9117859097508396,0.8750296490477629,0.119047619047619,0.119047619047619,0.0069811344146728
FeatureEnvy,AdaBoost,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.7777777777777778,0.6666666666666666,0.9285714285714286,0.0,0.0,0.5,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0714285714285714,0.0,0.0,0.8571428571428571,0.6875,0.875,0.8373015873015873,0.8816007595628376,0.8464482786014793,0.1666666666666666,0.2142857142857142,0.0069453716278076
FeatureEnvy,AdaBoost,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.7777777777777778,0.3333333333333333,1.0,0.0,0.0,0.5,0.2222222222222222,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.9375,1.0,0.7799823633156968,0.8391573729333597,0.817843618067997,0.1666666666666666,0.2619047619047619,0.0079789161682128
FeatureEnvy,AdaBoost,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.8,0.5,0.9642857142857144,0.5,0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.8125,1.0,0.8248299319727892,0.7974093737299128,0.77350520410536,0.1904761904761904,0.3809523809523809,0.0069978237152099
FeatureEnvy,AdaBoost,0.5714285714285714,0.8888888888888888,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.8333333333333336,0.9829532964991732,0.9481996460700348,0.0952380952380952,0.0952380952380952,0.0069813728332519
FeatureEnvy,AdaBoost,0.4285714285714285,0.6666666666666666,0.2142857142857142,0.6,0.1071428571428571,0.5,1.0,0.9,1.0,0.8214285714285714,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0357142857142857,0.1071428571428571,0.0357142857142857,0.8571428571428571,0.75,0.625,0.8035714285714285,0.7631334369322179,0.7467851126958306,0.2619047619047619,0.5476190476190477,0.0079798698425292
FeatureEnvy,AdaBoost,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.6,0.5,1.0,0.0,0.0,0.0,0.2,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.8125,0.875,0.7789115646258502,0.8686790098255984,0.8460191630842901,0.1666666666666666,0.2619047619047619,0.0069437026977539
FeatureEnvy,AdaBoost,0.5714285714285714,0.8888888888888888,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,0.5,0.9,0.0,0.9642857142857144,0.5,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.75,0.75,0.7661564625850339,0.8777861383085643,0.84361482195058,0.1666666666666666,0.3095238095238095,0.0079786777496337
