Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
DataClass,AdaRank,0.2459016393442623,0.625,0.1147540983606557,0.5833333333333334,0.0327868852459016,0.3333333333333333,0.0,0.7272727272727273,0.0,0.1875,0.0833333333333333,0.0,0.9166666666666666,0.1818181818181818,0.0909090909090909,0.0,0.3333333333333333,0.6666666666666666,0.0,0.125,0.6875,0.0,0.2619047619047619,0.25,0.375,0.5778688524590165,0.1960143535544037,0.1765896506408862,1.0952380952380951,1.8571428571428568,1.1971299648284912
DataClass,AdaRank,0.1612903225806451,0.4166666666666667,0.0806451612903225,0.4166666666666667,0.032258064516129,0.3333333333333333,0.0,0.7272727272727273,0.0,0.2,0.0,0.0,1.0,0.0909090909090909,0.1818181818181818,0.0,0.5,0.5,0.0,0.1333333333333333,0.6666666666666666,0.0,0.2619047619047619,0.375,0.375,0.5768049155145928,0.3178414654205058,0.2880714736943701,1.0,1.5238095238095235,1.1579475402832031
DataClass,AdaRank,0.1129032258064516,0.2916666666666667,0.032258064516129,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.6082949308755762,0.1688874458749607,0.1564258264319595,8.142857142857142,69.85714285714286,1.2865605354309082
DataClass,AdaRank,0.234375,0.625,0.0625,0.3333333333333333,0.015625,0.1666666666666666,0.0,0.8181818181818182,0.0,0.1333333333333333,0.0,0.0,1.0,0.1818181818181818,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.8666666666666667,0.0,0.2619047619047619,0.125,0.125,0.5740327380952381,0.1687821057431934,0.1564927277697355,1.0952380952380951,1.809523809523809,1.3165276050567627
DataClass,AdaRank,0.203125,0.5416666666666666,0.078125,0.4166666666666667,0.046875,0.5,0.0,0.0909090909090909,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0,0.0238095238095238,0.0,0.0,0.5022321428571429,-0.0868809798611056,-0.0782115582111163,9.095238095238097,93.42857142857144,1.320429801940918
DataClass,AdaRank,0.234375,0.625,0.09375,0.5,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0769230769230769,0.0,0.0,0.0909090909090909,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.4933035714285714,0.0070265897393587,0.006514969050713,6.904761904761905,52.333333333333336,1.350389003753662
DataClass,AdaRank,0.234375,0.625,0.078125,0.4166666666666667,0.03125,0.3333333333333333,0.0,0.8181818181818182,0.3333333333333333,0.3333333333333333,0.2307692307692307,0.0,0.7692307692307693,0.1818181818181818,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0666666666666666,0.6,0.0,0.3571428571428571,0.375,0.375,0.6019345238095238,0.1676109125638998,0.1548133586113532,1.0476190476190477,2.0,1.1707749366760254
DataClass,AdaRank,0.2857142857142857,0.75,0.1269841269841269,0.6666666666666666,0.0317460317460317,0.3333333333333333,0.0,0.0833333333333333,0.0,1.0,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.1875,0.25,0.5859788359788362,0.0405660796419121,0.0376022231091472,1.4523809523809523,3.690476190476191,1.15924334526062
DataClass,AdaRank,0.2857142857142857,0.75,0.1111111111111111,0.5833333333333334,0.0317460317460317,0.3333333333333333,0.0,0.75,0.3333333333333333,0.0666666666666666,0.0833333333333333,0.0,0.9166666666666666,0.25,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4666666666666667,0.4666666666666667,0.0,0.2619047619047619,0.375,0.375,0.5576341647770221,0.3331229016404811,0.2831324044061859,1.0238095238095235,1.6428571428571428,1.143629550933838
DataClass,AdaRank,0.2857142857142857,0.75,0.1428571428571428,0.75,0.0476190476190476,0.5,0.0,0.75,0.0,0.1333333333333333,0.0,0.1666666666666666,0.8333333333333334,0.0833333333333333,0.1666666666666666,0.0,0.0,1.0,0.0,0.0,0.8666666666666667,0.0,0.2619047619047619,0.3125,0.375,0.526643990929705,-0.0393511293014599,-0.0350441615664916,1.119047619047619,1.880952380952381,1.1279346942901611
