Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,AdaRank,0.2222222222222222,0.3333333333333333,0.074074074074074,0.2,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.4801587301587303,-0.029023592618547,-0.0270880361173814,17.642857142857142,394.5,1.4190075397491455
FeatureEnvy,AdaRank,0.1111111111111111,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0238095238095238,0.0,0.0,0.453703703703704,-0.1187198064987337,-0.1021060032220192,23.69047619047619,590.5,1.4013457298278809
FeatureEnvy,AdaRank,0.2592592592592592,0.3888888888888889,0.1481481481481481,0.4,0.037037037037037,0.1666666666666666,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.6891534391534392,0.0070815478769785,0.0087107319938921,4.809523809523809,38.85714285714285,1.4396491050720217
FeatureEnvy,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.407312925170068,-0.1597299452487148,-0.1388842257442615,23.80952380952381,631.4285714285714,1.3651793003082275
FeatureEnvy,AdaRank,0.2142857142857142,0.3333333333333333,0.0714285714285714,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6875,0.625,0.4744897959183671,0.0261642761387271,0.024647513396429302,0.6666666666666666,1.4285714285714286,1.2189760208129885
FeatureEnvy,AdaRank,0.1785714285714285,0.2777777777777778,0.0714285714285714,0.2,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0952380952380952,0.0,0.0,0.4319727891156462,0.1433011209572543,0.1328406249900426,3.761904761904762,34.333333333333336,1.4727988243103027
FeatureEnvy,AdaRank,0.25,0.3888888888888889,0.1071428571428571,0.3,0.0,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.5705782312925172,0.1548875820505336,0.1331000339555483,10.595238095238097,182.54761904761904,1.3620409965515137
FeatureEnvy,AdaRank,0.1428571428571428,0.2222222222222222,0.0714285714285714,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4200680272108843,-0.1372660936071013,-0.1231762789248791,25.38095238095238,673.952380952381,1.4257493019104004
FeatureEnvy,AdaRank,0.3448275862068966,0.5263157894736842,0.1724137931034483,0.4545454545454545,0.1034482758620689,0.5,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.5135467980295567,0.0153622060237011,0.0158371446048526,28.73809523809524,914.690476190476,1.543842315673828
FeatureEnvy,AdaRank,0.1724137931034483,0.2631578947368421,0.1034482758620689,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4183087027914617,-0.1438422509029928,-0.1341938972330023,27.261904761904763,747.5952380952381,1.361323595046997
FeatureEnvy,AdaRank,0.1111111111111111,0.1666666666666666,0.1111111111111111,0.3,0.074074074074074,0.3333333333333333,0.0,0.4444444444444444,0.0,0.1785714285714285,0.0,0.5,0.5,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,0.1428571428571428,0.1071428571428571,0.2142857142857142,0.2142857142857142,0.0,0.0,0.4298941798941794,-0.1246263074163755,-0.1149325109063703,3.261904761904762,37.40476190476191,1.3509745597839355
FeatureEnvy,AdaRank,0.4074074074074074,0.6111111111111112,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.5171957671957671,0.00359854512306,0.0031534446190261,23.88095238095238,620.4047619047619,1.442514419555664
FeatureEnvy,AdaRank,0.2222222222222222,0.3333333333333333,0.1481481481481481,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436067019400353,-0.0584813386042955,-0.0451528427856823,25.785714285714285,710.4047619047619,1.8630175590515137
FeatureEnvy,AdaRank,0.3571428571428571,0.5555555555555556,0.0714285714285714,0.2,0.0714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6122448979591838,0.0446331646084439,0.0434506765976482,30.09523809523809,1028.2380952380952,1.5248231887817385
FeatureEnvy,AdaRank,0.2142857142857142,0.3333333333333333,0.1428571428571428,0.4,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.585034013605442,0.0063215371842888,0.0059864142826321,24.571428571428573,686.3333333333334,1.3957159519195557
FeatureEnvy,AdaRank,0.0714285714285714,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.4285714285714285,-0.1611523358163372,-0.1384918966391618,23.52380952380953,581.1904761904761,1.3984878063201904
FeatureEnvy,AdaRank,0.25,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.6028911564625851,0.0470234531550217,0.0448856716090681,22.285714285714285,614.0952380952381,1.423537254333496
FeatureEnvy,AdaRank,0.4642857142857143,0.7222222222222222,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.461734693877551,0.0220263597486135,0.020687103264457,18.857142857142858,426.57142857142856,1.3803553581237793
FeatureEnvy,AdaRank,0.1034482758620689,0.1578947368421052,0.1034482758620689,0.2727272727272727,0.1034482758620689,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5625,0.875,0.5751231527093598,0.0261642761387271,0.024647513396429302,0.6904761904761905,1.5476190476190477,1.2663583755493164
FeatureEnvy,AdaRank,0.2068965517241379,0.3157894736842105,0.0689655172413793,0.1818181818181818,0.0689655172413793,0.3333333333333333,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.5734811165845647,0.2202609925903382,0.2061263842413467,4.095238095238095,44.57142857142857,1.4254460334777832
FeatureEnvy,AdaRank,0.2222222222222222,0.3333333333333333,0.074074074074074,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5057319223985892,-0.0026237530706189,-0.0018314311843295,29.714285714285715,907.2857142857144,1.428117275238037
FeatureEnvy,AdaRank,0.2592592592592592,0.3888888888888889,0.1851851851851851,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5868606701940036,0.2403967408777868,0.2063447279586967,24.452380952380956,599.8333333333334,1.3761417865753174
