Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,AdaRank,0.064516129032258,0.1,0.064516129032258,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0476190476190476,0.0,0.0,0.5410906298003071,0.1411292326526413,0.1057151096191837,11.285714285714286,148.9047619047619,1.3910307884216309
LongMethod,AdaRank,0.5806451612903226,0.9,0.3870967741935484,1.0,0.1935483870967742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0714285714285714,0.1071428571428571,0.0,0.0,0.0,0.823732718894009,0.762637345228894,0.6505409838740464,16.714285714285715,565.952380952381,2.555478096008301
LongMethod,AdaRank,0.2580645161290322,0.4,0.1612903225806451,0.4166666666666667,0.064516129032258,0.3333333333333333,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.0,0.0,0.6678187403993856,0.1527756317024796,0.1454785934906615,3.3095238095238093,21.452380952380956,1.4329257011413574
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1785714285714285,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.8214285714285714,0.2142857142857142,0.0625,0.0,0.620199692780338,0.1516821652560012,0.145802960879951,1.9285714285714288,5.309523809523809,1.3515450954437256
LongMethod,AdaRank,0.2333333333333333,0.3684210526315789,0.1333333333333333,0.3636363636363636,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.6198412698412702,0.3346758205024522,0.3137126982389248,11.238095238095235,135.23809523809524,1.4775457382202148
LongMethod,AdaRank,0.2333333333333333,0.3684210526315789,0.0666666666666666,0.1818181818181818,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.1785714285714285,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119047619047619,0.0,0.0,0.5396825396825399,0.1486505876494464,0.1435427203258164,16.523809523809526,317.8095238095238,1.427703857421875
LongMethod,AdaRank,0.3,0.4736842105263157,0.0666666666666666,0.1818181818181818,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0,0.0,0.5380952380952378,-0.0155067662688126,-0.0137615040861516,12.595238095238097,192.78571428571428,1.3786208629608154
LongMethod,AdaRank,0.0666666666666666,0.1052631578947368,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.9285714285714286,0.119047619047619,0.0625,0.0,0.5428571428571429,-0.1825260979914026,-0.176254215004713,2.2142857142857144,6.119047619047619,1.365854024887085
LongMethod,AdaRank,0.1333333333333333,0.2105263157894736,0.0666666666666666,0.1818181818181818,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,1.0,0.0714285714285714,0.0,0.1428571428571428,0.0,0.0,0.0,0.5539682539682541,0.0600963836993669,0.0485322540915377,15.833333333333334,312.6904761904762,1.4252288341522217
LongMethod,AdaRank,0.3793103448275862,0.5789473684210527,0.0689655172413793,0.1818181818181818,0.0689655172413793,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.5020525451559937,-0.064821180407388,-0.061862529405857,14.428571428571429,238.28571428571428,1.4009332656860352
LongMethod,AdaRank,0.064516129032258,0.1,0.064516129032258,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.3383256528417822,-0.060925145220088,-0.0585636851249944,3.1666666666666665,11.452380952380953,1.2034339904785156
LongMethod,AdaRank,0.2258064516129032,0.35,0.0967741935483871,0.25,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.25,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0714285714285714,0.0,0.0,0.5710445468509984,0.1823942569756237,0.1663484498717571,13.333333333333334,210.66666666666663,1.4277284145355225
LongMethod,AdaRank,0.064516129032258,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0238095238095238,0.0,0.0,0.5572196620583717,0.2096259130439932,0.1954034605868497,15.571428571428571,266.6666666666667,1.371462106704712
LongMethod,AdaRank,0.2903225806451613,0.45,0.0967741935483871,0.25,0.0,0.0,0.0,0.0,0.0,0.1785714285714285,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.119047619047619,0.0,0.0,0.606374807987711,0.2237680769347442,0.1904761904761904,7.809523809523809,76.14285714285714,1.3203821182250977
LongMethod,AdaRank,0.2666666666666666,0.4210526315789473,0.1,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904761904761904,0.0,0.0,0.5365079365079365,0.210322369042613,0.2030953625890989,15.142857142857142,290.1904761904762,1.3967273235321045
LongMethod,AdaRank,0.1333333333333333,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1785714285714285,0.0,0.0,0.0238095238095238,0.0,0.0,0.4984126984126979,0.0510918459365824,0.0465925227536433,14.666666666666666,254.52380952380952,1.4717321395874023
LongMethod,AdaRank,0.0333333333333333,0.0526315789473684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,0.1428571428571428,0.125,0.0,0.7126984126984128,0.0107638872667271,0.0104627470095724,2.452380952380953,13.261904761904765,1.3087902069091797
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.9285714285714286,0.119047619047619,0.125,0.0,0.5476190476190474,0.0091807443549581,0.0088652795805579,2.1666666666666665,5.976190476190476,1.3813669681549072
LongMethod,AdaRank,0.0666666666666666,0.1052631578947368,0.0666666666666666,0.1818181818181818,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.5626984126984126,0.0710536770948137,0.063497940754271,16.19047619047619,309.2857142857143,1.4284863471984863
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8928571428571429,0.1428571428571428,0.0625,0.0,0.569376026272578,0.1922996063202198,0.1844822116191411,2.095238095238096,5.761904761904762,1.38277006149292
LongMethod,AdaRank,0.032258064516129,0.05,0.032258064516129,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.0,0.5810291858678958,0.3347749514336635,0.3162839837133552,2.9761904761904763,9.833333333333334,1.3528590202331543
LongMethod,AdaRank,0.1612903225806451,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,1.0,0.0,0.0,0.9285714285714286,0.119047619047619,0.0625,0.0,0.3951612903225805,-0.1932640872072511,-0.1835929894634283,2.619047619047619,14.61904761904762,1.4759714603424072
LongMethod,AdaRank,0.0967741935483871,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.25,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0238095238095238,0.0,0.0,0.4673579109062979,-0.0182979622981376,-0.0183243910632434,14.404761904761903,257.35714285714283,1.455005168914795
LongMethod,AdaRank,0.1290322580645161,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.2857142857142857,0.0357142857142857,0.0,0.0238095238095238,0.0,0.0,0.5541474654377878,0.0409498772964534,0.0369060078869335,14.238095238095235,289.3333333333333,1.43892502784729
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.6428571428571429,0.0952380952380952,0.0625,0.0,0.4920634920634921,-0.2710136229318869,-0.2557978633305066,2.4761904761904763,7.761904761904762,1.44559907913208
LongMethod,AdaRank,0.1666666666666666,0.2631578947368421,0.0666666666666666,0.1818181818181818,0.0,0.0,0.6666666666666666,0.5,0.0,0.0357142857142857,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.4642857142857143,0.5,0.1904761904761904,0.0625,0.125,0.465079365079365,0.0773787662947884,0.073852120330153,1.809523809523809,4.476190476190476,1.335662603378296
LongMethod,AdaRank,0.0333333333333333,0.0526315789473684,0.0333333333333333,0.0909090909090909,0.0333333333333333,0.1666666666666666,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.5801587301587301,-0.1825260979914026,-0.176254215004713,3.095238095238096,11.142857142857142,1.4263439178466797
LongMethod,AdaRank,0.4,0.631578947368421,0.0666666666666666,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0476190476190476,0.0,0.0,0.6015873015873019,0.0629398441638412,0.0595437451954758,12.142857142857142,183.6190476190476,1.3678112030029297
LongMethod,AdaRank,0.1333333333333333,0.2105263157894736,0.0666666666666666,0.1818181818181818,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1785714285714285,0.0,0.0,0.0476190476190476,0.0,0.0,0.5166666666666664,0.0011963798599108,-0.0017843776411073,8.738095238095237,97.6904761904762,1.2658426761627195
LongMethod,AdaRank,0.0689655172413793,0.1052631578947368,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.8928571428571429,0.1428571428571428,0.0,0.0,0.5061576354679805,0.0602547793882372,0.0578052923501832,2.119047619047619,5.833333333333333,1.3311667442321775
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8928571428571429,0.1428571428571428,0.0,0.0,0.5288018433179722,0.0640794847276456,0.061113233135214,2.4761904761904763,13.38095238095238,1.3350098133087158
LongMethod,AdaRank,0.064516129032258,0.1,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0714285714285714,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.9285714285714286,0.0,0.1904761904761904,0.1875,0.125,0.5963901689708143,-0.1711830953650444,-0.1645480344686141,1.5,2.880952380952381,1.3194591999053955
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.4980798771121354,-0.2388163063031612,-0.2247381152186528,3.4047619047619047,13.452380952380953,1.3652963638305664
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1111111111111111,0.0,0.1428571428571428,0.0,0.0,0.25,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.3571428571428571,0.5,0.1904761904761904,0.125,0.0,0.6033026113671274,0.1697372094386104,0.1548418306318014,1.7857142857142858,4.404761904761905,1.3134257793426514
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532539682539682,0.0640607715640519,0.0595437451954758,3.2857142857142856,11.904761904761903,1.4129433631896973
LongMethod,AdaRank,0.0666666666666666,0.1052631578947368,0.0666666666666666,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.4738095238095238,0.108561775332972,0.1048314224727046,3.1904761904761907,11.523809523809524,1.4138782024383545
LongMethod,AdaRank,0.1666666666666666,0.2631578947368421,0.0666666666666666,0.1818181818181818,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.6198412698412699,0.1839864250299754,0.1776643629159774,14.38095238095238,247.6190476190476,1.3762309551239014
LongMethod,AdaRank,0.1333333333333333,0.2105263157894736,0.0666666666666666,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.4992063492063495,-0.0033440160357797,0.0,10.19047619047619,113.47619047619048,1.3471903800964355
LongMethod,AdaRank,0.0666666666666666,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.5801587301587307,0.2276793951041825,0.2061828940929041,13.11904761904762,186.78571428571428,1.397465467453003
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.9285714285714286,0.119047619047619,0.0625,0.0,0.4700328407224962,0.0045785620552433,0.0043924336099795,2.1904761904761907,6.047619047619048,1.377340316772461
LongMethod,AdaRank,0.2903225806451613,0.45,0.2258064516129032,0.5833333333333334,0.1612903225806451,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,0.4865591397849464,-0.0094389414480932,-0.0063211743961902,19.0,386.04761904761904,1.4584383964538574
LongMethod,AdaRank,0.032258064516129,0.05,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0714285714285714,0.0,0.0,0.0,0.1111111111111111,0.0,0.5555555555555556,0.0,0.0,1.0,0.0,0.4285714285714285,0.5,0.2142857142857142,0.0625,0.0,0.6079109062980027,0.2108767785239109,0.1962293770695557,1.7857142857142858,4.4523809523809526,1.2889351844787598
LongMethod,AdaRank,0.0967741935483871,0.15,0.0967741935483871,0.25,0.0,0.0,1.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,0.1666666666666666,0.0625,0.125,0.508064516129032,0.0142902376592455,0.0138551041419677,2.4285714285714284,13.238095238095235,1.331614971160889
LongMethod,AdaRank,0.064516129032258,0.1,0.064516129032258,0.1666666666666666,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9642857142857144,0.119047619047619,0.0625,0.0,0.6731950844854072,0.1083140983167615,0.1041158412590707,2.1904761904761907,6.095238095238095,1.336555004119873
LongMethod,AdaRank,0.1,0.1578947368421052,0.0333333333333333,0.0909090909090909,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0714285714285714,0.2142857142857142,0.0476190476190476,0.0,0.0,0.5912698412698415,0.2316600514041506,0.1813954579782047,10.976190476190476,166.21428571428572,1.460379123687744
LongMethod,AdaRank,0.1666666666666666,0.2631578947368421,0.0666666666666666,0.1818181818181818,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.5634920634920632,0.0554765048765849,0.052522573143889,19.52380952380953,396.7619047619048,1.4083373546600342
LongMethod,AdaRank,0.2,0.3157894736842105,0.1333333333333333,0.3636363636363636,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.5365079365079365,-0.0510878046988436,-0.0493323476072606,13.0,222.7619047619048,1.3747096061706543
LongMethod,AdaRank,0.0666666666666666,0.1052631578947368,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9642857142857144,0.0952380952380952,0.0,0.0,0.4825396825396826,0.108561775332972,0.1048314224727046,2.2142857142857144,6.119047619047619,1.4287216663360596
LongMethod,AdaRank,0.2,0.3157894736842105,0.0333333333333333,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.4888888888888885,0.0179682573343275,0.0175624931959287,14.595238095238097,232.78571428571428,1.3977646827697754
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.6366995073891624,0.1550368991049953,0.1487343140049673,3.119047619047619,11.261904761904765,1.4404442310333252
LongMethod,AdaRank,0.2580645161290322,0.4,0.032258064516129,0.0833333333333333,0.032258064516129,0.1666666666666666,0.0,0.0,0.0,0.1428571428571428,0.25,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952380952380952,0.0,0.0,0.4819508448540706,0.0498535439626557,0.0480364004507035,14.023809523809524,226.83333333333331,1.3938558101654053
LongMethod,AdaRank,0.0967741935483871,0.15,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.1071428571428571,0.0,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,0.0,0.0,1.0,0.0,0.3571428571428571,0.5357142857142857,0.1904761904761904,0.1875,0.125,0.5825652841781874,0.3031091018137173,0.2809102251089337,1.809523809523809,4.523809523809524,1.3503949642181396
LongMethod,AdaRank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6209677419354837,-0.1934180327085026,-0.1859211451054834,3.261904761904762,11.833333333333334,1.352233648300171
LongMethod,AdaRank,0.032258064516129,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.9285714285714286,0.1428571428571428,0.0,0.0,0.4535330261136711,0.0137396985766956,0.0132071475291721,2.142857142857143,5.9523809523809526,1.3659191131591797
LongMethod,AdaRank,0.3,0.4736842105263157,0.1333333333333333,0.3636363636363636,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.5420634920634924,0.0963399365169631,0.0930295452061931,15.666666666666666,300.6666666666667,1.459143877029419
LongMethod,AdaRank,0.1666666666666666,0.2631578947368421,0.1666666666666666,0.4545454545454545,0.1,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0714285714285714,0.0,0.6071428571428571,0.0476190476190476,0.0,0.0,0.55,-0.0018553428388205,0.0021593941071901,4.428571428571429,56.38095238095238,1.4404973983764648
LongMethod,AdaRank,0.1666666666666666,0.2631578947368421,0.0666666666666666,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.5357142857142857,0.0476190476190476,0.0,0.0,0.6476190476190479,0.3244042827290083,0.3069312698527547,2.9761904761904763,15.642857142857142,1.3511269092559814
