Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,BRR,0.6129032258064516,0.95,0.3548387096774194,0.9166666666666666,0.1612903225806451,0.8333333333333334,0.0,0.5555555555555556,1.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.5625,0.5,0.8252688172043007,0.9346939371787384,0.8895267558053348,0.2142857142857142,0.2619047619047619,0.0262136459350585
LongMethod,BRR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1612903225806451,0.8333333333333334,0.25,0.6666666666666666,0.0,0.8928571428571429,0.0,0.0,0.75,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1071428571428571,0.0,0.0,0.7619047619047619,0.4375,0.625,0.8283410138248848,0.90419966670356,0.8488573980566636,0.238095238095238,0.238095238095238,0.0070223808288574
LongMethod,BRR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.5,0.7777777777777778,0.0,0.8214285714285714,0.0,0.0,0.5,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.1785714285714285,0.0,0.0,0.7619047619047619,0.5625,0.75,0.8429339477726574,0.8880923673893305,0.8261092354078015,0.238095238095238,0.238095238095238,0.0049855709075927
LongMethod,BRR,0.5161290322580645,0.8,0.2258064516129032,0.5833333333333334,0.1612903225806451,0.8333333333333334,0.0,0.6666666666666666,0.0,0.8928571428571429,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0714285714285714,0.0357142857142857,0.0,0.7380952380952381,0.375,0.625,0.8283410138248847,0.8709242386196413,0.8173378965356997,0.2857142857142857,0.3333333333333333,0.0079188346862792
LongMethod,BRR,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,0.6,1.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.6875,1.0,0.8444444444444446,0.960028254755904,0.935202762683204,0.119047619047619,0.119047619047619,0.0069444179534912
LongMethod,BRR,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,0.7,1.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.7857142857142857,0.625,1.0,0.8246031746031744,0.8580340457729382,0.8259126233700551,0.2142857142857142,0.2142857142857142,0.004948616027832
LongMethod,BRR,0.6,0.9473684210526316,0.3,0.8181818181818182,0.1333333333333333,0.6666666666666666,0.0,0.8,1.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.7857142857142857,0.5625,0.625,0.8380952380952382,0.8958913288468963,0.8366560250895912,0.2142857142857142,0.2142857142857142,0.004988670349121
LongMethod,BRR,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.1666666666666666,0.8333333333333334,0.6666666666666666,0.4,0.0,0.8571428571428571,0.0,0.0,0.3333333333333333,0.0,0.4,0.2,0.0,1.0,0.0,0.1428571428571428,0.0,0.0,0.7142857142857143,0.375,0.625,0.8230158730158733,0.8752147016241774,0.815960618535093,0.2857142857142857,0.2857142857142857,0.0055029392242431
LongMethod,BRR,0.6,0.9473684210526316,0.3666666666666666,1.0,0.2,1.0,1.0,0.8,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0714285714285714,0.0,0.0,0.8809523809523809,0.6875,0.75,0.8468253968253969,0.945084421625098,0.9087907874057398,0.119047619047619,0.119047619047619,0.0069804191589355
LongMethod,BRR,0.5517241379310345,0.8421052631578947,0.2758620689655172,0.7272727272727273,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.7777777777777778,0.5,0.75,0.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.7142857142857143,0.5625,0.875,0.8394909688013136,0.844008095432537,0.7883321830057082,0.2857142857142857,0.2857142857142857,0.0059707164764404
LongMethod,BRR,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.5,0.3333333333333333,0.0,0.8214285714285714,0.0,0.0,0.5,0.0,0.5555555555555556,0.1111111111111111,0.0,1.0,0.0,0.1785714285714285,0.0,0.0,0.6666666666666666,0.3125,0.625,0.824500768049155,0.8496081856396023,0.7934728211694687,0.3333333333333333,0.3333333333333333,0.0069689750671386
LongMethod,BRR,0.5806451612903226,0.9,0.2580645161290322,0.6666666666666666,0.1612903225806451,0.8333333333333334,0.25,0.6666666666666666,0.0,0.9285714285714286,0.0,0.0,0.75,0.0,0.2222222222222222,0.1111111111111111,0.0,1.0,0.0,0.0714285714285714,0.0,0.0,0.7857142857142857,0.4375,0.5,0.8444700460829494,0.9257817391194556,0.8636363636363636,0.2142857142857142,0.2142857142857142,0.0060150623321533
LongMethod,BRR,0.5483870967741935,0.85,0.2903225806451613,0.75,0.1290322580645161,0.6666666666666666,0.0,0.7777777777777778,0.0,0.8214285714285714,0.0,0.0,1.0,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.1785714285714285,0.0,0.0,0.7142857142857143,0.4375,0.5,0.8221966205837172,0.8795427918534202,0.8027611800157877,0.2857142857142857,0.2857142857142857,0.0079820156097412
LongMethod,BRR,0.6451612903225806,1.0,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.6666666666666666,1.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.8571428571428571,0.625,0.75,0.8483102918586791,0.9582944000072524,0.925939694954698,0.1428571428571428,0.1428571428571428,0.005983829498291
LongMethod,BRR,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,0.6666666666666666,0.7,0.0,0.8928571428571429,0.0,0.0,0.3333333333333333,0.0,0.3,0.0,0.0,1.0,0.0,0.1071428571428571,0.0,0.0,0.8095238095238095,0.5625,0.875,0.8293650793650796,0.9085009362212936,0.8606994066453678,0.1904761904761904,0.1904761904761904,0.0069732666015625
