Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,Bagging,0.6666666666666666,1.0,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,1.0,1.0,0.7200176366843032,0.8138754661164871,0.8048141391031214,0.1666666666666666,0.3095238095238095,0.2064833641052246
FeatureEnvy,Bagging,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.2222222222222222,1.0,1.0,1.0,1.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.9523809523809524,0.875,0.875,0.828483245149912,0.8702239464648954,0.8672679967169526,0.119047619047619,0.3095238095238095,0.1965184211730957
FeatureEnvy,Bagging,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.2222222222222222,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.9761904761904762,0.9375,0.875,0.8584656084656087,0.9961392948153028,0.9875170933879924,0.0238095238095238,0.0238095238095238,0.198469877243042
FeatureEnvy,Bagging,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.8,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8494897959183675,0.9877093430961322,0.9602124732943152,0.0714285714285714,0.0714285714285714,0.2024953365325927
FeatureEnvy,Bagging,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.875,0.8222789115646261,0.9662016347103628,0.9401250139390852,0.0714285714285714,0.0714285714285714,0.2084860801696777
FeatureEnvy,Bagging,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,1.0,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.9285714285714286,0.875,0.875,0.8375850340136057,0.9449005714186758,0.9200963854790668,0.0714285714285714,0.0714285714285714,0.2014932632446289
FeatureEnvy,Bagging,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.9,0.0,0.9642857142857144,0.0,0.0,0.5,0.1,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.75,0.75,0.8095238095238098,0.8611073258921161,0.8377241775185392,0.1666666666666666,0.2619047619047619,0.200465440750122
FeatureEnvy,Bagging,0.5714285714285714,0.8888888888888888,0.2857142857142857,0.8,0.2142857142857142,1.0,1.0,0.9,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.9047619047619048,0.75,0.875,0.8460884353741497,0.8922392242863058,0.8690828214499855,0.119047619047619,0.1666666666666666,0.2015020847320556
FeatureEnvy,Bagging,0.5862068965517241,0.8947368421052632,0.3793103448275862,1.0,0.2068965517241379,1.0,1.0,0.7777777777777778,1.0,0.9285714285714286,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.9047619047619048,0.8125,0.875,0.8321018062397372,0.8695344179538949,0.8541700192094334,0.1428571428571428,0.238095238095238,0.2064476013183593
FeatureEnvy,Bagging,0.5862068965517241,0.8947368421052632,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.7777777777777778,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.2222222222222222,0.0,0.5,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.5,0.8329228243021346,0.9019932555401752,0.866551566036381,0.1666666666666666,0.3095238095238095,0.2044949531555175
FeatureEnvy,Bagging,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.8888888888888888,0.3333333333333333,0.9285714285714286,0.0,0.0,1.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8333333333333334,0.625,0.75,0.8214285714285712,0.8730542992496204,0.8303188671401325,0.1904761904761904,0.238095238095238,0.20149827003479
FeatureEnvy,Bagging,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,0.875,0.8505291005291006,0.968627670487422,0.9538114167450834,0.0476190476190476,0.0476190476190476,0.1935241222381591
FeatureEnvy,Bagging,0.6666666666666666,1.0,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.6666666666666666,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.9523809523809524,0.875,1.0,0.8408289241622576,0.9466330036053504,0.9375583936787152,0.0714285714285714,0.119047619047619,0.1994664669036865
FeatureEnvy,Bagging,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.5,0.7,1.0,1.0,0.0,0.0,0.5,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8494897959183675,0.9851102473553328,0.9515150912737868,0.0952380952380952,0.0952380952380952,0.2234034538269043
FeatureEnvy,Bagging,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.9,0.5,1.0,0.0,0.0,0.5,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,1.0,0.7993197278911561,0.919695911013326,0.9029050586015,0.0952380952380952,0.1428571428571428,0.1994688510894775
FeatureEnvy,Bagging,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,1.0,1.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9761904761904762,0.9375,1.0,0.8528911564625851,0.9752476593434316,0.9680460610847088,0.0238095238095238,0.0238095238095238,0.204458475112915
FeatureEnvy,Bagging,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.75,0.75,0.8248299319727892,0.9384574349345252,0.9008128158627496,0.119047619047619,0.119047619047619,0.1985070705413818
FeatureEnvy,Bagging,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.875,0.8409863945578231,0.9453604041350016,0.9202229764762558,0.0714285714285714,0.0714285714285714,0.2054946422576904
FeatureEnvy,Bagging,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.1034482758620689,0.5,1.0,0.8888888888888888,1.0,0.9642857142857144,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.9523809523809524,0.875,0.875,0.8321018062397372,0.8718679533452653,0.8687005468607072,0.119047619047619,0.3095238095238095,0.2074866294860839
FeatureEnvy,Bagging,0.5517241379310345,0.8421052631578947,0.3103448275862069,0.8181818181818182,0.1724137931034483,0.8333333333333334,0.3333333333333333,1.0,0.5,0.8571428571428571,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.0714285714285714,0.0714285714285714,0.0,0.8333333333333334,0.625,0.5,0.7984400656814449,0.8596597494986907,0.8233578210272919,0.2142857142857142,0.3095238095238095,0.197502851486206
FeatureEnvy,Bagging,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.6666666666666666,0.9285714285714286,0.5,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.0,0.8809523809523809,0.8125,0.875,0.7658730158730158,0.823482663075369,0.7968700106861784,0.1666666666666666,0.3095238095238095,0.2054884433746338
FeatureEnvy,Bagging,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.7777777777777778,0.6666666666666666,0.9285714285714286,0.0,0.0,0.5,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0714285714285714,0.0,0.0,0.8571428571428571,0.6875,0.875,0.8373015873015873,0.8816007595628376,0.8464482786014793,0.1666666666666666,0.2142857142857142,0.19547700881958
FeatureEnvy,Bagging,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.8888888888888888,0.6666666666666666,1.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.875,0.875,0.7967372134038803,0.913550904439772,0.8920463570358144,0.119047619047619,0.1666666666666666,0.2044997215270996
FeatureEnvy,Bagging,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,1.0,0.8435374149659867,0.970789199851266,0.9545158340311762,0.0476190476190476,0.0476190476190476,0.2054872512817382
FeatureEnvy,Bagging,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.875,0.875,0.8477891156462585,0.9929327736346232,0.976794983794948,0.0476190476190476,0.0476190476190476,0.2014615535736084
