Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,Bagging,0.5483870967741935,0.85,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.7777777777777778,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8444700460829494,0.9760418241847812,0.930175433694397,0.119047619047619,0.119047619047619,0.2154603004455566
LongMethod,Bagging,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1612903225806451,0.8333333333333334,0.25,1.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8337173579109063,0.9837438169356658,0.9512162189999104,0.0952380952380952,0.0952380952380952,0.2104828357696533
LongMethod,Bagging,0.6451612903225806,1.0,0.3225806451612903,0.8333333333333334,0.1290322580645161,0.6666666666666666,0.75,0.6666666666666666,0.0,1.0,0.0,0.0,0.25,0.0,0.1111111111111111,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8360215053763442,0.9803395176348104,0.939061488886812,0.119047619047619,0.119047619047619,0.2094392776489257
LongMethod,Bagging,0.5483870967741935,0.85,0.2580645161290322,0.6666666666666666,0.0967741935483871,0.5,0.5,0.8888888888888888,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.8809523809523809,0.6875,0.625,0.8175883256528418,0.9010465786983756,0.8629562115346445,0.1666666666666666,0.3095238095238095,0.205451488494873
LongMethod,Bagging,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,1.0,1.0,0.8349206349206344,0.975877158848272,0.967280819570018,0.0238095238095238,0.0238095238095238,0.2154598236083984
LongMethod,Bagging,0.5333333333333333,0.8421052631578947,0.3666666666666666,1.0,0.2,1.0,0.6666666666666666,0.8,0.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.8571428571428571,0.625,0.625,0.8174603174603176,0.8875303436026817,0.8554994795238431,0.1904761904761904,0.2857142857142857,0.1985290050506591
LongMethod,Bagging,0.6,0.9473684210526316,0.3666666666666666,1.0,0.2,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.875,0.75,0.8492063492063494,0.9922490339850788,0.9757843882814446,0.0476190476190476,0.0476190476190476,0.2104358673095703
LongMethod,Bagging,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.9,0.0,0.9642857142857144,0.0,0.0,0.3333333333333333,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.9047619047619048,0.75,0.75,0.8214285714285716,0.9427976963709568,0.9155465899792335,0.119047619047619,0.1666666666666666,0.1994955539703369
LongMethod,Bagging,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,0.9375,1.0,0.8507936507936509,0.996783166993822,0.9886515189124016,0.0238095238095238,0.0238095238095238,0.2014970779418945
LongMethod,Bagging,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.0,0.9642857142857144,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.5625,0.5,0.8082922824302132,0.8891814744755381,0.8477469778188902,0.238095238095238,0.3333333333333333,0.2134304046630859
LongMethod,Bagging,0.5161290322580645,0.8,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.8888888888888888,0.0,0.9285714285714286,0.0,0.0,0.25,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8809523809523809,0.6875,0.75,0.8467741935483871,0.9233411784412764,0.8917535024605366,0.1428571428571428,0.1904761904761904,0.2015073299407959
LongMethod,Bagging,0.6129032258064516,0.95,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.8888888888888888,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8444700460829492,0.9867044659615896,0.959959376152592,0.0714285714285714,0.0714285714285714,0.2104394435882568
LongMethod,Bagging,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.5,0.7777777777777778,0.0,1.0,0.0,0.0,0.5,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.75,0.8398617511520736,0.9377629868887516,0.901668429004309,0.1428571428571428,0.1904761904761904,0.2035067081451416
