Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,CART,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.75,0.7272727272727273,0.6666666666666666,0.8125,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0,0.2727272727272727,0.0,0.3333333333333333,0.0,0.1875,0.0,0.0,0.7619047619047619,0.8125,0.75,0.7203356752537081,0.8817720605305521,0.8182684770350559,0.2619047619047619,0.3095238095238095,0.011009931564331
GodClass,CART,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.9166666666666666,0.6363636363636364,0.0,1.0,0.0,0.0,0.0833333333333333,0.1818181818181818,0.0909090909090909,0.0909090909090909,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.8095238095238095,0.9375,0.875,0.7195550351288059,0.9151163251983578,0.869177576882969,0.238095238095238,0.3333333333333333,0.0059623718261718
GodClass,CART,0.3442622950819672,0.875,0.180327868852459,0.9166666666666666,0.081967213114754,0.8333333333333334,0.75,0.5454545454545454,0.3333333333333333,1.0,0.0,0.0,0.25,0.0,0.0909090909090909,0.3636363636363636,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.7619047619047619,0.625,0.625,0.7172131147540983,0.9019712121077156,0.843165395102626,0.238095238095238,0.238095238095238,0.0059752464294433
GodClass,CART,0.3174603174603174,0.8333333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.4615384615384615,0.6363636363636364,0.5,0.75,0.0,0.0,0.5384615384615384,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.5,0.0,0.0,0.125,0.125,0.0,0.6190476190476191,0.5625,0.75,0.6880196523053667,0.8001014380384628,0.7292355850400934,0.4523809523809524,0.5952380952380952,0.0100066661834716
GodClass,CART,0.328125,0.875,0.1875,1.0,0.09375,1.0,0.6153846153846154,0.6363636363636364,0.3333333333333333,0.8,0.0,0.0,0.3846153846153846,0.1818181818181818,0.0,0.1818181818181818,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.0,0.6666666666666666,0.625,0.75,0.6666666666666667,0.7436186634831075,0.6750400327475942,0.4761904761904761,0.7619047619047619,0.0069808959960937
GodClass,CART,0.328125,0.875,0.15625,0.8333333333333334,0.09375,1.0,0.7692307692307693,0.6363636363636364,0.3333333333333333,0.8666666666666667,0.0,0.0,0.2307692307692307,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.3333333333333333,0.0,0.3333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.7380952380952381,0.875,0.75,0.7027529761904763,0.8477200926280491,0.7814454278879708,0.3333333333333333,0.4761904761904761,0.0069820880889892
GodClass,CART,0.34375,0.9166666666666666,0.15625,0.8333333333333334,0.09375,1.0,0.8461538461538461,0.4545454545454545,0.0,0.7333333333333333,0.0,0.0,0.1538461538461538,0.0,0.0909090909090909,0.4545454545454545,0.3333333333333333,0.6666666666666666,0.0,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.6428571428571429,0.6875,0.75,0.6715029761904763,0.7979280025716277,0.729507718264767,0.4285714285714285,0.6190476190476191,0.0059723854064941
GodClass,CART,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.7272727272727273,0.3333333333333333,0.9333333333333332,0.0,0.0769230769230769,0.2307692307692307,0.0,0.0909090909090909,0.1818181818181818,0.6666666666666666,0.0,0.0,0.0666666666666666,0.0,0.0,0.7619047619047619,0.75,0.875,0.7075892857142858,0.8860920553116057,0.8160708381649389,0.2619047619047619,0.3095238095238095,0.0069813728332519
GodClass,CART,0.296875,0.7916666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.6923076923076923,0.5454545454545454,0.0,0.8,0.0769230769230769,0.0,0.2307692307692307,0.0,0.0909090909090909,0.3636363636363636,0.3333333333333333,0.6666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.6428571428571429,0.625,0.625,0.6662946428571429,0.7177346364609433,0.6591048050209365,0.4761904761904761,0.8095238095238095,0.0059857368469238
GodClass,CART,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.09375,1.0,0.9230769230769232,0.8181818181818182,0.0,0.9333333333333332,0.0,0.0,0.0769230769230769,0.0,0.0,0.1818181818181818,0.3333333333333333,0.6666666666666666,0.0,0.0666666666666666,0.0,0.0,0.8333333333333334,0.875,0.875,0.7109375,0.9392567118650256,0.8975901341362338,0.1666666666666666,0.1666666666666666,0.0049865245819091
GodClass,CART,0.3442622950819672,0.875,0.1475409836065573,0.75,0.0655737704918032,0.6666666666666666,0.75,0.5454545454545454,1.0,0.75,0.0,0.0,0.25,0.0909090909090909,0.0,0.3636363636363636,0.0,0.0,0.0,0.0625,0.1875,0.0,0.7142857142857143,0.625,0.625,0.7035519125683062,0.81304515705079,0.7440609559703719,0.3809523809523809,0.5714285714285714,0.0049867630004882
GodClass,CART,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.5833333333333334,0.5454545454545454,0.3333333333333333,0.9375,0.0,0.0,0.4166666666666667,0.0,0.0909090909090909,0.3636363636363636,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.0,0.0,0.6904761904761905,0.5625,0.75,0.7117486338797815,0.8681732580037664,0.7876823338735818,0.3095238095238095,0.3095238095238095,0.0059840679168701
