Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,CART,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.5555555555555556,0.0,1.0,0.0,0.0,0.25,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.6875,0.625,0.8360215053763436,0.9376844078301654,0.8972831299871868,0.1666666666666666,0.2142857142857142,0.0060148239135742
LongMethod,CART,0.5161290322580645,0.8,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,1.0,0.0,0.9642857142857144,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.9285714285714286,0.8125,0.75,0.8460061443932412,0.9493019579415216,0.9319727891156464,0.0952380952380952,0.1428571428571428,0.0049817562103271
LongMethod,CART,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1290322580645161,0.6666666666666666,1.0,0.6666666666666666,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,1.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8406298003072195,0.9540051128369352,0.902084770605436,0.1428571428571428,0.1904761904761904,0.0049738883972167
LongMethod,CART,0.5161290322580645,0.8,0.2580645161290322,0.6666666666666666,0.0967741935483871,0.5,0.25,0.8888888888888888,0.0,0.9642857142857144,0.0,0.0,0.75,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.8571428571428571,0.625,0.75,0.8152841781874041,0.8947366889054055,0.8529433594327791,0.1904761904761904,0.3333333333333333,0.0059819221496582
LongMethod,CART,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,1.0,1.0,0.8349206349206344,0.975877158848272,0.967280819570018,0.0238095238095238,0.0238095238095238,0.00498628616333
LongMethod,CART,0.5333333333333333,0.8421052631578947,0.3666666666666666,1.0,0.2,1.0,0.6666666666666666,0.5,0.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.7857142857142857,0.4375,0.625,0.812698412698413,0.8673058358832357,0.8239190389829454,0.2619047619047619,0.3571428571428571,0.0049850940704345
LongMethod,CART,0.6333333333333333,1.0,0.3666666666666666,1.0,0.1666666666666666,0.8333333333333334,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8444444444444443,0.9889923308104536,0.963492920127772,0.0714285714285714,0.0714285714285714,0.0049853324890136
LongMethod,CART,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.1666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.0,0.9642857142857144,0.0,0.0,0.3333333333333333,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.75,0.75,0.7865079365079367,0.8941805338314424,0.8675005090477509,0.1666666666666666,0.2619047619047619,0.0039892196655273
LongMethod,CART,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.1666666666666666,0.8333333333333334,0.6666666666666666,0.6,1.0,1.0,0.0,0.0,0.3333333333333333,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.625,0.8349206349206348,0.9385364646912177,0.9049113616247958,0.1428571428571428,0.1904761904761904,0.0049829483032226
LongMethod,CART,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.9642857142857144,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.2222222222222222,0.0,0.5,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.6875,0.625,0.8091133004926104,0.8905310269437751,0.8574682578913085,0.1904761904761904,0.2857142857142857,0.0049884319305419
