Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
DataClass,CoordinateAscent,0.3442622950819672,0.875,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.25,0.0,0.4884855581576893,0.0,0.0,1.4523809523809523,3.690476190476191,0.8323488235473633
DataClass,CoordinateAscent,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.0967741935483871,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.25,0.125,0.5122887864823351,0.0,0.0,1.4761904761904765,3.7142857142857135,0.7878615856170654
DataClass,CoordinateAscent,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.0967741935483871,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0625,0.0,0.577572964669739,0.0,0.0,1.4761904761904765,3.7142857142857135,0.8896050453186035
DataClass,CoordinateAscent,0.375,1.0,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.1875,0.0,0.5617559523809524,0.0,0.0,1.5238095238095235,3.9047619047619047,0.8916046619415283
DataClass,CoordinateAscent,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.125,0.0,0.5338541666666667,0.0,0.0,1.5238095238095235,3.9047619047619047,0.903583288192749
DataClass,CoordinateAscent,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.3125,0.0,0.4970238095238095,0.0,0.0,1.5238095238095235,3.9047619047619047,0.9225332736968994
DataClass,CoordinateAscent,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.1875,0.0,0.4810267857142857,0.0,0.0,1.5238095238095235,3.9047619047619047,0.8068199157714844
DataClass,CoordinateAscent,0.2857142857142857,0.75,0.1746031746031746,0.9166666666666666,0.0793650793650793,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.3125,0.125,0.533824640967498,0.0,0.0,1.5,3.7857142857142856,0.7929768562316895
DataClass,CoordinateAscent,0.2698412698412698,0.7083333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.25,0.25,0.5051020408163263,0.0,0.0,1.5,3.7857142857142856,0.7888889312744141
DataClass,CoordinateAscent,0.2857142857142857,0.75,0.1904761904761904,1.0,0.0952380952380952,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0625,0.125,0.5633030990173846,0.0,0.0,1.5,3.7857142857142856,0.8242664337158203
DataClass,CoordinateAscent,0.3278688524590163,0.8333333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.125,0.0,0.5181498829039815,0.0,0.0,1.4523809523809523,3.690476190476191,0.7941248416900635
DataClass,CoordinateAscent,0.3387096774193548,0.875,0.1935483870967742,1.0,0.0967741935483871,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.1875,0.125,0.4773425499231951,0.0,0.0,1.4761904761904765,3.7142857142857135,0.810152530670166
DataClass,CoordinateAscent,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.0967741935483871,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.25,0.125,0.5641321044546851,0.0,0.0,1.4761904761904765,3.7142857142857135,0.803929328918457
DataClass,CoordinateAscent,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.125,0.0,0.4933035714285714,0.0,0.0,1.5238095238095235,3.9047619047619047,0.834752082824707
