Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,CoordinateAscent,0.3442622950819672,0.875,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.1875,0.0,0.4927790788446526,0.2808790810319466,0.2604276879388236,1.4523809523809523,3.690476190476191,1.9303886890411377
GodClass,CoordinateAscent,0.3442622950819672,0.875,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.1875,0.125,0.5806010928961751,0.2808790810319466,0.2604276879388236,1.4523809523809523,3.690476190476191,1.1408791542053225
GodClass,CoordinateAscent,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.25,0.0,0.463895394223263,0.2808790810319466,0.2604276879388236,1.4523809523809523,3.690476190476191,1.063121318817139
GodClass,CoordinateAscent,0.3015873015873015,0.7916666666666666,0.1746031746031746,0.9166666666666666,0.0793650793650793,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.25,0.125,0.459372637944066,0.2808790810319466,0.2604276879388236,1.5,3.880952380952381,0.9524533748626708
GodClass,CoordinateAscent,0.234375,0.625,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.1875,0.25,0.5505952380952381,0.2808790810319466,0.2604276879388236,1.5238095238095235,3.9047619047619047,0.9115619659423828
GodClass,CoordinateAscent,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.1875,0.0,0.5070684523809524,0.2808790810319466,0.2604276879388236,1.5238095238095235,3.9047619047619047,0.9285488128662108
GodClass,CoordinateAscent,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.125,0.0,0.5483630952380952,0.2808790810319466,0.2604276879388236,1.5238095238095235,3.9047619047619047,0.9045796394348145
GodClass,CoordinateAscent,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0625,0.0,0.5877976190476191,0.2808790810319466,0.2604276879388236,1.5238095238095235,3.9047619047619047,0.9584379196166992
GodClass,CoordinateAscent,0.328125,0.875,0.140625,0.75,0.078125,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0625,0.0,0.5870535714285715,0.2808790810319466,0.2604276879388236,1.5238095238095235,3.9047619047619047,0.9214746952056884
GodClass,CoordinateAscent,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.3125,0.0,0.4929315476190476,0.2808790810319466,0.2604276879388236,1.5238095238095235,3.9047619047619047,0.8786411285400391
