Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,DF,0.6666666666666666,1.0,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.6666666666666666,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.0,0.9285714285714286,0.875,1.0,0.8461199294532629,0.9187033400022566,0.8992138855792339,0.0714285714285714,0.0714285714285714,3.6123411655426025
FeatureEnvy,DF,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.2222222222222222,1.0,1.0,1.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.8809523809523809,0.6875,0.875,0.8117283950617287,0.8664288268746126,0.841946000786876,0.1904761904761904,0.3809523809523809,3.6661972999572754
FeatureEnvy,DF,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,1.0,0.7777777777777778,0.6666666666666666,0.9285714285714286,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8809523809523809,0.6875,0.75,0.8346560846560848,0.9155068353395406,0.8855384898027906,0.1428571428571428,0.1904761904761904,2.270534038543701
FeatureEnvy,DF,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.5,0.8,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8409863945578233,0.9832139990265436,0.9483358718657338,0.0952380952380952,0.0952380952380952,2.426514148712158
FeatureEnvy,DF,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.875,0.8222789115646261,0.9662016347103628,0.9401250139390852,0.0714285714285714,0.0714285714285714,2.271925449371338
FeatureEnvy,DF,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,1.0,0.8,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.5,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.75,0.75,0.8477891156462585,0.9633269479057138,0.9320000264180872,0.0952380952380952,0.0952380952380952,2.719728469848633
FeatureEnvy,DF,0.6071428571428571,0.9444444444444444,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,0.5,0.8,0.0,1.0,0.0,0.0,0.5,0.0,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.75,0.8214285714285718,0.9582642052990004,0.9164442831093852,0.119047619047619,0.119047619047619,1.7991909980773926
FeatureEnvy,DF,0.5357142857142857,0.8333333333333334,0.25,0.7,0.1785714285714285,0.8333333333333334,0.5,1.0,0.5,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0357142857142857,0.0,0.9285714285714286,0.8125,0.875,0.8460884353741497,0.916989759121752,0.9005751357935422,0.0952380952380952,0.1428571428571428,1.836092233657837
FeatureEnvy,DF,0.6206896551724138,0.9473684210526316,0.3793103448275862,1.0,0.2068965517241379,1.0,1.0,1.0,0.5,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0357142857142857,0.0357142857142857,0.0,0.9285714285714286,0.8125,0.875,0.8394909688013136,0.9320333942204234,0.9158430271032492,0.0952380952380952,0.1428571428571428,1.8271114826202397
FeatureEnvy,DF,0.5862068965517241,0.8947368421052632,0.3448275862068966,0.9090909090909092,0.2068965517241379,1.0,0.6666666666666666,0.7777777777777778,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2222222222222222,0.5,0.5,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.625,0.8288177339901475,0.9578676116599492,0.9164508494135962,0.119047619047619,0.119047619047619,3.174550294876098
FeatureEnvy,DF,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.6666666666666666,0.9642857142857144,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0357142857142857,0.0,0.9047619047619048,0.8125,0.875,0.8205467372134038,0.9077898974589844,0.8861415687947563,0.119047619047619,0.1666666666666666,2.2878847122192383
FeatureEnvy,DF,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,1.0,0.8888888888888888,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.75,0.849647266313933,0.9655324461334138,0.9434230759267052,0.0714285714285714,0.0714285714285714,2.762432813644409
FeatureEnvy,DF,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.1481481481481481,0.6666666666666666,0.5,1.0,0.3333333333333333,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.8809523809523809,0.75,0.75,0.8276014109347445,0.8629139141928858,0.8412093324742177,0.1666666666666666,0.2619047619047619,1.8400819301605225
FeatureEnvy,DF,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.5,0.8,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.625,0.8460884353741497,0.9877093430961322,0.9602124732943152,0.0714285714285714,0.0714285714285714,2.331766366958618
FeatureEnvy,DF,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,1.0,0.8316326530612248,0.9654288972433348,0.9397079904338398,0.0714285714285714,0.0714285714285714,1.8151485919952397
FeatureEnvy,DF,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.2142857142857142,1.0,1.0,0.9,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0357142857142857,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8511904761904763,0.9662877868547638,0.9412798105478044,0.0714285714285714,0.0714285714285714,2.288881778717041
FeatureEnvy,DF,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.5,0.0,0.0714285714285714,0.0,0.0,0.8571428571428571,0.6875,0.75,0.8409863945578233,0.9167240568644104,0.8731614168472713,0.1428571428571428,0.1428571428571428,2.7326955795288086
FeatureEnvy,DF,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,1.0,0.8409863945578231,0.9494253265550826,0.9335735820102896,0.0476190476190476,0.0476190476190476,1.8263401985168457
FeatureEnvy,DF,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.1034482758620689,0.5,1.0,1.0,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0357142857142857,0.9523809523809524,0.875,0.875,0.8296387520525452,0.9174208113782362,0.9070163214821152,0.0952380952380952,0.238095238095238,1.8081653118133545
FeatureEnvy,DF,0.5517241379310345,0.8421052631578947,0.3103448275862069,0.8181818181818182,0.1034482758620689,0.5,0.3333333333333333,0.8888888888888888,0.0,0.8928571428571429,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0357142857142857,0.0714285714285714,0.0,0.8095238095238095,0.5625,0.5,0.8115763546798029,0.865113159137872,0.8205089407260913,0.238095238095238,0.3333333333333333,1.8660120964050293
FeatureEnvy,DF,0.5925925925925926,0.8888888888888888,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.3333333333333333,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.8125,0.625,0.8029100529100531,0.8844695938405399,0.8527919809814416,0.1428571428571428,0.1904761904761904,2.262948989868164
FeatureEnvy,DF,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.6666666666666666,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.75,0.75,0.849647266313933,0.9638002730792066,0.9316006224333212,0.0952380952380952,0.0952380952380952,2.240010976791382
FeatureEnvy,DF,0.6666666666666666,1.0,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.875,0.875,0.8249559082892418,0.9399047027832056,0.910573770425716,0.0952380952380952,0.0952380952380952,1.816138744354248
FeatureEnvy,DF,0.6428571428571429,1.0,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.9,0.5,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.8401360544217685,0.9830034458982772,0.9486182054162474,0.0952380952380952,0.0952380952380952,1.4142558574676514
FeatureEnvy,DF,0.5714285714285714,0.8888888888888888,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8443877551020407,0.9875400917338596,0.9614143694375566,0.0714285714285714,0.0714285714285714,1.8256795406341555
FeatureEnvy,DF,0.5,0.7777777777777778,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0357142857142857,0.1071428571428571,0.0,0.8333333333333334,0.6875,0.75,0.8103741496598641,0.8392766188871531,0.8075060896866549,0.238095238095238,0.3809523809523809,1.8460659980773928
FeatureEnvy,DF,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.75,0.8435374149659867,0.9663802797400322,0.9424320726570732,0.0714285714285714,0.0714285714285714,1.8590292930603027
FeatureEnvy,DF,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.75,0.75,0.8486394557823127,0.9678516469021274,0.9370890617856316,0.0952380952380952,0.0952380952380952,1.8011996746063232
FeatureEnvy,DF,0.6206896551724138,0.9473684210526316,0.3448275862068966,0.9090909090909092,0.2068965517241379,1.0,0.6666666666666666,1.0,0.5,0.9642857142857144,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0357142857142857,0.0,0.9285714285714286,0.8125,0.75,0.8321018062397372,0.9448253258338604,0.927765237020316,0.0952380952380952,0.1428571428571428,2.268973588943481
FeatureEnvy,DF,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.2068965517241379,1.0,1.0,1.0,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.9285714285714286,0.875,0.875,0.8378489326765186,0.9254782022438972,0.9103340084303088,0.0952380952380952,0.1428571428571428,1.819190502166748
FeatureEnvy,DF,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9523809523809524,0.875,0.875,0.8540564373897709,0.968627670487422,0.9538114167450834,0.0476190476190476,0.0476190476190476,1.8550374507904053
