Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,GBR,0.6666666666666666,1.0,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.9642857142857144,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.0,0.8571428571428571,0.6875,0.875,0.8302469135802468,0.926450122932303,0.8921438419224561,0.1428571428571428,0.1428571428571428,0.2024931907653808
FeatureEnvy,GBR,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.2222222222222222,1.0,1.0,1.0,1.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.9523809523809524,0.875,0.875,0.828483245149912,0.8702239464648954,0.8672679967169526,0.119047619047619,0.3095238095238095,0.2064788341522216
FeatureEnvy,GBR,0.6666666666666666,1.0,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,1.0,1.0,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.9285714285714286,0.8125,0.875,0.849647266313933,0.9470530652101602,0.9271913422760624,0.0714285714285714,0.0714285714285714,0.203486680984497
FeatureEnvy,GBR,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.8,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8494897959183675,0.9877093430961322,0.9602124732943152,0.0714285714285714,0.0714285714285714,0.2054831981658935
FeatureEnvy,GBR,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.875,0.8222789115646261,0.9662016347103628,0.9401250139390852,0.0714285714285714,0.0714285714285714,0.2094769477844238
FeatureEnvy,GBR,0.5714285714285714,0.8888888888888888,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.9,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.1,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.75,0.75,0.8358843537414969,0.9357164910983448,0.8922849078323443,0.119047619047619,0.119047619047619,0.2134642601013183
FeatureEnvy,GBR,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.8,0.0,0.9642857142857144,0.0,0.0,0.5,0.1,0.1,0.0,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8571428571428571,0.75,0.75,0.8197278911564624,0.8799722879232914,0.8406659444543456,0.1666666666666666,0.2142857142857142,0.2044904232025146
FeatureEnvy,GBR,0.5714285714285714,0.8888888888888888,0.2857142857142857,0.8,0.2142857142857142,1.0,1.0,0.9,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0357142857142857,0.0,0.9285714285714286,0.8125,0.875,0.846938775510204,0.9176056338028168,0.9013761467889908,0.0952380952380952,0.1428571428571428,0.20947265625
FeatureEnvy,GBR,0.6551724137931034,1.0,0.3793103448275862,1.0,0.2068965517241379,1.0,0.6666666666666666,0.7777777777777778,1.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.8809523809523809,0.6875,0.875,0.8468801313628901,0.9366185654793736,0.908199884006086,0.119047619047619,0.119047619047619,0.2044920921325683
FeatureEnvy,GBR,0.5862068965517241,0.8947368421052632,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.8888888888888888,0.5,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8370279146141214,0.9715519356343892,0.9147047731381864,0.119047619047619,0.1666666666666666,0.2024857997894287
