Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,GPR,0.5161290322580645,0.8,0.2258064516129032,0.5833333333333334,0.1290322580645161,0.6666666666666666,0.0,0.4444444444444444,0.0,1.0,0.25,0.5,0.25,0.0,0.4444444444444444,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.4375,0.5,0.757680491551459,0.8769161931931122,0.7899731786897701,0.3333333333333333,0.5714285714285714,0.0209426879882812
LongMethod,GPR,0.5483870967741935,0.85,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.25,0.5555555555555556,0.0,0.8928571428571429,0.0,0.0,0.75,0.0,0.3333333333333333,0.1111111111111111,0.0,1.0,0.0,0.1071428571428571,0.0,0.0,0.7380952380952381,0.375,0.625,0.8329493087557602,0.8998031168643555,0.8358281621069655,0.2619047619047619,0.2619047619047619,0.0209426879882812
LongMethod,GPR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.5555555555555556,0.0,0.8571428571428571,0.0,0.25,0.25,0.0,0.3333333333333333,0.1111111111111111,0.0,1.0,0.0,0.1428571428571428,0.0,0.0,0.7380952380952381,0.4375,0.75,0.827572964669739,0.8664359176389388,0.7982300365046155,0.2857142857142857,0.3333333333333333,0.0199110507965087
LongMethod,GPR,0.5483870967741935,0.85,0.2580645161290322,0.6666666666666666,0.1290322580645161,0.6666666666666666,0.0,0.6666666666666666,0.0,0.9285714285714286,0.0,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0714285714285714,0.0,0.0,0.7619047619047619,0.375,0.625,0.8114439324116745,0.8845862644844046,0.7832904826566098,0.3095238095238095,0.4523809523809524,0.0209429264068603
LongMethod,GPR,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,0.7,1.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.75,0.875,0.8492063492063494,0.9637349127573326,0.9373980743326952,0.0952380952380952,0.0952380952380952,0.0169224739074707
LongMethod,GPR,0.5666666666666667,0.8947368421052632,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.4,1.0,0.8214285714285714,0.0,0.0,0.3333333333333333,0.0,0.6,0.0,0.0,0.0,0.0,0.1428571428571428,0.0357142857142857,0.0,0.7142857142857143,0.4375,0.75,0.8087301587301592,0.815076986426916,0.7820959348075754,0.3095238095238095,0.3571428571428571,0.0229454040527343
LongMethod,GPR,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.5,1.0,0.8214285714285714,0.0,0.0,0.3333333333333333,0.2,0.3,0.0,0.0,0.0,0.0,0.1785714285714285,0.0,0.0,0.7380952380952381,0.5,0.875,0.7746031746031747,0.7475294888179713,0.7161869136777506,0.3095238095238095,0.4047619047619047,0.0199453830718994
LongMethod,GPR,0.5666666666666667,0.8947368421052632,0.3333333333333333,0.9090909090909092,0.1333333333333333,0.6666666666666666,0.0,0.4,0.0,0.8928571428571429,0.0,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0714285714285714,0.0357142857142857,0.0,0.6904761904761905,0.25,0.5,0.8190476190476194,0.8500949543215581,0.8000555035210714,0.3333333333333333,0.3809523809523809,0.0179533958435058
LongMethod,GPR,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.1333333333333333,0.6666666666666666,0.0,0.5,1.0,0.9642857142857144,0.0,0.0,1.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.7857142857142857,0.4375,0.375,0.8269841269841273,0.944517657401882,0.8859093607507198,0.2142857142857142,0.2142857142857142,0.0179188251495361
LongMethod,GPR,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.1379310344827586,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.8928571428571429,0.0,0.0,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.1071428571428571,0.0,0.0,0.6904761904761905,0.25,0.375,0.814860426929392,0.836619509910991,0.7741930133232411,0.3333333333333333,0.3809523809523809,0.0269224643707275
