Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,KNN,0.3333333333333333,0.5,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.1111111111111111,0.0,0.9285714285714286,0.0,0.0,1.0,0.8888888888888888,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.6428571428571429,0.5,0.375,0.6785714285714287,0.3302335823323384,0.3168088733272444,0.5952380952380952,1.0714285714285714,0.0269134044647216
FeatureEnvy,KNN,0.5185185185185185,0.7777777777777778,0.2592592592592592,0.7,0.1851851851851851,0.8333333333333334,0.0,0.8888888888888888,0.0,0.9285714285714286,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.8095238095238095,0.625,0.625,0.775573192239859,0.7677465191793642,0.7365359634967374,0.2619047619047619,0.4047619047619047,0.0249335765838623
FeatureEnvy,KNN,0.5555555555555556,0.8333333333333334,0.3703703703703703,1.0,0.1481481481481481,0.6666666666666666,0.0,0.5555555555555556,0.0,0.9642857142857144,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.7619047619047619,0.6875,0.5,0.737654320987654,0.6552071951219981,0.6285716062444726,0.3571428571428571,0.5952380952380952,0.0269291400909423
FeatureEnvy,KNN,0.4642857142857143,0.7222222222222222,0.1785714285714285,0.5,0.0714285714285714,0.3333333333333333,0.0,0.5,0.0,0.9642857142857144,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.7619047619047619,0.5625,0.5,0.7738095238095237,0.6605288907329926,0.6371749936062024,0.3809523809523809,0.6666666666666666,0.0279247760772705
FeatureEnvy,KNN,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,0.5,0.7,0.5,1.0,0.0,0.0,0.5,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.875,0.875,0.7321428571428571,0.8197442987580545,0.8035122855506254,0.1904761904761904,0.3333333333333333,0.0269277095794677
FeatureEnvy,KNN,0.5,0.7777777777777778,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.7,0.0,0.9642857142857144,0.0,0.0,1.0,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.6875,0.875,0.7321428571428577,0.7474075083655445,0.7209818995737931,0.2857142857142857,0.4761904761904761,0.0269274711608886
FeatureEnvy,KNN,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.7857142857142857,0.75,0.625,0.6862244897959183,0.7104236340739727,0.6853056404489056,0.3333333333333333,0.5714285714285714,0.026926040649414
FeatureEnvy,KNN,0.5357142857142857,0.8333333333333334,0.25,0.7,0.1071428571428571,0.5,0.5,0.5,0.0,0.9642857142857144,0.5,0.0,0.0,0.4,0.1,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.7857142857142857,0.625,0.75,0.7678571428571426,0.58749832277208,0.5673673251389093,0.3809523809523809,0.7619047619047619,0.0269298553466796
FeatureEnvy,KNN,0.5517241379310345,0.8421052631578947,0.2758620689655172,0.7272727272727273,0.1379310344827586,0.6666666666666666,0.0,0.5555555555555556,0.0,0.9642857142857144,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,0.0,1.0,0.0,0.0357142857142857,0.0,0.0,0.7619047619047619,0.5625,0.5,0.7245484400656815,0.7483230904892778,0.710072363593391,0.3333333333333333,0.5238095238095238,0.0279254913330078
FeatureEnvy,KNN,0.4482758620689655,0.6842105263157895,0.2068965517241379,0.5454545454545454,0.1034482758620689,0.5,0.0,0.3333333333333333,0.5,0.9285714285714286,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0714285714285714,0.0,0.7142857142857143,0.5625,0.375,0.6219211822660099,0.4545623840061394,0.4283660727132197,0.5476190476190477,1.119047619047619,0.0259313583374023
