Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,KNR,0.3333333333333333,0.5,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.1111111111111111,0.3333333333333333,0.6428571428571429,0.0,0.0,1.0,0.3333333333333333,0.5555555555555556,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3571428571428571,0.0,0.0,0.4761904761904761,0.125,0.125,0.7050264550264551,0.4427327870231348,0.4148001836730783,0.5952380952380952,0.7380952380952381,0.0249323844909667
FeatureEnvy,KNR,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.0,0.7777777777777778,1.0,0.7857142857142857,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.7619047619047619,0.5,0.75,0.8417107583774252,0.8453972873919556,0.8042596946931726,0.238095238095238,0.238095238095238,0.0249321460723876
FeatureEnvy,KNR,0.5925925925925926,0.8888888888888888,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.0,0.5555555555555556,0.6666666666666666,0.7142857142857143,0.0,0.0,1.0,0.0,0.4444444444444444,0.0,0.3333333333333333,0.0,0.0,0.2857142857142857,0.0,0.0,0.6428571428571429,0.375,0.625,0.8108465608465611,0.7420374454273496,0.6978436536650683,0.3571428571428571,0.3571428571428571,0.0249333381652832
FeatureEnvy,KNR,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.1428571428571428,0.6666666666666666,0.0,0.4,0.5,0.75,0.0,0.0,1.0,0.1,0.5,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.6190476190476191,0.25,0.5,0.7721088435374147,0.7242437925019377,0.6775277613341733,0.4047619047619047,0.4523809523809524,0.0269267559051513
FeatureEnvy,KNR,0.5714285714285714,0.8888888888888888,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.5,1.0,0.8571428571428571,0.0,0.0,0.5,0.2,0.3,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.7619047619047619,0.5,0.75,0.7806122448979593,0.7531428861242212,0.7241526421185646,0.2857142857142857,0.3809523809523809,0.0259292125701904
FeatureEnvy,KNR,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.0,0.6,1.0,0.7857142857142857,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.7142857142857143,0.4375,0.75,0.8205782312925173,0.8276988193435264,0.786064090744717,0.2857142857142857,0.2857142857142857,0.0239346027374267
FeatureEnvy,KNR,0.6071428571428571,0.9444444444444444,0.25,0.7,0.1428571428571428,0.6666666666666666,0.0,0.5,0.0,0.75,0.0,0.0,1.0,0.1,0.4,0.0,0.5,0.5,0.0,0.25,0.0,0.0,0.6190476190476191,0.3125,0.625,0.7653061224489793,0.7028725872020221,0.6479459766379665,0.4047619047619047,0.4523809523809524,0.0248908996582031
FeatureEnvy,KNR,0.6071428571428571,0.9444444444444444,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,0.5,0.2,1.0,0.8571428571428571,0.0,0.5,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.6904761904761905,0.3125,0.5,0.7908163265306125,0.8265096508137189,0.7921320204640862,0.3333333333333333,0.3809523809523809,0.0229382514953613
FeatureEnvy,KNR,0.6206896551724138,0.9473684210526316,0.3103448275862069,0.8181818181818182,0.1379310344827586,0.6666666666666666,0.0,0.4444444444444444,0.5,0.75,0.0,0.0,1.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.6190476190476191,0.3125,0.5,0.7705254515599342,0.7435918378900599,0.693637305197769,0.4047619047619047,0.4523809523809524,0.0269277095794677
FeatureEnvy,KNR,0.5517241379310345,0.8421052631578947,0.2758620689655172,0.7272727272727273,0.2068965517241379,1.0,0.0,0.2222222222222222,1.0,0.75,0.0,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.0,0.2142857142857142,0.0357142857142857,0.0,0.5952380952380952,0.25,0.25,0.7475369458128077,0.6616763060143949,0.6280811753861819,0.4761904761904761,0.6190476190476191,0.0239379405975341
