Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,KNR,0.360655737704918,0.9166666666666666,0.1639344262295081,0.8333333333333334,0.0983606557377049,1.0,0.4166666666666667,0.8181818181818182,0.3333333333333333,0.375,0.0,0.0833333333333333,0.5,0.0,0.0,0.1818181818181818,0.3333333333333333,0.3333333333333333,0.0,0.5625,0.0625,0.0,0.5,0.625,0.625,0.6914519906323188,0.7761381416514039,0.6827575733548529,0.5476190476190477,0.6428571428571429,0.0269215106964111
GodClass,KNR,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.5,0.7272727272727273,0.0,0.625,0.0,0.0,0.5,0.0,0.0909090909090909,0.1818181818181818,0.0,1.0,0.0,0.3125,0.0625,0.0,0.5714285714285714,0.625,0.75,0.6914519906323185,0.8271987866062893,0.7453538492135531,0.4523809523809524,0.5,0.0269274711608886
GodClass,KNR,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.5833333333333334,0.6363636363636364,0.3333333333333333,0.75,0.0,0.0833333333333333,0.3333333333333333,0.0909090909090909,0.2727272727272727,0.0,0.0,0.6666666666666666,0.0,0.25,0.0,0.0,0.6428571428571429,0.75,1.0,0.7035519125683061,0.8385655380656859,0.765447266882869,0.4047619047619047,0.5,0.0269298553466796
GodClass,KNR,0.3492063492063492,0.9166666666666666,0.1904761904761904,1.0,0.0952380952380952,1.0,0.5384615384615384,0.6363636363636364,0.0,0.5625,0.0,0.0,0.4615384615384615,0.0,0.1818181818181818,0.1818181818181818,0.5,0.5,0.0,0.3125,0.125,0.0,0.5476190476190477,0.6875,0.75,0.7035147392290251,0.7932690845474389,0.7080987289989846,0.5,0.5952380952380952,0.027925968170166
GodClass,KNR,0.25,0.6666666666666666,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.2307692307692307,0.5454545454545454,0.3333333333333333,0.4666666666666667,0.0,0.2307692307692307,0.5384615384615384,0.0,0.1818181818181818,0.2727272727272727,0.0,0.3333333333333333,0.3333333333333333,0.4,0.0666666666666666,0.0666666666666666,0.4047619047619047,0.3125,0.375,0.6253720238095238,0.5415254190784735,0.4568436873787365,0.7619047619047619,1.1428571428571428,0.027916669845581
GodClass,KNR,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6153846153846154,0.6363636363636364,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3846153846153846,0.0,0.2727272727272727,0.0909090909090909,0.0,0.6666666666666666,0.0,0.2666666666666666,0.0666666666666666,0.0,0.6190476190476191,0.6875,0.875,0.6953125,0.8451624247319134,0.7736563508269364,0.4047619047619047,0.4523809523809524,0.0279250144958496
GodClass,KNR,0.3125,0.8333333333333334,0.171875,0.9166666666666666,0.09375,1.0,0.3846153846153846,0.6363636363636364,0.3333333333333333,0.5333333333333333,0.0,0.2307692307692307,0.3846153846153846,0.0,0.0,0.3636363636363636,0.3333333333333333,0.3333333333333333,0.0,0.4666666666666667,0.0,0.0,0.5,0.4375,0.5,0.6781994047619048,0.7131505212555977,0.6083926534492724,0.5714285714285714,0.7142857142857143,0.0249333381652832
GodClass,KNR,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.5384615384615384,0.6363636363636364,0.3333333333333333,0.6,0.0,0.0,0.4615384615384615,0.0,0.1818181818181818,0.1818181818181818,0.0,0.6666666666666666,0.0,0.2666666666666666,0.1333333333333333,0.0,0.5714285714285714,0.5625,0.75,0.6770833333333334,0.7950237702413117,0.718882861386515,0.4761904761904761,0.5714285714285714,0.0259301662445068
GodClass,KNR,0.328125,0.875,0.1875,1.0,0.09375,1.0,0.3846153846153846,0.5454545454545454,0.0,0.6666666666666666,0.0,0.0769230769230769,0.5384615384615384,0.0,0.2727272727272727,0.1818181818181818,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.5,0.625,0.75,0.6845238095238095,0.7915070499702143,0.6947454989814896,0.5238095238095238,0.5714285714285714,0.0279245376586914
GodClass,KNR,0.328125,0.875,0.1875,1.0,0.09375,1.0,0.6153846153846154,0.7272727272727273,0.0,0.5333333333333333,0.0,0.1538461538461538,0.2307692307692307,0.0,0.1818181818181818,0.0909090909090909,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2666666666666666,0.2,0.0,0.5714285714285714,0.75,0.75,0.65625,0.6910299976084844,0.6094517375901989,0.5714285714285714,0.8571428571428571,0.0279247760772705
GodClass,KNR,0.360655737704918,0.9166666666666666,0.1967213114754098,1.0,0.0983606557377049,1.0,0.5,0.5454545454545454,0.3333333333333333,0.6875,0.0,0.0833333333333333,0.4166666666666667,0.0,0.1818181818181818,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.0,0.1875,0.125,0.0,0.5714285714285714,0.5625,0.75,0.6840359094457454,0.7621376790650187,0.6742405632822704,0.5,0.6428571428571429,0.0259311199188232
GodClass,KNR,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.5,0.6363636363636364,0.3333333333333333,0.75,0.0,0.0833333333333333,0.4166666666666667,0.0,0.2727272727272727,0.0909090909090909,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.1875,0.0,0.6190476190476191,0.5625,0.875,0.6891100702576114,0.7596748845438558,0.6897328961665177,0.4761904761904761,0.6666666666666666,0.0249304771423339
GodClass,KNR,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.081967213114754,0.8333333333333334,0.9166666666666666,0.4545454545454545,0.0,0.4375,0.0,0.0,0.0833333333333333,0.0,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.6666666666666666,0.0,0.375,0.1875,0.0,0.5476190476190477,0.75,0.75,0.7039422326307575,0.8167756092133428,0.7321244390031868,0.5238095238095238,0.6666666666666666,0.0269303321838378
GodClass,KNR,0.3333333333333333,0.875,0.1587301587301587,0.8333333333333334,0.0793650793650793,0.8333333333333334,0.5384615384615384,0.7272727272727273,0.0,0.6875,0.0,0.0,0.4615384615384615,0.0,0.0,0.2727272727272727,0.0,1.0,0.0,0.3125,0.0,0.0,0.6190476190476191,0.625,0.625,0.70427059712774,0.8499290955828082,0.7658951449456556,0.3809523809523809,0.3809523809523809,0.0249195098876953
GodClass,KNR,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.3846153846153846,0.8181818181818182,0.0,0.6,0.0,0.0769230769230769,0.5384615384615384,0.0,0.0909090909090909,0.0909090909090909,0.3333333333333333,0.6666666666666666,0.0,0.4,0.0,0.0,0.5476190476190477,0.625,0.75,0.6860119047619048,0.8085902810870391,0.7161290322580645,0.4761904761904761,0.5238095238095238,0.0269267559051513
GodClass,KNR,0.34375,0.9166666666666666,0.15625,0.8333333333333334,0.09375,1.0,0.4615384615384615,0.9090909090909092,0.0,0.4666666666666667,0.0,0.0769230769230769,0.4615384615384615,0.0,0.0909090909090909,0.0,0.0,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.0666666666666666,0.0,0.5476190476190477,0.625,0.75,0.6789434523809524,0.764681240976843,0.6834559677680155,0.5238095238095238,0.6666666666666666,0.0259246826171875
GodClass,KNR,0.328125,0.875,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.5384615384615384,0.4545454545454545,0.0,0.6666666666666666,0.0,0.1538461538461538,0.3076923076923077,0.0,0.2727272727272727,0.2727272727272727,0.0,1.0,0.0,0.1333333333333333,0.2,0.0,0.5238095238095238,0.5625,0.625,0.6662946428571429,0.6889774354823063,0.6072332196493876,0.5952380952380952,0.8333333333333334,0.0259292125701904
GodClass,KNR,0.328125,0.875,0.1875,1.0,0.09375,1.0,0.3846153846153846,0.9090909090909092,0.3333333333333333,0.5333333333333333,0.0,0.0769230769230769,0.5384615384615384,0.0,0.0909090909090909,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4,0.0666666666666666,0.0,0.5714285714285714,0.625,1.0,0.6748511904761905,0.7981903437777208,0.7199040801037906,0.4761904761904761,0.5714285714285714,0.025928258895874
