Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,LR,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,0.1111111111111111,0.6666666666666666,0.9285714285714286,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.0,0.7380952380952381,0.375,0.5,0.8134920634920635,0.8760772005503811,0.8510158013544019,0.2619047619047619,0.2619047619047619,0.0089282989501953
FeatureEnvy,LR,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.1851851851851851,0.8333333333333334,1.0,0.3333333333333333,1.0,0.8214285714285714,0.0,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.1428571428571428,0.0,0.0357142857142857,0.7380952380952381,0.375,0.625,0.8073192239858908,0.7917637660842639,0.7593830489531176,0.3095238095238095,0.4523809523809524,0.0049517154693603
FeatureEnvy,LR,0.5185185185185185,0.7777777777777778,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,0.3333333333333333,0.6666666666666666,0.7857142857142857,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.2142857142857142,0.0,0.0,0.6904761904761905,0.375,0.625,0.7896825396825397,0.7622968695896603,0.7320906854953259,0.3095238095238095,0.3095238095238095,0.0049874782562255
FeatureEnvy,LR,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.3,1.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.5,0.2,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.7857142857142857,0.4375,0.5,0.8358843537414966,0.9462690562803237,0.9028384400711916,0.2142857142857142,0.2142857142857142,0.0059754848480224
FeatureEnvy,LR,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.3,1.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.7857142857142857,0.4375,0.75,0.836734693877551,0.9133088493099584,0.885888228599225,0.2142857142857142,0.2142857142857142,0.0049865245819091
FeatureEnvy,LR,0.4642857142857143,0.7222222222222222,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.2,1.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.6190476190476191,0.3125,0.625,0.8324829931972786,0.7521201149924062,0.7232504936941482,0.3809523809523809,0.3809523809523809,0.0049867630004882
FeatureEnvy,LR,0.5714285714285714,0.8888888888888888,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.4,1.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.8095238095238095,0.5,0.875,0.8460884353741497,0.948148927606716,0.9159989611374068,0.1904761904761904,0.1904761904761904,0.0049731731414794
FeatureEnvy,LR,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.6,1.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.8571428571428571,0.625,1.0,0.8460884353741497,0.9263393827363902,0.8981885917370281,0.1428571428571428,0.1428571428571428,0.0049867630004882
FeatureEnvy,LR,0.6206896551724138,0.9473684210526316,0.3793103448275862,1.0,0.2068965517241379,1.0,0.6666666666666666,0.2222222222222222,1.0,0.8928571428571429,0.0,0.0,0.3333333333333333,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.7380952380952381,0.375,0.625,0.8115763546798032,0.8840974985286449,0.8576643969034291,0.2619047619047619,0.2619047619047619,0.0049870014190673
FeatureEnvy,LR,0.6551724137931034,1.0,0.3793103448275862,1.0,0.2068965517241379,1.0,1.0,0.6666666666666666,1.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.7857142857142857,0.6875,1.0,0.8419540229885055,0.8493073571174145,0.8193414922794373,0.2142857142857142,0.2142857142857142,0.0049850940704345
FeatureEnvy,LR,0.5925925925925926,0.8888888888888888,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.3333333333333333,0.6666666666666666,0.8928571428571429,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.1071428571428571,0.0,0.0,0.7380952380952381,0.375,0.5,0.8170194003527338,0.8471543721116565,0.8131303360033846,0.2619047619047619,0.2619047619047619,0.0049870014190673
FeatureEnvy,LR,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,0.2222222222222222,0.6666666666666666,0.8571428571428571,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.3333333333333333,0.0,0.0,0.1428571428571428,0.0,0.0,0.7142857142857143,0.375,0.625,0.7993827160493826,0.809886247002732,0.782046903181445,0.2857142857142857,0.2857142857142857,0.0059847831726074
FeatureEnvy,LR,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.5555555555555556,1.0,0.9285714285714286,0.0,0.0,0.5,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.8333333333333334,0.5625,0.75,0.8381834215167551,0.9205870715344112,0.8888418274810561,0.1666666666666666,0.1666666666666666,0.0049951076507568
FeatureEnvy,LR,0.5357142857142857,0.8333333333333334,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.3,1.0,0.8928571428571429,0.0,0.0,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.7380952380952381,0.375,0.625,0.83078231292517,0.8792068484770268,0.8489622764139652,0.2619047619047619,0.2619047619047619,0.0039877891540527
FeatureEnvy,LR,0.5714285714285714,0.8888888888888888,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.4,1.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.7857142857142857,0.5,0.75,0.8392857142857142,0.8865287729151154,0.857563866834325,0.2142857142857142,0.2142857142857142,0.0059843063354492
FeatureEnvy,LR,0.5714285714285714,0.8888888888888888,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.2,1.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.7380952380952381,0.375,0.5,0.8299319727891155,0.8796428990099744,0.8493927694287178,0.2619047619047619,0.2619047619047619,0.0049881935119628
FeatureEnvy,LR,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.5,1.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.8333333333333334,0.5625,0.875,0.846938775510204,0.9243945515775208,0.8911575626684941,0.1666666666666666,0.1666666666666666,0.0049870014190673
