Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,LR,0.3278688524590163,0.8333333333333334,0.180327868852459,0.9166666666666666,0.081967213114754,0.8333333333333334,0.3333333333333333,0.6363636363636364,0.6666666666666666,0.375,0.0,0.0833333333333333,0.5833333333333334,0.0,0.2727272727272727,0.0909090909090909,0.0,0.3333333333333333,0.0,0.5,0.125,0.0,0.4523809523809524,0.5,0.875,0.6500780640124904,0.7241406715508353,0.6509110845868301,0.6190476190476191,0.7619047619047619,0.026099681854248
GodClass,LR,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.5833333333333334,0.7272727272727273,0.0,0.625,0.0,0.0,0.4166666666666667,0.0,0.1818181818181818,0.0909090909090909,0.0,1.0,0.0,0.3125,0.0625,0.0,0.5952380952380952,0.6875,0.875,0.692232630757221,0.8434620603943751,0.7676765097649564,0.4285714285714285,0.4761904761904761,0.0059325695037841
GodClass,LR,0.3278688524590163,0.8333333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.3333333333333333,0.8181818181818182,0.3333333333333333,0.75,0.0,0.0,0.6666666666666666,0.0,0.1818181818181818,0.0,0.0,0.6666666666666666,0.0,0.25,0.0,0.0,0.6190476190476191,0.5625,0.75,0.7097970335675252,0.8783554889548457,0.8057106635300987,0.3809523809523809,0.3809523809523809,0.0049867630004882
GodClass,LR,0.3174603174603174,0.8333333333333334,0.1587301587301587,0.8333333333333334,0.0952380952380952,1.0,0.1538461538461538,0.7272727272727273,0.5,0.4375,0.0,0.0,0.8461538461538461,0.0,0.1818181818181818,0.0909090909090909,0.5,0.0,0.0,0.375,0.1875,0.0,0.4285714285714285,0.375,0.625,0.6626984126984127,0.7219697083552609,0.6414794154274617,0.6428571428571429,0.7857142857142857,0.0059833526611328
GodClass,LR,0.296875,0.7916666666666666,0.109375,0.5833333333333334,0.046875,0.5,0.3846153846153846,0.9090909090909092,0.0,0.6,0.0,0.1538461538461538,0.4615384615384615,0.0,0.0909090909090909,0.0,0.0,0.6666666666666666,0.3333333333333333,0.2,0.1333333333333333,0.0666666666666666,0.5714285714285714,0.6875,0.625,0.6365327380952381,0.6081996887793117,0.5349440287539529,0.5952380952380952,0.9761904761904762,0.0050292015075683
GodClass,LR,0.34375,0.9166666666666666,0.15625,0.8333333333333334,0.09375,1.0,0.6923076923076923,0.8181818181818182,0.3333333333333333,0.6,0.0,0.0,0.3076923076923077,0.0,0.1818181818181818,0.0,0.0,0.3333333333333333,0.3333333333333333,0.4,0.0,0.0,0.6666666666666666,0.875,0.875,0.701264880952381,0.8695241453604898,0.7983829925889628,0.3571428571428571,0.4047619047619047,0.0049366950988769
GodClass,LR,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.4615384615384615,0.9090909090909092,0.6666666666666666,0.4,0.0,0.0769230769230769,0.4615384615384615,0.0,0.0,0.0909090909090909,0.0,0.3333333333333333,0.0,0.5333333333333333,0.0666666666666666,0.0,0.5714285714285714,0.6875,0.875,0.6889880952380952,0.8031057069621114,0.7324192921773093,0.4761904761904761,0.5714285714285714,0.0049846172332763
GodClass,LR,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.09375,1.0,0.1538461538461538,0.8181818181818182,1.0,0.6,0.0,0.1538461538461538,0.6923076923076923,0.0,0.1818181818181818,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5476190476190477,0.5,0.375,0.6793154761904763,0.8057839062715483,0.7338998848356348,0.5,0.5952380952380952,0.0049858093261718
GodClass,LR,0.328125,0.875,0.15625,0.8333333333333334,0.09375,1.0,0.1538461538461538,0.7272727272727273,1.0,0.5333333333333333,0.0,0.0769230769230769,0.7692307692307693,0.0,0.1818181818181818,0.0909090909090909,0.0,0.0,0.0,0.4,0.0666666666666666,0.0,0.5,0.5,0.5,0.6901041666666667,0.774493911563478,0.6976171938999406,0.5476190476190477,0.6428571428571429,0.0049855709075927
GodClass,LR,0.296875,0.7916666666666666,0.1875,1.0,0.09375,1.0,0.3846153846153846,0.9090909090909092,0.3333333333333333,0.6,0.0,0.0769230769230769,0.5384615384615384,0.0,0.0,0.0909090909090909,0.0,0.6666666666666666,0.0,0.2666666666666666,0.1333333333333333,0.0,0.5952380952380952,0.5,0.75,0.6763392857142858,0.7630677015473663,0.6907478675229156,0.4761904761904761,0.6190476190476191,0.0049872398376464
