Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,LambdaRank,0.4444444444444444,0.6666666666666666,0.1851851851851851,0.5,0.1851851851851851,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5625,0.375,0.5824514991181658,0.0791004587270384,0.075884854084167,0.6428571428571429,1.3571428571428572,9.27713680267334
FeatureEnvy,LambdaRank,0.4444444444444444,0.6666666666666666,0.2592592592592592,0.7,0.1851851851851851,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5625,0.25,0.4113756613756611,0.0791004587270384,0.075884854084167,0.6428571428571429,1.3571428571428572,9.29779314994812
FeatureEnvy,LambdaRank,0.4074074074074074,0.6111111111111112,0.2962962962962963,0.8,0.1481481481481481,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.375,0.4977954144620812,0.0791004587270384,0.075884854084167,0.6428571428571429,1.3571428571428572,9.29211688041687
FeatureEnvy,LambdaRank,0.0714285714285714,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5625,0.875,0.6045918367346939,0.0791004587270384,0.075884854084167,0.6666666666666666,1.4285714285714286,9.197566509246826
FeatureEnvy,LambdaRank,0.1428571428571428,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0476190476190476,0.0625,0.0,0.4047619047619046,0.0791004587270384,0.075884854084167,1.0,1.0952380952380951,9.132432699203491
FeatureEnvy,LambdaRank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.3928571428571428,0.0791004587270384,0.075884854084167,1.0,1.0952380952380951,9.108500719070436
FeatureEnvy,LambdaRank,0.1428571428571428,0.2222222222222222,0.1428571428571428,0.4,0.0714285714285714,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.875,0.75,0.3732993197278914,0.0791004587270384,0.075884854084167,0.6666666666666666,1.4285714285714286,9.111315965652466
FeatureEnvy,LambdaRank,0.2857142857142857,0.4444444444444444,0.1071428571428571,0.3,0.0714285714285714,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.5,0.6079931972789115,0.0791004587270384,0.075884854084167,0.6666666666666666,1.4285714285714286,9.200404167175291
FeatureEnvy,LambdaRank,0.3103448275862069,0.4736842105263157,0.1379310344827586,0.3636363636363636,0.0689655172413793,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0476190476190476,0.0625,0.125,0.4733169129720854,0.0791004587270384,0.075884854084167,1.0238095238095235,1.1666666666666667,9.359244585037231
FeatureEnvy,LambdaRank,0.1724137931034483,0.2631578947368421,0.1724137931034483,0.4545454545454545,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0476190476190476,0.0625,0.0,0.4568965517241382,0.0791004587270384,0.075884854084167,1.0238095238095235,1.1666666666666667,9.217998027801514
