Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,LambdaRank,0.064516129032258,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6875,0.875,0.6716589861751153,-0.1006094329051763,-0.0967098088642765,0.7380952380952381,1.738095238095238,9.606609106063845
LongMethod,LambdaRank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.9375,1.0,0.4243471582181261,-0.1006094329051763,-0.0967098088642765,0.7380952380952381,1.738095238095238,9.64334797859192
LongMethod,LambdaRank,0.3548387096774194,0.55,0.1612903225806451,0.4166666666666667,0.1290322580645161,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.25,0.4742703533026113,-0.1006094329051763,-0.0967098088642765,0.7380952380952381,1.738095238095238,9.649609088897703
LongMethod,LambdaRank,0.2580645161290322,0.4,0.0967741935483871,0.25,0.032258064516129,0.1666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5625,0.5,0.4619815668202764,-0.1006094329051763,-0.0967098088642765,0.7380952380952381,1.738095238095238,9.570412158966064
LongMethod,LambdaRank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.3634920634920633,-0.1006094329051763,-0.0967098088642765,0.7142857142857143,1.619047619047619,9.528688669204712
LongMethod,LambdaRank,0.1333333333333333,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0238095238095238,0.0,0.0,0.5833333333333338,-0.1006094329051763,-0.0967098088642765,1.0476190476190477,1.1904761904761905,9.679256677627563
LongMethod,LambdaRank,0.0666666666666666,0.1052631578947368,0.0666666666666666,0.1818181818181818,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,0.875,0.4500000000000001,-0.1006094329051763,-0.0967098088642765,0.7142857142857143,1.619047619047619,9.560537338256836
LongMethod,LambdaRank,0.2666666666666666,0.4210526315789473,0.0333333333333333,0.0909090909090909,0.0333333333333333,0.1666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6875,0.5,0.575396825396826,-0.1006094329051763,-0.0967098088642765,0.7142857142857143,1.619047619047619,9.748459577560425
LongMethod,LambdaRank,0.1,0.1578947368421052,0.1,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8125,0.875,0.4904761904761907,-0.1006094329051763,-0.0967098088642765,0.7142857142857143,1.619047619047619,9.69640326499939
LongMethod,LambdaRank,0.1379310344827586,0.2105263157894736,0.0689655172413793,0.1818181818181818,0.0689655172413793,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6875,0.75,0.3969622331691298,-0.1006094329051763,-0.0967098088642765,0.6904761904761905,1.5476190476190477,9.778262615203856
