Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,ListNet,0.1851851851851851,0.2777777777777778,0.074074074074074,0.2,0.0,0.0,0.0,0.0,1.0,0.0714285714285714,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.119047619047619,0.0625,0.0,0.5304232804232807,0.1550368991049953,0.1487343140049673,0.9285714285714286,1.0238095238095235,1.352977275848389
FeatureEnvy,ListNet,0.1111111111111111,0.1666666666666666,0.037037037037037,0.1,0.037037037037037,0.1666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.1875,0.125,0.4589947089947089,-0.2242993965439931,-0.2151811411946903,1.0,1.1428571428571428,1.3002078533172607
FeatureEnvy,ListNet,0.037037037037037,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7857142857142857,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2142857142857142,0.0,0.0,0.5476190476190477,0.375,0.25,0.4695767195767196,-0.211989229388463,-0.2033714089455675,0.7619047619047619,1.4761904761904765,1.3492627143859863
FeatureEnvy,ListNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.4166666666666667,-0.0340777741530204,-0.0328729081084838,1.0,1.0952380952380951,1.34692645072937
FeatureEnvy,ListNet,0.2142857142857142,0.3333333333333333,0.0714285714285714,0.2,0.0714285714285714,0.3333333333333333,0.0,0.0,1.0,0.7857142857142857,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.5714285714285714,0.25,0.125,0.6139455782312924,0.2197950389679657,0.2120238864853839,0.6666666666666666,1.1428571428571428,1.4030930995941162
FeatureEnvy,ListNet,0.4285714285714285,0.6666666666666666,0.1785714285714285,0.5,0.0714285714285714,0.3333333333333333,0.0,0.0,1.0,0.3571428571428571,0.0,1.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.2857142857142857,0.0625,0.0,0.6275510204081632,0.3011138163199315,0.2904675278858447,0.7857142857142857,0.9285714285714286,1.363853931427002
FeatureEnvy,ListNet,0.0714285714285714,0.1111111111111111,0.0714285714285714,0.2,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,1.0,0.0,0.0,0.9,0.1,0.0,1.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.5238095238095238,0.375,0.125,0.5374149659863949,-0.1776212143147543,-0.1713411747512477,0.7857142857142857,1.5,1.3470637798309326
FeatureEnvy,ListNet,0.2142857142857142,0.3333333333333333,0.1428571428571428,0.4,0.1428571428571428,0.6666666666666666,0.0,0.0,1.0,0.1071428571428571,0.5,0.5,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.119047619047619,0.0,0.0,0.4489795918367346,-0.0949024302112036,-0.0915470257416499,0.9761904761904762,1.2142857142857142,1.3790135383605957
FeatureEnvy,ListNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3928571428571428,0.0,0.0,0.4047619047619047,0.1875,0.0,0.3756157635467982,-0.413014754813384,-0.3962248121945259,0.9523809523809524,1.809523809523809,1.48813796043396
FeatureEnvy,ListNet,0.2413793103448276,0.3684210526315789,0.1724137931034483,0.4545454545454545,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.0,0.7777777777777778,0.2222222222222222,0.0,1.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.5714285714285714,0.3125,0.125,0.6202791461412154,0.1170686789160169,0.1123095840445671,0.7142857142857143,1.380952380952381,1.3357622623443604
FeatureEnvy,ListNet,0.3333333333333333,0.5,0.1481481481481481,0.4,0.074074074074074,0.3333333333333333,0.0,0.0,0.0,0.9642857142857144,1.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.6428571428571429,0.5625,0.25,0.5163139329805997,0.2014567304307065,0.1932670788391002,0.6190476190476191,1.238095238095238,1.3681628704071045
FeatureEnvy,ListNet,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.6,0.1111111111111111,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.1875,0.0,0.6177248677248676,-0.0340777741530204,-0.0328729081084838,0.9761904761904762,1.0714285714285714,1.379791259765625
FeatureEnvy,ListNet,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857144,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.6428571428571429,0.6875,0.625,0.517195767195767,-0.1082824672971001,-0.1038805509215746,0.6666666666666666,1.380952380952381,1.404771327972412
FeatureEnvy,ListNet,0.1785714285714285,0.2777777777777778,0.0714285714285714,0.2,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1071428571428571,0.0,0.0,0.5952380952380952,0.4375,0.25,0.4685374149659864,-0.1927730015307553,-0.1859572499266492,0.7380952380952381,1.5,1.3779327869415283
FeatureEnvy,ListNet,0.1785714285714285,0.2777777777777778,0.1785714285714285,0.5,0.0714285714285714,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.875,0.75,0.2891156462585034,-0.0340777741530204,-0.0328729081084838,0.6666666666666666,1.4285714285714286,1.3334581851959229
FeatureEnvy,ListNet,0.3214285714285714,0.5,0.1428571428571428,0.4,0.0714285714285714,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6875,0.5,0.3732993197278914,-0.0340777741530204,-0.0328729081084838,0.6666666666666666,1.4285714285714286,1.4122583866119385
FeatureEnvy,ListNet,0.3214285714285714,0.5,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.0,0.0,1.0,0.1428571428571428,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.1428571428571428,0.0,0.0,0.5102040816326529,0.2255049518768457,0.217531917658964,0.9047619047619048,1.0,1.3745532035827637
FeatureEnvy,ListNet,0.25,0.3888888888888889,0.0714285714285714,0.2,0.0,0.0,0.0,0.0,1.0,0.0357142857142857,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9642857142857144,0.0,0.0,0.0714285714285714,0.125,0.125,0.5204081632653063,0.1085490325927048,0.1047111339391433,0.9761904761904762,1.0714285714285714,1.33439302444458
FeatureEnvy,ListNet,0.1724137931034483,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5625,0.625,0.589080459770115,-0.0340777741530204,-0.0328729081084838,0.6904761904761905,1.5476190476190477,1.3608920574188232
FeatureEnvy,ListNet,0.3448275862068966,0.5263157894736842,0.1379310344827586,0.3636363636363636,0.0689655172413793,0.3333333333333333,0.0,0.0,0.5,0.8214285714285714,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.0,0.0,0.1785714285714285,0.0,0.0,0.5714285714285714,0.125,0.0,0.6744663382594418,0.3749459744829453,0.359703610079802,0.6190476190476191,1.0952380952380951,1.3612515926361084
FeatureEnvy,ListNet,0.1851851851851851,0.2777777777777778,0.1111111111111111,0.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,0.625,0.4889770723104057,-0.0340777741530204,-0.0328729081084838,0.6428571428571429,1.3571428571428572,1.3437247276306152
FeatureEnvy,ListNet,0.074074074074074,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857144,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.6428571428571429,0.8125,0.75,0.3743386243386242,-0.1082824672971001,-0.1038805509215746,0.6666666666666666,1.380952380952381,1.3477563858032229
FeatureEnvy,ListNet,0.2962962962962963,0.4444444444444444,0.1851851851851851,0.5,0.074074074074074,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.4466490299823632,-0.0687035716479522,-0.0659106229403426,0.8571428571428571,1.238095238095238,1.338024377822876
FeatureEnvy,ListNet,0.1071428571428571,0.1666666666666666,0.1071428571428571,0.3,0.1071428571428571,0.5,0.0,0.0,1.0,0.1785714285714285,0.0,1.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.8214285714285714,0.0,0.0,0.1666666666666666,0.125,0.125,0.6020408163265305,0.1418770875836569,0.1368608302260106,0.9047619047619048,1.0476190476190477,1.346207857131958
