Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,ListNet,0.1639344262295081,0.4166666666666667,0.0327868852459016,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,0.0625,0.0833333333333333,0.9166666666666666,0.0,0.0909090909090909,0.9090909090909092,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0952380952380952,0.0,0.0,0.4806791569086648,-0.0441318866189739,-0.0409408798999511,1.238095238095238,1.9523809523809523,1.3665330410003662
GodClass,ListNet,0.180327868852459,0.4583333333333333,0.0655737704918032,0.3333333333333333,0.0491803278688524,0.5,0.0,0.0,1.0,0.0,0.1666666666666666,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.125,0.25,0.4775565964090553,-0.291111254869791,-0.270062121432716,1.261904761904762,2.023809523809524,1.3433804512023926
GodClass,ListNet,0.2622950819672131,0.6666666666666666,0.1311475409836065,0.6666666666666666,0.0983606557377049,1.0,0.0,0.0,0.0,0.9375,0.75,0.25,0.0,0.8181818181818182,0.1818181818181818,0.0,1.0,0.0,0.0,0.0625,0.0,0.0,0.3571428571428571,0.1875,0.0,0.5587431693989068,0.2303140681628513,0.2136609450970192,1.3571428571428572,3.2142857142857144,1.35858416557312
GodClass,ListNet,0.1111111111111111,0.2916666666666667,0.0476190476190476,0.25,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0625,0.0,0.0,0.3571428571428571,0.4375,0.375,0.4302721088435371,-0.1768070562578391,-0.1648113337922292,1.5238095238095235,3.9047619047619047,1.429173469543457
GodClass,ListNet,0.03125,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.1904761904761904,0.25,0.0,0.3742559523809524,-0.5230162198525903,-0.4849343154722922,1.6904761904761905,4.071428571428571,1.3609588146209717
GodClass,ListNet,0.296875,0.7916666666666666,0.140625,0.75,0.046875,0.5,0.0,0.0,0.6666666666666666,0.0666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.9333333333333332,0.0,0.0,0.0714285714285714,0.0,0.0,0.5662202380952381,0.1743387399508634,0.1616447718240974,1.238095238095238,1.8571428571428568,1.3351759910583496
GodClass,ListNet,0.125,0.3333333333333333,0.09375,0.5,0.09375,1.0,0.0,0.0,1.0,0.0666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,0.0,0.0952380952380952,0.125,0.0,0.4494047619047619,0.1826451865619656,0.1693464086920655,1.2142857142857142,1.8333333333333333,1.378321886062622
GodClass,ListNet,0.21875,0.5833333333333334,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.0,0.0,0.3333333333333333,0.8,0.8461538461538461,0.1538461538461538,0.0,0.6363636363636364,0.3636363636363636,0.0,0.6666666666666666,0.0,0.0,0.2,0.0,0.0,0.3095238095238095,0.0625,0.0,0.5141369047619048,-0.0290564566584772,-0.0269407953040162,1.4285714285714286,3.4285714285714284,1.3753020763397217
GodClass,ListNet,0.15625,0.4166666666666667,0.078125,0.4166666666666667,0.046875,0.5,0.0,0.0,0.6666666666666666,0.5333333333333333,0.5384615384615384,0.4615384615384615,0.0,0.6363636363636364,0.3636363636363636,0.0,0.3333333333333333,0.0,0.0,0.4666666666666667,0.0,0.0,0.238095238095238,0.0625,0.125,0.4899553571428571,-0.0269363675429934,-0.0249750743092693,1.4047619047619049,3.023809523809524,1.364140510559082
GodClass,ListNet,0.109375,0.2916666666666667,0.046875,0.25,0.046875,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.4375,0.625,0.5044642857142858,-0.0279964121007353,-0.02595793480664275,1.5238095238095235,3.9047619047619047,1.3279569149017334
GodClass,ListNet,0.2131147540983606,0.5416666666666666,0.1311475409836065,0.6666666666666666,0.0491803278688524,0.5,0.0,0.0,0.0,0.9375,0.8333333333333334,0.1666666666666666,0.0,0.8181818181818182,0.1818181818181818,0.0,1.0,0.0,0.0,0.0625,0.0,0.0,0.3571428571428571,0.25,0.25,0.4994145199063231,0.1531468655801132,0.1420734056738398,1.380952380952381,3.333333333333333,1.3473658561706543
GodClass,ListNet,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0625,0.0,0.5645979703356752,-0.0279964121007353,-0.02595793480664275,1.2142857142857142,1.7857142857142858,1.3764381408691406
GodClass,ListNet,0.1967213114754098,0.5,0.0655737704918032,0.3333333333333333,0.0327868852459016,0.3333333333333333,0.0,0.0,1.0,0.3125,0.0,1.0,0.0,0.1818181818181818,0.8181818181818182,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.1904761904761904,0.0625,0.0,0.5821623731459797,0.3216086244275785,0.2983543436780481,1.1428571428571428,1.809523809523809,1.3431801795959473
GodClass,ListNet,0.1111111111111111,0.2916666666666667,0.0634920634920634,0.3333333333333333,0.0476190476190476,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0476190476190476,0.0625,0.125,0.4865835222978075,-0.0279964121007353,-0.02595793480664275,1.261904761904762,1.880952380952381,1.3728036880493164
GodClass,ListNet,0.125,0.3333333333333333,0.046875,0.25,0.015625,0.1666666666666666,0.0,0.0,0.6666666666666666,0.4666666666666667,0.7692307692307693,0.2307692307692307,0.0,0.6363636363636364,0.3636363636363636,0.0,0.3333333333333333,0.0,0.0,0.5333333333333333,0.0,0.0,0.2142857142857142,0.125,0.125,0.4516369047619047,-0.2668367555266495,-0.2474078135103219,1.5,3.4047619047619047,1.3458335399627686
GodClass,ListNet,0.28125,0.75,0.140625,0.75,0.078125,0.8333333333333334,0.0,0.0,0.0,1.0,0.6923076923076923,0.3076923076923077,0.0,0.4545454545454545,0.5454545454545454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.125,0.0,0.5863095238095238,0.3535202226781397,0.3277796761988642,1.2857142857142858,3.0,1.3455348014831543
GodClass,ListNet,0.09375,0.25,0.0625,0.3333333333333333,0.03125,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.375,0.625,0.5799851190476191,-0.0279964121007353,-0.02595793480664275,1.5238095238095235,3.9047619047619047,1.3629193305969238
GodClass,ListNet,0.125,0.3333333333333333,0.046875,0.25,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5384615384615384,0.4615384615384615,0.0,0.2727272727272727,0.7272727272727273,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.1666666666666666,0.0625,0.0,0.470610119047619,-0.1571525563372816,-0.1457099501686956,1.380952380952381,2.8095238095238093,1.186962366104126
GodClass,ListNet,0.125,0.3333333333333333,0.046875,0.25,0.046875,0.5,0.0,0.0,0.3333333333333333,0.8666666666666667,1.0,0.0,0.0,0.9090909090909092,0.0909090909090909,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.0,0.3333333333333333,0.3125,0.375,0.4650297619047619,-0.2037711024414027,-0.188934102470678,1.5238095238095235,3.857142857142857,1.1583576202392578
GodClass,ListNet,0.171875,0.4583333333333333,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.0,0.0,0.6666666666666666,0.2666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.7333333333333333,0.0,0.0,0.1428571428571428,0.0625,0.125,0.560639880952381,0.3725944598481818,0.3454650782841331,1.1666666666666667,1.7857142857142858,1.162355899810791
GodClass,ListNet,0.2295081967213114,0.5833333333333334,0.1311475409836065,0.6666666666666666,0.081967213114754,0.8333333333333334,0.0,0.0,0.6666666666666666,0.5625,0.25,0.75,0.0,0.1818181818181818,0.8181818181818182,0.0,0.3333333333333333,0.0,0.0,0.4375,0.0,0.0,0.2619047619047619,0.0625,0.125,0.5759172521467602,0.2954240142011953,0.2740630417502377,1.1428571428571428,2.095238095238096,1.1786110401153564
GodClass,ListNet,0.0491803278688524,0.125,0.0491803278688524,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0833333333333333,0.9166666666666666,0.0,0.0909090909090909,0.9090909090909092,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.4447697111631538,-0.1795186071697044,-0.1665383082168415,1.261904761904762,1.9761904761904765,1.147430419921875
GodClass,ListNet,0.2295081967213114,0.5833333333333334,0.0983606557377049,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.375,0.0833333333333333,0.9166666666666666,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.625,0.0,0.0,0.1904761904761904,0.0,0.0,0.5848946135831379,0.3499612252809977,0.3246568771820662,1.119047619047619,1.7857142857142858,1.1648948192596436
GodClass,ListNet,0.2539682539682539,0.6666666666666666,0.1269841269841269,0.6666666666666666,0.0476190476190476,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0476190476190476,0.0625,0.125,0.5583900226757366,-0.0279964121007353,-0.02595793480664275,1.261904761904762,1.880952380952381,1.1602768898010254
GodClass,ListNet,0.1875,0.5,0.09375,0.5,0.0625,0.6666666666666666,0.0,0.0,0.3333333333333333,0.8,0.7692307692307693,0.2307692307692307,0.0,0.8181818181818182,0.1818181818181818,0.0,0.6666666666666666,0.0,0.0,0.2,0.0,0.0,0.3095238095238095,0.1875,0.125,0.5029761904761905,0.0175936606453219,0.0163126294325931,1.4523809523809523,3.452380952380953,1.1638085842132568
GodClass,ListNet,0.234375,0.625,0.09375,0.5,0.03125,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6153846153846154,0.3846153846153846,0.0,0.5454545454545454,0.4545454545454545,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.4371279761904761,-0.243664390057495,-0.2259226764149076,1.4761904761904765,3.142857142857143,1.1730127334594729
GodClass,ListNet,0.15625,0.4166666666666667,0.109375,0.5833333333333334,0.078125,0.8333333333333334,0.0,0.0,0.6666666666666666,1.0,0.8461538461538461,0.1538461538461538,0.0,0.9090909090909092,0.0909090909090909,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.4047619047619047,0.3125,0.625,0.5453869047619048,0.1433055614800699,0.1328711839554358,1.4047619047619049,3.5476190476190474,1.2062959671020508
GodClass,ListNet,0.125,0.3333333333333333,0.03125,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.625,0.625,0.4486607142857142,-0.0279964121007353,-0.02595793480664275,1.5238095238095235,3.9047619047619047,1.1602976322174072
GodClass,ListNet,0.046875,0.125,0.015625,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.9333333333333332,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.3333333333333333,0.5625,0.625,0.4434523809523809,-0.1826451865619656,-0.1693464086920655,1.5476190476190477,3.928571428571429,1.19028639793396
GodClass,ListNet,0.25,0.6666666666666666,0.0625,0.3333333333333333,0.03125,0.3333333333333333,0.0,0.0,1.0,0.0666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9333333333333332,0.0,0.0,0.0952380952380952,0.0625,0.0,0.5115327380952381,0.1826451865619656,0.1693464086920655,1.2142857142857142,1.8333333333333333,1.193462371826172
GodClass,ListNet,0.081967213114754,0.2083333333333333,0.0327868852459016,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.9375,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0625,0.0,0.0,0.3571428571428571,0.5625,0.5,0.3830991412958626,-0.1762114638618197,-0.1634702917019567,1.4761904761904765,3.7142857142857135,1.1958551406860352
GodClass,ListNet,0.3278688524590163,0.8333333333333334,0.1639344262295081,0.8333333333333334,0.081967213114754,0.8333333333333334,0.0,0.0,0.6666666666666666,0.1875,0.1666666666666666,0.8333333333333334,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.8125,0.0,0.0,0.119047619047619,0.0,0.0,0.5575722092115536,0.0738186115906574,0.0684810721464805,1.2142857142857142,1.9761904761904765,1.1577789783477783
GodClass,ListNet,0.2950819672131147,0.75,0.1475409836065573,0.75,0.0655737704918032,0.6666666666666666,0.0,0.0,1.0,0.3125,0.0,1.0,0.0,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.1904761904761904,0.125,0.25,0.600507416081187,0.2868103274859304,0.2660721775401896,1.1666666666666667,1.880952380952381,1.221341609954834
GodClass,ListNet,0.1587301587301587,0.4166666666666667,0.0634920634920634,0.3333333333333333,0.0317460317460317,0.3333333333333333,0.0,0.0,0.0,0.75,0.9230769230769232,0.0769230769230769,0.0,0.5454545454545454,0.4545454545454545,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.2857142857142857,0.0625,0.0,0.4960317460317455,-0.1217063362607873,-0.113448999347935,1.4523809523809523,3.5,1.233712673187256
GodClass,ListNet,0.0625,0.1666666666666666,0.03125,0.1666666666666666,0.03125,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.8181818181818182,0.1818181818181818,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.238095238095238,0.125,0.125,0.4813988095238095,-0.3459101983152052,-0.3207237536192409,1.5952380952380951,3.880952380952381,1.2516701221466064
