Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,ListNet,0.2903225806451613,0.45,0.1612903225806451,0.4166666666666667,0.032258064516129,0.1666666666666666,0.0,0.0,1.0,0.1428571428571428,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.119047619047619,0.0625,0.125,0.4543010752688169,-0.0674142956693338,-0.0648013159466449,1.0238095238095235,1.4047619047619049,1.5760767459869385
LongMethod,ListNet,0.064516129032258,0.1,0.064516129032258,0.1666666666666666,0.064516129032258,0.3333333333333333,0.0,0.0,1.0,0.25,0.25,0.75,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.1904761904761904,0.0,0.0,0.4619815668202765,0.1006094329051763,0.0967098088642765,0.9523809523809524,1.2857142857142858,1.5925209522247314
LongMethod,ListNet,0.3548387096774194,0.55,0.1612903225806451,0.4166666666666667,0.064516129032258,0.3333333333333333,0.0,0.0,1.0,0.3214285714285714,0.0,1.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.6785714285714286,0.0,0.0,0.238095238095238,0.0,0.0,0.5311059907834103,0.2797018030558587,0.2688605544374747,0.8809523809523809,1.119047619047619,1.4138379096984863
LongMethod,ListNet,0.5483870967741935,0.85,0.2903225806451613,0.75,0.1612903225806451,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4375,0.125,0.5618279569892475,-0.028558317087742903,-0.0274731141835801,0.7380952380952381,1.738095238095238,1.7432489395141602
LongMethod,ListNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.4174603174603173,-0.2872606715955983,-0.277389944402327,1.0,1.7142857142857142,1.3985064029693604
LongMethod,ListNet,0.3333333333333333,0.5263157894736842,0.1333333333333333,0.3636363636363636,0.0666666666666666,0.3333333333333333,0.0,0.0,0.0,0.7857142857142857,0.3333333333333333,0.6666666666666666,0.0,0.4,0.6,0.0,1.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.5238095238095238,0.125,0.0,0.6492063492063495,0.3761742424438808,0.3632483055111484,0.6666666666666666,1.0952380952380951,1.590334415435791
LongMethod,ListNet,0.1333333333333333,0.2105263157894736,0.0666666666666666,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,1.0,0.0,0.0,0.8,0.2,0.0,1.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.5238095238095238,0.375,0.0,0.4507936507936505,-0.0963399365169631,-0.0930295452061931,0.8095238095238095,1.619047619047619,1.4119577407836914
LongMethod,ListNet,0.2666666666666666,0.4210526315789473,0.2,0.5454545454545454,0.1,0.5,0.0,0.0,1.0,0.3928571428571428,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.6071428571428571,0.0,0.0,0.2857142857142857,0.0,0.0,0.4936507936507934,-0.0361274761938611,-0.0348860794523224,0.9285714285714286,1.4047619047619049,1.6079068183898926
LongMethod,ListNet,0.3,0.4736842105263157,0.1,0.2727272727272727,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.4285714285714285,0.0,0.0,0.4047619047619047,0.0625,0.125,0.5253968253968252,0.1915166575726419,0.1849358448586481,0.7857142857142857,1.2142857142857142,1.4113376140594482
LongMethod,ListNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.4761904761904761,0.375,0.0,0.4380131362889983,-0.3363222550163144,-0.3226500283044133,0.8809523809523809,1.738095238095238,1.609263896942139
