Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,LogR,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,1.0,0.5555555555555556,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.7619047619047619,0.625,0.625,0.7535273368606703,0.6739359083543676,0.6465389567971028,0.3571428571428571,0.5952380952380952,0.0309157371520996
FeatureEnvy,LogR,0.5185185185185185,0.7777777777777778,0.2592592592592592,0.7,0.1111111111111111,0.5,0.5,0.8888888888888888,0.0,0.9285714285714286,0.0,0.0,0.5,0.1111111111111111,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.8333333333333334,0.6875,0.75,0.8134920634920635,0.7772270316403704,0.7515846993990036,0.238095238095238,0.3809523809523809,0.0328540802001953
FeatureEnvy,LogR,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.1481481481481481,0.6666666666666666,0.0,0.7777777777777778,0.0,0.9642857142857144,0.0,0.0,1.0,0.1111111111111111,0.0,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.625,0.5,0.8046737213403881,0.8206836130166424,0.7770012829165107,0.238095238095238,0.3333333333333333,0.0269680023193359
FeatureEnvy,LogR,0.5357142857142857,0.8333333333333334,0.1785714285714285,0.5,0.1071428571428571,0.5,0.0,0.7,0.0,0.9642857142857144,0.0,0.0,1.0,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.75,0.5,0.7831632653061227,0.7474075083655445,0.7209818995737931,0.2857142857142857,0.4761904761904761,0.0288863182067871
FeatureEnvy,LogR,0.6071428571428571,0.9444444444444444,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.7,0.0,1.0,0.0,0.0,1.0,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8333333333333334,0.75,0.625,0.740646258503401,0.8103967903110666,0.7817441098025678,0.238095238095238,0.3809523809523809,0.0269298553466796
FeatureEnvy,LogR,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,0.5,0.5,0.0,0.9642857142857144,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.7857142857142857,0.6875,0.75,0.6972789115646257,0.6471359206055389,0.6279749471242236,0.3571428571428571,0.6428571428571429,0.0269274711608886
FeatureEnvy,LogR,0.6071428571428571,0.9444444444444444,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.3,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.75,0.75,0.7219387755102045,0.7911718801062011,0.7513761376071498,0.2619047619047619,0.4047619047619047,0.0279247760772705
FeatureEnvy,LogR,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.0,0.8,0.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.6875,0.875,0.8095238095238091,0.8437007679950831,0.8138705800684267,0.1904761904761904,0.2857142857142857,0.0309169292449951
FeatureEnvy,LogR,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.0,0.6666666666666666,0.0,0.9642857142857144,0.0,0.0,1.0,0.2222222222222222,0.1111111111111111,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.7857142857142857,0.5,0.625,0.7853037766830868,0.7994595702461751,0.7622012584800057,0.2857142857142857,0.4285714285714285,0.0239346027374267
FeatureEnvy,LogR,0.5862068965517241,0.8947368421052632,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.0,0.7777777777777778,0.0,0.9642857142857144,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.75,0.5,0.7598522167487683,0.7831188857500528,0.7512834101350752,0.2619047619047619,0.4047619047619047,0.0319130420684814
FeatureEnvy,LogR,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.8333333333333334,0.75,0.75,0.7552910052910051,0.8305548166339036,0.7967909678837535,0.2142857142857142,0.3095238095238095,0.0279252529144287
