Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,LogR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.6666666666666666,0.0,1.0,0.0,0.0,0.25,0.2222222222222222,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.8125,0.75,0.8291090629800307,0.9002327499514519,0.8730604135058393,0.1666666666666666,0.2619047619047619,0.0378985404968261
LongMethod,LogR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1612903225806451,0.8333333333333334,0.25,0.7777777777777778,0.0,1.0,0.0,0.0,0.75,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.75,0.625,0.7799539170506913,0.8961266853299468,0.8652902194186083,0.1904761904761904,0.2857142857142857,0.0279679298400878
LongMethod,LogR,0.5161290322580645,0.8,0.2903225806451613,0.75,0.1290322580645161,0.6666666666666666,0.5,1.0,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0357142857142857,0.0,0.9047619047619048,0.75,0.625,0.8337173579109063,0.9293950058694436,0.8798185941043083,0.1428571428571428,0.238095238095238,0.0299341678619384
LongMethod,LogR,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.25,0.8888888888888888,0.0,1.0,0.0,0.0,0.75,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8291090629800305,0.939461451829282,0.9078074647039812,0.1428571428571428,0.1904761904761904,0.0309162139892578
LongMethod,LogR,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.9,0.0,1.0,0.0,0.0,0.3333333333333333,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.9375,0.875,0.7928571428571427,0.9257983615483436,0.9075904958553552,0.0952380952380952,0.1428571428571428,0.0279233455657959
LongMethod,LogR,0.5666666666666667,0.8947368421052632,0.3,0.8181818181818182,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.9,0.0,1.0,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.75,0.8031746031746034,0.939913191574654,0.9140467646940992,0.119047619047619,0.1666666666666666,0.028921365737915
LongMethod,LogR,0.6,0.9473684210526316,0.3,0.8181818181818182,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.9,0.0,1.0,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.875,0.875,0.8246031746031741,0.9218120239839688,0.8961297955461902,0.119047619047619,0.1666666666666666,0.0269272327423095
LongMethod,LogR,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.8,0.0,1.0,0.0,0.0,0.6666666666666666,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.75,0.792857142857143,0.8938332082617284,0.86874805179339,0.1666666666666666,0.2619047619047619,0.0279250144958496
LongMethod,LogR,0.5,0.7894736842105263,0.3,0.8181818181818182,0.2,1.0,0.3333333333333333,0.9,0.0,0.9642857142857144,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.75,0.625,0.803968253968254,0.8894367410192888,0.8648374447691546,0.1666666666666666,0.2619047619047619,0.0308070182800292
LongMethod,LogR,0.5172413793103449,0.7894736842105263,0.2413793103448276,0.6363636363636364,0.1379310344827586,0.6666666666666666,0.0,1.0,0.0,0.9642857142857144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.625,0.875,0.8288177339901478,0.930221394629972,0.8924058840298039,0.1666666666666666,0.2142857142857142,0.0319135189056396
LongMethod,LogR,0.5483870967741935,0.85,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.6666666666666666,0.0,1.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8125,0.875,0.7638248847926262,0.8574111188130422,0.8318815163039281,0.2142857142857142,0.3571428571428571,0.0289218425750732
LongMethod,LogR,0.5483870967741935,0.85,0.2258064516129032,0.5833333333333334,0.0967741935483871,0.5,0.0,1.0,0.0,0.9642857142857144,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.625,0.625,0.828341013824885,0.9304931269977084,0.8944271909999157,0.1666666666666666,0.2142857142857142,0.0269725322723388
