Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
DataClass,NB,0.2786885245901639,0.7083333333333334,0.0983606557377049,0.5,0.0491803278688524,0.5,0.8333333333333334,0.0,0.0,0.75,0.0833333333333333,0.0833333333333333,0.0,0.3636363636363636,0.5454545454545454,0.0909090909090909,0.6666666666666666,0.0,0.3333333333333333,0.0625,0.0,0.1875,0.5238095238095238,0.625,0.625,0.6317330210772834,0.5687591254169996,0.5305058892145127,0.8095238095238095,1.6666666666666667,0.0153546333312988
DataClass,NB,0.3064516129032258,0.7916666666666666,0.1612903225806451,0.8333333333333334,0.064516129032258,0.6666666666666666,0.75,0.0,0.75,0.5333333333333333,0.0,0.25,0.0,0.0,0.8181818181818182,0.1818181818181818,0.25,0.0,0.0,0.3333333333333333,0.0,0.1333333333333333,0.4761904761904761,0.625,0.625,0.6674347158218128,0.6467549761799835,0.6031360616278432,0.6904761904761905,1.119047619047619,0.0039894580841064
DataClass,NB,0.2903225806451613,0.75,0.0967741935483871,0.5,0.0483870967741935,0.5,0.6666666666666666,0.0,0.25,0.8666666666666667,0.0833333333333333,0.25,0.0,0.1818181818181818,0.4545454545454545,0.3636363636363636,0.25,0.0,0.5,0.1333333333333333,0.0,0.0,0.5238095238095238,0.5,0.5,0.6789554531490012,0.6838192595208138,0.6081370452266689,0.6904761904761905,1.1666666666666667,0.0039887428283691
DataClass,NB,0.296875,0.7916666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.8461538461538461,0.0,0.3333333333333333,0.7333333333333333,0.0,0.1538461538461538,0.0,0.0909090909090909,0.7272727272727273,0.1818181818181818,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333,0.5476190476190477,0.6875,0.625,0.6666666666666667,0.725383596394125,0.6812820185263804,0.6190476190476191,1.0476190476190477,0.0059478282928466
DataClass,NB,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.6153846153846154,0.0,0.6666666666666666,1.0,0.0769230769230769,0.3076923076923077,0.0,0.1818181818181818,0.4545454545454545,0.3636363636363636,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5952380952380952,0.5,0.75,0.677827380952381,0.748318650706182,0.6783053712879565,0.6190476190476191,1.0952380952380951,0.0039868354797363
DataClass,NB,0.328125,0.875,0.140625,0.75,0.046875,0.5,0.7692307692307693,0.0,0.0,0.9333333333333332,0.0,0.2307692307692307,0.0,0.3636363636363636,0.5454545454545454,0.0909090909090909,1.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.5714285714285714,0.625,0.875,0.6889880952380952,0.7962640418104581,0.7421742450557622,0.6428571428571429,1.119047619047619,0.0049884319305419
DataClass,NB,0.28125,0.75,0.171875,0.9166666666666666,0.09375,1.0,0.6153846153846154,0.0909090909090909,0.3333333333333333,0.8,0.0,0.3076923076923077,0.0769230769230769,0.2727272727272727,0.2727272727272727,0.3636363636363636,0.3333333333333333,0.0,0.3333333333333333,0.1333333333333333,0.0,0.0666666666666666,0.5238095238095238,0.5625,0.5,0.6421130952380952,0.6622744864237446,0.5784807984546511,0.7142857142857143,1.238095238095238,0.0049867630004882
DataClass,NB,0.3333333333333333,0.875,0.1746031746031746,0.9166666666666666,0.0952380952380952,1.0,0.5,0.3333333333333333,0.3333333333333333,0.8666666666666667,0.0,0.4166666666666667,0.0833333333333333,0.0833333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0666666666666666,0.0666666666666666,0.0,0.5714285714285714,0.625,0.625,0.6789493575207862,0.7198103677230563,0.6261904676337173,0.5952380952380952,0.9285714285714286,0.0039892196655273
DataClass,NB,0.3492063492063492,0.9166666666666666,0.1587301587301587,0.8333333333333334,0.0793650793650793,0.8333333333333334,0.6666666666666666,0.0833333333333333,0.3333333333333333,0.8666666666666667,0.0833333333333333,0.25,0.0,0.4166666666666667,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.0,0.5476190476190477,0.5625,0.75,0.6581632653061227,0.6855469607427632,0.6070085640849554,0.6904761904761905,1.2142857142857142,0.0049867630004882
DataClass,NB,0.3492063492063492,0.9166666666666666,0.1587301587301587,0.8333333333333334,0.0793650793650793,0.8333333333333334,0.9166666666666666,0.0,0.0,0.8,0.0833333333333333,0.0,0.0,0.0,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.0,0.6666666666666666,0.1333333333333333,0.0,0.0666666666666666,0.5476190476190477,0.5625,0.75,0.6600529100529101,0.7226368758321761,0.6620009174032391,0.5952380952380952,0.9761904761904762,0.0029904842376708
