Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,O-AdaBoost,0.6129032258064516,0.95,0.3870967741935484,1.0,0.1935483870967742,1.0,1.0,0.7777777777777778,0.0,1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.75,0.8413978494623654,0.949210945641121,0.9327659178559844,0.0952380952380952,0.1428571428571428,0.0149152278900146
LongMethod,O-AdaBoost,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8413978494623656,0.9874811420387348,0.9619029485349028,0.0714285714285714,0.0714285714285714,0.0139441490173339
LongMethod,O-AdaBoost,0.6451612903225806,1.0,0.3225806451612903,0.8333333333333334,0.1290322580645161,0.6666666666666666,1.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.75,0.8421658986175115,0.9852733860534642,0.9496801147491554,0.119047619047619,0.119047619047619,0.0139846801757812
LongMethod,O-AdaBoost,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.25,0.7777777777777778,0.0,1.0,0.0,0.0,0.75,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.625,0.5,0.8306451612903225,0.9746364954639484,0.9240833396039368,0.1428571428571428,0.1428571428571428,0.0139679908752441
LongMethod,O-AdaBoost,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8515873015873016,1.0,1.0,0.0,0.0,0.014014720916748
LongMethod,O-AdaBoost,0.5333333333333333,0.8421052631578947,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.8,0.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.1,0.1,0.0,1.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8571428571428571,0.625,0.5,0.8365079365079365,0.916806621091159,0.8759293481469447,0.1666666666666666,0.2142857142857142,0.0159194469451904
LongMethod,O-AdaBoost,0.6333333333333333,1.0,0.3666666666666666,1.0,0.1666666666666666,0.8333333333333334,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8444444444444443,0.9889923308104536,0.963492920127772,0.0714285714285714,0.0714285714285714,0.0139262676239013
LongMethod,O-AdaBoost,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.9,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.875,0.75,0.8452380952380952,0.9900798309462314,0.9701149425287358,0.0476190476190476,0.0476190476190476,0.0149993896484375
LongMethod,O-AdaBoost,0.5666666666666667,0.8947368421052632,0.3333333333333333,0.9090909090909092,0.2,1.0,0.6666666666666666,0.8,0.0,1.0,0.0,0.0,0.3333333333333333,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.875,0.8365079365079365,0.941537749431912,0.9151262692009372,0.119047619047619,0.1666666666666666,0.0139625072479248
LongMethod,O-AdaBoost,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.0,0.9642857142857144,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.5625,0.5,0.8074712643678158,0.8891814744755381,0.8477469778188902,0.238095238095238,0.3333333333333333,0.0169184207916259
