Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,O-Bagging,0.5483870967741935,0.85,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.8888888888888888,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.8444700460829494,0.981331065386918,0.9447340060939066,0.09523809523809523,0.09523809523809523,0.7120978832244873
LongMethod,O-Bagging,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,0.25,1.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8337173579109063,0.9837438169356658,0.9512162189999105,0.09523809523809523,0.09523809523809523,0.6891605854034424
LongMethod,O-Bagging,0.6451612903225806,1.0,0.2903225806451613,0.75,0.12903225806451613,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8437019969278037,0.9863418939318508,0.9591836734693877,0.09523809523809523,0.09523809523809523,0.6941816806793213
LongMethod,O-Bagging,0.6451612903225806,1.0,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.8888888888888888,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8444700460829492,0.9867044659615897,0.9599593761525921,0.07142857142857142,0.07142857142857142,0.671170711517334
LongMethod,O-Bagging,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9761904761904762,1.0,1.0,0.8349206349206344,0.9758771588482719,0.967280819570018,0.023809523809523808,0.023809523809523808,0.6961765289306641
LongMethod,O-Bagging,0.5333333333333333,0.8421052631578947,0.36666666666666664,1.0,0.2,1.0,0.6666666666666666,1.0,0.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.0,0.9047619047619048,0.75,0.625,0.8206349206349207,0.9047406609833939,0.8874185312357497,0.14285714285714285,0.23809523809523808,0.680182695388794
LongMethod,O-Bagging,0.6,0.9473684210526315,0.36666666666666664,1.0,0.2,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.875,0.75,0.8492063492063494,0.9922490339850789,0.9757843882814446,0.047619047619047616,0.047619047619047616,0.7031557559967041
LongMethod,O-Bagging,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.875,0.875,0.8468253968253969,0.9922490339850789,0.9757843882814446,0.047619047619047616,0.047619047619047616,0.7010908126831055
LongMethod,O-Bagging,0.5666666666666667,0.8947368421052632,0.3333333333333333,0.9090909090909091,0.2,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.875,0.875,0.8396825396825397,0.9913942533359107,0.9732155676488424,0.047619047619047616,0.047619047619047616,0.7021222114562988
LongMethod,O-Bagging,0.4827586206896552,0.7368421052631579,0.3103448275862069,0.8181818181818182,0.13793103448275862,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.9642857142857143,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.8095238095238095,0.5625,0.5,0.8033661740558291,0.8805435218226871,0.83428078747284,0.23809523809523808,0.3333333333333333,0.7071104049682617
