Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
DataClass,O-CART,0.3442622950819672,0.875,0.180327868852459,0.9166666666666666,0.081967213114754,0.8333333333333334,0.75,0.5454545454545454,0.0,0.875,0.0,0.1666666666666666,0.0833333333333333,0.0,0.0909090909090909,0.3636363636363636,0.6666666666666666,0.0,0.3333333333333333,0.125,0.0,0.0,0.6904761904761905,0.625,0.625,0.6953551912568307,0.8260404907664078,0.728156293080259,0.3809523809523809,0.5238095238095238,0.0119750499725341
DataClass,O-CART,0.3387096774193548,0.875,0.1774193548387097,0.9166666666666666,0.0806451612903225,0.8333333333333334,0.6666666666666666,0.5454545454545454,0.5,0.8666666666666667,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.2727272727272727,0.1818181818181818,0.0,0.25,0.25,0.0,0.0666666666666666,0.0666666666666666,0.6904761904761905,0.6875,0.75,0.6566820276497696,0.6977401513367464,0.6394788022075325,0.4761904761904761,0.9047619047619048,0.009972333908081
DataClass,O-CART,0.3709677419354839,0.9583333333333334,0.1774193548387097,0.9166666666666666,0.0967741935483871,1.0,0.8333333333333334,0.5454545454545454,0.0,0.9333333333333332,0.0,0.0,0.1666666666666666,0.0,0.0909090909090909,0.3636363636363636,0.25,0.5,0.25,0.0666666666666666,0.0,0.0,0.7142857142857143,0.625,0.875,0.7031490015360985,0.870737465205567,0.7975576640858502,0.3095238095238095,0.3571428571428571,0.010986328125
DataClass,O-CART,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.5384615384615384,0.7272727272727273,0.6666666666666666,0.8,0.1538461538461538,0.0769230769230769,0.2307692307692307,0.0,0.0,0.2727272727272727,0.0,0.3333333333333333,0.0,0.1333333333333333,0.0666666666666666,0.0,0.6904761904761905,0.625,0.75,0.6648065476190477,0.6937558482147976,0.6428591122109344,0.4523809523809524,0.8333333333333334,0.0109720230102539
DataClass,O-CART,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.6923076923076923,0.7272727272727273,0.3333333333333333,0.9333333333333332,0.0,0.0769230769230769,0.2307692307692307,0.0,0.1818181818181818,0.0909090909090909,0.0,0.6666666666666666,0.0,0.0666666666666666,0.0,0.0,0.7619047619047619,0.8125,0.875,0.7020089285714286,0.8899427227579457,0.8274424216576384,0.2619047619047619,0.3095238095238095,0.014906883239746
DataClass,O-CART,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.6363636363636364,0.6666666666666666,0.8666666666666667,0.0,0.2307692307692307,0.0769230769230769,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0,0.0,0.7380952380952381,0.9375,0.875,0.6919642857142858,0.8369337704710184,0.7657618982674779,0.3571428571428571,0.5476190476190477,0.0129632949829101
DataClass,O-CART,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.6153846153846154,0.5454545454545454,0.3333333333333333,0.8666666666666667,0.0769230769230769,0.0769230769230769,0.2307692307692307,0.0909090909090909,0.1818181818181818,0.1818181818181818,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.6666666666666666,0.8125,0.875,0.6614583333333334,0.7340333977391138,0.6704195444580937,0.4761904761904761,0.8095238095238095,0.013995885848999
DataClass,O-CART,0.365079365079365,0.9583333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.75,0.5,0.6666666666666666,1.0,0.0,0.0,0.25,0.0833333333333333,0.25,0.1666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,0.75,0.875,0.7076719576719578,0.9087184844783792,0.8546209550167773,0.2619047619047619,0.3095238095238095,0.0109717845916748
DataClass,O-CART,0.3492063492063492,0.9166666666666666,0.1746031746031746,0.9166666666666666,0.0793650793650793,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0833333333333333,0.25,0.0,0.1666666666666666,0.1666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.7857142857142857,0.8125,0.75,0.7016250944822374,0.8936806043556377,0.8344467437326877,0.238095238095238,0.2857142857142857,0.0099663734436035
DataClass,O-CART,0.365079365079365,0.9583333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.8333333333333334,0.25,0.3333333333333333,0.7333333333333333,0.0,0.0,0.1666666666666666,0.0833333333333333,0.4166666666666667,0.25,0.0,0.6666666666666666,0.0,0.1333333333333333,0.1333333333333333,0.0,0.5952380952380952,0.6875,0.875,0.6812169312169314,0.8075716164276108,0.7270739759624958,0.4761904761904761,0.6190476190476191,0.011005163192749
