Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,O-KNN,0.5483870967741935,0.85,0.2903225806451613,0.75,0.1612903225806451,0.8333333333333334,0.0,0.5555555555555556,0.0,1.0,0.25,0.0,0.75,0.4444444444444444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.75,0.625,0.7192780337941626,0.7301370273689941,0.7018368986150357,0.3571428571428571,0.6904761904761905,0.0678198337554931
LongMethod,O-KNN,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.75,0.625,0.7584485407066048,0.8363360843848449,0.8039196776249243,0.2619047619047619,0.4047619047619047,0.0698132514953613
LongMethod,O-KNN,0.5806451612903226,0.9,0.2580645161290322,0.6666666666666666,0.1290322580645161,0.6666666666666666,0.0,0.6666666666666666,0.0,0.9642857142857144,0.25,0.0,0.75,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.7857142857142857,0.625,0.75,0.7400153609831028,0.6923311956828188,0.6654964218749374,0.3571428571428571,0.6904761904761905,0.0688166618347168
LongMethod,O-KNN,0.5483870967741935,0.85,0.2903225806451613,0.75,0.1290322580645161,0.6666666666666666,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.625,0.625,0.8037634408602146,0.8929429999288244,0.8583325077599886,0.2142857142857142,0.3095238095238095,0.0698142051696777
LongMethod,O-KNN,0.5666666666666667,0.8947368421052632,0.2333333333333333,0.6363636363636364,0.1666666666666666,0.8333333333333334,0.0,0.8,0.0,0.9642857142857144,0.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8333333333333334,0.75,0.5,0.7404761904761904,0.8138604948415832,0.7858949718434631,0.238095238095238,0.3809523809523809,0.0678191184997558
LongMethod,O-KNN,0.5333333333333333,0.8421052631578947,0.2333333333333333,0.6363636363636364,0.0666666666666666,0.3333333333333333,0.0,0.4,0.0,0.9642857142857144,0.3333333333333333,0.0,0.6666666666666666,0.5,0.0,0.1,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.7380952380952381,0.5625,0.5,0.6785714285714285,0.6021355165919874,0.5737883654918823,0.4523809523809524,0.8809523809523809,0.0688157081604003
LongMethod,O-KNN,0.5666666666666667,0.8947368421052632,0.2666666666666666,0.7272727272727273,0.0666666666666666,0.3333333333333333,0.0,0.7,0.0,0.9642857142857144,0.0,0.0,1.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.75,0.5,0.749206349206349,0.7663170704826552,0.739985214108909,0.2857142857142857,0.4761904761904761,0.069814920425415
LongMethod,O-KNN,0.4666666666666667,0.7368421052631579,0.3,0.8181818181818182,0.1333333333333333,0.6666666666666666,0.0,0.5,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.8125,0.75,0.7190476190476188,0.5836810725088876,0.5636248754575836,0.4285714285714285,0.9523809523809524,0.0698132514953613
LongMethod,O-KNN,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.1666666666666666,0.8333333333333334,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.8125,0.625,0.749206349206349,0.7865480376525117,0.7595210135181372,0.2857142857142857,0.4761904761904761,0.0688142776489257
LongMethod,O-KNN,0.5172413793103449,0.7894736842105263,0.2413793103448276,0.6363636363636364,0.1034482758620689,0.5,0.0,0.8888888888888888,0.0,0.9285714285714286,0.6666666666666666,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.5,0.5,0.0,0.0,0.0714285714285714,0.0,0.8095238095238095,0.75,0.875,0.7007389162561578,0.6342742184281014,0.6084896003050984,0.3571428571428571,0.7857142857142857,0.0767943859100341
LongMethod,O-KNN,0.5161290322580645,0.8,0.2258064516129032,0.5833333333333334,0.1290322580645161,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.6875,0.75,0.7592165898617506,0.8504150826943033,0.817452973621051,0.2619047619047619,0.4047619047619047,0.0698132514953613
LongMethod,O-KNN,0.5806451612903226,0.9,0.2580645161290322,0.6666666666666666,0.1290322580645161,0.6666666666666666,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.625,0.625,0.8237327188940089,0.9292453148137008,0.878834886043216,0.1904761904761904,0.238095238095238,0.0698132514953613
LongMethod,O-KNN,0.5483870967741935,0.85,0.2903225806451613,0.75,0.1612903225806451,0.8333333333333334,0.0,0.6666666666666666,0.0,0.9642857142857144,0.25,0.0,0.75,0.2222222222222222,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.7857142857142857,0.625,0.5,0.7069892473118279,0.7545092066702618,0.7144824954627937,0.3333333333333333,0.6190476190476191,0.0718059539794921
LongMethod,O-KNN,0.5806451612903226,0.9,0.2580645161290322,0.6666666666666666,0.064516129032258,0.3333333333333333,0.0,0.3333333333333333,0.0,0.9642857142857144,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.7142857142857143,0.625,0.375,0.705453149001536,0.639799701009265,0.6150010491992729,0.4523809523809524,0.7857142857142857,0.067819595336914
LongMethod,O-KNN,0.5,0.7894736842105263,0.2666666666666666,0.7272727272727273,0.1333333333333333,0.6666666666666666,0.0,0.9,0.0,0.9642857142857144,0.0,0.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.75,0.75,0.7999999999999997,0.8617872317079192,0.8321748708665134,0.1904761904761904,0.2857142857142857,0.0688154697418212
LongMethod,O-KNN,0.5666666666666667,0.8947368421052632,0.2666666666666666,0.7272727272727273,0.1333333333333333,0.6666666666666666,0.0,0.8,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.875,0.875,0.7126984126984127,0.7116387007332248,0.6871856788973623,0.2857142857142857,0.6666666666666666,0.0688159465789794
LongMethod,O-KNN,0.6,0.9473684210526316,0.3666666666666666,1.0,0.1666666666666666,0.8333333333333334,0.0,0.8,0.0,0.9642857142857144,0.0,0.0,1.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8333333333333334,0.6875,0.5,0.7833333333333335,0.8336576781506871,0.8050118928857073,0.238095238095238,0.3809523809523809,0.0708096027374267
LongMethod,O-KNN,0.5333333333333333,0.8421052631578947,0.2666666666666666,0.7272727272727273,0.1,0.5,0.0,0.8,0.0,0.9642857142857144,0.3333333333333333,0.0,0.6666666666666666,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8333333333333334,0.6875,0.75,0.7865079365079364,0.7510545402557374,0.725247128357151,0.2857142857142857,0.5714285714285714,0.0688166618347168
LongMethod,O-KNN,0.6,0.9473684210526316,0.3,0.8181818181818182,0.1333333333333333,0.6666666666666666,0.0,0.7,0.0,0.9642857142857144,0.0,0.0,1.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.75,0.75,0.7722222222222221,0.7663170704826552,0.739985214108909,0.2857142857142857,0.4761904761904761,0.0698142051696777
LongMethod,O-KNN,0.5517241379310345,0.8421052631578947,0.2758620689655172,0.7272727272727273,0.1379310344827586,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8095238095238095,0.75,0.75,0.7229064039408868,0.6516243690941093,0.6251344298398007,0.3571428571428571,0.7857142857142857,0.0698111057281494
LongMethod,O-KNN,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.0,0.6666666666666666,0.0,0.9642857142857144,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.7857142857142857,0.5625,0.625,0.7584485407066054,0.7726168574635942,0.742670209472753,0.3095238095238095,0.5,0.0708086490631103
LongMethod,O-KNN,0.4516129032258064,0.7,0.2258064516129032,0.5833333333333334,0.064516129032258,0.3333333333333333,0.0,0.4444444444444444,0.0,0.9642857142857144,0.5,0.0,0.5,0.5555555555555556,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.7380952380952381,0.6875,0.625,0.6002304147465439,0.5127207026313902,0.4928476358570964,0.5,1.0714285714285714,0.0698575973510742
LongMethod,O-KNN,0.5806451612903226,0.9,0.2580645161290322,0.6666666666666666,0.0967741935483871,0.5,0.0,0.5555555555555556,0.0,1.0,0.25,0.0,0.75,0.4444444444444444,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.6875,0.5,0.6678187403993857,0.7301370273689941,0.7018368986150357,0.3571428571428571,0.6904761904761905,0.071810245513916
LongMethod,O-KNN,0.6129032258064516,0.95,0.2903225806451613,0.75,0.1290322580645161,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.25,0.0,0.75,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.6875,0.625,0.7346390168970812,0.758882579627616,0.7294682725762576,0.3095238095238095,0.5952380952380952,0.0698134899139404
