Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,O-LogR,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.5,0.4444444444444444,0.0,1.0,0.0,0.0,0.5,0.5555555555555556,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.7857142857142857,0.6875,0.75,0.7552910052910055,0.6776018183152192,0.6537591341304356,0.3333333333333333,0.5714285714285714,0.0259304046630859
FeatureEnvy,O-LogR,0.5185185185185185,0.7777777777777778,0.2592592592592592,0.7,0.1111111111111111,0.5,0.5,0.8888888888888888,0.0,0.9285714285714286,0.0,0.0,0.5,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.8333333333333334,0.8125,0.625,0.7914462081128747,0.750204940376519,0.7252011973887433,0.238095238095238,0.3809523809523809,0.0269279479980468
FeatureEnvy,O-LogR,0.5185185185185185,0.7777777777777778,0.2592592592592592,0.7,0.1111111111111111,0.5,0.0,0.8888888888888888,0.0,0.9285714285714286,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0714285714285714,0.0,0.8095238095238095,0.6875,0.625,0.7579365079365079,0.7677465191793642,0.7365359634967374,0.2619047619047619,0.4047619047619047,0.0228941440582275
FeatureEnvy,O-LogR,0.5357142857142857,0.8333333333333334,0.1785714285714285,0.5,0.1071428571428571,0.5,0.0,0.8,0.0,0.9642857142857144,0.0,0.0,1.0,0.2,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.8333333333333334,0.75,0.5,0.7967687074829929,0.8006819276690181,0.7723727293396129,0.238095238095238,0.3809523809523809,0.0239381790161132
FeatureEnvy,O-LogR,0.5714285714285714,0.8888888888888888,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.0,0.8,0.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8571428571428571,0.8125,0.75,0.7644557823129258,0.8603251894855187,0.8299072225309847,0.1904761904761904,0.2857142857142857,0.0239336490631103
FeatureEnvy,O-LogR,0.6071428571428571,0.9444444444444444,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.7857142857142857,0.75,0.625,0.6904761904761901,0.7104236340739727,0.6853056404489056,0.3333333333333333,0.5714285714285714,0.0239372253417968
FeatureEnvy,O-LogR,0.6071428571428571,0.9444444444444444,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.3,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.75,0.75,0.7219387755102045,0.7911718801062011,0.7513761376071498,0.2619047619047619,0.4047619047619047,0.0259332656860351
FeatureEnvy,O-LogR,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.8,0.0,1.0,0.0,0.0,0.5,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,1.0,0.8163265306122446,0.8472124669274514,0.8237840907076035,0.1666666666666666,0.2619047619047619,0.0238921642303466
FeatureEnvy,O-LogR,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.0,0.4444444444444444,0.0,0.9642857142857144,0.0,0.0,1.0,0.3333333333333333,0.2222222222222222,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.7380952380952381,0.5,0.375,0.7754515599343182,0.7464325078322451,0.7096387923117037,0.3571428571428571,0.5476190476190477,0.0269277095794677
FeatureEnvy,O-LogR,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.0,0.8888888888888888,0.0,0.9285714285714286,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8095238095238095,0.6875,0.625,0.7926929392446637,0.803575759250603,0.7612204006733498,0.238095238095238,0.3333333333333333,0.0299193859100341
FeatureEnvy,O-LogR,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.8333333333333334,0.75,0.75,0.7552910052910051,0.8305548166339036,0.7967909678837535,0.2142857142857142,0.3095238095238095,0.0279254913330078
FeatureEnvy,O-LogR,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.0,1.0,0.0,0.0,0.5,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,1.0,0.841710758377425,0.8666807186238198,0.8382048438709476,0.1428571428571428,0.1904761904761904,0.024977684020996
FeatureEnvy,O-LogR,0.5925925925925926,0.8888888888888888,0.2592592592592592,0.7,0.1481481481481481,0.6666666666666666,0.0,0.5555555555555556,0.0,0.9642857142857144,0.0,0.0,1.0,0.4444444444444444,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.7619047619047619,0.75,0.625,0.6547619047619049,0.633607105432521,0.6078496068949214,0.3571428571428571,0.5952380952380952,0.0249333381652832
FeatureEnvy,O-LogR,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.0,0.8,0.0,1.0,0.0,0.0,1.0,0.2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8571428571428571,0.75,0.625,0.8086734693877555,0.8603251894855187,0.8299072225309847,0.1904761904761904,0.2857142857142857,0.0249333381652832
FeatureEnvy,O-LogR,0.5714285714285714,0.8888888888888888,0.25,0.7,0.1428571428571428,0.6666666666666666,0.0,0.5,0.0,0.9285714285714286,0.0,0.0,1.0,0.4,0.0,0.1,0.5,0.5,0.0,0.0,0.0714285714285714,0.0,0.7380952380952381,0.625,0.5,0.6692176870748296,0.6366584638271818,0.6058310711378688,0.4047619047619047,0.6904761904761905,0.024935245513916
FeatureEnvy,O-LogR,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.7,0.0,1.0,0.0,0.0,0.5,0.2,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8571428571428571,0.8125,0.75,0.7942176870748301,0.8620087576637193,0.8304268887344204,0.1904761904761904,0.2857142857142857,0.0279245376586914
FeatureEnvy,O-LogR,0.5357142857142857,0.8333333333333334,0.25,0.7,0.0714285714285714,0.3333333333333333,0.0,0.8,0.0,0.9642857142857144,0.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8333333333333334,0.8125,0.75,0.75,0.7796697029712514,0.752103420418705,0.238095238095238,0.3809523809523809,0.0249755382537841
FeatureEnvy,O-LogR,0.5357142857142857,0.8333333333333334,0.2857142857142857,0.8,0.2142857142857142,1.0,0.0,0.7,0.0,0.9642857142857144,0.0,0.0,1.0,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.6875,0.5,0.779761904761905,0.7474075083655445,0.7209818995737931,0.2857142857142857,0.4761904761904761,0.0229265689849853
FeatureEnvy,O-LogR,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.0,0.9642857142857144,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8095238095238095,0.8125,0.75,0.7179802955665026,0.7394247641078753,0.7124741172903055,0.2857142857142857,0.4761904761904761,0.025930643081665
FeatureEnvy,O-LogR,0.5517241379310345,0.8421052631578947,0.2758620689655172,0.7272727272727273,0.1034482758620689,0.5,0.0,0.7777777777777778,0.0,0.8928571428571429,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.5,0.5,0.0,0.0,0.1071428571428571,0.0,0.7619047619047619,0.5,0.625,0.7573891625615762,0.7003853179164368,0.6719131406833959,0.3571428571428571,0.5952380952380952,0.0219910144805908
FeatureEnvy,O-LogR,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.0,0.8888888888888888,0.0,0.9285714285714286,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8095238095238095,0.75,0.75,0.7985008818342152,0.766045625359725,0.7252011973887433,0.238095238095238,0.3333333333333333,0.0239815711975097
FeatureEnvy,O-LogR,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.1481481481481481,0.6666666666666666,0.0,0.8888888888888888,0.0,0.9642857142857144,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.8333333333333334,0.6875,0.75,0.8029100529100529,0.8222073201845759,0.7887828152103126,0.2142857142857142,0.3095238095238095,0.023895263671875
FeatureEnvy,O-LogR,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.8125,0.75,0.7438271604938272,0.7627308283405702,0.731724171333223,0.2619047619047619,0.4047619047619047,0.0309159755706787
FeatureEnvy,O-LogR,0.6428571428571429,1.0,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.9,0.0,0.9642857142857144,0.0,0.0,1.0,0.1,0.0,0.0,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.75,0.75,0.8222789115646258,0.8540152810971492,0.8238204095339734,0.1904761904761904,0.2857142857142857,0.0278830528259277
FeatureEnvy,O-LogR,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,0.5,0.6,0.0,1.0,0.0,0.0,0.5,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8125,0.875,0.7636054421768709,0.7498716580575191,0.7282632088094582,0.2619047619047619,0.4523809523809524,0.0269279479980468
FeatureEnvy,O-LogR,0.5,0.7777777777777778,0.1785714285714285,0.5,0.1428571428571428,0.6666666666666666,0.0,0.7,0.0,0.8928571428571429,0.0,0.0,1.0,0.3,0.0,0.0,0.5,0.5,0.0,0.0,0.1071428571428571,0.0,0.7619047619047619,0.625,0.625,0.7236394557823129,0.6392329948331955,0.6166320430643515,0.3809523809523809,0.6666666666666666,0.0258879661560058
FeatureEnvy,O-LogR,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,0.0,0.6,0.0,1.0,0.0,0.0,1.0,0.4,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8095238095238095,0.6875,0.75,0.7585034013605444,0.7605286029259811,0.7336390799938275,0.2857142857142857,0.4761904761904761,0.0259315967559814
FeatureEnvy,O-LogR,0.6428571428571429,1.0,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.9375,0.875,0.8273809523809521,0.9453372551120898,0.919965465319352,0.0714285714285714,0.0714285714285714,0.0249330997467041
FeatureEnvy,O-LogR,0.6206896551724138,0.9473684210526316,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.0,0.4444444444444444,0.0,1.0,0.0,0.0,1.0,0.5555555555555556,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.7619047619047619,0.6875,0.5,0.6884236453201972,0.7236934237404623,0.6942737216193178,0.3571428571428571,0.5952380952380952,0.0239901542663574
FeatureEnvy,O-LogR,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.5555555555555556,0.0,0.9642857142857144,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.1111111111111111,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.7857142857142857,0.625,0.625,0.776272577996716,0.7588624799252885,0.7221765801617339,0.3095238095238095,0.5,0.0239808559417724
FeatureEnvy,O-LogR,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.6666666666666666,0.0,1.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8125,0.875,0.7358906525573194,0.7655755188086178,0.7395531363990305,0.238095238095238,0.3809523809523809,0.0249323844909667
FeatureEnvy,O-LogR,0.6296296296296297,0.9444444444444444,0.2962962962962963,0.8,0.1851851851851851,0.8333333333333334,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.8095238095238095,0.6875,0.625,0.7658730158730155,0.7787769731493924,0.7471180056677723,0.2619047619047619,0.4047619047619047,0.022895336151123
FeatureEnvy,O-LogR,0.4814814814814814,0.7222222222222222,0.1851851851851851,0.5,0.1111111111111111,0.5,0.0,1.0,0.0,0.9642857142857144,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.6875,0.5,0.8346560846560844,0.9029967848851204,0.8662880135239497,0.1666666666666666,0.2142857142857142,0.0269289016723632
FeatureEnvy,O-LogR,0.4642857142857143,0.7222222222222222,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.0,0.2,0.0,0.9642857142857144,0.0,0.0,1.0,0.7,0.0,0.1,0.5,0.5,0.0,0.0,0.0357142857142857,0.0,0.6904761904761905,0.625,0.375,0.6369047619047621,0.5277097429019051,0.5017969100083872,0.5,0.8809523809523809,0.0259313583374023
FeatureEnvy,O-LogR,0.5714285714285714,0.8888888888888888,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.0,0.9,0.0,0.9642857142857144,0.0,0.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.75,0.625,0.7976190476190477,0.832081218950156,0.802661855980382,0.1904761904761904,0.2857142857142857,0.0259304046630859
FeatureEnvy,O-LogR,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.7857142857142857,0.6875,0.625,0.7423469387755103,0.7104236340739727,0.6853056404489056,0.3333333333333333,0.5714285714285714,0.0299203395843505
