Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,O-LogR,0.3114754098360656,0.7916666666666666,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.4166666666666667,0.8181818181818182,0.3333333333333333,0.75,0.0833333333333333,0.0,0.5,0.0,0.0,0.1818181818181818,0.0,0.6666666666666666,0.0,0.0,0.1875,0.0625,0.6428571428571429,0.4375,0.625,0.6598360655737706,0.6394995022032524,0.5944841917365806,0.5238095238095238,0.9523809523809524,0.0259287357330322
GodClass,O-LogR,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.75,0.8181818181818182,0.0,0.9375,0.0,0.0,0.25,0.0,0.0,0.1818181818181818,0.0,1.0,0.0,0.0,0.0625,0.0,0.7857142857142857,0.75,0.875,0.7117486338797815,0.8968538408341792,0.8501335078030051,0.238095238095238,0.2857142857142857,0.0239801406860351
GodClass,O-LogR,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.6666666666666666,0.9090909090909092,0.0,0.9375,0.0833333333333333,0.0,0.25,0.0909090909090909,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0625,0.0,0.7857142857142857,0.75,1.0,0.6973067915690868,0.827501607299308,0.7893713959480114,0.3095238095238095,0.5476190476190477,0.0239357948303222
GodClass,O-LogR,0.365079365079365,0.9583333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.6153846153846154,0.7272727272727273,0.0,0.75,0.0,0.0,0.3846153846153846,0.0,0.0909090909090909,0.1818181818181818,0.5,0.5,0.0,0.0625,0.1875,0.0,0.6666666666666666,0.75,0.875,0.6872637944066516,0.8070825952734951,0.7400753540404842,0.4047619047619047,0.5476190476190477,0.0249316692352294
GodClass,O-LogR,0.3125,0.8333333333333334,0.125,0.6666666666666666,0.078125,0.8333333333333334,0.5384615384615384,0.7272727272727273,0.0,0.8,0.2307692307692307,0.0,0.2307692307692307,0.0909090909090909,0.0,0.1818181818181818,0.0,0.6666666666666666,0.3333333333333333,0.0,0.1333333333333333,0.0666666666666666,0.6428571428571429,0.625,0.75,0.6257440476190477,0.5343471172384704,0.493182661646933,0.6428571428571429,1.4047619047619049,0.0239346027374267
GodClass,O-LogR,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.6153846153846154,1.0,0.0,0.9333333333333332,0.0,0.0,0.3846153846153846,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0666666666666666,0.0,0.7857142857142857,0.75,0.875,0.6938244047619048,0.858895408689077,0.8028225793950116,0.2619047619047619,0.3571428571428571,0.0239355564117431
GodClass,O-LogR,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.8181818181818182,0.0,0.8,0.0,0.0,0.3076923076923077,0.0,0.0,0.1818181818181818,0.6666666666666666,0.3333333333333333,0.0,0.0,0.2,0.0,0.7142857142857143,0.75,0.75,0.683779761904762,0.8253052018053625,0.7660860584198301,0.3571428571428571,0.5,0.0229370594024658
GodClass,O-LogR,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.8181818181818182,0.0,0.9333333333333332,0.0,0.0,0.3076923076923077,0.0909090909090909,0.0,0.0909090909090909,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0666666666666666,0.0,0.7619047619047619,0.6875,0.875,0.6971726190476191,0.871416362822579,0.8173161017000562,0.2857142857142857,0.3809523809523809,0.0239348411560058
GodClass,O-LogR,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.5384615384615384,0.4545454545454545,0.0,0.8666666666666667,0.0,0.0769230769230769,0.3846153846153846,0.0909090909090909,0.0,0.4545454545454545,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.5952380952380952,0.5,0.75,0.6648065476190477,0.742067677059151,0.6547321088123533,0.5,0.6904761904761905,0.0248732566833496
GodClass,O-LogR,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.4615384615384615,0.7272727272727273,0.0,0.8666666666666667,0.0,0.0,0.5384615384615384,0.0909090909090909,0.0,0.1818181818181818,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.6428571428571429,0.5,0.75,0.6848958333333334,0.7836914444147077,0.7164050746336127,0.4285714285714285,0.5714285714285714,0.0228943824768066
