Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,O-LogR,0.5161290322580645,0.8,0.2258064516129032,0.5833333333333334,0.1290322580645161,0.6666666666666666,0.0,0.7777777777777778,0.0,1.0,0.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.625,0.75,0.8314132104454682,0.8929429999288244,0.8583325077599886,0.2142857142857142,0.3095238095238095,0.0219411849975585
LongMethod,O-LogR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1612903225806451,0.8333333333333334,0.25,0.7777777777777778,0.0,1.0,0.0,0.0,0.75,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.75,0.625,0.7799539170506913,0.8961266853299468,0.8652902194186083,0.1904761904761904,0.2857142857142857,0.0238940715789794
LongMethod,O-LogR,0.5483870967741935,0.85,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,1.0,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.9047619047619048,0.75,0.75,0.8413978494623654,0.9422586940361142,0.917491525445882,0.119047619047619,0.1666666666666666,0.0228967666625976
LongMethod,O-LogR,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1290322580645161,0.6666666666666666,0.0,0.8888888888888888,0.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.625,0.5,0.8268049155145928,0.9363630563296436,0.9000696017296663,0.1666666666666666,0.2142857142857142,0.0239360332489013
LongMethod,O-LogR,0.6333333333333333,1.0,0.3666666666666666,1.0,0.2,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,1.0,1.0,0.7960317460317456,0.930490320845714,0.9212800968437432,0.0714285714285714,0.119047619047619,0.0249335765838623
LongMethod,O-LogR,0.5666666666666667,0.8947368421052632,0.3,0.8181818181818182,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.9,0.0,0.9642857142857144,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.75,0.75,0.7888888888888893,0.8894367410192888,0.8648374447691546,0.1666666666666666,0.2619047619047619,0.0219435691833496
LongMethod,O-LogR,0.5666666666666667,0.8947368421052632,0.2666666666666666,0.7272727272727273,0.1333333333333333,0.6666666666666666,0.0,0.9,0.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.875,0.8373015873015868,0.9617251395516332,0.923770666446164,0.119047619047619,0.119047619047619,0.0229380130767822
LongMethod,O-LogR,0.6333333333333333,1.0,0.3333333333333333,0.9090909090909092,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.8,0.0,1.0,0.0,0.0,0.6666666666666666,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.75,0.792857142857143,0.8938332082617284,0.86874805179339,0.1666666666666666,0.2619047619047619,0.0219905376434326
LongMethod,O-LogR,0.5666666666666667,0.8947368421052632,0.2666666666666666,0.7272727272727273,0.1333333333333333,0.6666666666666666,0.3333333333333333,0.9,0.0,1.0,0.0,0.0,0.6666666666666666,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.75,0.8174603174603176,0.939913191574654,0.9140467646940992,0.119047619047619,0.1666666666666666,0.0219402313232421
LongMethod,O-LogR,0.5517241379310345,0.8421052631578947,0.2413793103448276,0.6363636363636364,0.1379310344827586,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.75,0.8427750410509031,0.9805394450830116,0.940678396956754,0.119047619047619,0.119047619047619,0.0249321460723876
