Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,O-NB,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,1.0,0.1111111111111111,0.0,0.9285714285714286,0.0,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0357142857142857,0.0357142857142857,0.6904761904761905,0.5,0.25,0.6635802469135805,0.6071838786792649,0.5728234279127657,0.5,0.9285714285714286,0.0060205459594726
FeatureEnvy,O-NB,0.5185185185185185,0.7777777777777778,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,1.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0357142857142857,0.0714285714285714,0.6428571428571429,0.1875,0.125,0.7694003527336863,0.7734714587218707,0.7334629958601802,0.5476190476190477,1.0238095238095235,0.0060186386108398
FeatureEnvy,O-NB,0.5925925925925926,0.8888888888888888,0.2592592592592592,0.7,0.074074074074074,0.3333333333333333,1.0,0.1111111111111111,0.0,0.8928571428571429,0.0,0.0,0.0,0.2222222222222222,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0357142857142857,0.0714285714285714,0.6666666666666666,0.375,0.25,0.7447089947089948,0.6427412680804659,0.6068839969997754,0.5,0.9285714285714286,0.0069813728332519
FeatureEnvy,O-NB,0.5714285714285714,0.8888888888888888,0.2142857142857142,0.6,0.0714285714285714,0.3333333333333333,1.0,0.1,0.0,0.9642857142857144,0.0,0.0,0.0,0.1,0.0,0.8,0.5,0.0,0.5,0.0,0.0,0.0357142857142857,0.7142857142857143,0.375,0.25,0.798469387755102,0.8480216932487576,0.8110141312788177,0.3809523809523809,0.6190476190476191,0.0059735774993896
FeatureEnvy,O-NB,0.5714285714285714,0.8888888888888888,0.25,0.7,0.1785714285714285,0.8333333333333334,1.0,0.0,0.0,0.9642857142857144,0.0,0.0,0.0,0.3,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.6904761904761905,0.4375,0.25,0.7363945578231293,0.7271368461010255,0.7014279341379204,0.4285714285714285,0.7142857142857143,0.0059843063354492
FeatureEnvy,O-NB,0.5,0.7777777777777778,0.1785714285714285,0.5,0.1071428571428571,0.5,1.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.6666666666666666,0.4375,0.25,0.6777210884353744,0.5531117112188954,0.5335556945409654,0.5476190476190477,1.0714285714285714,0.00498628616333
FeatureEnvy,O-NB,0.5357142857142857,0.8333333333333334,0.25,0.7,0.1428571428571428,0.6666666666666666,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.2,0.0,0.8,0.5,0.0,0.5,0.0,0.0,0.0,0.6904761904761905,0.375,0.0,0.7491496598639462,0.8493880947694372,0.7949935152906211,0.3809523809523809,0.5238095238095238,0.0059840679168701
FeatureEnvy,O-NB,0.3571428571428571,0.5555555555555556,0.1428571428571428,0.4,0.0714285714285714,0.3333333333333333,0.5,0.4,0.0,0.8571428571428571,0.0,0.0,0.5,0.0,0.0,0.6,0.5,0.0,0.5,0.0,0.0,0.1428571428571428,0.6904761904761905,0.25,0.0,0.775510204081633,0.6946369070324206,0.6371673397619803,0.5238095238095238,1.1428571428571428,0.0059821605682373
FeatureEnvy,O-NB,0.4827586206896552,0.7368421052631579,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.6666666666666666,0.0,0.0,0.8928571428571429,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.8888888888888888,0.5,0.0,0.5,0.0,0.0357142857142857,0.0714285714285714,0.6428571428571429,0.1875,0.25,0.7639573070607555,0.7608283913812354,0.7025833883879181,0.5238095238095238,0.9523809523809524,0.005983829498291
FeatureEnvy,O-NB,0.6206896551724138,0.9473684210526316,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,1.0,0.2222222222222222,0.0,0.9285714285714286,0.0,0.0,0.0,0.1111111111111111,0.0,0.6666666666666666,0.0,0.5,0.5,0.0,0.0357142857142857,0.0357142857142857,0.7380952380952381,0.375,0.375,0.7967980295566498,0.8428927742479152,0.8004665393441073,0.3809523809523809,0.6666666666666666,0.0069830417633056
FeatureEnvy,O-NB,0.4444444444444444,0.6666666666666666,0.2962962962962963,0.8,0.1111111111111111,0.5,1.0,0.4444444444444444,0.0,0.8928571428571429,0.0,0.0,0.0,0.4444444444444444,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0357142857142857,0.0714285714285714,0.7380952380952381,0.5625,0.5,0.697971781305115,0.4951333312031157,0.4757749075826181,0.4761904761904761,1.0,0.0059843063354492
FeatureEnvy,O-NB,0.5555555555555556,0.8333333333333334,0.2592592592592592,0.7,0.1851851851851851,0.8333333333333334,1.0,0.1111111111111111,0.0,0.9285714285714286,0.0,0.0,0.0,0.3333333333333333,0.0,0.5555555555555556,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0357142857142857,0.0357142857142857,0.6904761904761905,0.5,0.25,0.7429453262786595,0.6676036542013633,0.6293969500715112,0.4761904761904761,0.8571428571428571,0.0069818496704101
FeatureEnvy,O-NB,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.1111111111111111,0.5,0.5,0.0,0.0,0.8571428571428571,0.0,0.0,0.5,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0357142857142857,0.1071428571428571,0.5952380952380952,0.0625,0.125,0.7500000000000006,0.7368917695289667,0.6793479635978762,0.6666666666666666,1.3333333333333333,0.0050232410430908
FeatureEnvy,O-NB,0.5357142857142857,0.8333333333333334,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,1.0,0.1,0.0,0.9642857142857144,0.0,0.0,0.0,0.3,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.7142857142857143,0.375,0.125,0.8044217687074832,0.7235289304776882,0.6944077431285247,0.4047619047619047,0.6904761904761905,0.0059840679168701
FeatureEnvy,O-NB,0.5357142857142857,0.8333333333333334,0.25,0.7,0.1428571428571428,0.6666666666666666,0.5,0.0,0.0,0.9642857142857144,0.0,0.0,0.5,0.3,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.6666666666666666,0.3125,0.125,0.7431972789115646,0.7544089039811833,0.7061356544613403,0.5,0.8809523809523809,0.0059840679168701
FeatureEnvy,O-NB,0.4642857142857143,0.7222222222222222,0.2142857142857142,0.6,0.0714285714285714,0.3333333333333333,1.0,0.1,0.0,0.8928571428571429,0.0,0.0,0.0,0.2,0.0,0.7,0.5,0.0,0.5,0.0,0.0,0.1071428571428571,0.6666666666666666,0.3125,0.25,0.7644557823129254,0.6865042412594325,0.6568078365464496,0.5476190476190477,1.119047619047619,0.0080139636993408
FeatureEnvy,O-NB,0.6071428571428571,0.9444444444444444,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,1.0,0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.5,0.5,0.0,0.0,0.0,0.7619047619047619,0.5,0.25,0.778061224489796,0.8787857277874666,0.8423205022772078,0.3095238095238095,0.4523809523809524,0.0069983005523681
FeatureEnvy,O-NB,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,1.0,0.0,0.0,0.9642857142857144,0.0,0.0,0.0,0.3,0.0,0.7,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.6904761904761905,0.4375,0.25,0.7738095238095242,0.7511897852747599,0.7155304121210274,0.4047619047619047,0.5952380952380952,0.0059823989868164
FeatureEnvy,O-NB,0.5172413793103449,0.7894736842105263,0.2413793103448276,0.6363636363636364,0.1034482758620689,0.5,0.6666666666666666,0.2222222222222222,0.0,0.8928571428571429,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.6666666666666666,0.5,0.0,0.5,0.0,0.0714285714285714,0.0357142857142857,0.6904761904761905,0.3125,0.25,0.7746305418719214,0.7714847274283678,0.7060764080673008,0.4523809523809524,0.7857142857142857,0.0059840679168701
