Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,O-NB,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.8333333333333334,0.0909090909090909,0.0,0.6875,0.1666666666666666,0.0,0.0,0.3636363636363636,0.0909090909090909,0.4545454545454545,0.6666666666666666,0.0,0.3333333333333333,0.0625,0.0625,0.1875,0.5238095238095238,0.5625,0.75,0.5962138953942235,0.5016554143434919,0.4532649233296093,0.8571428571428571,1.8571428571428568,0.0060210227966308
GodClass,O-NB,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.9166666666666666,0.0,0.0,1.0,0.0,0.0,0.0833333333333333,0.5454545454545454,0.0,0.4545454545454545,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.6428571428571429,0.625,0.875,0.6801327088212333,0.7958680271638154,0.7257676568850402,0.5238095238095238,0.8571428571428571,0.006019115447998
GodClass,O-NB,0.3442622950819672,0.875,0.1639344262295081,0.8333333333333334,0.0983606557377049,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6363636363636364,0.1818181818181818,0.1818181818181818,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.75,0.75,0.6551522248243559,0.8166942619097584,0.7606007788597362,0.5238095238095238,0.9047619047619048,0.0059888362884521
GodClass,O-NB,0.3174603174603174,0.8333333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.8461538461538461,0.0,0.0,0.875,0.1538461538461538,0.0,0.0,0.6363636363636364,0.0,0.3636363636363636,1.0,0.0,0.0,0.0,0.0,0.125,0.5952380952380952,0.625,0.75,0.636621315192744,0.6061855861733505,0.565058075720463,0.7619047619047619,1.6666666666666667,0.0059835910797119
GodClass,O-NB,0.328125,0.875,0.140625,0.75,0.046875,0.5,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.6363636363636364,0.0909090909090909,0.2727272727272727,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.2,0.5952380952380952,0.6875,0.875,0.636904761904762,0.6169348719587736,0.572367701944384,0.7619047619047619,1.619047619047619,0.0059821605682373
GodClass,O-NB,0.328125,0.875,0.1875,1.0,0.09375,1.0,0.9230769230769232,0.0,0.0,0.9333333333333332,0.0769230769230769,0.0,0.0,0.6363636363636364,0.0,0.3636363636363636,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0666666666666666,0.6190476190476191,0.625,0.875,0.6413690476190477,0.6692651320297596,0.6205345386072302,0.6904761904761905,1.4047619047619049,0.0079774856567382
GodClass,O-NB,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,1.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.7272727272727273,0.0909090909090909,0.1818181818181818,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,0.6190476190476191,0.75,0.875,0.6104910714285715,0.6648009102762609,0.6167280627704012,0.7142857142857143,1.4761904761904765,0.0059833526611328
GodClass,O-NB,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.7692307692307693,0.0,0.0,0.9333333333333332,0.2307692307692307,0.0,0.0,0.4545454545454545,0.0,0.5454545454545454,1.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.5714285714285714,0.625,0.75,0.6294642857142858,0.6483139275345186,0.5909399348354099,0.7142857142857143,1.4285714285714286,0.0059840679168701
GodClass,O-NB,0.328125,0.875,0.171875,0.9166666666666666,0.09375,1.0,0.8461538461538461,0.0,0.0,1.0,0.0769230769230769,0.0769230769230769,0.0,0.2727272727272727,0.0909090909090909,0.6363636363636364,1.0,0.0,0.0,0.0,0.0,0.0,0.6190476190476191,0.5625,0.625,0.6551339285714286,0.7906660319346044,0.7215837525571507,0.5238095238095238,0.8571428571428571,0.0070166587829589
GodClass,O-NB,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.0,0.0,0.8,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.5454545454545454,0.0,0.4545454545454545,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.2,0.5,0.5625,0.75,0.6086309523809524,0.4954948527440466,0.4386758323351946,0.9285714285714286,1.9761904761904765,0.005976915359497
GodClass,O-NB,0.3442622950819672,0.875,0.1475409836065573,0.75,0.081967213114754,0.8333333333333334,0.9166666666666666,0.0,0.0,0.875,0.0833333333333333,0.0,0.0,0.5454545454545454,0.0,0.4545454545454545,1.0,0.0,0.0,0.0625,0.0,0.0625,0.5952380952380952,0.625,0.625,0.6329039812646369,0.6865742080222038,0.6250721442805713,0.6428571428571429,1.2142857142857142,0.0059859752655029
GodClass,O-NB,0.3278688524590163,0.8333333333333334,0.1475409836065573,0.75,0.0491803278688524,0.5,0.8333333333333334,0.0,0.0,0.9375,0.0833333333333333,0.0833333333333333,0.0,0.6363636363636364,0.0909090909090909,0.2727272727272727,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0625,0.5952380952380952,0.625,0.75,0.6520296643247461,0.6521912696902896,0.5961960725199124,0.7380952380952381,1.5,0.0060102939605712
GodClass,O-NB,0.3442622950819672,0.875,0.1639344262295081,0.8333333333333334,0.0655737704918032,0.6666666666666666,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.3636363636363636,0.0,0.6363636363636364,1.0,0.0,0.0,0.0625,0.0625,0.125,0.5714285714285714,0.5625,0.625,0.6418813427010149,0.7040939128800957,0.630276216535417,0.6428571428571429,1.1666666666666667,0.0060200691223144
GodClass,O-NB,0.3174603174603174,0.8333333333333334,0.1428571428571428,0.75,0.0634920634920634,0.6666666666666666,0.8461538461538461,0.0,0.0,1.0,0.1538461538461538,0.0,0.0,0.4545454545454545,0.0909090909090909,0.4545454545454545,0.5,0.0,0.5,0.0,0.0,0.0,0.6428571428571429,0.625,0.5,0.6687452758881332,0.7208490132278021,0.6723410072291227,0.5952380952380952,1.1666666666666667,0.0059876441955566
GodClass,O-NB,0.296875,0.7916666666666666,0.125,0.6666666666666666,0.046875,0.5,0.8461538461538461,0.0909090909090909,0.0,0.9333333333333332,0.1538461538461538,0.0,0.0,0.5454545454545454,0.0909090909090909,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.6190476190476191,0.75,0.625,0.6707589285714286,0.6795758533990064,0.6337991242797261,0.6666666666666666,1.380952380952381,0.0059823989868164
GodClass,O-NB,0.296875,0.7916666666666666,0.15625,0.8333333333333334,0.0625,0.6666666666666666,0.9230769230769232,0.0,0.0,0.9333333333333332,0.0,0.0769230769230769,0.0,0.6363636363636364,0.0,0.3636363636363636,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0666666666666666,0.6190476190476191,0.6875,0.625,0.6246279761904763,0.7084071778902821,0.6467209168868948,0.6666666666666666,1.2857142857142858,0.005983829498291
GodClass,O-NB,0.328125,0.875,0.15625,0.8333333333333334,0.09375,1.0,0.9230769230769232,0.1818181818181818,0.0,0.8,0.0769230769230769,0.0,0.0,0.2727272727272727,0.0,0.5454545454545454,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0666666666666666,0.1333333333333333,0.6190476190476191,0.625,0.75,0.638764880952381,0.6587329187352743,0.6047089031991686,0.6428571428571429,1.3095238095238095,0.0079424381256103
