Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,O-NB,0.3225806451612903,0.5,0.2580645161290322,0.6666666666666666,0.1612903225806451,0.8333333333333334,0.75,0.2222222222222222,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.7777777777777778,0.0,0.0,1.0,0.0,0.0,0.25,0.6190476190476191,0.125,0.25,0.7515360983102919,0.6205763857140864,0.5757452793733717,0.7380952380952381,1.7857142857142858,0.006925344467163
LongMethod,O-NB,0.5161290322580645,0.8,0.2258064516129032,0.5833333333333334,0.0967741935483871,0.5,1.0,0.1111111111111111,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.2142857142857142,0.6428571428571429,0.125,0.25,0.7162058371735792,0.7093476834307573,0.6779133740135603,0.6666666666666666,1.5714285714285714,0.0069813728332519
LongMethod,O-NB,0.5483870967741935,0.85,0.1935483870967742,0.5,0.1290322580645161,0.6666666666666666,1.0,0.0,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.7380952380952381,0.3125,0.375,0.8291090629800305,0.9304931269977084,0.8944271909999157,0.3333333333333333,0.5238095238095238,0.0059812068939208
LongMethod,O-NB,0.3225806451612903,0.5,0.1290322580645161,0.3333333333333333,0.064516129032258,0.3333333333333333,0.75,0.1111111111111111,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0714285714285714,0.1785714285714285,0.5952380952380952,0.1875,0.0,0.7523041474654377,0.6921327086711612,0.6353138302883753,0.7142857142857143,1.5714285714285714,0.005983829498291
LongMethod,O-NB,0.5333333333333333,0.8421052631578947,0.2333333333333333,0.6363636363636364,0.1666666666666666,0.8333333333333334,1.0,0.1,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0357142857142857,0.1071428571428571,0.6666666666666666,0.1875,0.25,0.8007936507936508,0.8157614812553077,0.7745966692414835,0.5238095238095238,1.0476190476190477,0.0049867630004882
LongMethod,O-NB,0.4666666666666667,0.7368421052631579,0.2666666666666666,0.7272727272727273,0.1333333333333333,0.6666666666666666,1.0,0.1,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,1.0,0.0,0.0357142857142857,0.1785714285714285,0.6190476190476191,0.125,0.125,0.7595238095238095,0.7164324546139933,0.6758903555505235,0.6666666666666666,1.4761904761904765,0.0059840679168701
LongMethod,O-NB,0.4666666666666667,0.7368421052631579,0.2666666666666666,0.7272727272727273,0.1,0.5,1.0,0.1,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,0.2142857142857142,0.6190476190476191,0.1875,0.375,0.7301587301587299,0.7098539454469277,0.6803346842535314,0.6904761904761905,1.5952380952380951,0.0059831142425537
LongMethod,O-NB,0.5666666666666667,0.8947368421052632,0.3,0.8181818181818182,0.1666666666666666,0.8333333333333334,1.0,0.2,0.0,0.8571428571428571,0.0,0.0,0.0,0.1,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.1428571428571428,0.6904761904761905,0.3125,0.375,0.7579365079365082,0.7203829669446736,0.6966691497449525,0.5238095238095238,1.1428571428571428,0.0059843063354492
LongMethod,O-NB,0.4,0.631578947368421,0.2333333333333333,0.6363636363636364,0.0666666666666666,0.3333333333333333,1.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2142857142857142,0.5952380952380952,0.125,0.125,0.7571428571428575,0.7290632508647287,0.7040114941590414,0.7142857142857143,1.619047619047619,0.0060210227966308
LongMethod,O-NB,0.3793103448275862,0.5789473684210527,0.2068965517241379,0.5454545454545454,0.1034482758620689,0.5,0.6666666666666666,0.2222222222222222,0.0,0.7857142857142857,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.6666666666666666,0.0,0.5,0.5,0.0,0.0357142857142857,0.1785714285714285,0.6190476190476191,0.125,0.25,0.7582101806239738,0.6617219690850442,0.6093857815345481,0.6666666666666666,1.4761904761904765,0.0059418678283691
