Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,O-RF,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,1.0,0.9285714285714286,0.0,0.0,0.5,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.9047619047619048,0.75,0.875,0.8293650793650796,0.859480254137894,0.8449222945835844,0.1428571428571428,0.238095238095238,0.5020513534545898
FeatureEnvy,O-RF,0.5925925925925926,0.8888888888888888,0.2962962962962963,0.8,0.2222222222222222,1.0,1.0,1.0,1.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.9523809523809524,0.875,0.875,0.828483245149912,0.8702239464648954,0.8672679967169526,0.119047619047619,0.3095238095238095,0.4946451187133789
FeatureEnvy,O-RF,0.6296296296296297,0.9444444444444444,0.2962962962962963,0.8,0.1481481481481481,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.9523809523809524,0.875,0.75,0.8549382716049384,0.99214637596592,0.97487751998353,0.0476190476190476,0.0476190476190476,0.4956738948822021
FeatureEnvy,O-RF,0.6071428571428571,0.9444444444444444,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8494897959183675,0.9830985915492958,0.9449541284403667,0.0952380952380952,0.0952380952380952,0.5026583671569824
FeatureEnvy,O-RF,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9047619047619048,0.875,0.875,0.8035714285714283,0.916333397062069,0.8911442699979824,0.119047619047619,0.1666666666666666,0.4966721534729004
FeatureEnvy,O-RF,0.5714285714285714,0.8888888888888888,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,0.5,0.9,0.0,1.0,0.0,0.0,0.5,0.0,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.875,0.8316326530612248,0.9614685158751638,0.926696930951464,0.0952380952380952,0.0952380952380952,0.5315415859222412
FeatureEnvy,O-RF,0.5714285714285714,0.8888888888888888,0.25,0.7,0.1428571428571428,0.6666666666666666,0.0,0.8,0.0,1.0,0.0,0.0,1.0,0.1,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.8571428571428571,0.75,0.75,0.7984693877551019,0.907374892898927,0.8677512091796049,0.1666666666666666,0.2142857142857142,0.4966716766357422
FeatureEnvy,O-RF,0.5357142857142857,0.8333333333333334,0.25,0.7,0.1785714285714285,0.8333333333333334,0.5,1.0,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.9047619047619048,0.75,0.875,0.8452380952380952,0.8909134891353214,0.8668624097800537,0.119047619047619,0.1666666666666666,0.5046167373657227
FeatureEnvy,O-RF,0.5862068965517241,0.8947368421052632,0.3793103448275862,1.0,0.2068965517241379,1.0,0.6666666666666666,0.8888888888888888,1.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.9047619047619048,0.75,0.75,0.8304597701149424,0.9175289593740436,0.8962384105927984,0.119047619047619,0.1666666666666666,0.5006296634674072
FeatureEnvy,O-RF,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.1724137931034483,0.8333333333333334,0.0,0.8888888888888888,0.5,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.5,0.8009031198686376,0.9002465400313281,0.8623325237342275,0.1666666666666666,0.3095238095238095,0.496636152267456
FeatureEnvy,O-RF,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.3333333333333333,0.9642857142857144,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.75,0.875,0.8408289241622576,0.9047007767109624,0.8737109848908995,0.1428571428571428,0.1904761904761904,0.4993042945861816
FeatureEnvy,O-RF,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,1.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.75,0.8505291005291006,0.96452407076762,0.9407263895282484,0.0714285714285714,0.0714285714285714,0.5026557445526123
FeatureEnvy,O-RF,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,0.8888888888888888,0.3333333333333333,1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.875,0.8073192239858912,0.915804582199021,0.9009380691513698,0.0952380952380952,0.1428571428571428,0.5006368160247803
FeatureEnvy,O-RF,0.6071428571428571,0.9444444444444444,0.2857142857142857,0.8,0.1428571428571428,0.6666666666666666,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.8452380952380955,0.9846226150709944,0.9506320846305418,0.0952380952380952,0.0952380952380952,0.4986681938171386
FeatureEnvy,O-RF,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,1.0,0.8409863945578234,0.970156484392108,0.9530371537950456,0.0476190476190476,0.0476190476190476,0.4976630210876465
FeatureEnvy,O-RF,0.6428571428571429,1.0,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.9,1.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8460884353741497,0.9655253610019796,0.9433283000447764,0.0714285714285714,0.0714285714285714,0.4966599941253662
FeatureEnvy,O-RF,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.75,0.75,0.844387755102041,0.9357246408279148,0.8965016930757349,0.119047619047619,0.119047619047619,0.5361895561218262
FeatureEnvy,O-RF,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,0.875,0.8418367346938777,0.970156484392108,0.9530371537950456,0.0476190476190476,0.0476190476190476,0.4936788082122803
