Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,O-SVM,0.3442622950819672,0.875,0.1639344262295081,0.8333333333333334,0.081967213114754,0.8333333333333334,0.4166666666666667,0.5454545454545454,0.0,0.875,0.0,0.0833333333333333,0.5,0.1818181818181818,0.0,0.2727272727272727,0.3333333333333333,0.6666666666666666,0.0,0.0,0.125,0.0,0.5952380952380952,0.4375,0.625,0.669984387197502,0.7343715309365969,0.6502812576639637,0.5238095238095238,0.7619047619047619,0.0748393535614013
GodClass,O-SVM,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.6666666666666666,0.7272727272727273,0.0,0.9375,0.0,0.0,0.3333333333333333,0.0,0.0,0.2727272727272727,0.0,1.0,0.0,0.0,0.0625,0.0,0.7380952380952381,0.5625,0.75,0.7008196721311475,0.868665449541638,0.8117188306331247,0.2857142857142857,0.3333333333333333,0.0778281688690185
GodClass,O-SVM,0.3770491803278688,0.9583333333333334,0.180327868852459,0.9166666666666666,0.081967213114754,0.8333333333333334,0.75,0.6363636363636364,0.3333333333333333,0.9375,0.0,0.0833333333333333,0.1666666666666666,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.0,0.0,0.7619047619047619,0.8125,0.875,0.7097970335675253,0.8870828380882092,0.8228834152375011,0.2857142857142857,0.3809523809523809,0.0917565822601318
GodClass,O-SVM,0.365079365079365,0.9583333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.6153846153846154,0.6363636363636364,0.0,0.875,0.0,0.0,0.3846153846153846,0.0,0.1818181818181818,0.1818181818181818,0.5,0.5,0.0,0.0625,0.0625,0.0,0.6904761904761905,0.8125,0.875,0.7057823129251701,0.8590890460043634,0.7892420268111789,0.3333333333333333,0.3809523809523809,0.0777921676635742
GodClass,O-SVM,0.328125,0.875,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.8181818181818182,0.0,0.8,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0909090909090909,0.0,0.0909090909090909,0.0,0.6666666666666666,0.3333333333333333,0.0,0.1333333333333333,0.0666666666666666,0.7142857142857143,0.8125,0.875,0.6372767857142858,0.6416275455188521,0.5811810842302839,0.5238095238095238,1.0952380952380951,0.0807819366455078
GodClass,O-SVM,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.7272727272727273,0.0,0.9333333333333332,0.0,0.0,0.3076923076923077,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0666666666666666,0.0,0.0,0.7380952380952381,0.8125,0.875,0.6930803571428572,0.8578860154393612,0.7873302548630218,0.3095238095238095,0.4047619047619047,0.0777528285980224
GodClass,O-SVM,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.8181818181818182,0.0,0.8666666666666667,0.0,0.0,0.3076923076923077,0.0,0.0,0.1818181818181818,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.1333333333333333,0.0,0.7380952380952381,0.8125,0.75,0.6819196428571429,0.8202135515035236,0.7561520403243058,0.3333333333333333,0.4761904761904761,0.0807476043701171
GodClass,O-SVM,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.6923076923076923,0.8181818181818182,0.0,0.8666666666666667,0.0,0.0,0.3076923076923077,0.0909090909090909,0.0,0.0909090909090909,0.6666666666666666,0.3333333333333333,0.0,0.0666666666666666,0.0666666666666666,0.0,0.7380952380952381,0.75,0.875,0.691592261904762,0.862907850112602,0.8012206859733961,0.3095238095238095,0.4047619047619047,0.0777904987335205
GodClass,O-SVM,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.5384615384615384,0.4545454545454545,0.6666666666666666,0.9333333333333332,0.0,0.0769230769230769,0.3846153846153846,0.0909090909090909,0.0909090909090909,0.3636363636363636,0.0,0.3333333333333333,0.0,0.0,0.0666666666666666,0.0,0.6666666666666666,0.5,0.75,0.6897321428571429,0.7982942441766817,0.7189938465608583,0.4047619047619047,0.5476190476190477,0.075796365737915
GodClass,O-SVM,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.4615384615384615,0.8181818181818182,0.0,0.8666666666666667,0.0769230769230769,0.0,0.4615384615384615,0.0,0.0,0.1818181818181818,0.3333333333333333,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.6666666666666666,0.5,0.75,0.668154761904762,0.7461581530282538,0.6891782784480122,0.4285714285714285,0.6666666666666666,0.0787873268127441
GodClass,O-SVM,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.6666666666666666,0.7272727272727273,0.0,0.8125,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.0909090909090909,0.1818181818181818,0.6666666666666666,0.3333333333333333,0.0,0.0625,0.125,0.0,0.6904761904761905,0.8125,0.875,0.6863778298204529,0.7601781509477117,0.6931827315725515,0.4285714285714285,0.7142857142857143,0.0757491588592529
GodClass,O-SVM,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.6666666666666666,0.9090909090909092,0.3333333333333333,0.875,0.0,0.0,0.3333333333333333,0.0909090909090909,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.125,0.0,0.7857142857142857,0.75,1.0,0.7133099141295866,0.8625406695220661,0.8209795792362543,0.2857142857142857,0.4285714285714285,0.0807857513427734
