Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
DataClass,O-XGB,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.081967213114754,0.8333333333333334,0.75,0.8181818181818182,0.0,0.875,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0,0.1818181818181818,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0625,0.0625,0.0,0.7619047619047619,0.75,0.75,0.7058938329430134,0.84094108532954,0.7654814499015463,0.3095238095238095,0.4523809523809524,0.2433459758758545
DataClass,O-XGB,0.3548387096774194,0.9166666666666666,0.1612903225806451,0.8333333333333334,0.0806451612903225,0.8333333333333334,0.75,0.6363636363636364,0.75,0.8666666666666667,0.0,0.0,0.25,0.0,0.1818181818181818,0.1818181818181818,0.0,0.25,0.0,0.0,0.1333333333333333,0.0,0.7619047619047619,0.6875,0.75,0.7031490015360983,0.8672242872838754,0.8132693251503615,0.2857142857142857,0.3809523809523809,0.2333786487579345
DataClass,O-XGB,0.3548387096774194,0.9166666666666666,0.1774193548387097,0.9166666666666666,0.0967741935483871,1.0,0.8333333333333334,0.5454545454545454,0.0,1.0,0.0,0.0,0.1666666666666666,0.0,0.0909090909090909,0.3636363636363636,0.25,0.75,0.0,0.0,0.0,0.0,0.7380952380952381,0.6875,0.75,0.7100614439324119,0.9030865894849964,0.8434627277011524,0.2619047619047619,0.2619047619047619,0.2074453830718994
DataClass,O-XGB,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.7692307692307693,0.8181818181818182,0.6666666666666666,0.9333333333333332,0.0,0.0,0.2307692307692307,0.0,0.0909090909090909,0.0909090909090909,0.0,0.3333333333333333,0.0,0.0,0.0666666666666666,0.0,0.8333333333333334,0.8125,0.875,0.703125,0.9128573211496056,0.8734894052616542,0.1904761904761904,0.238095238095238,0.241356611251831
DataClass,O-XGB,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.6923076923076923,0.7272727272727273,0.3333333333333333,0.8666666666666667,0.0,0.0,0.3076923076923077,0.0,0.1818181818181818,0.0909090909090909,0.0,0.6666666666666666,0.0,0.1333333333333333,0.0,0.0,0.7380952380952381,0.875,0.875,0.701264880952381,0.9045013867511928,0.8449460113465499,0.2619047619047619,0.2619047619047619,0.2493362426757812
DataClass,O-XGB,0.375,1.0,0.1875,1.0,0.09375,1.0,0.8461538461538461,0.6363636363636364,0.6666666666666666,0.9333333333333332,0.0,0.0,0.1538461538461538,0.0909090909090909,0.1818181818181818,0.0909090909090909,0.0,0.3333333333333333,0.0,0.0666666666666666,0.0,0.0,0.8095238095238095,0.9375,1.0,0.7120535714285715,0.9202452963245176,0.8733691576575001,0.2142857142857142,0.2619047619047619,0.2283887863159179
DataClass,O-XGB,0.375,1.0,0.1875,1.0,0.09375,1.0,0.7692307692307693,0.7272727272727273,0.3333333333333333,0.8666666666666667,0.0,0.0769230769230769,0.1538461538461538,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.7619047619047619,0.9375,1.0,0.6975446428571429,0.8354465917446069,0.7767931611367478,0.3333333333333333,0.5238095238095238,0.2463407516479492
DataClass,O-XGB,0.3174603174603174,0.8333333333333334,0.1587301587301587,0.8333333333333334,0.0634920634920634,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.9333333333333332,0.0,0.0,0.3333333333333333,0.0,0.1666666666666666,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0666666666666666,0.0,0.6666666666666666,0.625,0.5,0.6959561602418747,0.8403430083643142,0.7639003285867604,0.3571428571428571,0.4047619047619047,0.2114348411560058
DataClass,O-XGB,0.3492063492063492,0.9166666666666666,0.1904761904761904,1.0,0.0952380952380952,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.8125,0.75,0.6865079365079366,0.8845953707406288,0.836066503108212,0.238095238095238,0.3333333333333333,0.2164206504821777
DataClass,O-XGB,0.365079365079365,0.9583333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.8333333333333334,0.75,0.0,0.9333333333333332,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.7857142857142857,0.875,0.875,0.6940665154950871,0.8900672813582369,0.841590900281837,0.2619047619047619,0.3571428571428571,0.2154240608215332
DataClass,O-XGB,0.360655737704918,0.9166666666666666,0.1967213114754098,1.0,0.0983606557377049,1.0,0.9166666666666666,0.3636363636363636,0.3333333333333333,1.0,0.0,0.0,0.0833333333333333,0.0909090909090909,0.0909090909090909,0.4545454545454545,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.7619047619047619,0.6875,0.75,0.7078454332552695,0.9047685525939124,0.8520087221634002,0.2619047619047619,0.3095238095238095,0.2094433307647705
