Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
FeatureEnvy,O-XGB,0.5925925925925926,0.8888888888888888,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.7777777777777778,0.6666666666666666,0.9642857142857144,0.0,0.0,0.5,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.75,0.75,0.814373897707231,0.9024476113646692,0.8755678517254257,0.1428571428571428,0.1904761904761904,0.1825129985809326
FeatureEnvy,O-XGB,0.4814814814814814,0.7222222222222222,0.1851851851851851,0.5,0.1111111111111111,0.5,0.5,1.0,1.0,0.8928571428571429,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.9047619047619048,0.75,0.75,0.8302469135802472,0.8412977475278046,0.8252387065093889,0.1666666666666666,0.3571428571428571,0.1745331287384033
FeatureEnvy,O-XGB,0.5185185185185185,0.7777777777777778,0.2592592592592592,0.7,0.1111111111111111,0.5,0.5,1.0,0.6666666666666666,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0357142857142857,0.0357142857142857,0.0,0.9047619047619048,0.75,0.75,0.8452380952380952,0.9183774321765265,0.8948167516644211,0.119047619047619,0.1666666666666666,0.1795234680175781
FeatureEnvy,O-XGB,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.8,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.75,0.8494897959183675,0.9877093430961322,0.9602124732943152,0.0714285714285714,0.0714285714285714,0.1775248050689697
FeatureEnvy,O-XGB,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,0.875,0.8222789115646261,0.9662016347103628,0.9401250139390852,0.0714285714285714,0.0714285714285714,0.1805174350738525
FeatureEnvy,O-XGB,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,1.0,0.8,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.75,0.75,0.8367346938775513,0.9357246408279148,0.8965016930757349,0.119047619047619,0.119047619047619,0.1805195808410644
FeatureEnvy,O-XGB,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.9,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.1,0.0,0.5,0.5,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.75,0.75,0.8418367346938775,0.9339503218059734,0.8922849078323443,0.119047619047619,0.119047619047619,0.1745328903198242
FeatureEnvy,O-XGB,0.5714285714285714,0.8888888888888888,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,1.0,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0357142857142857,0.0,0.9523809523809524,0.875,0.875,0.846938775510204,0.9237065399102196,0.9154611392046128,0.0714285714285714,0.119047619047619,0.183509349822998
FeatureEnvy,O-XGB,0.6551724137931034,1.0,0.3793103448275862,1.0,0.2068965517241379,1.0,0.6666666666666666,0.8888888888888888,1.0,0.9642857142857144,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8493431855500823,0.96643932562154,0.9453837916847692,0.0714285714285714,0.0714285714285714,0.1755306720733642
FeatureEnvy,O-XGB,0.5862068965517241,0.8947368421052632,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.8888888888888888,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.625,0.8082922824302138,0.9051042184781218,0.8762848730194979,0.1428571428571428,0.2857142857142857,0.1785223484039306
FeatureEnvy,O-XGB,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.3333333333333333,0.9642857142857144,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.8809523809523809,0.75,0.875,0.8408289241622576,0.9047007767109624,0.8737109848908995,0.1428571428571428,0.1904761904761904,0.1815147399902343
FeatureEnvy,O-XGB,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.625,0.8470017636684303,0.9601493786631318,0.9242942524372147,0.119047619047619,0.119047619047619,0.1835179328918457
FeatureEnvy,O-XGB,0.6666666666666666,1.0,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.6666666666666666,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0357142857142857,0.0,0.9523809523809524,0.875,1.0,0.8408289241622576,0.9466330036053504,0.9375583936787152,0.0714285714285714,0.119047619047619,0.1785225868225097
FeatureEnvy,O-XGB,0.6428571428571429,1.0,0.3214285714285714,0.9,0.1428571428571428,0.6666666666666666,0.5,0.7,1.0,1.0,0.0,0.0,0.5,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.625,0.8494897959183675,0.9851102473553328,0.9515150912737868,0.0952380952380952,0.0952380952380952,0.2134287357330322
FeatureEnvy,O-XGB,0.6071428571428571,0.9444444444444444,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,0.9,0.5,1.0,0.0,0.0,0.5,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.875,1.0,0.8435374149659867,0.9669232192023046,0.9424930870220553,0.0714285714285714,0.0714285714285714,0.1755299568176269
FeatureEnvy,O-XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.9,1.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8460884353741497,0.9655253610019796,0.9433283000447764,0.0714285714285714,0.0714285714285714,0.181514024734497
FeatureEnvy,O-XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.8125,0.75,0.8299319727891158,0.9404010311867366,0.9095860716590956,0.0952380952380952,0.0952380952380952,0.1785223484039306
FeatureEnvy,O-XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,1.0,0.9,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.875,0.875,0.8392857142857142,0.9162091517411928,0.8828723891992799,0.0952380952380952,0.0952380952380952,0.1765401363372802
FeatureEnvy,O-XGB,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.1034482758620689,0.5,1.0,1.0,1.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.9761904761904762,0.9375,0.875,0.8353858784893268,0.9208185872692188,0.9190009881958918,0.0714285714285714,0.2142857142857142,0.179520845413208
FeatureEnvy,O-XGB,0.5517241379310345,0.8421052631578947,0.2758620689655172,0.7272727272727273,0.1379310344827586,0.6666666666666666,0.0,1.0,0.5,0.9285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0357142857142857,0.0357142857142857,0.0,0.8571428571428571,0.625,0.75,0.8181444991789817,0.9124600493587888,0.8748596315182153,0.1666666666666666,0.2142857142857142,0.1795210838317871
FeatureEnvy,O-XGB,0.6666666666666666,1.0,0.3703703703703703,1.0,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,1.0,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.9047619047619048,0.75,0.75,0.8337742504409171,0.9177538163669056,0.894078799964864,0.119047619047619,0.1666666666666666,0.1795198917388916
FeatureEnvy,O-XGB,0.6666666666666666,1.0,0.3333333333333333,0.9,0.1851851851851851,0.8333333333333334,0.5,0.8888888888888888,0.6666666666666666,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.75,0.75,0.849647266313933,0.9638002730792066,0.9316006224333212,0.0952380952380952,0.0952380952380952,0.1825146675109863
FeatureEnvy,O-XGB,0.6296296296296297,0.9444444444444444,0.3333333333333333,0.9,0.1481481481481481,0.6666666666666666,0.0,0.8888888888888888,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.875,0.8425925925925923,0.9632871813239364,0.9349565727239336,0.0952380952380952,0.0952380952380952,0.1765525341033935
FeatureEnvy,O-XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,1.0,0.8435374149659867,0.970789199851266,0.9545158340311762,0.0476190476190476,0.0476190476190476,0.190110445022583
FeatureEnvy,O-XGB,0.5714285714285714,0.8888888888888888,0.3214285714285714,0.9,0.1785714285714285,0.8333333333333334,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8443877551020407,0.9875400917338596,0.9614143694375566,0.0714285714285714,0.0714285714285714,0.1755309104919433
FeatureEnvy,O-XGB,0.4285714285714285,0.6666666666666666,0.2857142857142857,0.8,0.2142857142857142,1.0,1.0,0.9,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0357142857142857,0.8809523809523809,0.75,0.625,0.8018707482993197,0.7792274304699899,0.7675465038698099,0.238095238095238,0.5238095238095238,0.1775248050689697
FeatureEnvy,O-XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.9,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,0.9375,0.875,0.8460884353741498,0.9701884811839182,0.9533143351460308,0.0476190476190476,0.0476190476190476,0.1805253028869629
FeatureEnvy,O-XGB,0.6071428571428571,0.9444444444444444,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.8,0.0,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0357142857142857,0.0,0.0,0.8809523809523809,0.6875,0.75,0.848639455782313,0.9611186296497634,0.921205122645126,0.119047619047619,0.119047619047619,0.1775257587432861
FeatureEnvy,O-XGB,0.6551724137931034,1.0,0.3448275862068966,0.9090909090909092,0.2068965517241379,1.0,0.6666666666666666,1.0,1.0,0.9642857142857144,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0,0.9523809523809524,0.875,0.875,0.8345648604269293,0.9466330036053504,0.9375583936787152,0.0714285714285714,0.119047619047619,0.2064483165740966
FeatureEnvy,O-XGB,0.5862068965517241,0.8947368421052632,0.3103448275862069,0.8181818181818182,0.2068965517241379,1.0,1.0,1.0,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0357142857142857,0.0,0.9523809523809524,0.9375,0.875,0.8435960591133002,0.9265253226242134,0.9180335532758014,0.0714285714285714,0.119047619047619,0.1745331287384033
FeatureEnvy,O-XGB,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.9523809523809524,0.875,0.875,0.8540564373897709,0.968627670487422,0.9538114167450834,0.0476190476190476,0.0476190476190476,0.1894924640655517
FeatureEnvy,O-XGB,0.6296296296296297,0.9444444444444444,0.3703703703703703,1.0,0.2222222222222222,1.0,1.0,0.8888888888888888,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.9523809523809524,0.875,0.875,0.8531746031746033,0.9915907498248074,0.9729119638826188,0.0476190476190476,0.0476190476190476,0.1815149784088134
FeatureEnvy,O-XGB,0.5185185185185185,0.7777777777777778,0.2962962962962963,0.8,0.1111111111111111,0.5,1.0,1.0,1.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.9523809523809524,0.875,0.75,0.828483245149912,0.8702239464648954,0.8672679967169526,0.119047619047619,0.3095238095238095,0.1735358238220214
FeatureEnvy,O-XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.2142857142857142,1.0,1.0,0.7,0.5,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,1.0,0.83843537414966,0.9660991487959036,0.9386373705768816,0.0952380952380952,0.0952380952380952,0.1805219650268554
FeatureEnvy,O-XGB,0.5,0.7777777777777778,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,0.5,0.8,0.0,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.8571428571428571,0.625,0.5,0.846938775510204,0.9357478570663862,0.8962517383140773,0.1666666666666666,0.2142857142857142,0.1715419292449951
FeatureEnvy,O-XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,1.0,0.8,0.5,0.9642857142857144,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.8125,0.875,0.8392857142857146,0.9384840328007922,0.9085726049692692,0.0952380952380952,0.0952380952380952,0.1775250434875488
FeatureEnvy,O-XGB,0.5714285714285714,0.8888888888888888,0.2857142857142857,0.8,0.1785714285714285,0.8333333333333334,0.5,0.9,0.5,0.9642857142857144,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.5,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.75,0.75,0.8511904761904763,0.9639403480485028,0.9293037850130064,0.0952380952380952,0.0952380952380952,0.1785230636596679
FeatureEnvy,O-XGB,0.6428571428571429,1.0,0.3571428571428571,1.0,0.1785714285714285,0.8333333333333334,0.5,0.9,0.5,0.9642857142857144,0.0,0.0,0.5,0.0,0.1,0.0,0.5,0.0,0.0,0.0357142857142857,0.0,0.0,0.9047619047619048,0.8125,0.875,0.8384353741496601,0.9377861315930106,0.9070040420991884,0.0952380952380952,0.0952380952380952,0.1765279769897461
FeatureEnvy,O-XGB,0.6206896551724138,0.9473684210526316,0.3448275862068966,0.9090909090909092,0.1724137931034483,0.8333333333333334,0.3333333333333333,0.8888888888888888,0.5,1.0,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.875,0.8460591133004925,0.9646087174330094,0.9350171031146384,0.0952380952380952,0.0952380952380952,0.1865007877349853
