Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,RFR,0.3770491803278688,0.9583333333333334,0.19672131147540983,1.0,0.09836065573770492,1.0,0.3333333333333333,0.9090909090909091,1.0,0.5625,0.0,0.0,0.6666666666666666,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.375,0.0625,0.0,0.6190476190476191,0.5625,0.625,0.699648711943794,0.8579211765637073,0.793494870369191,0.40476190476190477,0.4523809523809524,0.19451570510864258
GodClass,RFR,0.36065573770491804,0.9166666666666666,0.19672131147540983,1.0,0.09836065573770492,1.0,0.5833333333333334,0.7272727272727273,0.0,0.875,0.0,0.0,0.4166666666666667,0.0,0.09090909090909091,0.18181818181818182,0.0,1.0,0.0,0.0625,0.0625,0.0,0.6904761904761905,0.6875,0.75,0.707064793130367,0.8563706149305235,0.7892339628444115,0.3333333333333333,0.38095238095238093,0.1874990463256836
GodClass,RFR,0.3770491803278688,0.9583333333333334,0.19672131147540983,1.0,0.09836065573770492,1.0,0.5833333333333334,0.45454545454545453,0.6666666666666666,0.875,0.0,0.0,0.4166666666666667,0.0,0.5454545454545454,0.0,0.0,0.3333333333333333,0.0,0.125,0.0,0.0,0.6666666666666666,0.625,1.0,0.7226775956284154,0.914575558828639,0.8565137832111347,0.3333333333333333,0.3333333333333333,0.18646502494812012
GodClass,RFR,0.3492063492063492,0.9166666666666666,0.1746031746031746,0.9166666666666666,0.09523809523809523,1.0,0.38461538461538464,0.45454545454545453,0.5,0.5,0.0,0.0,0.6153846153846154,0.0,0.45454545454545453,0.09090909090909091,0.0,0.5,0.0,0.4375,0.0625,0.0,0.4523809523809524,0.5,0.75,0.6747921390778534,0.802846350709307,0.7248218980185696,0.5714285714285714,0.6190476190476191,0.18853306770324707
GodClass,RFR,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.5384615384615384,0.6363636363636364,0.3333333333333333,0.7333333333333333,0.0,0.07692307692307693,0.38461538461538464,0.0,0.18181818181818182,0.18181818181818182,0.0,0.6666666666666666,0.0,0.06666666666666667,0.2,0.0,0.6190476190476191,0.625,0.75,0.6677827380952381,0.7495309572160788,0.6784600989539635,0.47619047619047616,0.6666666666666666,0.18554019927978516
GodClass,RFR,0.328125,0.875,0.1875,1.0,0.09375,1.0,0.46153846153846156,0.6363636363636364,0.6666666666666666,0.8,0.0,0.15384615384615385,0.38461538461538464,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.6428571428571429,0.625,0.75,0.6845238095238095,0.7707878677606514,0.6915128282266608,0.4523809523809524,0.6428571428571429,0.1824944019317627
GodClass,RFR,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.5384615384615384,0.9090909090909091,0.6666666666666666,0.6,0.0,0.0,0.46153846153846156,0.0,0.0,0.09090909090909091,0.0,0.3333333333333333,0.0,0.3333333333333333,0.06666666666666667,0.0,0.6666666666666666,0.75,0.875,0.7049851190476191,0.8606198868318006,0.7948534815697599,0.35714285714285715,0.40476190476190477,0.18550419807434082
GodClass,RFR,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.5384615384615384,0.9090909090909091,0.6666666666666666,0.9333333333333333,0.0,0.0,0.46153846153846156,0.0,0.09090909090909091,0.0,0.0,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.7857142857142857,0.75,1.0,0.7061011904761905,0.9215092802072892,0.8753547554067137,0.21428571428571427,0.21428571428571427,0.18749713897705078
GodClass,RFR,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.46153846153846156,0.7272727272727273,0.6666666666666666,0.4666666666666667,0.0,0.0,0.5384615384615384,0.0,0.09090909090909091,0.18181818181818182,0.0,0.3333333333333333,0.0,0.4666666666666667,0.06666666666666667,0.0,0.5476190476190477,0.625,0.75,0.6793154761904763,0.8196142118098866,0.7386376676070446,0.47619047619047616,0.5238095238095238,0.1864643096923828
GodClass,RFR,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.5384615384615384,0.9090909090909091,0.6666666666666666,0.7333333333333333,0.0,0.0,0.46153846153846156,0.0,0.0,0.09090909090909091,0.0,0.3333333333333333,0.0,0.06666666666666667,0.2,0.0,0.7142857142857143,0.625,0.875,0.6711309523809524,0.8153302338648295,0.7638077381263009,0.35714285714285715,0.5,0.18854284286499023
GodClass,RFR,0.32786885245901637,0.8333333333333334,0.19672131147540983,1.0,0.09836065573770492,1.0,0.5,0.7272727272727273,1.0,0.6875,0.0,0.0,0.5,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.1875,0.125,0.0,0.6666666666666666,0.75,0.875,0.7043325526932087,0.8370254468170786,0.7828285125734821,0.38095238095238093,0.47619047619047616,0.18454217910766602
GodClass,RFR,0.3770491803278688,0.9583333333333334,0.19672131147540983,1.0,0.09836065573770492,1.0,0.5833333333333334,0.8181818181818182,0.6666666666666666,0.8125,0.0,0.0,0.4166666666666667,0.0,0.18181818181818182,0.0,0.0,0.3333333333333333,0.0,0.125,0.0625,0.0,0.7380952380952381,0.6875,1.0,0.7078454332552695,0.8870626654659532,0.8344321051525004,0.2857142857142857,0.3333333333333333,0.18650031089782715
GodClass,RFR,0.3442622950819672,0.875,0.16393442622950818,0.8333333333333334,0.08196721311475409,0.8333333333333334,0.6666666666666666,0.6363636363636364,1.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.3125,0.1875,0.0,0.6190476190476191,0.75,0.625,0.7047228727556597,0.803021157487907,0.7273908758199765,0.4523809523809524,0.5952380952380952,0.18550515174865723
GodClass,RFR,0.38095238095238093,1.0,0.19047619047619047,1.0,0.09523809523809523,1.0,0.5384615384615384,1.0,0.5,0.8125,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.5,0.0,0.1875,0.0,0.0,0.7619047619047619,0.6875,0.875,0.7193877551020409,0.9151318537169365,0.8611617302866363,0.23809523809523808,0.23809523809523808,0.18649959564208984
GodClass,RFR,0.375,1.0,0.1875,1.0,0.09375,1.0,0.46153846153846156,0.7272727272727273,0.6666666666666666,0.8,0.0,0.15384615384615385,0.38461538461538464,0.0,0.2727272727272727,0.0,0.0,0.3333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0,0.6666666666666666,0.75,0.75,0.6893601190476191,0.8081652472694759,0.7419431110192303,0.40476190476190477,0.5476190476190477,0.18550372123718262
GodClass,RFR,0.3125,0.8333333333333334,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.23076923076923078,0.5454545454545454,0.3333333333333333,0.6,0.0,0.07692307692307693,0.6923076923076923,0.0,0.18181818181818182,0.2727272727272727,0.0,0.6666666666666666,0.0,0.4,0.0,0.0,0.4523809523809524,0.5,0.5,0.6796875,0.7629253706794922,0.6629475556262702,0.5714285714285714,0.6190476190476191,0.18649840354919434
