Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,RFR,0.5483870967741935,0.85,0.25806451612903225,0.6666666666666666,0.16129032258064516,0.8333333333333334,0.25,0.7777777777777778,0.0,1.0,0.0,0.0,0.75,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.625,0.75,0.8498463901689707,0.9788073827629621,0.9356055757585994,0.14285714285714285,0.14285714285714285,0.1855463981628418
LongMethod,RFR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,0.25,1.0,0.0,0.9642857142857143,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8337173579109063,0.9621380246134678,0.92101114370726,0.11904761904761904,0.11904761904761904,0.1805586814880371
LongMethod,RFR,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.12903225806451613,0.6666666666666666,0.75,0.7777777777777778,0.0,0.9642857142857143,0.0,0.0,0.25,0.0,0.0,0.2222222222222222,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8460061443932414,0.9612014287463133,0.9196340557339712,0.11904761904761904,0.11904761904761904,0.20046448707580566
LongMethod,RFR,0.5161290322580645,0.8,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.25,1.0,0.0,0.9642857142857143,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.8809523809523809,0.6875,0.75,0.8291090629800307,0.9359862863000734,0.9049473135343156,0.14285714285714285,0.19047619047619047,0.18849802017211914
LongMethod,RFR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.875,1.0,0.8507936507936509,0.9942249886833733,0.9797608855624781,0.047619047619047616,0.047619047619047616,0.1825120449066162
LongMethod,RFR,0.5333333333333333,0.8421052631578947,0.36666666666666664,1.0,0.2,1.0,0.6666666666666666,1.0,0.0,0.8928571428571429,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.03571428571428571,0.07142857142857142,0.0,0.8809523809523809,0.75,0.625,0.8206349206349207,0.888765442305302,0.8634427697656283,0.16666666666666666,0.2619047619047619,0.17853569984436035
LongMethod,RFR,0.6,0.9473684210526315,0.36666666666666664,1.0,0.2,1.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.875,0.75,0.8492063492063494,0.9922490339850789,0.9757843882814446,0.047619047619047616,0.047619047619047616,0.18351006507873535
LongMethod,RFR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,0.9,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.9285714285714286,0.8125,0.875,0.8404761904761906,0.9515216561917467,0.9345063411946962,0.09523809523809523,0.14285714285714285,0.19152379035949707
LongMethod,RFR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,1.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.9523809523809523,0.875,1.0,0.8436507936507938,0.9752250040006344,0.9584624083292188,0.047619047619047616,0.047619047619047616,0.18450403213500977
LongMethod,RFR,0.5517241379310345,0.8421052631578947,0.3448275862068966,0.9090909090909091,0.1724137931034483,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0,0.9642857142857143,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.8333333333333334,0.625,0.625,0.8050082101806236,0.8894263274973708,0.8526388071002261,0.21428571428571427,0.30952380952380953,0.19052624702453613
LongMethod,RFR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,1.0,0.8888888888888888,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.9047619047619048,0.75,0.75,0.8498463901689707,0.9361906156488823,0.9119215051751064,0.11904761904761904,0.16666666666666666,0.19950413703918457
LongMethod,RFR,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.7777777777777778,0.0,1.0,0.0,0.0,0.5,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.875,0.8467741935483871,0.9790947940125043,0.93609501718575,0.11904761904761904,0.11904761904761904,0.18452072143554688
LongMethod,RFR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,0.8888888888888888,0.0,0.9642857142857143,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.6875,0.875,0.8383256528417817,0.9611068503211057,0.9217832672514051,0.11904761904761904,0.11904761904761904,0.18350458145141602
LongMethod,RFR,0.6129032258064516,0.95,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,0.7777777777777778,1.0,1.0,0.0,0.0,0.25,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,1.0,0.8506144393241168,0.9913153992943191,0.970825737976475,0.07142857142857142,0.07142857142857142,0.18047475814819336
LongMethod,RFR,0.5666666666666667,0.8947368421052632,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.0,0.9642857142857143,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.8809523809523809,0.6875,0.5,0.838095238095238,0.9402825306870287,0.9050908873556379,0.14285714285714285,0.19047619047619047,0.18949341773986816
LongMethod,RFR,0.5,0.7894736842105263,0.3333333333333333,0.9090909090909091,0.2,1.0,0.6666666666666666,0.9,0.0,0.9642857142857143,0.0,0.0,0.3333333333333333,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.9047619047619048,0.8125,0.75,0.8380952380952383,0.8968181261395445,0.8791850780209348,0.14285714285714285,0.23809523809523808,0.19447898864746094
LongMethod,RFR,0.5333333333333333,0.8421052631578947,0.26666666666666666,0.7272727272727273,0.13333333333333333,0.6666666666666666,0.0,0.9,1.0,0.9642857142857143,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.8809523809523809,0.6875,0.875,0.8420634920634921,0.9585958257685778,0.9134775554927949,0.11904761904761904,0.11904761904761904,0.1904897689819336
LongMethod,RFR,0.5333333333333333,0.8421052631578947,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.9,0.0,0.9642857142857143,0.0,0.0,0.3333333333333333,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.9047619047619048,0.75,0.75,0.8373015873015871,0.9427976963709567,0.9155465899792335,0.11904761904761904,0.16666666666666666,0.1934490203857422
LongMethod,RFR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9761904761904762,0.9375,1.0,0.8476190476190477,0.9967663142538852,0.9884389178158018,0.023809523809523808,0.023809523809523808,0.18155145645141602
LongMethod,RFR,0.5172413793103449,0.7894736842105263,0.3448275862068966,0.9090909090909091,0.20689655172413793,1.0,0.6666666666666666,1.0,0.0,0.9642857142857143,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.9047619047619048,0.75,0.75,0.8386699507389161,0.9437215027488255,0.9199951860975344,0.11904761904761904,0.16666666666666666,0.18251514434814453
LongMethod,RFR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,0.75,0.7777777777777778,0.0,1.0,0.0,0.0,0.25,0.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.847542242703533,0.9842818744887227,0.9501133786848073,0.09523809523809523,0.09523809523809523,0.19144892692565918
LongMethod,RFR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,1.0,0.0,0.9285714285714286,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.8809523809523809,0.6875,0.875,0.8406298003072197,0.9472849510148107,0.9068907970031523,0.11904761904761904,0.11904761904761904,0.1904895305633545
LongMethod,RFR,0.5483870967741935,0.85,0.2903225806451613,0.75,0.1935483870967742,1.0,0.5,0.8888888888888888,0.0,1.0,0.0,0.0,0.5,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.8125,0.875,0.8206605222734249,0.9433118286719965,0.9178146529232246,0.11904761904761904,0.16666666666666666,0.19248342514038086
LongMethod,RFR,0.5806451612903226,0.9,0.3548387096774194,0.9166666666666666,0.1935483870967742,1.0,0.75,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.875,0.875,0.8490783410138248,0.9920245304749564,0.9747622263365001,0.047619047619047616,0.047619047619047616,0.18654608726501465
LongMethod,RFR,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.9,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8436507936507937,0.9886409974265248,0.9652387857331155,0.07142857142857142,0.07142857142857142,0.1885361671447754
LongMethod,RFR,0.6,0.9473684210526315,0.36666666666666664,1.0,0.16666666666666666,0.8333333333333334,1.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.375,0.85,0.9836829982106557,0.9520771272352628,0.11904761904761904,0.11904761904761904,0.1904923915863037
LongMethod,RFR,0.6,0.9473684210526315,0.3333333333333333,0.9090909090909091,0.2,1.0,0.6666666666666666,1.0,1.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.9285714285714286,0.8125,1.0,0.8373015873015873,0.928016969294754,0.9109074769023303,0.09523809523809523,0.14285714285714285,0.1855471134185791
LongMethod,RFR,0.6,0.9473684210526315,0.36666666666666664,1.0,0.16666666666666666,0.8333333333333334,1.0,0.9,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.9285714285714286,0.8125,0.75,0.8349206349206351,0.9515216561917467,0.9345063411946962,0.09523809523809523,0.14285714285714285,0.18947410583496094
LongMethod,RFR,0.5666666666666667,0.8947368421052632,0.3333333333333333,0.9090909090909091,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.9,0.0,0.8571428571428571,0.0,0.0,0.6666666666666666,0.0,0.0,0.1,0.0,1.0,0.0,0.03571428571428571,0.10714285714285714,0.0,0.8095238095238095,0.5625,0.625,0.7984126984126985,0.8404613517805324,0.7996141655900679,0.2619047619047619,0.40476190476190477,0.18352246284484863
LongMethod,RFR,0.6206896551724138,0.9473684210526315,0.3448275862068966,0.9090909090909091,0.20689655172413793,1.0,0.6666666666666666,0.7777777777777778,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.75,0.8427750410509031,0.980684383330157,0.9374586232162507,0.11904761904761904,0.11904761904761904,0.18749785423278809
LongMethod,RFR,0.6451612903225806,1.0,0.3870967741935484,1.0,0.1935483870967742,1.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.9375,1.0,0.8467741935483871,0.9532381417169544,0.9443016000760216,0.07142857142857142,0.11904761904761904,0.18949294090270996
LongMethod,RFR,0.5806451612903226,0.9,0.3870967741935484,1.0,0.1935483870967742,1.0,1.0,0.8888888888888888,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,0.03571428571428571,0.10714285714285714,0.0,0.8571428571428571,0.6875,0.75,0.8352534562211982,0.8742727358363069,0.8484922251691923,0.21428571428571427,0.35714285714285715,0.1844639778137207
LongMethod,RFR,0.6129032258064516,0.95,0.3225806451612903,0.8333333333333334,0.16129032258064516,0.8333333333333334,0.25,1.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.75,0.8360215053763442,0.9837438169356658,0.9512162189999105,0.09523809523809523,0.09523809523809523,0.199432373046875
LongMethod,RFR,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.16129032258064516,0.8333333333333334,0.5,0.8888888888888888,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,0.875,0.8483102918586791,0.9855369777271457,0.9566434443922665,0.07142857142857142,0.07142857142857142,0.18451452255249023
LongMethod,RFR,0.6,0.9473684210526315,0.3,0.8181818181818182,0.13333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.2,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.5,0.5,0.8301587301587302,0.9680978912343295,0.9038352191900224,0.19047619047619047,0.19047619047619047,0.19646644592285156
LongMethod,RFR,0.5333333333333333,0.8421052631578947,0.26666666666666666,0.7272727272727273,0.13333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.9642857142857143,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.9047619047619048,0.75,0.875,0.8452380952380951,0.9651512039758082,0.9296480105849225,0.09523809523809523,0.09523809523809523,0.18753886222839355
LongMethod,RFR,0.5666666666666667,0.8947368421052632,0.3,0.8181818181818182,0.2,1.0,0.6666666666666666,0.8,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.875,0.8476190476190478,0.9846226150709942,0.9506320846305419,0.09523809523809523,0.09523809523809523,0.18251729011535645
LongMethod,RFR,0.6,0.9473684210526315,0.3,0.8181818181818182,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.9,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.75,0.875,0.8388888888888889,0.9831194350132713,0.948568523181631,0.09523809523809523,0.09523809523809523,0.18351221084594727
LongMethod,RFR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,1.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.8125,1.0,0.8293650793650796,0.9151382618999937,0.9058467267051475,0.11904761904761904,0.21428571428571427,0.18153762817382812
LongMethod,RFR,0.6551724137931034,1.0,0.3793103448275862,1.0,0.1724137931034483,0.8333333333333334,1.0,0.7777777777777778,0.5,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.5,0.0,0.03571428571428571,0.0,0.0,0.9047619047619048,0.75,0.75,0.8509852216748769,0.967319540564607,0.9391716523715813,0.09523809523809523,0.09523809523809523,0.1815176010131836
LongMethod,RFR,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.1935483870967742,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.8125,1.0,0.8460061443932411,0.9874811420387347,0.9619029485349028,0.07142857142857142,0.07142857142857142,0.1824626922607422
LongMethod,RFR,0.5806451612903226,0.9,0.3225806451612903,0.8333333333333334,0.16129032258064516,0.8333333333333334,0.75,0.6666666666666666,0.0,1.0,0.0,0.0,0.25,0.1111111111111111,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.75,0.625,0.8183563748079872,0.9391091414967033,0.9047829403203047,0.14285714285714285,0.19047619047619047,0.1855313777923584
LongMethod,RFR,0.6451612903225806,1.0,0.3870967741935484,1.0,0.1935483870967742,1.0,1.0,0.7777777777777778,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.03571428571428571,0.0,0.0,0.9047619047619048,0.75,1.0,0.8460061443932411,0.9661398374174168,0.9371171888813753,0.09523809523809523,0.09523809523809523,0.19248509407043457
LongMethod,RFR,0.6129032258064516,0.95,0.3548387096774194,0.9166666666666666,0.16129032258064516,0.8333333333333334,1.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.6875,0.625,0.8498463901689709,0.9852733860534642,0.9496801147491554,0.11904761904761904,0.11904761904761904,0.1904909610748291
LongMethod,RFR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,0.6666666666666666,1.0,1.0,0.9285714285714286,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.9285714285714286,0.8125,0.875,0.8253968253968256,0.928016969294754,0.9109074769023303,0.09523809523809523,0.14285714285714285,0.18951106071472168
LongMethod,RFR,0.5666666666666667,0.8947368421052632,0.3,0.8181818181818182,0.13333333333333333,0.6666666666666666,0.0,0.8,0.0,0.9285714285714286,0.0,0.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.8095238095238095,0.5,0.75,0.8134920634920635,0.9017754276429503,0.8455486912950898,0.21428571428571427,0.2619047619047619,0.18551993370056152
LongMethod,RFR,0.6333333333333333,1.0,0.36666666666666664,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8515873015873016,1.0,1.0,0.0,0.0,0.19644761085510254
