Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,RankBoost,0.3114754098360656,0.7916666666666666,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0476190476190476,0.0,0.0,0.6582747853239657,0.7011225537134942,0.6177538906913318,2.6904761904761907,9.166666666666666,2.698415279388428
GodClass,RankBoost,0.3114754098360656,0.7916666666666666,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0476190476190476,0.0,0.0,0.6582747853239657,0.7011225537134942,0.6177538906913318,2.6904761904761907,9.166666666666666,2.7515552043914795
GodClass,RankBoost,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.125,0.0625,0.0476190476190476,0.0,0.0,0.7191647150663544,0.8598754012600843,0.765502545986665,2.857142857142857,10.666666666666666,2.780661106109619
GodClass,RankBoost,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.5625,0.1875,0.0,0.0238095238095238,0.0,0.0,0.7043325526932085,0.8488368191106691,0.7575740184271146,2.5,8.071428571428571,2.710965394973755
GodClass,RankBoost,0.3492063492063492,0.9166666666666666,0.1746031746031746,0.9166666666666666,0.0952380952380952,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1875,0.0625,0.0625,0.0476190476190476,0.0,0.0,0.6766817838246411,0.7298124290834012,0.6397766951647428,2.6666666666666665,8.619047619047619,2.7084078788757324
GodClass,RankBoost,0.28125,0.75,0.171875,0.9166666666666666,0.09375,1.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0666666666666666,0.0476190476190476,0.0,0.0,0.6629464285714286,0.6950424103346803,0.5997646921998447,2.952380952380953,11.095238095238097,2.7091455459594727
GodClass,RankBoost,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0666666666666666,0.0238095238095238,0.0,0.0,0.6703869047619048,0.7674771631824117,0.6776221766074021,3.023809523809524,11.357142857142858,2.710613489151001
GodClass,RankBoost,0.375,1.0,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.0666666666666666,0.1333333333333333,0.0476190476190476,0.0,0.0,0.6886160714285715,0.8166378271745538,0.7139310755564302,2.9285714285714284,10.30952380952381,2.812496900558472
GodClass,RankBoost,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0666666666666666,0.0,0.0476190476190476,0.0,0.0,0.6897321428571429,0.8236714438756865,0.7421427668524586,2.4285714285714284,7.333333333333333,2.744310140609741
GodClass,RankBoost,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666666,0.2666666666666666,0.2,0.0238095238095238,0.0,0.0,0.6960565476190477,0.8353296147130138,0.743336234026508,2.6904761904761907,8.5,2.8102777004241943
GodClass,RankBoost,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.0,0.0,0.3333333333333333,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0666666666666666,0.0,0.0476190476190476,0.0,0.0,0.6726190476190477,0.7421458707913036,0.6389028357334436,2.761904761904762,9.904761904761903,2.8010315895080566
GodClass,RankBoost,0.3770491803278688,0.9583333333333334,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0625,0.0625,0.0238095238095238,0.0,0.0,0.7109679937548791,0.8540907442478605,0.7684219749318931,2.8095238095238093,9.142857142857142,2.7790796756744385
GodClass,RankBoost,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0625,0.0625,0.0,0.0,0.0,0.692232630757221,0.7683726873097763,0.6896764337404852,2.642857142857143,8.785714285714286,2.65984320640564
GodClass,RankBoost,0.3442622950819672,0.875,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.125,0.1875,0.0238095238095238,0.0,0.0,0.6969164715066355,0.8131395230401132,0.7326106377082838,3.0476190476190474,10.80952380952381,2.707756757736206
GodClass,RankBoost,0.3809523809523809,1.0,0.1904761904761904,1.0,0.0952380952380952,1.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.0625,0.125,0.0714285714285714,0.0,0.0,0.7118291761148905,0.8925516939072526,0.8088811025893885,2.380952380952381,7.666666666666667,2.704559087753296
GodClass,RankBoost,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0666666666666666,0.119047619047619,0.0,0.0,0.6841517857142858,0.8180592573760138,0.7355689858207731,2.2857142857142856,7.190476190476191,2.7777860164642334
GodClass,RankBoost,0.328125,0.875,0.15625,0.8333333333333334,0.078125,0.8333333333333334,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1333333333333333,0.0666666666666666,0.0238095238095238,0.0,0.0,0.6815476190476191,0.79764935230057,0.6870919791001668,2.761904761904762,9.047619047619047,2.788090467453003
GodClass,RankBoost,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.2,0.1333333333333333,0.1333333333333333,0.0238095238095238,0.0,0.0,0.6975446428571429,0.8419149935013347,0.7396282072417761,3.261904761904762,12.11904761904762,2.6851184368133545
GodClass,RankBoost,0.328125,0.875,0.171875,0.9166666666666666,0.09375,1.0,0.0,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.0666666666666666,0.0952380952380952,0.0,0.0,0.6834077380952381,0.7261087094962799,0.6388066595705145,2.2857142857142856,7.523809523809524,2.49113392829895
GodClass,RankBoost,0.3125,0.8333333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0666666666666666,0.2666666666666666,0.0238095238095238,0.0,0.0,0.6711309523809524,0.7036477727364291,0.608600733495749,3.095238095238096,11.38095238095238,2.4645891189575195
GodClass,RankBoost,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0238095238095238,0.0,0.0,0.6908482142857143,0.8138531250737111,0.7289375279071141,2.7857142857142856,10.166666666666666,2.394852638244629
GodClass,RankBoost,0.360655737704918,0.9166666666666666,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.125,0.1875,0.0476190476190476,0.0,0.0,0.7082357533177208,0.8272351296430696,0.7312306581183321,2.5476190476190474,8.166666666666666,2.348158836364746
GodClass,RankBoost,0.360655737704918,0.9166666666666666,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.25,0.0,0.0238095238095238,0.0,0.0,0.7140905542544889,0.8298899931273349,0.7257089806983859,3.119047619047619,11.928571428571429,2.3599114418029785
GodClass,RankBoost,0.3442622950819672,0.875,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1875,0.0,0.0238095238095238,0.0,0.0,0.6703747072599533,0.7281139169167924,0.6516663179172923,2.619047619047619,8.285714285714286,2.4152133464813232
GodClass,RankBoost,0.3492063492063492,0.9166666666666666,0.1904761904761904,1.0,0.0952380952380952,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.1875,0.125,0.0,0.0,0.0,0.0,0.6626984126984129,0.6826164002937972,0.5819675261011712,3.642857142857143,15.357142857142858,2.357197523117065
GodClass,RankBoost,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.09375,1.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0666666666666666,0.1333333333333333,0.0476190476190476,0.0,0.0,0.6975446428571429,0.8324251591378515,0.7377170628225026,2.595238095238096,8.5,2.3726186752319336
GodClass,RankBoost,0.3125,0.8333333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0666666666666666,0.0,0.0476190476190476,0.0,0.0,0.6618303571428572,0.7224654486696961,0.6431693843613295,2.6904761904761907,9.357142857142858,2.4055263996124268
GodClass,RankBoost,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0666666666666666,0.1333333333333333,0.0476190476190476,0.0,0.0,0.6774553571428572,0.736913859389949,0.6461305412227755,2.7142857142857144,9.333333333333334,2.367449283599853
