Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
DataClass,RankNet,0.3442622950819672,0.875,0.1475409836065573,0.75,0.0983606557377049,1.0,0.0,0.0,0.3333333333333333,1.0,0.75,0.25,0.0,0.9090909090909092,0.0909090909090909,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.4047619047619047,0.125,0.125,0.5927010148321624,0.2871503729627124,0.2663876356384496,1.3333333333333333,3.238095238095238,8.00780701637268
DataClass,RankNet,0.3225806451612903,0.8333333333333334,0.1451612903225806,0.75,0.0967741935483871,1.0,0.0,0.0,0.75,0.8,0.1666666666666666,0.8333333333333334,0.0,0.1818181818181818,0.8181818181818182,0.0,0.25,0.0,0.0,0.2,0.0,0.0,0.3571428571428571,0.0625,0.0,0.5794930875576036,0.5403427021475161,0.4989992791150844,1.0238095238095235,1.880952380952381,6.366423845291138
DataClass,RankNet,0.3225806451612903,0.8333333333333334,0.1612903225806451,0.8333333333333334,0.0806451612903225,0.8333333333333334,0.0,0.0,1.0,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3809523809523809,0.0625,0.125,0.7004608294930876,0.7372890928200946,0.6808766443119305,0.9047619047619048,1.4761904761904765,7.8013153076171875
DataClass,RankNet,0.34375,0.9166666666666666,0.15625,0.8333333333333334,0.09375,1.0,0.0,0.0,0.0,1.0,0.8461538461538461,0.1538461538461538,0.0,0.9090909090909092,0.0909090909090909,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.1875,0.0,0.5007440476190477,0.2522806922815944,0.2339116076609093,1.4523809523809523,3.595238095238096,7.770226240158081
DataClass,RankNet,0.34375,0.9166666666666666,0.171875,0.9166666666666666,0.09375,1.0,0.0,0.0,0.6666666666666666,0.8,0.0769230769230769,0.9230769230769232,0.0,0.0909090909090909,0.9090909090909092,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,0.3333333333333333,0.0625,0.0,0.6194196428571429,0.6435467067321996,0.5966887256222855,1.0238095238095235,1.7857142857142858,7.835022926330566
DataClass,RankNet,0.375,1.0,0.1875,1.0,0.09375,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0909090909090909,0.9090909090909092,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.0,0.0,0.6640625,0.8711055963799521,0.807678576782293,0.9523809523809524,1.619047619047619,7.978657484054565
DataClass,RankNet,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,0.0909090909090909,0.9090909090909092,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.2619047619047619,0.0,0.0,0.5970982142857143,0.631323791269634,0.5853557861876624,1.0714285714285714,1.738095238095238,6.67905592918396
DataClass,RankNet,0.3333333333333333,0.875,0.1746031746031746,0.9166666666666666,0.0952380952380952,1.0,0.0,0.0,0.6666666666666666,0.8666666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0,0.0,0.3571428571428571,0.0625,0.0,0.6490929705215419,0.7871603029325785,0.7296484549360703,0.9285714285714286,1.5,6.418417930603027
DataClass,RankNet,0.365079365079365,0.9583333333333334,0.1904761904761904,1.0,0.0952380952380952,1.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.0833333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0,0.0,0.6445578231292518,0.2028303982095607,0.1880111155457363,1.4761904761904765,3.6666666666666665,6.447177171707153
DataClass,RankNet,0.2698412698412698,0.7083333333333334,0.1428571428571428,0.75,0.0952380952380952,1.0,0.0,0.0,1.0,0.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3571428571428571,0.125,0.125,0.641156462585034,0.7392604575495605,0.6852482888641929,0.9285714285714286,1.5,6.356699466705322
