Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
GodClass,RankNet,0.2622950819672131,0.6666666666666666,0.1475409836065573,0.75,0.0983606557377049,1.0,0.0,0.0,0.3333333333333333,0.75,0.0833333333333333,0.9166666666666666,0.0,0.0909090909090909,0.9090909090909092,0.0,0.6666666666666666,0.0,0.0,0.25,0.0,0.0,0.3095238095238095,0.0,0.0,0.607142857142857,0.6148991842640824,0.5704381929303313,1.0238095238095235,1.738095238095238,6.794304609298706
GodClass,RankNet,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,1.0,0.8125,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.3809523809523809,0.0,0.0,0.6676424668227949,0.7554378916948271,0.7008150878021387,0.9047619047619048,1.4761904761904765,6.748327732086182
GodClass,RankNet,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.6666666666666666,0.875,0.0833333333333333,0.9166666666666666,0.0,0.0909090909090909,0.9090909090909092,0.0,0.3333333333333333,0.0,0.0,0.125,0.0,0.0,0.3809523809523809,0.0625,0.0,0.6274395003903201,0.7030799954517489,0.6522429893462262,0.9523809523809524,1.6666666666666667,6.628582954406738
GodClass,RankNet,0.3809523809523809,1.0,0.1904761904761904,1.0,0.0952380952380952,1.0,0.0,0.0,0.0,0.8125,0.1538461538461538,0.8461538461538461,0.0,0.5454545454545454,0.4545454545454545,0.0,1.0,0.0,0.0,0.1875,0.0,0.0,0.3095238095238095,0.0,0.0,0.5882464096749812,0.5540629269960757,0.5164717513869083,1.1904761904761905,2.2857142857142856,6.741034269332886
GodClass,RankNet,0.25,0.6666666666666666,0.140625,0.75,0.078125,0.8333333333333334,0.0,0.0,1.0,0.8666666666666667,0.2307692307692307,0.7692307692307693,0.0,0.4545454545454545,0.5454545454545454,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.3809523809523809,0.1875,0.125,0.5907738095238095,0.4929637693142198,0.4570700466849934,1.119047619047619,2.261904761904762,6.645881414413452
GodClass,RankNet,0.34375,0.9166666666666666,0.15625,0.8333333333333334,0.09375,1.0,0.0,0.0,0.3333333333333333,1.0,0.7692307692307693,0.2307692307692307,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.125,0.125,0.5982142857142858,0.2740369998349899,0.2540837929778085,1.4285714285714286,3.523809523809524,6.726006984710693
GodClass,RankNet,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.6666666666666666,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.6,0.0,0.0,0.1904761904761904,0.0,0.0,0.6432291666666667,0.4732051512952007,0.4387500949511215,1.119047619047619,1.738095238095238,6.758302688598633
GodClass,RankNet,0.328125,0.875,0.171875,0.9166666666666666,0.078125,0.8333333333333334,0.0,0.0,0.3333333333333333,0.8666666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.685639880952381,0.7942098153317112,0.736381738309777,0.9761904761904762,1.5952380952380951,6.680752515792847
GodClass,RankNet,0.328125,0.875,0.140625,0.75,0.078125,0.8333333333333334,0.0,0.0,1.0,0.7333333333333333,0.0,1.0,0.0,0.0909090909090909,0.9090909090909092,0.0,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.3333333333333333,0.0625,0.0,0.6205357142857143,0.666604124646109,0.6180672847342604,1.0,1.6666666666666667,6.8039231300354
GodClass,RankNet,0.296875,0.7916666666666666,0.15625,0.8333333333333334,0.0625,0.6666666666666666,0.0,0.0,0.6666666666666666,0.7333333333333333,0.0769230769230769,0.9230769230769232,0.0,0.1818181818181818,0.8181818181818182,0.0,0.3333333333333333,0.0,0.0,0.2666666666666666,0.0,0.0,0.3095238095238095,0.0625,0.125,0.5952380952380952,0.5746721428009942,0.5328290626794322,1.0714285714285714,1.880952380952381,6.691721439361572
GodClass,RankNet,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,1.0,0.9166666666666666,0.0833333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.125,0.0,0.5583528493364561,0.2033209198405612,0.1886195673484116,1.4285714285714286,3.571428571428572,6.875764846801758
GodClass,RankNet,0.3934426229508196,1.0,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.9090909090909092,0.0909090909090909,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.125,0.0,0.608704137392662,0.6219729080418674,0.5770004429907493,1.238095238095238,2.6666666666666665,6.730137348175049
GodClass,RankNet,0.2622950819672131,0.6666666666666666,0.180327868852459,0.9166666666666666,0.081967213114754,0.8333333333333334,0.0,0.0,0.6666666666666666,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.3333333333333333,0.125,0.0,0.6375878220140515,0.7129724480788456,0.6614201568310125,0.9523809523809524,1.5238095238095235,6.71633505821228
GodClass,RankNet,0.3333333333333333,0.875,0.1587301587301587,0.8333333333333334,0.0952380952380952,1.0,0.0,0.0,0.5,0.9375,0.1538461538461538,0.8461538461538461,0.0,0.7272727272727273,0.2727272727272727,0.0,0.5,0.0,0.0,0.0625,0.0,0.0,0.3809523809523809,0.0625,0.125,0.6215041572184431,0.6404611093080083,0.5970081279627865,1.1666666666666667,2.357142857142857,6.727590084075928
GodClass,RankNet,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,1.0,0.5333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.2619047619047619,0.0625,0.0,0.6726190476190477,0.5672907400960266,0.525985115336905,1.0476190476190477,1.6666666666666667,6.652754068374634
GodClass,RankNet,0.34375,0.9166666666666666,0.15625,0.8333333333333334,0.0625,0.6666666666666666,0.0,0.0,0.0,0.9333333333333332,0.1538461538461538,0.8461538461538461,0.0,0.8181818181818182,0.1818181818181818,0.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.6112351190476191,0.6606939119041787,0.6125874069379056,1.238095238095238,2.4761904761904763,6.703314065933228
GodClass,RankNet,0.328125,0.875,0.140625,0.75,0.0625,0.6666666666666666,0.0,0.0,0.6666666666666666,0.8,0.0769230769230769,0.9230769230769232,0.0,0.1818181818181818,0.8181818181818182,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,0.3333333333333333,0.0625,0.125,0.6190476190476191,0.6243628589616325,0.5789016939134666,1.0476190476190477,1.8571428571428568,6.775317430496216
GodClass,RankNet,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.09375,1.0,0.0,0.0,0.3333333333333333,0.8666666666666667,0.1538461538461538,0.8461538461538461,0.0,0.2727272727272727,0.7272727272727273,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,0.0,0.0,0.3333333333333333,0.0625,0.0,0.5811011904761905,0.6112259276018519,0.5667212899899379,1.0952380952380951,2.0476190476190474,6.562134981155396
GodClass,RankNet,0.3125,0.8333333333333334,0.140625,0.75,0.078125,0.8333333333333334,0.0,0.0,1.0,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2857142857142857,0.0625,0.125,0.6361607142857143,0.6107513624018888,0.5662812788743056,1.0238095238095235,1.6428571428571428,6.525162220001221
GodClass,RankNet,0.34375,0.9166666666666666,0.1875,1.0,0.09375,1.0,0.0,0.0,0.6666666666666666,0.8666666666666667,0.0769230769230769,0.9230769230769232,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.1333333333333333,0.0,0.0,0.3571428571428571,0.0625,0.125,0.629092261904762,0.7124212706634049,0.6605483885651389,0.9761904761904762,1.6904761904761905,6.422743558883667
GodClass,RankNet,0.360655737704918,0.9166666666666666,0.180327868852459,0.9166666666666666,0.0983606557377049,1.0,0.0,0.0,1.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.1666666666666666,0.0,0.0,0.630952380952381,0.3660701226827768,0.3396010022665198,1.119047619047619,1.6904761904761905,6.366831302642822
GodClass,RankNet,0.3770491803278688,0.9583333333333334,0.1967213114754098,1.0,0.0983606557377049,1.0,0.0,0.0,0.0,1.0,0.0833333333333333,0.9166666666666666,0.0,0.7272727272727273,0.2727272727272727,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3809523809523809,0.0,0.0,0.6539812646370025,0.7693373592435988,0.7137095383952134,1.119047619047619,2.1666666666666665,6.439066410064697
GodClass,RankNet,0.3442622950819672,0.875,0.1639344262295081,0.8333333333333334,0.0655737704918032,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.75,0.25,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.4047619047619047,0.25,0.125,0.5645979703356752,0.2921521171410622,0.2710277229627033,1.3571428571428572,3.3095238095238093,6.401418209075928
GodClass,RankNet,0.2698412698412698,0.7083333333333334,0.1587301587301587,0.8333333333333334,0.0952380952380952,1.0,0.0,0.0,0.5,0.6875,0.0,1.0,0.0,0.1818181818181818,0.8181818181818182,0.0,0.5,0.0,0.0,0.3125,0.0,0.0,0.2857142857142857,0.0625,0.125,0.6109221466364325,0.6245877761451069,0.5822117433292956,1.0714285714285714,1.7857142857142858,6.450014352798462
GodClass,RankNet,0.359375,0.9583333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.3333333333333333,0.9333333333333332,0.2307692307692307,0.7692307692307693,0.0,0.6363636363636364,0.3636363636363636,0.0,0.6666666666666666,0.0,0.0,0.0666666666666666,0.0,0.0,0.3571428571428571,0.0625,0.0,0.5993303571428572,0.5818891950866913,0.5395206263003056,1.1904761904761905,2.4285714285714284,6.296818971633911
GodClass,RankNet,0.3125,0.8333333333333334,0.1875,1.0,0.09375,1.0,0.0,0.0,0.0,0.8666666666666667,0.3846153846153846,0.6153846153846154,0.0,0.5454545454545454,0.4545454545454545,0.0,1.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.3095238095238095,0.0,0.0,0.5766369047619048,0.4369230149385837,0.4051097367937256,1.261904761904762,2.642857142857143,6.432689905166626
GodClass,RankNet,0.359375,0.9583333333333334,0.171875,0.9166666666666666,0.09375,1.0,0.0,0.0,0.0,1.0,0.4615384615384615,0.5384615384615384,0.0,0.9090909090909092,0.0909090909090909,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0625,0.0,0.597842261904762,0.5462799719443221,0.5065041851392418,1.3333333333333333,3.0,6.380737066268921
