Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
DataClass,RankingSVM,0.1967213114754098,0.5,0.1147540983606557,0.5833333333333334,0.0491803278688524,0.5,1.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0625,0.0625,0.8125,0.3095238095238095,0.5,0.25,0.6012880562060889,0.3126807771248355,0.2866562384242713,1.4047619047619049,3.452380952380953,12.013922214508057
DataClass,RankingSVM,0.1290322580645161,0.3333333333333333,0.0483870967741935,0.25,0.0483870967741935,0.5,1.0,0.0,0.25,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0666666666666666,0.8666666666666667,0.3333333333333333,0.25,0.125,0.564132104454685,0.2472803343964979,0.2256709950042794,1.380952380952381,3.4285714285714284,9.055787086486816
DataClass,RankingSVM,0.1612903225806451,0.4166666666666667,0.032258064516129,0.1666666666666666,0.0,0.0,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0666666666666666,0.0666666666666666,0.8,0.3095238095238095,0.375,0.25,0.6144393241167436,0.3230597917115537,0.2948282354088166,1.380952380952381,3.333333333333333,10.975241661071776
DataClass,RankingSVM,0.171875,0.4583333333333333,0.078125,0.4166666666666667,0.015625,0.1666666666666666,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0666666666666666,0.0666666666666666,0.8,0.3333333333333333,0.5625,0.375,0.5889136904761905,0.3240971819920289,0.2969604079182404,1.3333333333333333,3.238095238095238,10.550377368927002
DataClass,RankingSVM,0.203125,0.5416666666666666,0.09375,0.5,0.03125,0.3333333333333333,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0666666666666666,0.0666666666666666,0.8,0.3333333333333333,0.3125,0.125,0.5792410714285715,0.3240971819920289,0.2969604079182404,1.3333333333333333,3.238095238095238,10.371271133422852
DataClass,RankingSVM,0.265625,0.7083333333333334,0.109375,0.5833333333333334,0.046875,0.5,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0666666666666666,0.0666666666666666,0.8,0.3333333333333333,0.3125,0.5,0.5691964285714286,0.3240971819920289,0.2969604079182404,1.3333333333333333,3.238095238095238,10.619604587554932
DataClass,RankingSVM,0.25,0.6666666666666666,0.078125,0.4166666666666667,0.03125,0.3333333333333333,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0666666666666666,0.0666666666666666,0.8,0.3333333333333333,0.5625,0.5,0.6592261904761905,0.3240971819920289,0.2969604079182404,1.3333333333333333,3.238095238095238,9.276197910308838
DataClass,RankingSVM,0.3015873015873015,0.7916666666666666,0.1428571428571428,0.75,0.0476190476190476,0.5,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0666666666666666,0.0666666666666666,0.8,0.3095238095238095,0.625,0.625,0.5674603174603176,0.3239235894878815,0.2967212130281041,1.3571428571428572,3.261904761904762,9.476657390594482
DataClass,RankingSVM,0.2698412698412698,0.7083333333333334,0.1428571428571428,0.75,0.0476190476190476,0.5,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0666666666666666,0.0666666666666666,0.8,0.3095238095238095,0.4375,0.625,0.5920256991685563,0.3239235894878815,0.2967212130281041,1.3571428571428572,3.261904761904762,9.554452180862429
DataClass,RankingSVM,0.238095238095238,0.625,0.1269841269841269,0.6666666666666666,0.0476190476190476,0.5,1.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0666666666666666,0.0666666666666666,0.8,0.3095238095238095,0.25,0.375,0.5202191987906272,0.3239235894878815,0.2967212130281041,1.3571428571428572,3.261904761904762,9.22533631324768
