Dataset,Algorithm,severity@20%,rel_severity@20%,severity@10%,rel_severity@10%,severity@5%,rel_severity@5%,acc_ord_3,acc_ord_2,acc_ord_1,acc_ord_0,err_3_to_0,err_3_to_1,err_3_to_2,err_2_to_0,err_2_to_1,err_2_to_3,err_1_to_0,err_1_to_2,err_1_to_3,err_0_to_1,err_0_to_2,err_0_to_3,accuracy@100%,accuracy@40%,accuracy@20%,CLC,spearmanr,kendalltau,MAE,MSE,time
LongMethod,RankingSVM,0.2580645161290322,0.4,0.0967741935483871,0.25,0.0967741935483871,0.5,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.119047619047619,0.0625,0.125,0.6294162826420888,0.1921993932348181,0.1825741858350553,2.119047619047619,5.785714285714286,7.951741456985474
LongMethod,RankingSVM,0.2903225806451613,0.45,0.1290322580645161,0.3333333333333333,0.064516129032258,0.3333333333333333,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.119047619047619,0.125,0.125,0.5802611367127497,0.1921993932348181,0.1825741858350553,2.119047619047619,5.785714285714286,9.154315710067747
LongMethod,RankingSVM,0.1935483870967742,0.3,0.1290322580645161,0.3333333333333333,0.064516129032258,0.3333333333333333,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.119047619047619,0.125,0.0,0.5986943164362521,0.1921993932348181,0.1825741858350553,2.119047619047619,5.785714285714286,9.081716060638428
LongMethod,RankingSVM,0.3548387096774194,0.55,0.1290322580645161,0.3333333333333333,0.064516129032258,0.3333333333333333,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.119047619047619,0.1875,0.125,0.6962365591397848,0.1921993932348181,0.1825741858350553,2.119047619047619,5.785714285714286,8.660810470581055
LongMethod,RankingSVM,0.5,0.7894736842105263,0.2333333333333333,0.6363636363636364,0.2,1.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.0952380952380952,0.1875,0.25,0.627777777777778,0.1926388870123933,0.1838290060036115,2.142857142857143,5.809523809523809,13.909805297851562
LongMethod,RankingSVM,0.2666666666666666,0.4210526315789473,0.0666666666666666,0.1818181818181818,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.0952380952380952,0.0625,0.0,0.5746031746031747,0.1926388870123933,0.1838290060036115,2.142857142857143,5.809523809523809,9.175467014312744
LongMethod,RankingSVM,0.3333333333333333,0.5263157894736842,0.0666666666666666,0.1818181818181818,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.0952380952380952,0.1875,0.25,0.6285714285714284,0.1926388870123933,0.1838290060036115,2.142857142857143,5.809523809523809,9.308709144592283
LongMethod,RankingSVM,0.3,0.4736842105263157,0.1666666666666666,0.4545454545454545,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.0952380952380952,0.125,0.125,0.5976190476190476,0.1926388870123933,0.1838290060036115,2.142857142857143,5.809523809523809,9.168455362319946
LongMethod,RankingSVM,0.2666666666666666,0.4210526315789473,0.1666666666666666,0.4545454545454545,0.0666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.0952380952380952,0.1875,0.25,0.593650793650794,0.1926388870123933,0.1838290060036115,2.142857142857143,5.809523809523809,9.102254152297974
LongMethod,RankingSVM,0.1034482758620689,0.1578947368421052,0.1034482758620689,0.2727272727272727,0.0689655172413793,0.3333333333333333,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.0952380952380952,0.0625,0.0,0.580049261083744,0.1921432651510249,0.1821615882775299,2.1666666666666665,5.880952380952381,9.85265302658081
LongMethod,RankingSVM,0.0967741935483871,0.15,0.064516129032258,0.1666666666666666,0.064516129032258,0.3333333333333333,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.119047619047619,0.0,0.0,0.428187403993856,0.1921993932348181,0.1825741858350553,2.119047619047619,5.785714285714286,7.837090730667114
LongMethod,RankingSVM,0.3548387096774194,0.55,0.1935483870967742,0.5,0.064516129032258,0.3333333333333333,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.119047619047619,0.1875,0.125,0.6248079877112135,0.1921993932348181,0.1825741858350553,2.119047619047619,5.785714285714286,9.20934557914734
LongMethod,RankingSVM,0.1612903225806451,0.25,0.0967741935483871,0.25,0.0,0.0,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.119047619047619,0.0625,0.0,0.6409370199692779,0.1921993932348181,0.1825741858350553,2.119047619047619,5.785714285714286,9.286211729049684
LongMethod,RankingSVM,0.2258064516129032,0.35,0.064516129032258,0.1666666666666666,0.064516129032258,0.3333333333333333,1.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0357142857142857,0.0357142857142857,0.8928571428571429,0.119047619047619,0.25,0.0,0.6708909370199692,0.1921993932348181,0.1825741858350553,2.119047619047619,5.785714285714286,8.971012115478516
